Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
AWS Certified Solutions Architect - Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate/,Ryan Kroonenburg,179.99,19.19,"4.5(158,645 ratings)",IT & Software,IT Certification,AWS Certification,"490,542",English,Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!,11/2019,12/28/19
Ultimate AWS Certified Solutions Architect Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,199.99,16.79,"4.6(12,859 ratings)",IT & Software,IT Certification,AWS Certification,"57,912",English,Pass the AWS Certified Solutions Architect Certification. Complete AWS Certified Solutions Architect Associate Training!,12/2019,12/28/19
Ultimate AWS Certified Developer Associate 2020 - NEW!,www.udemy.com/course/aws-certified-developer-associate-dva-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,199.99,14.99,"4.6(11,823 ratings)",Development,Software Engineering,AWS Certification,"63,703",English,Become an AWS Certified Developer! Learn all AWS Certified Developer Associate topics. PASS the Certified Developer Exam,12/2019,12/28/19
AWS Certified Solutions Architect Associate Practice Exams,www.udemy.com/course/aws-certified-solutions-architect-associate-amazon-practice-exams/,Jon Bonso • AWS Certified Solutions Architect & Full Stack Developer,39.99,18.59,"4.6(8,966 ratings)",IT & Software,IT Certification,AWS Certification,"46,962",English,390 AWS Certified Solutions Architect Associate Practice Test Questions in 6 sets w/ Complete Explanations & References,12/2019,12/28/19
AWS Certified Developer - Associate 2020,www.udemy.com/course/aws-certified-developer-associate/,Ryan Kroonenburg,149.99,16.19,"4.3(32,753 ratings)",IT & Software,IT Certification,AWS Certification,"173,940",English,Do you want AWS certification? Do you want to be an AWS Certified Developer Associate? This AWS online course is for you,10/2019,12/28/19
Amazon Web Services (AWS) Certified 2019 - 4 Certifications!,www.udemy.com/course/aws-certified-associate-architect-developer-sysops-admin/,BackSpace Academy,199.99,14.99,"4.5(11,728 ratings)",IT & Software,IT Certification,AWS Certification,"72,149",English,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",10/2019,12/28/19
AWS Certified Cloud Practitioner: 6 full practice tests 2020,www.udemy.com/course/aws-certified-cloud-practitioner-practice-test/,Mozdora Education,74.99,11.99,"4.4(4,428 ratings)",IT & Software,IT Certification,AWS Certification,"19,580",English,Pass the AWS Certified Cloud Practitioner exam on first try ! âSix Practice Exams âNEW PATTERN âDetailed Explanations,12/2019,12/28/19
AWS Certified Solutions Architect - Associate [Latest Exam],www.udemy.com/course/aws-certified-solutions-architect-associate-exam/,DolfinEd - Learning that,0.0,39.99,"4.7(5,696 ratings)",IT & Software,IT Certification,AWS Certification,"15,363",English,ACE the AWS Certified Solutions Architect Associate (CSAA) exam using the best All-in-One CSAA Exam Preparation Guide,12/2019,12/28/19
Ultimate AWS Certified SysOps Administrator Associate 2020,www.udemy.com/course/ultimate-aws-certified-sysops-administrator-associate/,Stephane Maarek | AWS Certified Solutions Architect & Developer,199.99,11.99,"4.7(2,212 ratings)",IT & Software,IT Certification,AWS Certification,"14,929",English,Become an AWS SysOps Administrator! Learn all AWS Certified SysOps Administrator Associate topics. Pass Certified SysOps,12/2019,12/28/19
AWS Certified Big Data Specialty 2020 - In Depth & Hands On!,www.udemy.com/course/aws-big-data/,Sundog Education by Frank Kane,199.99,11.99,"4.5(1,834 ratings)",IT & Software,IT Certification,AWS Certification,"14,025",English,"Comprehensive, hands-on AWS Big Data certification prep, with a practice exam! Kinesis, EMR, DynamoDB, Redshift and more",12/2019,12/28/19
AWS Certified SysOps Administrator - Associate 2020,www.udemy.com/course/aws-certified-sysops-administrator-associate/,Ryan Kroonenburg,149.99,13.79,"4.4(10,047 ratings)",IT & Software,IT Certification,AWS Certification,"89,910",English,Want to pass the AWS Certified SysOps Administrator Exam? Want to become Amazon Web Services Certified? Do this course!,12/2019,12/28/19
AWS Certified Developer Associate 2020 [4 Practice Tests],www.udemy.com/course/aws-certified-developer-associate-practice-tests-dva-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,99.99,11.39,"4.5(1,902 ratings)",IT & Software,IT Certification,AWS Certification,"15,894",English,293 Exam Quiz Questions on DVA-C01 ! Practice the AWS Certified Developer Exam & ace the AWS Certified Developer Exam!,12/2019,12/28/19
AWS Certified Solutions Architect Professional Practice Exam,www.udemy.com/course/aws-solutions-architect-professional-practice-exams-2018/,Jon Bonso • AWS Certified Solutions Architect & Full Stack Developer,39.99,14.99,4.4(870 ratings),IT & Software,IT Certification,AWS Certification,"8,827",English,"300 AWS Certified Solutions Architect Professional Practice Test Questions with Explanations, References and Flashcards",12/2019,12/28/19
