Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
AWS Certified Solutions Architect - Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate/,Ryan Kroonenburg,179.99,13.19,"4.5(158,645 ratings)",IT & Software,IT Certification,AWS Certification,"491,510",English,Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!,11/2019,01/01/20
Ultimate AWS Certified Solutions Architect Associate 2020,www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,199.99,11.39,"4.6(12,859 ratings)",IT & Software,IT Certification,AWS Certification,"58,715",English,Pass the AWS Certified Solutions Architect Certification. Complete AWS Certified Solutions Architect Associate Training!,12/2019,01/01/20
AWS Certified Solutions Architect Associate Practice Exams,www.udemy.com/course/aws-certified-solutions-architect-associate-amazon-practice-exams/,Jon Bonso • AWS Certified Solutions Architect & Full Stack Developer,39.99,13.19,"4.6(8,966 ratings)",IT & Software,IT Certification,AWS Certification,"47,364",English,390 AWS Certified Solutions Architect Associate Practice Test Questions in 6 sets w/ Complete Explanations & References,12/2019,01/01/20
AWS Certified Solutions Architect - Associate [Latest Exam],www.udemy.com/course/aws-certified-solutions-architect-associate-exam/,DolfinEd - Learning that,0.0,39.99,"4.7(5,696 ratings)",IT & Software,IT Certification,AWS Certification,"15,419",English,ACE the AWS Certified Solutions Architect Associate (CSAA) exam using the best All-in-One CSAA Exam Preparation Guide,12/2019,01/01/20
AWS Certified Solutions Architect Associate Practice Exams,www.udemy.com/course/aws-certified-solutions-architect-associate-practice-tests-k/,Neal Davis | AWS Certified Solutions Architect,79.99,11.39,"4.5(2,074 ratings)",IT & Software,IT Certification,AWS Certification,"16,862",English,575 AWS Certified Solutions Architect Practice Questions|6 Practice Tests|Exam Simulator|Cheat Sheet|Explanations+Links,12/2019,01/01/20
AWS Certified Solutions Architect - Associate Practice Tests,www.udemy.com/course/aws-certified-solutions-architect-associate-practice-tests/,Ryan Kroonenburg,99.99,11.39,"3.9(5,122 ratings)",IT & Software,IT Certification,AWS Certification,"40,627",English,Final prep for the AWS CSA - A certification exam,5/2019,01/01/20
AWS Certified Solutions Architect Associate Hands-on Course,www.udemy.com/course/aws-certified-solutions-architect-associate-hands-on-labs/,Neal Davis | AWS Certified Solutions Architect,104.99,11.39,4.7(441 ratings),IT & Software,IT Certification,AWS Certified Solutions Architect - Associate,"3,160",English,AWS Certified Solutions Architect Associate |Ultimate Exam Prep|Guided Hands-on Labs|500 Practice Questions|Cheat Sheets,12/2019,01/01/20
AWS Certified Solutions Architect - Associate,www.udemy.com/course/linux-academy-aws-certified-solutions-architect-associate/,Linux Academy,179.99,11.99,"4.4(2,637 ratings)",IT & Software,IT Certification,Amazon AWS,"12,742",English,Study for and pass the AWS Certified Solutions Architect Associate level exam,2/2019,01/01/20
AWS Certified Solutions Architect 2019 Practice Questions,www.udemy.com/course/aws-certified-solutions-architect-2018-practice-questions/,SKILLCERTPRO : Get Certified,19.99,11.39,3.9(805 ratings),IT & Software,IT Certification,AWS Certified Solutions Architect - Associate,"5,559",English,800+ UNIQUE practice questions for AWS Solution Architect AssociateÂ certification exam 2020,12/2019,01/01/20
2019 Practice Test AWS Solutions Architect Associate,www.udemy.com/course/practice-test-aws-certified-solutions-architect-associate/,Chandra Lingam,19.99,11.39,"4.4(1,927 ratings)",IT & Software,IT Certification,AWS Certification,"34,181",English,"Focused and Concise. In 1 hour, you will gain substantial insight to pass the certification exam.",12/2019,01/01/20
AWS Certified Solutions Architect - Associate  2019,www.udemy.com/course/aws-certified-solutions-architect-associate-2018/,Zeal Vora,0.0,29.99,4.4(537 ratings),Marketing,Digital Marketing,AWS Certification,"2,743",English,Beginner to Advanced,6/2019,01/01/20
AWS Certified Solutions Architect Associate 2020 - Hands on!,www.udemy.com/course/aws-certified-solutions-architect-associate-aws/,Shikhar Verma,74.99,11.39,4.6(21 ratings),IT & Software,IT Certification,AWS Certification,250,English,Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!,10/2019,01/01/20
The Ultimate AWS Certified Solutions Architect - Associate,www.udemy.com/course/the-ultimate-aws-certified-solutions-architect-associate/,Bernard Golden,174.99,11.39,"4.2(1,011 ratings)",IT & Software,IT Certification,AWS Certified Solutions Architect - Associate,"6,062",English,"Pass the AWS certification exam by mastering the most important AWS services: IAM, EC2, Route 53 (DNS), VPC, and RDS.",2/2019,01/01/20
AWS Solutions Architect - Associate + 2 FREE Practice Tests,www.udemy.com/course/aws-essentials-solutions-architect-assoc-the-total-course/,"Total Seminars • 200,000+ Students",99.99,11.39,4.5(330 ratings),IT & Software,IT Certification,AWS Certification,"1,918",English,Learn everything you need to know to pass the AWS Solutions Architect Exam,12/2019,01/01/20
Become AWS Certified - Solutions Architect Associate (CSA),www.udemy.com/course/awscsarch/,Codestars by Rob Percival,199.99,11.39,4.5(902 ratings),IT & Software,IT Certification,AWS Certification,"6,158",English,"Everything You Need to Pass your AWS Solutions Architect - Associate Exam. Lectures, Demos, and Lab Manual & More!",7/2019,01/01/20
AWS Solutions Architect – Associate SAA-C01 Practice Exams,www.udemy.com/course/aws-solutions-architect-associate-feb-2018-practice-exams/,Certification Practice Exams,24.99,11.39,4.3(165 ratings),IT & Software,IT Certification,AWS Certification,980,English,"Over 390 Unique AWS Questions in 6 Practice Tests with Detailed Explanations, Reference Links, Score Tracking",12/2019,01/01/20
"Part 1: AWS Certified Solutions Architect (and CD,SO) - 2019",www.udemy.com/course/aws-certified-solutions-architect-guide-question-bank-i/,Chandra Lingam,94.99,14.99,4.4(969 ratings),IT & Software,IT Certification,AWS Certification,"5,434",English,"2019 Associate Exam Labs, 450+ Exam Prep Questions for Solutions Architect, Sysops Administrator, Developer",12/2019,01/01/20
