Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Ultimate AWS Certified SysOps Administrator Associate 2020,www.udemy.com/course/ultimate-aws-certified-sysops-administrator-associate/,Stephane Maarek | AWS Certified Solutions Architect & Developer,199.99,11.39,"4.7(2,212 ratings)",IT & Software,IT Certification,AWS Certification,"15,162",English,Become an AWS SysOps Administrator! Learn all AWS Certified SysOps Administrator Associate topics. Pass Certified SysOps,12/2019,01/01/20
AWS Certified SysOps Administrator - Associate 2020,www.udemy.com/course/aws-certified-sysops-administrator-associate/,Ryan Kroonenburg,149.99,13.19,"4.4(10,047 ratings)", IT & Software,IT Certification,AWS Certification,"90,022",English,Want to pass the AWS Certified SysOps Administrator Exam? Want to become Amazon Web Services Certified? Do this course!,12/2019,01/01/20
AWS Certified SysOps Administrator Associate Practice Exams,www.udemy.com/course/aws-certified-sysops-administrator-associate-practice-exams-soa-c01/,Jon Bonso • AWS Certified Solutions Architect & Full Stack Developer,39.99,12.59,4.6(889 ratings),IT & Software,IT Certification,AWS Certification,"5,871",English,"325 AWS Certified SysOps Administrator Associate Questions with Full Explanations, References plus BONUS Flashcards!",12/2019,01/01/20
AWS Foundation - Certification & Job,www.udemy.com/course/aws-foundation-for-solutions-architect/,Soumyadeep Dey,69.99,11.39,4.0(236 ratings),IT & Software,IT Certification,AWS Certified Solutions Architect - Associate,"3,497",English,"Certifications - Solution Architect Associate and SysOps Administrators, Job and Technology switch to AWS",6/2019,01/01/20
AWS Certified SysOps Administrator - Associate (2018),www.udemy.com/course/linux-academy-aws-certified-sysops-administrator-associate-2018/,Linux Academy,179.99,11.39,4.5(288 ratings),IT & Software,IT Certification,AWS Certification,"1,962",English,Study for and pass the (2018) AWS Certified SysOps Administrator (Associate) level exam,9/2018,01/01/20
AWS Certified SysOps Administrator Associate Practice Exams,www.udemy.com/course/aws-certified-sysops-administrator-associate-soa-c01-practice-exams/,Certification Practice Exams,24.99,11.39,3.9(56 ratings),IT & Software,IT Certification,AWS Certification,250,English,"Over 390 Unique AWS Questions in 6 Practice Tests with Detailed Explanations, Reference Links, Score Tracking",11/2019,01/01/20
AWS SysOps Administrator Associate Practice Exams - 2020,www.udemy.com/course/aws-certified-sysops-administrator-associate-practice-exams-soac01/,Rajesh Daswani | IaaS Academy,64.99,11.39,3.8(30 ratings),IT & Software,IT Certification,AWS Certification,276,English,195 New AWS Certified SysOps (SOA-C01) Questions across 3 Practice Exams with Answer Explanations and Reference Links,9/2019,01/01/20
AWS Certified SysOps Administrator – Associate : Real Tests,www.udemy.com/course/aws-certified-sysops-administrator-associate-real-tests-j/,Get Certified,84.99,11.39,4.2(33 ratings),IT & Software,IT Certification,AWS Certification,206,English,Practice 300 real AWS SysOps Administrator exam questions with detailed explanations. Pass the exam in first attempt.,12/2019,01/01/20
AWS Certified SysOps Administrator 2019 Practice Test Dumps,www.udemy.com/course/aws-certified-sysops-administrator-2018-practice-questions/,SKILLCERTPRO : Get Certified,19.99,11.39,3.4(224 ratings),IT & Software,IT Certification,AWS Certification,"1,210",English,620+Â UNIQUEÂ practice questions for AWS Certified SysOps AdministratorÂ Associate certification exam 2020,12/2019,01/01/20
AWS SysOps Administrator Associate - 2019,www.udemy.com/course/aws-sysops-administrator-associate-2018/,Alan Rodrigues,99.99,11.39,4.4(89 ratings),IT & Software,IT Certification,AWS Certification,"6,209",English,AWS SysOps New Certification Course,10/2018,01/01/20
