Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"Introduction to Finance, Accounting, Modeling and Valuation",www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,Chris Haroun,199.99,11.99,"4.4(9,795 ratings)",Business,Finance,Accounting,"58,243",English,"Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC",10/2019,12/31/19
Financial Accounting - #1 Ranked University: Course 1 of 5,www.udemy.com/course/learnaccountingforfree/,Norm Nemrow,199.99,11.99,"4.6(1,254 ratings)",Business,Finance,Accounting,"16,802",English,"Honored by the President of the United States for outstanding teaching, learn Accounting from the self-made millionaire.",9/2019,12/31/19
Accounting: From Beginner to Advanced!,www.udemy.com/course/accounting101/,"Stefan Ignatovski, Ph.D.",199.99,11.99,"4.3(2,162 ratings)",Teaching & Academics,Social Science,Accounting,"10,657",English,Learn accounting like never before. Learn easy and fast. Easy to understand Accounting. #1 accounting course online.,1/2019,12/31/19
The Complete Introduction To Accounting and Finance,www.udemy.com/course/finance-and-accounting-for-startups/,"Chris Benjamin, MBA & CFO",199.99,11.99,4.4(524 ratings),Business,Finance,Accounting,"4,830",English,The Original Course on Accounting & Finance! It's easy once you know the basics. Learn introductory accounting & finance,10/2019,12/31/19
Accounting Basics - A Complete Study,www.udemy.com/course/fundamentals-of-accounting-a-complete-study/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,11.99,4.3(336 ratings),Business,Finance,Accounting,"2,573",English,A - Z Guide for learning the Basics of Accountancy,12/2019,12/31/19
2019-20 Updated : Bookkeeping & Accountancy Complete Course,www.udemy.com/course/bookkeeping-courses/,LetsTute Make it Easy,34.99,11.99,4.6(24 ratings),Finance & Accounting,Accounting & Bookkeeping,Accounting,"1,556",English,Basic to advance Bookkeeping & Accountancy course for professionals & students. Learn Bookkeeping with easy methods.,9/2019,12/31/19
The Complete Advanced Accounting and Finance Course,www.udemy.com/course/advanced-finance-and-accounting-for-startups/,"Chris Benjamin, MBA & CFO",149.99,11.99,4.2(52 ratings),Business,Finance,Accounting,"1,321",English,Advanced accounting & finance topics related to startup and early stage companies. Learn accounting and finance in 2019,10/2019,12/31/19
Advanced Accounting A Complete Study for CA/CMA/CFA/ACCA/CS,www.udemy.com/course/branch-accounts-a-complete-analysis/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,11.99,4.4(83 ratings),Business,Finance,Accounting,"2,670",English,Prepare yourself for Advanced Accountancy Paper on CA / CMA / CS / B.Com Courses as well to acquire practical knowledge,12/2019,12/31/19
Accounting 101: How to read an Accounting Balance Sheet,www.udemy.com/course/financial-statements-101-how-to-read-a-balance-sheet/,KayOne Academy,199.99,11.99,4.3(275 ratings),Business,Finance,Accounting,"4,048",English,"Accounting 101: Non-Accountants' Guide to Accounting. Learn Accounting. Get Paid More, and Get Promoted Faster!",4/2015,12/31/19
Accounting in 60 Minutes - A Brief Introduction,www.udemy.com/course/accounting-in-60-minutes-a-brief-introduction/,Vincent Turner,34.99,11.99,"4.5(7,866 ratings)",Business,Finance,Accounting,"76,301",English,Learn the very basics of accounting in just about an hour.,10/2015,12/31/19
Finance & Accounting for Management Consultants and Analysts,www.udemy.com/course/finance-accounting-for-management-consultants-and-analysts/,Asen Gyczew,189.99,11.99,4.5(38 ratings),Finance & Accounting,Financial Modeling & Analysis,Accounting,"1,154",English,Practical guide that will help you understand financial statements & do financial analyses during consulting projects,11/2019,12/31/19
Introduction to bookkeeping and Accounting,www.udemy.com/course/introduction-to-bookkeeping-and-accounting/,Paula Guilfoyle,34.99,11.99,4.5(342 ratings),Business,Finance,Accounting,"3,230", English,"Introduction to Bookkeeping and Accounting, Assets, liabilities, I&E and the Accounting equation",7/2019,12/31/19
Complete financial bookkeeping and accounting course,www.udemy.com/course/complete-financial-bookkeeping-and-accounting-course/,LetsTute Make it Easy,49.99,11.99,3.8(67 ratings),Business,Finance,Accounting,"1,605",English,Complete Bookkeeping & Accounting Course For Level 1 & 2,11/2019,12/31/19
Accounting 101 - The Principles Of Accounting,www.udemy.com/course/accounting-101-the-principles-of-accounting/,Shakir Elahi,99.99,11.99,4.4(285 ratings),Teaching & Academics,Social Science,Accounting,"4,514",English,Start Making Journal Entries Today!,9/2019,12/31/19
