Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Illustrator CC 2020 MasterClass,www.udemy.com/course/illustrator-cc-masterclass/,Martin Perhiniak,199.99,12.59,"4.6(17,616 ratings)",Design,Graphic Design,Adobe Illustrator,"85,582",English,Master Adobe Illustrator CC with this in-depth training for all levels.,11/2019,12/29/19
Adobe Illustrator CC - Essentials Training Course,www.udemy.com/course/adobe-illustrator-course/,Video School Online Inc,199.99,11.99,"4.7(5,203 ratings)",Design,Graphic Design,Adobe Illustrator,"22,173",English,"Learn Adobe Illustrator CC graphic design, logo design, and more with this in-depth, practical, easy-to-follow course!",12/2019,12/29/19
Adobe Illustrator CC – Advanced Training Course,www.udemy.com/course/adobe-illustrator-cc-advanced-training/,Daniel Walter Scott,199.99,11.39,"4.7(2,115 ratings)",Design,Graphic Design,Adobe Illustrator,"14,490",English,"In this Adobe Illustrator Advanced course we'll learn Advanced techniques for graphic design, logo design & illustration",11/2019,12/29/19
"Adobe CC Masterclass: Photoshop, Illustrator, XD & InDesign",www.udemy.com/course/adobe-cc-masterclass-graphic-design-photoshop-illustrator-xd-indesign/,Lindsay Marsh,179.99,14.39,4.6(727 ratings),Design,Design Tools,Adobe Illustrator,"9,521",English,"Learn graphic design today with Photoshop, Illustrator, Adobe XD, InDesign & more in this Adobe CC Masterclass!",11/2019,12/29/19
Logo Design in Adobe Illustrator - for Beginners & Beyond,www.udemy.com/course/logodesign/,Daniel Evans,199.99,11.99,"4.5(2,317 ratings)",Design,Graphic Design,Logo Design,"13,737",English,"Learn from a Published, Multi-Award Winning Logo Designer! 20+ Years Experience!",,12/29/19
UI & Web Design using Adobe Illustrator CC,www.udemy.com/course/ui-web-design-using-adobe-illustrator-2017/,Daniel Walter Scott,199.99,11.39,"4.6(1,693 ratings)",Design,Web Design,User Interface,"10,466",English,Build professional web & app designs using Adobe Illustrator CC,7/2019,12/29/19
Adobe Illustrator Advanced Vector Artwork,www.udemy.com/course/adobe-illustrator-advance-vector-artwork/,"Widhi Muttaqien, S.Kom, MMSI",89.99,11.99,4.6(949 ratings),Design,Graphic Design,Adobe Illustrator,"6,141",English,Learn the secrets of creating every type of vector illustration you can think of from a real expert,11/2019,12/29/19
Logo Design Masterclass: Learn Logo Design + Illustrator,www.udemy.com/course/become-a-professional-logo-designer/,"Chad Neuman, Ph.D.",199.99,11.39,"4.3(1,257 ratings)",Design,Graphic Design,Logo Design,"13,103",English,Learn logo design with Adobe Illustrator CC by applying logo design principles and techniques. For beginners and beyond.,11/2019,12/29/19
Illustrator CC 2020 MasterClass : Be a Creative Professional,www.udemy.com/course/illustrator-cc-masterclass-c/,Khalil Ibrahim,199.99,11.39,4.7(440 ratings),Design,Design Tools,Adobe Illustrator,"2,075",English,Master Adobe Illustrator CC from Beginner to Creative Professional in Artistic way with Design Concepts & Theories !,11/2019,12/29/19
Logo Design in Adobe Illustrator - The Intermediate Level,www.udemy.com/course/logodesignintermediate/,Daniel Evans,199.99,11.39,4.6(288 ratings),Design,Graphic Design,Adobe Illustrator,"7,235",English,"Learn from a Published, Multi-Award Winning Logo Designer! 20+ Years Experience!",11/2019,12/29/19
