Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Premiere Pro CC for Beginners: Video Editing in Premiere,www.udemy.com/course/adobe-premiere-pro-video-editing/,Phil Ebiner,199.99,11.99,"4.6(12,416 ratings)",Photography,Video Design,Adobe Premiere,"144,706",English,Learn how to edit videos in Adobe Premiere Pro with these easy-to-follow Premiere Pro video editing tutorials.,11/2019,12/30/19
Adobe Premiere Pro CC: Video Editing in Adobe Premiere Pro,www.udemy.com/course/adobe-premiere-pro-cc-2017-video-editing/,Louay Zambarakji,199.99,11.99,"4.7(2,800 ratings)",Design,Design Tools,Adobe Premiere,"32,179",English,Learn Video Editing in Adobe Premiere Pro with Color Correction & Color Grading and Professional Video Editing practices,1/2019,12/30/19
The Complete Adobe Premiere Pro CC Master Class Course,www.udemy.com/course/adobepremiereprocc/,Joe Parys,199.99,11.99,4.5(480 ratings),Photography,Video Design,Adobe Premiere,"27,569",English,In this complete master class course students will be able to edit video like a professional using adobe premiere pro cc,4/2018,12/30/19
Adobe Premiere Pro CC Tutorial - MasterClass Training,www.udemy.com/course/adobe-premiere-pro-cc/,Infinite Skills,49.99,11.99,"4.2(1,196 ratings)",Design,Design Tools,Adobe Premiere,"7,940",English,Adobe Premiere Pro CC tutorial for learning at your own pace from a pro. Over 18 hours of high quality training.,1/2017,12/30/19
Premiere Pro Lumetri: Color Correct like a Pro,www.udemy.com/course/premiere-pro-lumetri-color-correct-like-a-pro/,Jordy Vandeput,39.99,11.99,4.5(755 ratings),Photography,Video Design,Adobe Premiere,"2,604",English,Learn the essentials of color philosophy and perform technical color correction and grading tasks.,8/2016,12/30/19
Adobe Premiere Pro CC: Learn Video Editing In Premiere Pro,www.udemy.com/course/learnpremierepro/,Life Progression Project,154.99,11.99,"4.6(1,258 ratings)",Design,Design Tools,Adobe Premiere,"11,988",English,"Adobe Premiere Pro CC video editing for beginners: Edit footage and audio, make titles and more using Adobe Premiere Pro",12/2019,12/30/19
Video Editing with Adobe Premiere Pro for Corporate Video,www.udemy.com/course/premiere-pro-for-corporate-video/,Daniel Walter Scott,19.99,11.99,4.8(278 ratings),Business,Media,Adobe Premiere,"2,351",English,"In this Adobe Premiere Pro course, weâll edit video, enhance colors and fix bad audio.",8/2019,12/30/19
Adobe Premiere Pro: Ultimate Beginner Course,www.udemy.com/course/premiere-pro-with-brad-newton/,Brad Newton,199.99,11.99,4.5(441 ratings),Photography,Video Design,Adobe Premiere,"37,647",English,Follow me in my easy-to-follow video tutorials where I show you how to make fun videos in Adobe Premiere Pro CC.,12/2019,12/30/19
Adobe Premiere Pro CC: Complete A Video Editing Project,www.udemy.com/course/adobe-premiere-pro-cc-complete-a-video-editing-project/,Life Progression Project,184.99,11.99,4.7(189 ratings),Design,Other,Adobe Premiere,"4,812",English,We supply the footage and audio! Learn how to edit an engaging video using Adobe Premiere Pro CC from start to finish,10/2019,12/30/19
"Adobe Premiere Pro CC: Greenscreen, Captions, Proxies & More",www.udemy.com/course/premiereprotips/,Life Progression Project,94.99,11.99,4.5(202 ratings),Design,Design Tools,Adobe Premiere,"12,040",English,"Adobe Premiere Pro CC 2017 video editing: greenscreen, proxies, captions, remove audio hiss, Lumetri, tracking & more!",10/2019,12/30/19
