Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Become an Algebra Master,www.udemy.com/course/integralcalc-algebra/,Krista King,199.99,11.99,"4.7(4,225 ratings)",Teaching & Academics,Math,Algebra,"29,431",English,"Learn everything from Algebra 1 and Algebra 2, then test your knowledge with 1,300+ practice questions",12/2019,12/31/19
Learn Algebra The Easy Way!,www.udemy.com/course/algebracourse7245/,Julio Gonzalez,199.99,11.99,4.6(829 ratings),Teaching & Academics,Math,Algebra,"4,373",English,"Algebra Review - Slope, Graphing Linear Equations, Exponents, Factoring, Solving Quadratic Equations, & Radicals",1/2018,12/31/19
Abstract Algebra: Group Theory with the Math Sorcerer,www.udemy.com/course/abstract-algebra-group-theory-with-the-math-sorcerer/,The Math Sorcerer,19.99,11.99,4.6(24 ratings),Teaching & Academics,Math,Algebra,190,English,A beautiful course on the Theory of Groups:),7/2019,12/31/19
Discrete Math Series : Set Theory & Algebra masterclass,www.udemy.com/course/discretemath/,Vignesh Sekar,149.99,11.99,4.7(53 ratings),Teaching & Academics,Math,Algebra,554,English,Learn Discrete Mathematics from scratch as Discrete Mathematics form the core of Computer Science,11/2019,12/31/19
Foundation Mathematics (A-Level),www.udemy.com/course/foundation-mathematics-a-level/,JAGuar93228 Gill,124.99,11.99,4.9(4 ratings),Teaching & Academics,Math,Algebra,79,English,Learn Mathematics skills from A-level which can be transferred to degree level Mathematics including homework questions.,9/2018,12/31/19
Algebra 1 Explained,www.udemy.com/course/algebra-1-explained/,"John Greene, M.A.",49.99,11.99,4.5(19 ratings),Teaching & Academics,Math,Algebra,147,English,"Master Algebra 1 and prepare yourself for Geometry, Trigonometry, and Algebra 2. Ace your Algebra Exam!",11/2019,12/31/19
Algebra I (Beginning Algebra),www.udemy.com/course/algebra-i-beginning-algebra/,Math Fortress,19.99,11.99,4.3(161 ratings),Teaching & Academics,Math,Algebra,"3,807",English,Videos on a first course in Algebra (Beginning Algebra).,9/2013,12/31/19
College Algebra with the Math Sorcerer,www.udemy.com/course/college-algebra-with-the-math-sorcerer/,The Math Sorcerer,19.99,11.99,4.8(15 ratings),Teaching & Academics,Math,Algebra,107,English,College Algebra Course with HUNDREDS of Video Examples:),8/2019,12/31/19
The Ultimate Guide To Understanding Algebra,www.udemy.com/course/theultimateguidetounderstandingalgebra/,John Swokowski,99.99,11.99,4.7(125 ratings),Teaching & Academics,Math,Algebra,"2,241",English,Master The Fundamentals of Algebra and be ready to pass any test!,12/2019,12/31/19
Algebra 2 Explained,www.udemy.com/course/algebra-2-explained/,"John Greene, M.A.",59.99,11.99,4.6(19 ratings),Teaching & Academics,Math,Algebra,"2,104",English,"Master Algebra 2 and prepare yourself for Trigonometry, Pre-Calculus, and Calculus. Ace your Algebra Exam!",11/2019,12/31/19
