Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
JavaScript Algorithms and Data Structures Masterclass,www.udemy.com/course/js-algorithms-and-data-structures-masterclass/,Colt Steele,149.99,14.39,"4.7(5,821 ratings)",Development,Programming Languages,Algorithms,"35,230",English,The Missing Computer Science and Coding Interview Bootcamp,11/2018,12/28/19
The Coding Interview Bootcamp: Algorithms + Data Structures,www.udemy.com/course/coding-interview-bootcamp-algorithms-and-data-structure/,Stephen Grider,89.99,11.39,"4.7(8,231 ratings)",Development,Web Development,Data Structures,"48,296",English,Ace your next Javascript coding interview by mastering data structures and algorithms.,12/2019,12/28/19
Mastering Data Structures & Algorithms using C and C++,www.udemy.com/course/datastructurescncpp/,Abdul Bari,174.99,13.19,"4.6(4,004 ratings)",Teaching & Academics,Engineering,Data Structures,"14,441",English,"Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.",7/2019,12/28/19
"Python for Data Structures, Algorithms, and Interviews!",www.udemy.com/course/python-for-data-structures-algorithms-and-interviews/,Jose Portilla,194.99,11.99,"4.4(6,099 ratings)",Development,Programming Languages,Python,"40,355",English,Get a kick start on your career and ace your coding interviews!,9/2019,12/28/19
Algorithms and Data Structures in Python,www.udemy.com/course/algorithms-and-data-structures-in-python/,Holczer Balazs,199.99,11.99,"4.2(1,795 ratings)",IT & Software,Other,Data Structures,"10,557",English,"A guide to implement the most up to date algorithms from scratch: arrays, linked lists, graph algorithms and sorting",11/2019,12/28/19
Data Structures and Algorithms - The Complete Masterclass,www.udemy.com/course/data-structures-and-algorithms-the-complete-guide/,Vinoth Parthasarathy,149.99,11.39,4.7(838 ratings),Development,Programming Languages,Data Structures,"2,690",English,Crack the code interview by getting mastery in data structures & algorithms & Become a data structures & algorithms Ace,7/2019,12/28/19
Algorithms and Data Structures in C#: Complete Tutorial,www.udemy.com/course/algorithms-data-structures-csharp/,Engineer Spock,124.99,11.39,4.3(156 ratings),Development,Software Engineering,C#,"1,667",English,Learn data structures and algorithms in C# from A to Z. Pass coding interview. Learn unit testing and TDD in addition.,8/2019,12/28/19
Data Structure and  Algorithms Analysis - Job Interview,www.udemy.com/course/data-structure-and-algorithms-analysis/,Hussein Al Rubaye,199.99,11.39,"4.0(2,128 ratings)",Development,Programming Languages,Interviewing Skills,"34,505",English,"Write code that run faster, use less memory and prepare for Software Engineer Job Interview",12/2019,12/28/19
Learning Algorithms in JavaScript from Scratch,www.udemy.com/course/learning-algorithms-in-javascript-from-scratch/,Eric Traub,174.99,11.39,"4.5(1,468 ratings)",Development,Software Engineering,JavaScript,"18,762",English,Make your code & programs faster and more efficient by using algorithms. Be very well prepared for technical interviews.,5/2019,12/28/19
Introduction to Genetic Algorithms: Theory and Applications,www.udemy.com/course/geneticalgorithm/,Dr. Seyedali Mirjalili,199.99,11.39,4.6(322 ratings),IT & Software,Other,Algorithms,"1,716",English,Learn the main mechanisms of Genetic Algorithm as a heursitic Artificial Intalligence search or optimization in Matlab,10/2018,12/28/19
