Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"CBT for Depression, Anxiety, Phobias and Panic Attacks",www.udemy.com/course/cbt-for-depression-anxiety-phobias-and-panic-attacks/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.99,"4.1(2,283 ratings)",Health & Fitness,Mental Health,CBT,"16,654",English,"Cognitive Behavioural Therapy for Depression, Anxiety, Phobias and Panic Attacks",9/2017,01/02/20
"Emotional Intelligence: Master Anxiety, Fear, & Emotions",www.udemy.com/course/master-your-emotions-uncertainty-stress-anxiety-and-fear/,Joeel & Natalie Rivera,134.99,11.99,4.2(962 ratings),Personal Development,Stress Management,Emotional Intelligence,"5,850",English,"Emotional Intelligence: Techniques for Recognizing, Overcoming, & Coping with Negative Emotions like Anxiety & Fear",12/2019,01/02/20
The Complete Stress & Anxiety Breakthrough Programme,www.udemy.com/course/the-complete-stress-management-masterclass/,Kain Ramsay,199.99,11.99,4.4(357 ratings),Personal Development,Stress Management,Anxiety Management,"4,476",English,"A comprehensive stress management programme for lowering stress, managing PTSD and rapidly reducing anxiety",11/2017,01/02/20
Mindfulness for Anxiety and Sleep - with Tara Brach,www.udemy.com/course/heal-anxiety-sleep-easily-tara-brach/,"Tara Brach, Ph.D.",49.99,11.99,4.5(434 ratings),Personal Development,Personal Transformation,Fear,"2,526",English,Learn Practices that Help Reduce Stress and Calm Fears,5/2019,01/02/20
Anxiety Boot Camp: A Guide to Beating Anxiety and Stress,www.udemy.com/course/how_to_overcome_anxiety/,Kain Ramsay,114.99,11.99,4.4(258 ratings),Personal Development,Self Esteem,Anxiety Management,"3,531",English,"Discover How to Remove Your Head Trash, Overcome Anxiety and Harness the Tools That Cultivate Inner Peace",7/2017,01/02/20
"EFT Tapping for Anxiety, Stress & Worry: Complete EFT Course",www.udemy.com/course/eft-tapping-natural-self-healing-for-anxiety-stress-worry/,"Arianna Opper, DO, Integrative Wellness Coach",199.99,11.99,4.6(388 ratings),Personal Development,Stress Management,Anxiety Management,"9,023",English,MOVE THROUGH Stress & Anxiety Naturally with EFT Tapping | Dr. Arianna from the American Academy of Mind-Body HealingÂ®,7/2019,01/02/20
Mindfulness for Anxiety: The Ultimate Anxiety Program!,www.udemy.com/course/mindfulness-for-anxiety-the-ultimate-anxiety-program/,Ryan Hassan,74.99,11.99,4.9(29 ratings),Health & Fitness,Mental Health,Mindfulness,231,English,"Creating awareness around the root causes, healing from within, then arming you with a tool belt for the future",11/2017,01/02/20
"How I Overcame Social Anxiety, Grew Confidence & Self-Esteem",www.udemy.com/course/build-rock-solid-confidence-self-esteem-become-your-best/,Tobias Atkins,19.99,11.99,4.1(375 ratings),Personal Development,Self Esteem,Anxiety Management,"8,693",English,Overcome social anxiety. Stop seeking approval & become more confident. Overcome your mental blocks and self sabotaging.,11/2017,01/02/20
Anxiety and Stress,www.udemy.com/course/anxiety-and-stress/,Chris Croft,99.99,11.99,4.5(197 ratings),Personal Development,Happiness,Anxiety Management,"1,029",English,Master Anxiety and Stress - a practical approach to achieving joy & control,6/2019,01/02/20
Overcome Anxiety and Panic Attacks,www.udemy.com/course/overcome-anxiety/,Matt Lewis,149.99,11.99,4.6(85 ratings),Personal Development,Personal Transformation,Anxiety Management,"1,141",English,A Self Help Workbook Course for Anxiety Relief and Panic Attacks,3/2017,01/02/20
The Ultimate Anxiety Elimination & Control Training Program®,www.udemy.com/course/the-ultimate-anxiety-elimination-control-training-program/,The Best-Selling Author | Noah Merriby ​,199.99,11.99,4.5(19 ratings),Health & Fitness,Mental Health,Anxiety Management,"1,312",English,Conquer Your Anxiety Through Emotional Intelligence. Learn The Ultimate Mental Health And Anxiety Formulas For Anxiety.,7/2019,01/02/20
Natural Therapies for Depression and Anxiety,www.udemy.com/course/natural-therapies-for-depression-and-anxiety/,Ross Pelton,49.99,11.99,4.7(53 ratings),Health & Fitness,Mental Health,Depression Relief,428,English,An in depth look at the causes of depression and anxiety as well as natural therapies for each.,6/2015,01/02/20
"Breathing Retraining: Asthma Anxiety Snoring Apnea, Buteyko",www.udemy.com/course/breathing-retraining/,Tracey  Anderson Askew,0.0,194.99,4.3(20 ratings),Health & Fitness,General Health,Breathing Techniques,115,English,"Tracey Anderson Askew (BEd.) &Tess Graham (BSc, GradDipPhysio). Breathing Educators trained in Buteyko Breathing Method.",8/2015,01/02/20
Overcoming Shyness and Social Anxiety,www.udemy.com/course/overcoming-shyness-and-social-anxiety/,Randy Hyde PhD,199.99,11.99,3.9(89 ratings),Personal Development,Personal Transformation, Anxiety Management,"1,028",English,Loneliness is epidemic: Learn how to break out of feeling invisible and gain social confidence.,10/2017,01/02/20
Anxiety Breakthrough - help yourself without medication,www.udemy.com/course/how-to-completely-cure-anxiety-forever-without-medication/,Graham Nicholls,194.99,11.99,4.7(58 ratings),Health & Fitness,Mental Health,Anxiety Management,552,English,Anxiety breakthrough - help yourself to start to feeling normal again and enjoy life all without medication,4/2019,01/02/20
The Anxiety Rebalance Course From the #1 Bestseller & Coach,www.udemy.com/course/anxiety-rebalance-course/,Carl Vernon,34.99,11.99,4.3(44 ratings),Health & Fitness,Mental Health,Anxiety Management,193,English,Discover the steps you need to take to instantly reduce your anxiety and transform the way you feel,7/2019,01/02/20
Eliminate Anxiety & Reclaim Your Happiness,www.udemy.com/course/eliminate-anxiety-reclaim-your-happiness/,Ram Verma,59.99,11.39,4.8(15 ratings),Personal Development,Stress Management,Anxiety Management,138,English,"Explore, Address and Erase the Deep Subconscious Imprints of Anxiety & Stress and Reclaim Your Happiness.",5/2018,01/02/20
How to Quickly Overcome Depression and Anxiety Starting Now!,www.udemy.com/course/anxiety-and-depression-interrupted/,"Audrey Sherman, Ph.D.",149.99,11.39,4.5(9 ratings),Health & Fitness,Mental Health,Depression Relief,62,English,How to Quickly Overcome Depression and Anxiety Starting Now,8/2017,01/02/20
Conquer Anxiety,www.udemy.com/course/conquer-anxiety/,Warren Broad,24.99,11.39,4.7(62 ratings),Health & Fitness,Mental Health,Anxiety Management,439,English,Your path to understanding your mind and overcoming the restrictions of anxiety and depression.,8/2017,01/02/20
Overcome Anxiety - Rewire your brain,www.udemy.com/course/overcome-anxiety-rewire-your-brain/,Deborah Bispham,69.99,11.39,4.8(7 ratings),Personal Development,Personal Transformation,Hypnosis,33,English,"Easy to learn techniques so you can break free from anxiety, take back control and live the life you really want.",1/2019,01/02/20
