Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Therapeutic Art Life Coach Certification  (Accredited),www.udemy.com/course/art-therapy-life-coach-certification/,Joeel & Natalie Rivera,199.99,19.79,"4.1(5,903 ratings)",Health & Fitness,Mental Health,Art Therapy,"24,815",English,"Therapeutic Art: Help Clients Heal, Reduce Stress & Manifest Dreams with Mandalas, Affirmations, Vision Boards & More",12/2019,01/02/20
Arts Therapy - Arts Therapy For Self Healing (Part One),www.udemy.com/course/art-therapy-for-everyone/,Libby Seery - Founder of Renaissance Life Therapies,199.99,15.59,"4.3(6,205 ratings)",Personal Development,Creativity,Art Therapy,"35,465",English,Art Therapy : Therapeutic Art and The Healing Process of Therapeutic Art For Self Expression and Self Healing,1/2018,01/02/20
"Therapeutic Art for Healing, Happiness & Stress Reduction",www.udemy.com/course/art-therapy-for-healing-happiness-stress-reduction/,Joeel & Natalie Rivera,199.99,11.99,4.1(511 ratings),Health & Fitness,Mental Health,Art Therapy,"4,519",English,"Art Therapy: Use Mandalas, Affirmations Art, Vision Boards & More to Heal, Reduce Stress & Manifest Your Dreams",12/2019,01/02/20
Arts Therapy : Arts Therapy For Self-Exploration (Part 2),www.udemy.com/course/art-and-colouring-for-adults/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.39,4.2(878 ratings),Personal Development,Creativity,Art Therapy,"11,694",English,Arts Therapy: Understanding Art Therapy / Therapeutic Art and The Healing Process of Therapeutic Art (Part 2),2/2018,01/02/20
Arts Therapy : How To Use Arts Therapy With Other People,www.udemy.com/course/how-to-use-arts-therapy-arts-therapy-working-with-others/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.99,4.1(499 ratings),Personal Development,Creativity,Art Therapy,"4,190",English,How To Use Arts Therapy With Others: Understanding Art Therapy Through Therapeutic Arts and The Creative Process,9/2017,01/02/20
30 Relaxing Art Therapy Exercises For Mental Well-Being,www.udemy.com/course/16-art-therapy-exercises-drawing-painting-crafts-coloring-creativity/,Tatiana Ambrose Creative Artist,199.99,11.39,4.2(180 ratings),Personal Development,Creativity,Art Therapy,"4,957",English,"30 art therapy exercises to mentally heal & unwind. Express emotions through art therapy with drawing, crafts & painting",11/2019,01/02/20
"Arts Therapy : For Greater Understanding of The ""Self""",www.udemy.com/course/arts-therapy-for-greater-understanding-of-the-self/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.39,4.2(266 ratings),Personal Development,Creativity,Art Therapy,"2,841",English,"Arts Therapy : Understanding Art Therapy - Expressing & Developing The ""Self"" Through Arts Therapy and Therapeutic Art",2/2018,01/02/20
Massage Therapy,www.udemy.com/course/massage-therapy-l/,Academy of Film Fashion and Design,19.99,11.39,4.4(96 ratings),Health & Fitness,General Health,Art Therapy,521,English,Massage Therapy Course 101,10/2019,01/02/20
SEVEN (7) COURSES :Art therapy leading to self-healing + DBT,www.udemy.com/course/art-therapy-painting-and-depression/,Chris Bankes Sivewright,149.99,12.59,4.2(57 ratings),Personal Development,Creativity,Art Therapy,"2,170",English,"55+ exercises in Art Therapy, DBT Distress Tolerance, self-analysis - leading to self-healing...",12/2019,01/02/20
ArtWorks! Art Therapy Guide For Personal Development,www.udemy.com/course/art-therapy/,LYFE Academy,54.99,11.99,4.0(205 ratings),Personal Development,Personal Transformation,Art Therapy,"1,098",English,"Harness Your Inner Creativity, Increase Self Improvement, Reduce Anxiety and Enhance Relationships",2/2019,01/02/20
Intuitive Graphic Drawing and Art Meditation. Map of wishes.,www.udemy.com/course/intuitive-graphic-drawing-and-art-meditation-map-of-wishes/,Galina Stark,24.99,11.39,3.9(13 ratings),Personal Development,Personal Transformation,Art Therapy,111,English,The new method of Neuro Art Meditation and Self Art Therapy to increase neuroplasticity of the brain to reach your goals,8/2019,01/02/20
Art Therapy for Kids - Building Confidence & Self Expression,www.udemy.com/course/art-therapy-for-kids-building-confidence-self-esteem/,Liz Edwards,19.99,11.99,3.9(53 ratings),Personal Development,Creativity,Art Therapy,264,"English
 ",Art Therapy Techniques for Children,8/2018,01/02/20
Personal Development and Self Healing through Art / Beginner,www.udemy.com/course/personal-development-and-self-healing-through-art-beginner/,"Anike Kehinde Art Therapist BA, Creative Coach and Artist",199.99,11.39,4.6(9 ratings),Personal Development,Personal Transformation,Art Therapy,290,English,Drawing for your soul: Drawing and Painting your way to personal development and self healing through art therapy,11/2019,01/02/20
Arts Therapy: A Student's Perspective on Art Therapy,www.udemy.com/course/art-therapy-course/,Libby Seery - Founder of Renaissance Life Therapies,199.99,11.39,4.5(107 ratings),Personal Development,Creativity,Art Therapy,648,English,"Art Therapy : A Student's Perspective on ""Arts Therapy For Self Healing (Part One)""",2/2018,01/02/20
Therapeutic Art + Oxford Diploma,www.udemy.com/course/therapeutic-art/,Chris Bankes Sivewright,149.99,11.39,4.7(3 ratings),Health & Fitness,Mental Health,Art Therapy,"1,618",English,"Art as therapy - uplifting, inspiring and life-changing.",12/2019,01/02/20
Create a Healing Spirit Art Doll,www.udemy.com/course/create-a-healing-spirit-art-doll/,jeanie mossa,144.99,14.99,4.8(50 ratings),Personal Development,Creativity,Art Therapy,194,English,"Learn to create a Healing Spirit Doll using branches, sticks, recycled trinkets and eco-friendly paper clay.",12/2017,01/02/20
Art Therapy For Depression & Anxiety ™,www.udemy.com/course/rewire-your-brain-through-neuroplasticity/,Mayez El Merhbi,199.99,11.39,4.0(28 ratings),Personal Development,Stress Management,Art Therapy,803,English,Art Therapy | Depression & Anxiety Therapy Through Scientific & Psychological Neuroplasticity.,3/2019,01/02/20
Your Craft Business: Step By Step Guide To Make Money Online,www.udemy.com/course/automate-your-art-craft-business-and-make-money-on-autopilot/,Lana King,199.99,11.39,3.8(8 ratings),Lifestyle,Arts & Crafts,Art Therapy,"1,145",English,Start Your Craft Online Business And Monetize Your Expertize,7/2019,01/02/20
An Introductory Guide to Art Therapy,www.udemy.com/course/an-introductory-guide-to-art-therapy/,Syeda Rahman,49.99,12.5,3.8(14 ratings),Health & Fitness,Mental Health,Art Therapy,61,English,How to integrate art therapy methods and techniques into a holistic approach to therapeutic interventions,12/2018,01/02/20
What is art therapy?,www.udemy.com/course/what-is-art-therapy/,Beth Ann Short,0.0,19.99,4.0(12 ratings),Personal Development,Creativity,Art Therapy,45,English,"An overview of the field of art therapy, education and ethical practice.",5/2017,01/02/20
Magic in Therapy: Mind Control and Protection,www.udemy.com/course/magic-in-therapy-mind-control-and-protection/,Eugene Subbotsky,44.99,11.39,3.9(3 ratings),Personal Development,Influence,Art Therapy,41,English,The art of magical manipulation and protection from magical mind control,9/2015,01/02/20
"Paint with your intuition, sketch and COLOR yourself HAPPY.",www.udemy.com/course/paint-with-your-intuition-feel-the-healing-creative-flow/,Nicola A Blakemore,19.99,11.39,4.1(28 ratings),Lifestyle,Arts & Crafts,Art Therapy,748,English,"Let you inner child come out to play and help stay in the moment & have fun with paints, marks & images. Let it happen.",8/2019,01/02/20
Art Therapy (based on Vedic Sciences),www.udemy.com/course/art-therapy-based-on-vedic-sciences/,Elena Zelenina,99.99,11.39,3.6(32 ratings),Health & Fitness,Mental Health,Art Therapy,333,English,ART COMPLETES YOU,12/2017,01/02/20
Rock Painting and Beyond - Decorative Stone Art,www.udemy.com/course/rock-painting-and-beyond-decorative-stone-art/,Rick Cheadle,24.99,11.39,4.1(5 ratings),Lifestyle,"Arts & Crafts
 ",Art Therapy,54,English,5 Steps to Being an Art Rock Star,7/2018,01/02/20
Tree of Success. Art Meditation. Energy psychology.,www.udemy.com/course/tree-of-success-art-meditation-energy-psychology/,Galina Stark,19.99,11.39,3.0(1 rating),Personal Development,Personal Transformation,Art Therapy,16,English,The new method of Neuro Art Meditation and Self Art Therapy to increase neuroplasticity of the brain to reach your goals,7/2019,01/02/20
Make with THE Mind (Guided Meditation and Therapeutic Art) ,www.udemy.com/course/make-with-the-mind-guided-meditation-and-therapeutic-art/,Kate Havord,44.99,11.39,3.5(7 ratings),Personal Development,Personal Transformation,Meditation,89,English,"Work with the Unconscious using Creative visualisation, Chakra clearing and Art making to heal and transform your life",9/2014,01/02/20
Painting Dot Mandalas Tutorial (Course).,www.udemy.com/course/how-to-paint-dot-mandalas-tutorial-by-svetlana-aurora/,Svetlana Aurora,54.99,11.39,5.0(1 rating),Personal Development,Creativity,Art Therapy,14,English,This course will make you to start drawing your mandala. Get inspired and find your creative side with your inner being!,4/2019,01/02/20
Suminagashi Basic,www.udemy.com/course/suminagashi-basic/,Ira Kadir,19.99,11.39,4.5(11 ratings),Design,Other,Art Therapy,339,English,Learn how to create a beautiful Suminagashi effect on paper,11/2017,01/02/20
