Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"The Complete EDM Production Course - Produce, Mix & Master",www.udemy.com/course/edm-production/,Fuad Murad,199.99,11.99,4.5(976 ratings),Music,Production,Audio Production,"5,387",English,"Learn EDM Production, mixing, mastering, sound design, arrangement, plugins, techniques & more using any software or DAW",12/2019,12/28/19
Adobe Audition CC Audio Production Course Basics to Expert,www.udemy.com/course/adobe-audition-cc-audio-production-course-basics-to-expert/,Mike Russell,199.99,11.39,4.2(553 ratings),Design,Design Tools,Adobe Audition,"8,655",English,"Learn Adobe Audition audio editing tips, tricks and audio production secrets with Mike Russell in a complete A-Z course.",11/2018,12/28/19
How to Master Audible Work From Home,www.udemy.com/course/how-to-master-audible-work-from-home/,Bailey Varness,194.99,11.39,4.6(234 ratings),Business,Home Business,Audio Production,930,English,Becoming an Audiobook Narrator and Producer,10/2018,12/28/19
Music Production II - Music Production Workflow - COMPLETE!!,www.udemy.com/course/music-production-ii-recording-complete-course/,Mitch Houston,194.99,11.39,4.6(208 ratings),Music,Music Software,Audio Production,"3,573",English,"Learn to create a Music Production Workflow, and produce professional quality music within any Music Production DAW!",9/2019,12/28/19
Sound Design 101: Using Sampling for Music Production,www.udemy.com/course/sound-design-fundamentals-sampling/,Jason Allen,39.99,11.39,4.3(168 ratings),Music,Production,Audio Production,"3,075",English,"Using Ableton Live and Reason, we will learn how to craft sounds using any synthesizer to make amazing beats and tracks.",10/2019,12/28/19
SOUND for Film and Television,www.udemy.com/course/sound-for-film-and-television/,Wrightsville Beach Studios,49.99,12.50,4.7(263 ratings),Photography,Video Design,Audio Production,"1,195",English,"A 2-1/2-hour, entertaining, funny, and immersive romp into what you need to know to start getting great sound.",4/2015,12/28/19
Complete Audio Production Course: Record & Mix Better Audio,www.udemy.com/course/audio-production-course/,Video School Online Inc,199.99,11.99,4.5(96 ratings),Music,Production,Audio Engineering,930,English,"Learn how to record, mix & edit professional audio for video production, podcasting, music, course creation, YouTube+",10/2019,12/28/19
Avid Pro Tools: Audio Recording For Beginners In Pro Tools,www.udemy.com/course/learn-protools-audio-recording/,Life Progression Project,134.99,11.99,4.5(228 ratings),Music,Music Software,Audio Production,"3,484",English,"Learn the basics of Audio Recording & Music Production With Avids Pro Tools 12 Software. Mixing, Mastering, Midi & more",10/2019,12/28/19
Making Beats! 3 Producers Share Their Best Tips & Strategies,www.udemy.com/course/making-beats/,Jason Allen,34.99,11.39,4.8(87 ratings),Music,Production,Audio Production,"1,034",English,Using Ableton Live to make unique and stylistic beats in any genre or style,10/2019,12/28/19
Davinci Resolve 15: FAIRLIGHT Sound post-production,www.udemy.com/course/fairlight/,Film Pro,54.99,11.39,4.1(69 ratings),Photography,Video Design,Audio Production,416,English,"Do more with Davinci Resolve 15, now you can add Pro Sound post production in Hollywood's best Color Correction Software",9/2018,12/28/19
Post-Production of Voice Recordings - Adobe Audition,www.udemy.com/course/voice-recording-adobe-audition/,Film Pro,49.99,11.39,4.6(17 ratings),Music,Vocal,Audio Production,101,English,Proven approach from the Film Industry to take your sound recording from bad to good and from good to great,6/2018,12/28/19
Music Production 101 : Easy Mixing with Cubase for beginners,www.udemy.com/course/music-production-101-easy-mixing-with-cubase-for-beginners/,LearningWhilePracticing LWP,99.99,11.39,4.2(12 ratings),Music,Production,Audio Engineering,60,English,Learn how to easily mix your music and get professional results quickly!,7/2019,12/28/19
Record Vocals Like A Pro,www.udemy.com/course/how-to-produce-vocals-like-a-pro/,Jay Picasso,89.99,22.50,4.4(61 ratings),Music,Production,Audio Production,242,English,"The Complete Practical Guide to Vocal Production for Beginner - Advanced Producers, Engineers, Vocalists & Musicians",5/2017,12/28/19
"Audio Production for Screencasts, Voice Over & Audiobooks",www.udemy.com/course/professional-audio-recording-processing-for-course-creation/,René Steiner,194.99,11.39,4.7(31 ratings),Development, Web Development,Audio Production,"1,105",English,"Learn to Record Professional Audio for Voice Overs, Audiobook or Screen Recording in 14 Days Without Braking the Bank",5/2018,12/28/19
Logic Pro X: Learn Creating Pryda EDM Style in Logic Pro X,www.udemy.com/course/audio-production-learn-creating-pryda-style-in-logic-pro-x/,Martin Svensson,19.99,11.39,4.7(15 ratings),Music,Production,Audio Production,"2,104",English,Learn Creating Electronic Music EDM In Logic Pro X From Scratch - Including Sample Packs & Logic Pro X Project File,12/2019,12/28/19
Introduction to Podcast Technology,www.udemy.com/course/introduction-to-podcast-technology/,David Power,49.99,11.39,4.5(27 ratings),Business,Media,Audio Production,284,English,"Discover the Essential Tools and Techniques You Need to Record, Produce, and Launch Your Podcast",3/2017,12/28/19
Record Audio Like a Pro: Foundations of Audio Recording,www.udemy.com/course/record-audio-like-a-pro-foundations-of-audio-recording/,Dave B.,19.99,11.39,4.3(20 ratings),Music,Production,Audio Production,849,English,"Learn proper audio recording and production for your own music, podcast or other audio recordings.",10/2015,12/28/19
FL Studio Hardstyle Production How to make a Hardstyle Kick,www.udemy.com/course/how-to-make-a-hardstyle-kick/,Kim Marcel Friedrich,29.99,11.39,4.4(8 ratings),Music,Production,Audio Production,47,English,Hardstyle Tutorial - How to make a Raw Hardstyle Kick,7/2018,12/28/19
