Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Business Intelligence Analyst Course 2019,www.udemy.com/course/the-business-intelligence-analyst-course-2018/,365 Careers,199.99,11.99,"4.5(9,871 ratings)",Business,Data & Analytics,Business Analysis,"58,432",English,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau â Everything is included",12/2019,12/29/19
Business Analysis Fundamentals,www.udemy.com/course/business-analysis-ba/,The BA Guide | Jeremy Aschenbrenner,199.99,11.99,"4.5(14,500 ratings)",Business,Data & Analytics,Business Analysis,"55,340",English,"Set yourself up for success, learn the key business analysis concepts to thrive in your Business Analyst career",10/2019,12/29/19
Business Analysis Modeling Skills & Techniques,www.udemy.com/course/visual-modeling-master-class/,The BA Guide | Jeremy Aschenbrenner,134.99,11.99,"4.5(2,585 ratings)",Business,Data & Analytics,Business Analysis,"18,419",English,"Learn to create Process Flowcharts, User Stories, Use Cases, SWOT, RACI Matrices, Org Charts, User Stories, and more!",10/2019,12/29/19
Identify & Define the Problem with Business Analysis,www.udemy.com/course/identify-the-problem/,The BA Guide | Jeremy Aschenbrenner,164.99,11.99,"4.5(1,407 ratings)",Business,Data & Analytics,Business Analysis,"7,841",English,"Use business analysis techniques to identify a business pain point, find its root cause, and sell the value of fixing it",10/2019,12/29/19
Conduct a Strategy Analysis using Business Analysis,www.udemy.com/course/business-analysis-conduct-a-strategy-analysis/,The BA Guide | Jeremy Aschenbrenner,164.99,11.99,4.5(584 ratings),Business,Data & Analytics,Business Strategy,"5,391",English,Learn business analysis tools and techniques to recommend solutions and strategies that produce business value,10/2019,12/29/19
Fundamentals of Business Analysis,www.udemy.com/course/businessanalysis/,Don Hussey,199.99,11.99,"4.4(4,126 ratings)",Business,Data & Analytics,Business Analysis,"21,753",English,Get the foundation in business analysis you need to solve your organization's biggest problems.,3/2018,12/29/19
BUSINESS ANALYST JOB TRAINING + PMI PBA PREP 35 Contact Hrs,www.udemy.com/course/attention-pmps-get-pmi-pba-certified/,iLearn-iEarn. Value-Delivered.,0.0,199.99,4.2(40 ratings),Business,Management,Business Analysis,136,English,PLUS 40 PDUs. BA Job Training. Global Demand for Trained BAs. Graduates' Pass Rate 95% WHY PAY 4X MORE!,12/2019,12/29/19
Azure DevOps Boards for Project Managers/Analyst/Developers,www.udemy.com/course/azure-devops-for-project-managers-analyst/,Patrick Videos,19.99,11.99,4.4(732 ratings),IT & Software,Other,DevOps,"2,345",English,Microsoft Project Management tool Azure DevOps Boards. TFS / VSTS is now Azure DevOps.,7/2019,12/29/19
Business Analysis Certification | BA Crash Course,www.udemy.com/course/business-analysis-certification/,Mauricio Rubio - Agile Guru & Founder of AgileKB | Ureducation,199.99,11.99,4.3(978 ratings),Business,Project Management,Business Analysis,"8,952",English,Business Analysis Certification: Business Analysis Crash Course to Become a Business Analyst & kick-start your BA Career,12/2019,12/29/19
Business Analyst: Project Management Techniques and Tools,www.udemy.com/course/project-management-for-business-analyst/,The BA Guide | Jeremy Aschenbrenner,109.99,11.99,"4.3(1,266 ratings)",Business,Data & Analytics,Business Analysis,"9,671",English,Learn project management techniques to increase your project success rate as a Business Analyst!,10/2019,12/29/19
