Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Complete C# Unity Developer 2D: Learn to Code Making Games,www.udemy.com/course/unitycourse/,Ben Tristem,194.99,11.39,"4.7(66,952 ratings)",Development,Game Development,Unity,"326,836",English,"Game development & design. Learn Unity 2018 in C#. Your first 7 2D Unity games for web, Mac & PC. Includes Tilemap",10/2019,12/29/19
Complete C# Unity Developer 3D: Learn to Code Making Games,www.udemy.com/course/unitycourse2/,Ben Tristem,194.99,11.39,"4.6(14,758 ratings)",Development,Game Development,3D Game Development,"89,130",English,"Game development & design. Learn C# using Unity Engine. Your first 3D Unity games for web, Mac & PC.",12/2019,12/29/19
C# Basics for Beginners: Learn C# Fundamentals by Coding,www.udemy.com/course/csharp-tutorial-for-beginners/,Mosh Hamedani,179.99,13.19,"4.5(29,529 ratings)",Development,Programming Languages,C#,"97,479",English,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",6/2018,12/29/19
"C# Intermediate: Classes, Interfaces and OOP",www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/,Mosh Hamedani,149.99,11.39,"4.5(15,792 ratings)",Development,Programming Languages,Object Oriented Programming,"73,548",English,"An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",10/2019,12/29/19
RPG Core Combat Creator: Learn Intermediate Unity C# Coding,www.udemy.com/course/unityrpg/,Ben Tristem,194.99,11.39,"4.7(5,707 ratings)",Development,Game Development,3D Game Development,"64,361",English,"Build a Role Playing Game (RPG) in Unity. Improve your C sharp, code architecture, game & level design. Full game scale.",12/2019,12/29/19
Complete C# Masterclass,www.udemy.com/course/complete-csharp-masterclass/,Denis Panjuta,199.99,11.39,"4.5(5,182 ratings)",Development,Programming Languages,C#,"23,019",English,"Learn C# Programming - WPF, Databases, Linq, Collections, Game Development with Unity. More than just the C# basics!",12/2019,12/29/19
C# Advanced Topics: Prepare for Technical Interviews,www.udemy.com/course/csharp-advanced/,Mosh Hamedani,149.99,11.39,"4.5(10,518 ratings)",Development,Programming Languages,C#,"63,180",English,"Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!",10/2019,12/29/19
Design Patterns in C# and .NET,www.udemy.com/course/design-patterns-csharp-dotnet/,Dmitri Nesteruk,99.99,11.39,"4.4(4,457 ratings)",Development,Programming Languages,Design Pattern,"27,550",English,Discover the modern implementation of design patterns with C# and .NET,12/2019,12/29/19
Xamarin Forms: Build Native Cross-platform Apps with C#,www.udemy.com/course/xamarin-forms-course/,Mosh Hamedani,189.99,11.39,"4.4(7,355 ratings)",Development,Mobile Apps,C#,"33,814",English,"Learn to build native mobile apps for Android, iOS and Windows using your existing C# skills",4/2018,12/29/19
The Unity C# Survival Guide,www.udemy.com/course/the-unity-c-survival-guide/,Jonathan Weinberger,194.99,11.39,4.5(739 ratings),Development,Programming Languages,C#,"5,102",English,Created in partnership with Unity Technologies: Master C# with Unity in this Complete Guide!,3/2019,12/29/19
The Complete C# and Object-Oriented Programming Course,www.udemy.com/course/the-complete-c-sharp-developer-course/,Ahmad Mohey,199.99,11.39,"4.3(1,174 ratings)",Development,Programming Languages,C#,"12,016",English,The one and only course you need to learn C# and object-oriented programming (C# From A To Z | Downloadable Source Code),11/2019,12/29/19
C# Developers: Learn the Art of Writing Clean Code,www.udemy.com/course/clean-code/,Mosh Hamedani,99.99,11.39,"4.4(2,417 ratings)",Development,Programming Languages,C#,"15,917",English,Learn the techniques to write better C# code and stand out in technical interviews,10/2019,12/29/19
C# Developers: Double Your Coding Speed with Visual Studio ,www.udemy.com/course/visual-studio-tips-tricks/,Mosh Hamedani,69.99,11.39,"4.4(1,931 ratings)",Development,Programming Languages,C#,"14,537",English,Fast Coding Techniques that Every C# Developer Must Know,4/2018,12/29/19
Learn Parallel Programming with C# and .NET,www.udemy.com/course/parallel-dotnet/,Dmitri Nesteruk,49.99,11.39,"4.4(1,258 ratings)",Development,Software Engineering,Parallel Programming,"8,698",English,Discover the core multithreading and parallelization concepts supported by the .NET framework.,11/2019,12/29/19
Unity C# Scripting : Complete C# For Unity Game Development,www.udemy.com/course/unity-c-sharp-scripting/,Raja Biswas,199.99,11.39,4.6(603 ratings),Development,Game Development,3D Scripting,"3,227",English,"Learn C# Scripting for Unity Game Development from Absolute Basics, Create your own 3D & 2D Games With Unity using C#",12/2019,12/29/19
Programming in Microsoft C# - Exam 70-483,www.udemy.com/course/programming-in-microsoft-c-exam-70-483/,Infinite Skills,49.99,11.99,"4.3(2,072 ratings)",IT & Software,Other,C#,"7,145",English,Training For Your MCSD: Windows Store Apps Using C# Certification,1/2017,12/29/19
"ASP NET Core 3 (ASP.NET 5),MVC,C#,Angular & EF Crash Course",www.udemy.com/course/aspnet-core-aspnet-5mvc-6cweb-api-ef-crash-course/,Devwebtuts 24/7,19.99,11.39,"3.7(1,755 ratings)",Development,Programming Languages,ASP.NET MVC,"12,737",English,"Learn How To Build Cross Platform Web Apps in ASP.NET Core Utilizing MVC, C#, Web Api, Angular & Entity Framework Core",1/2019,12/29/19
Learn C# By Building Applications,www.udemy.com/course/learn-csharp-by-building-applications/,Avetis Ghukasyan,199.99,11.39,"4.6(1,725 ratings)",Development,Programming Languages,C#,"67,332",English,Learn C# 6 and C# 7 by understanding the core concepts and using them to build real world .NET console applications.,7/2017,12/29/19
The Complete C# Programming Course,www.udemy.com/course/the-complete-csharp-programming-course/,Codestars by Rob Percival,199.99,11.39,4.4(375 ratings),Development,Programming Languages,C#,"2,384",English,"Master C# and .NET Framework - learn with code challenges, exercises, and real-life examples!",12/2019,12/29/19
How to Program Voxel Worlds Like Minecraft with C# in Unity,www.udemy.com/course/unityminecraft/,Penny de Byl,19.99,11.39,"4.6(1,011 ratings)",Development,Game Development,Unity,"5,187",English,A comprehensive guide to blocky mesh building for procedurally-generated worlds like those found in Minecraft.,11/2019,12/29/19
