Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The CFA Level 1 Bootcamp: CFA 2020 (Part 1/2),www.udemy.com/course/the-cfa-level-1-bootcamp/,365 Careers,199.99,11.39,4.5(110 ratings),Business,Finance,CFA,"1,538",English,"CFA Level 1 Bootcamp: CFA Ethics, Quantiative Methods, Corporate Finance, Economics, and Alternative Investments",12/2019,12/29/19
CFA Level 1 (2020) - Complete Financial Reporting & Analysis,www.udemy.com/course/cfa-level-1-fra-complete-mastery-course/,"PrepNuggets | Keith Tan, CFA",139.99,13.79,"4.5(1,486 ratings)",Business,Finance,CFA,"10,409",English,Deep dive into FRA with the Bestselling CFA prep course provider | With visual learning aids and quizzes,12/2019,12/29/19
CFA Level 1 (2020) - Complete Quantitative Methods,www.udemy.com/course/cfa-level-1-complete-quantitative-methods/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.6(899 ratings),Business,Finance,CFA,"5,474",English,Deep dive into Quant with the Bestselling CFA prep course provider | With visual learning aids and quizzes,12/2019,12/29/19
CFA Level 1 (2020) - Complete Fixed Income,www.udemy.com/course/cfa-level-1-complete-fixed-income/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.6(330 ratings),Business,Finance,CFA,"3,587",English,Deep dive into Fixed Income with the Bestselling CFA prep course provider | With visual learning aids and quizzes,10/2019,12/29/19
CFA Level 1 (2020) - Complete Equity Investments,www.udemy.com/course/cfa-level-1-complete-equity-investments/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.7(220 ratings),Business,Finance,CFA,"2,600",English,Deep dive into Equity Investments with the Bestselling CFA prep course provider | With visual learning aids and quizzes,10/2019,12/29/19
CFA Level 1 (2020) - Complete Economics,www.udemy.com/course/cfa-level-1-complete-economics/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.6(80 ratings),Teaching & Academics,Test Prep,CFA,"1,221",English, Deep dive into Economics with the Bestselling CFA prep course provider | With visual learning aids and quizzes,11/2019,12/29/19
CFA Level 1 (2020) - Complete Derivatives,www.udemy.com/course/cfa-level-1-complete-derivatives/,"PrepNuggets | Keith Tan, CFA",49.99,11.39,4.5(372 ratings),Business,Finance,CFA,"3,648",English,Deep dive into Derivatives with the Bestselling CFA prep course provider | With visual learning aids and quizzes,10/2019,12/29/19
Financial Management A Complete Study for CA/CMA/CS/CFA/ACCA,www.udemy.com/course/financial-management-a-complete-study/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,11.39,4.3(700 ratings),Business,Finance,Financial Management,"7,123",English,500+ lectures & case studies for CA IPCC / CFA / CS Final / CMA Inter / MBA Finance / B. Com Final Exams & Professionals,12/2019,12/29/19
CFA Level 1 (2020) - Complete Alternative Investments,www.udemy.com/course/cfa-level-1-complete-alternative-investments/,"PrepNuggets | Keith Tan, CFA",39.99,11.39,4.5(164 ratings),Business,Finance,CFA,"2,078",English,Deep dive into Alternative Inv with the Bestselling CFA prep course provider | With visual learning aids and quizzes,10/2019,12/29/19
CFA Level 1 (2020) Ethical and Professional Standards,www.udemy.com/course/cfa-level-1-ethical-and-professional-standards/,Analyst Prep,149.99,11.39,4.2(70 ratings),Teaching & Academics,Test Prep,CFA,"1,950",English,"Ethics course covering the CFA level I curriculum|Plus 144 practice questions with answers|Prof. James Forjan, PhD, CFA",6/2019,12/29/19
Level 2- Quantitative Methods,www.udemy.com/course/cfa-level-2-quantitative-methods/,Monika Khetan,199.99,50.0,4.7(25 ratings),Business,Finance,CFA,144,English,"Level II of the CFAÂ® Program offered by CFA Institute, USA. This course covers the readings on Quantitative Methods.",7/2017,12/29/19
CFA Level 1 (2020) Financial Reporting and Analysis,www.udemy.com/course/cfa-level-1-financial-reporting-and-analysis/,Analyst Prep,149.99,11.39,4.6(57 ratings),Teaching & Academics,Test Prep,CFA,"2,546",English,"FRA course covering the CFA level I curriculum|Plus 144 practice questions with answers|Prof. James Forjan, PhD, CFA",12/2019,12/29/19
CFA Level 2 - Corporate Finance (2020),www.udemy.com/course/cfa-level-2-corporate-finance-2019/,ProfEd Academy,129.99,11.39,4.4(5 ratings),Business,Finance,CFA,64,English,Master the Corporate Finance syllabus for the CFA Level 2 exam in 2020!,10/2019,12/29/19
CFA Level 1 (2020) Economics + Practice Questions,www.udemy.com/course/cfa-level-1-economics-analystprep/,Analyst Prep,149.99,11.39,4.0(77 ratings),Teaching & Academics,Test Prep,CFA,"2,632",English,"Economics course for the CFA level I curriculum|Plus 95 practice questions with answers|Prof. James Forjan, PhD, CFA",12/2019,12/29/19
CFA Level 1 (2019) Portfolio Management + Practice Questions,www.udemy.com/course/cfa-level-1-portfolio-management-analystprep/,Analyst Prep,149.99,11.39,4.7(30 ratings),Teaching & Academics,Test Prep,CFA,"1,844",English,"Portfolio Management for the CFA L1 curriculum|Plus 56 practice questions with answers|Prof. James Forjan, PhD, CFA",7/2019,12/29/19
"CFA Level 1 (2019) Fixed Income, Derivatives & Alternatives",www.udemy.com/course/cfa-level-1-fixed-income-analystprep/,Analyst Prep,149.99,11.39,4.3(32 ratings),Teaching & Academics,Test Prep,CFA,"1,581",English,"Fixed Income, Derivatives & Alternatives|Plus 217 practice questions with answers|Prof. James Forjan, PhD, CFA",12/2019,12/29/19
CFA Corporate Finance Level 2,www.udemy.com/course/advanced-capital-budgeting-techniques/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,11.39,3.6(15 ratings),Business,Finance,CFA,"3,065",English,Learn CFA Corporate Finance Level 2 Syllabus with more illustrations and case studies,11/2019,12/29/19
CFA Level 1 (2020) Quantitative Methods + Practice Questions,www.udemy.com/course/cfa-level-1-quantitative-methods/,Analyst Prep,149.99,11.39,4.3(58 ratings),Teaching & Academics,Test Prep,CFA,"2,734",English,"QM course covering the CFA level I curriculum|Plus 84 practice questions with answers|Prof. James Forjan, PhD, CFA",12/2019,12/29/19
CFA Level 1 - Corporate Finance (2019),www.udemy.com/course/cfa-level-1-corporate-finance-2019/,ProfEd Academy,129.99,11.39,4.1(28 ratings),Business,Finance,CFA,"1,826",English,Master the Corporate Finance syllabus for the CFA Level 1 exam in 2019,10/2019,12/29/19
CFA Level 1 (2019) Corporate Finance + Practice Questions,www.udemy.com/course/cfa-level-1-corporate-finance-analystprep/,Analyst Prep,149.99,11.39,3.9(30 ratings),Teaching & Academics,Test Prep,CFA,"1,917",English,"Corporate Finance course for the CFA L1 curriculum|Plus 96 practice questions with answers|Prof. James Forjan, PhD, CFA",12/2019,12/29/19
CFA Level 1 (2019) Equity Investments + Practice Questions,www.udemy.com/course/cfa-level-1-equity-investments/,Analyst Prep,149.99,11.39,4.6(18 ratings),Teaching & Academics,Test Prep,CFA,"1,730",English,"Equity Investments for the CFA L1 curriculum|Plus 111 practice questions with answers|Prof. James Forjan, PhD, CFA",12/2019,12/29/19
CFA Corporate Finance Level 1 (Part 1),www.udemy.com/course/learn-cost-of-capital-of-business/,"Raja Natarajan, B.Com., PGDBA, FCA",64.99,11.39,4.2(38 ratings),Business,Finance,CFA,984,English,"Learn Capital Budgeting, Cost of Capital and Measures of Leverage in this part course meant for CFA",12/2019,12/29/19
"Fixed Income Valuation and Analysis, CFA L2",www.udemy.com/course/fixed-income-simplified-for-cfa-l2/,Tanuja Yadav,19.99,11.39,3.3(19 ratings),Business,Finance,CFA,136,English,"An easy guide to interest rate dynamics, bond valuation and credit analysis",4/2016,12/29/19
CFA Level 1 - Derivatives,www.udemy.com/course/cfa-exam/,Soleadea Co.,44.99,11.39,4.4(49 ratings),Business,Finance,CFA,436, English,"Learn everything about CFA level 1 Derivatives: options, swaps, forwards and futures. Videos and exam type questions.",7/2014,12/29/19
Fixed Income Portfolio Management for CFA Level 3 2016,www.udemy.com/course/fixed-income-portfolio-management-for-cfa-level-3/,Tanuja Yadav,19.99,11.39,3.5(8 ratings),Teaching & Academics,Test Prep,CFA,119,English,READING 20. FIXED-INCOME PORTFOLIO MANAGEMENTâPART I AND READING 21. RELATIVE-VALUE METHODOLOGIES,4/2016,12/29/19
