Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Character Art School: Complete Character Drawing Course,www.udemy.com/course/character-art-school-complete-character-drawing/,Scott Harris,194.99,19.19,"4.4(32,512 ratings)",Design,Other,Character Animation,"157,039",English,"Learn How to Draw People and Character Designs Professionally, Drawing for Animation, Comics, Cartoons, Games and More!",12/2019,01/01/20
Character Animation,www.udemy.com/course/2d-animation/,Siobhan Twomey,109.99,11.39,4.8(7 ratings),Design,3D & Animation,Animation,118,English,"Learn how to design characters for animation, how to animate character actions, and how to animate a complete scene",11/2019,01/01/20
Body Language in Character Animation,www.udemy.com/course/body-language-in-character-animation/,2D Animation 101 Courses,49.99,13.79,4.3(220 ratings),Design,3D & Animation,Character Animation,"3,687",English,Improve your character animation with irresistible body language,9/2018,01/01/20
Save Time in Character Animation for After Effects,www.udemy.com/course/2d-character-animation-puppet-in-after-effects/,2D Animation 101 Courses,49.99,11.39,4.4(280 ratings),Design,3D & Animation,Character Animation,"5,389",English,"Animation can be a fast process if you know the secret: Do Animation with rigged characters, with a few clicks and drags",9/2018,01/01/20
Learn Adobe Character Animator CC,www.udemy.com/course/learn-adobe-character-animator-cc/,David Miller,99.99,11.39,3.9(129 ratings),Design,3D & Animation,Character Animation,860,English,Motion Capture Animation Basics,11/2019,01/01/20
Character Animation with Blender for Beginners,www.udemy.com/course/character-animation-for-beginners/,Danan Thilakanathan,29.99,11.39,3.7(211 ratings),Design,3D & Animation,Blender,"2,628",English,The complete beginners guide to animating 3D characters,9/2016,01/01/20
Learn Character Animation for Games using Maya,www.udemy.com/course/3dmotive-learn-character-animation-for-games-using-maya/,3dmotive LLC,19.99,11.39,4.3(49 ratings),Design,Game Design,Maya,866,English,"Using Maya, learn to create a walk and run cycle, hit reaction animations, a simple traversal animation, and more!",9/2016,01/01/20
After Effects: Simple Character Animation & Motion Graphics,www.udemy.com/course/characteranimation/,George Grancharov,199.99,11.39,4.5(19 ratings),Design,3D & Animation,Character Animation,"1,001",English,Learn After Effects CC to Improve your videos and animations. Create Simple Walking Character. Improve your motion!,6/2018,01/01/20
Become a Professional Character Animator,www.udemy.com/course/become-a-professional-character-animator/,DJ Nicke,24.99,11.39,4.0(110 ratings),Design,3D & Animation,Character Animation,789,English,Animation training from a former Disney Animator - helping YOU reach your Dream Job as a character animator!,7/2015,01/01/20
Super Easy & Fun 3d Character Animation in 3ds max (Part-I),www.udemy.com/course/super-easy-fun-3d-character-animation-in-3dsmax-part-i/,A4Animation School,19.99,11.39,3.9(22 ratings),Design,3D & Animation,3ds Max,89,English,Build your very own 3d Character in 3ds max - Complete 3d Modeling Guide 3dsmax,9/2019,01/01/20
Maya & Unreal: 3D Character Animation Jump Flip Fundamentals,www.udemy.com/course/maya-unreal-3d-character-animation-jump-flip-fundamentals/,Class Creatives,199.99,11.39,5.0(2 ratings),Development,Game Development, Character Animation,25,English,"Complete Guide from Beginners to Pros Body Mechanics: Autodesk Maya, Unreal Engine, Unity, Game Development & Design",12/2019,01/01/20
"Learn Character Design, Rigging and Walk Cycle Animation",www.udemy.com/course/learn-character-design-rigging-and-walk-cycle-animation/,David Haimoff,189.99,11.39,4.7(13 ratings),Design,3D & Animation,Character Animation,744,English,Learn how to design your own characters in Adobe Illustrator and create a walk cycle animation in Adobe After Effects,4/2019,01/01/20
Adobe Character Animator Advanced Techniques,www.udemy.com/course/adobe-character-animator-advanced-techniques/,David Miller,34.99,11.39,3.8(8 ratings),Design,3D & Animation,Character Animation,219,English,The Next Phase In Motion Capture Live Animations,10/2018,01/01/20
2D Digital Animation with Flash Part-2 (Character Animation),www.udemy.com/course/learn-2d-digital-character-animation-using-adobe-flash/,Aroha Media Pvt Ltd.,49.99,11.39,4.5(21 ratings),Design,3D & Animation,Character Animation,469,English,This module will teach you how we can use flash tools and techniques for Conventional Character Animation.,3/2014,01/01/20
Character Animations - Auto Rig Pose to Pose Animations,www.udemy.com/course/character-animations-auto-rig-pose-to-pose-animations/,Edward Boateng,99.99,11.39,0.0(0 ratings),Design,3D & Animation,Character Animation,16,English,Learn the core fundamentals Houdini Auto Rig and animations in Houdini . This course will quickly get you started.,11/2019,01/01/20
Make Motion Comics,www.udemy.com/course/motioncomics/,David Miller,49.99,11.39,4.1(28 ratings),Design,3D & Animation,2D Animation,133,English,"Animate Your Comics + Illustrations In Adobe Photoshop, After Effects + Character Animator",4/2018,01/01/20
Motion Graphics with Duik Bassel 2019 in After Effects,www.udemy.com/course/duik-16-bassel-rigging-animation-beginner-to-advanced/,Reza Zare,19.99,11.39,2.9(64 ratings),Design,3D & Animation,Character Animation,"1,760",English,DuikBassel | Masterclass of Motion Graphics| Rigging&Animation|Walk Cycling|Beginner to Advanced| After Effects 2019,1/2019,01/01/20
How to animate a basic shot ?,www.udemy.com/course/how-to-animate-a-basic-shot/,Animator's Checklist,39.99,11.39,4.4(12 ratings),Design,3D & Animation,Character Animation,55,English,Learn from an animation supervisor how to animate a shot in the production of a feature film,1/2019,01/01/20
Simple and Advanced Topics of Animating 2D Characters,www.udemy.com/course/learn-how-to-make-animated-2d-characters-in-unity3d/,Sandor Kiss,199.99,11.39,4.5(52 ratings),Development,Game Development, Character Animation,"16,644",English,A comprehensive and easy to learn guide to make 2D bone-based characters from scratch.,2/2017,01/01/20
Working With the Adobe Character Animator,www.udemy.com/course/working-with-the-adobe-character-animator/,Bluefx .,99.99,11.39,0.0(0 ratings),Design,3D & Animation,Character Animation,3,English,"Learn how to create an animate custom characters, add lip-sync and more",5/2019,01/01/20
Character Animation Workflow for Games and Feature Film,www.udemy.com/course/appleskininc-character-animation-workflow/,Prantik M,49.99,11.39,3.8(16 ratings),Design,3D & Animation,Character Animation,165,English,Let's learn what the film makers have been doing all these years! Create your own action shot from scratch.,10/2014,01/01/20
Unity Character Rigging And Animations,www.udemy.com/course/unity-character-rigging-and-animations/,Edward Boateng,99.99,11.39,5.0(1 rating),Design,3D & Animation,Character Animation,4,English,Learn to Rig Game Engine Characters in Houdini,12/2019,01/01/20
Blender and Unity: How to create low poly animal that shoot,www.udemy.com/course/blender-and-unity-how-to-create-low-poly-animal-that-shoot/,Phu Tze Pang,24.99,11.39,4.1(10 ratings),Development,Game Development,Character Animation,94,English,"A Beginner guide on how to create low poly animal that shoot fire, lightning and water with animation",6/2017,01/01/20
Create Instant Facial Animations & 3D Heads,www.udemy.com/course/create-instant-3d-heads-facial-animations/,Reallusion Inc,0.0,Free,4.4(138 ratings),Design,3D & Animation,Character Animation,"10,415",English,"Quickly create professional-level, facial animations with no prior experience.",3/2016,01/01/20
After Effects: Animando Personagens do Zero ao Mercado,www.udemy.com/course/after_personagem/,Yogo Costa,104.99,11.39,4.5(631 ratings),Design,3D e animaÃ§Ã£o,AnimaÃ§Ã£o em 2D,2.419,PortuguÃªs,Aprenda do absoluto ZERO como criar animaÃ§Ãµes de personagens no After Effects. Do desenho do personagem Ã  animaÃ§Ã£o.,2/2019,01/01/20
Animação de Personagens no Toon Boom,www.udemy.com/course/cursodeanimacao/,Mold Studio,99.99,25.00,4.3(22 ratings),Design,Outro,AnimaÃ§Ã£o de personagens,79,PortuguÃªs,O curso feito para vocÃª se tornar um Profissional da AnimaÃ§Ã£o.,8/2019,01/01/20
