Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Character Art School: Complete Coloring and Painting Course,www.udemy.com/course/character-art-school-complete-coloring-and-painting/,Scott Harris,194.99,12.59,"4.6(2,925 ratings)",Design,Other,Character Design,"50,287",English,"The Best Way to Learn to Color and Paint Professional Characters for Animation, Games, Comics, Manga and More.",12/2019,12/30/19
The Ultimate Character Design School - Beginner to Advanced,www.udemy.com/course/the-ultimate-character-design-school-beginner-to-advanced/,Jaysen Batchelor,199.99,11.39,4.6(385 ratings),Design,Graphic Design,Character Design,"4,680",English,Learn the concept industries number on job skill,12/2019,12/30/19
Manga Art School: Anime and Manga Character Drawing Course,www.udemy.com/course/manga-art-school-anime-and-manga-style-character-drawing/,Scott Harris,199.99,12.59,"4.4(1,689 ratings)",Design,3D & Animation,Character Design,"13,781",English,Learn How to Draw Professional Japanese Manga and Anime Character Styles,12/2019,12/30/19
Character  Design for Beginners,www.udemy.com/course/character-concept-design-from-beginner-to-pro/,Rich Graysonn,174.99,11.99,4.4(395 ratings),Design,Graphic Design,Character Design,"5,762",English,"Design Characters for Games, Comics and illustration.",12/2019,12/30/19
The Ultimate 2D Game Character Design & Animation Course,www.udemy.com/course/the-ultimate-2d-game-character-design-animation-course/,Jaysen Batchelor,149.99,11.39,"4.5(1,309 ratings)",Design,3D & Animation,Character Design,"40,079",English,Learn how to design and animate a character in Photoshop that can stand up as professional work,11/2016,12/30/19
The Ultimate guide to drawing cartoon characters,www.udemy.com/course/the-ultimate-guide-to-drawing-cartoon-characters/,Maria Avramova,19.99,11.39,4.5(46 ratings),Design,Other,Cartoon Drawing,515,English,Use this simple technique and learn how to draw great cartoon characters in no time. Make your dream come true.,8/2019,12/30/19
Create Game Characters with Blender,www.udemy.com/course/create-game-characters-with-blender/,Darrin Lile,19.99,11.39,4.5(726 ratings),Design,Game Design,Blender,"5,780",English,"Use Blender to 3D model, texture, rig, and animate your own game character",8/2017,12/30/19
Ultimate Guide to Drawing Animated Characters,www.udemy.com/course/ultimate-guide-to-character-design-from-beginner-to-pro/,Austin Batchelor,129.99,11.39,4.4(490 ratings),Design,3D & Animation,Character Design,"17,892",English,Learn to draw characters like a pro.,11/2019,12/30/19
Comic Book Character Design: Superheroines,www.udemy.com/course/comic-book-character-creator-superheroines/,Clayton Barton,34.99,11.39,4.8(11 ratings),Design,Other,Character Design,182,English,"Learn The Complete Character Design Workflow for Drawing, Inking & Coloring Stunning Comic Book Women",7/2019,12/30/19
Character Design for Concept Art,www.udemy.com/course/character-design-for-animation/,Siobhan Twomey,99.99,11.39,4.8(11 ratings),Design,3D & Animation,Character Design,147,English,"how to draw characters, how to create concept art for animation or games",8/2019,12/30/19
