Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete Networking Fundamentals Course. Your CCNA start,www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,David Bombal,19.99,11.39,"4.5(15,470 ratings)",IT & Software,IT Certification,Cisco CCNA,"66,179",English,Learn about networking and start your journey to CCNA,12/2019,12/30/19
Cisco CCNA 200-125 and 200-301 – The Complete Guide,www.udemy.com/course/ccna-complete/,Neil Anderson,199.99,12.59,"4.7(12,450 ratings)",IT & Software,IT Certification,Cisco CCNA,"36,257", English,The top rated CCNA course online with all your questions answered. Full labs and 200-301 exam updates included.,12/2019,12/30/19
CCNA 2019 200-125 Video Boot Camp With Chris Bryant,www.udemy.com/course/ccna-on-demand-video-boot-camp/,Chris Bryant,19.99,11.39,"4.6(23,152 ratings)",IT & Software,IT Certification,Cisco CCNA,"99,010",English,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",8/2018,12/30/19
Cisco CCNA Packet Tracer Ultimate labs: CCNA Exam prep labs,www.udemy.com/course/cisco-ccna-packet-tracer-ultimate-labs-ccna-exam-prep-labs/,David Bombal,19.99,11.39,"4.7(3,341 ratings)",IT & Software,IT Certification,Packet Tracer,"21,302",English,Are you ready for the CCNA exam? You sure? Check your knowledge with our CCNA Exam Prep Labs. Make sure you know topics,11/2019,12/30/19
Cisco ICND2 200-105 - CCNA Bootcamp,www.udemy.com/course/cisco-icnd2/,Neil Anderson,99.99,11.39,4.8(809 ratings),IT & Software,IT Certification,Cisco CCNA,"3,837",English,"The most comprehensive ICND2 course online with complete tutorials, flashcards and hands-on labs",12/2019,12/30/19
Cisco CCNA / ICND2 (200-105) Complete Course: Sims and GNS3,www.udemy.com/course/cisco-ccna-icnd2-200-105-complete-course-sims-and-gns3/,David Bombal,19.99,11.39,"4.7(1,305 ratings)",IT & Software,IT Certification,Cisco CCNA,"13,682",English,The complete course to help you prepare and pass Cisco's newest CCNA certification / ICND2 (200-105 exam) in 2019.,11/2019,12/30/19
CCNA Security 2019 210-260 Video Boot Camp With Chris Bryant,www.udemy.com/course/ccnasecurityvideobootcamp/,Chris Bryant,19.99,11.39,"4.4(3,083 ratings)",IT & Software,IT Certification,Cisco CCNA,"28,397",English,Earn Your CCNA Security 210-260 Certification AND Prepare For Real-World Networking Success!,8/2018,12/30/19
Cisco CCNA 200-301 (v1.0) Full Certification Prep Course,www.udemy.com/course/cisco-ccna-200-301-certification-guide/,Shaun Hummel,99.99,11.39,4.3(52 ratings),IT & Software,IT Certification,Cisco CCNA,592,English,"Study, prepare, and upgrade your skills with the new Cisco CCNA 200-301 certification exam.",12/2019,12/30/19
Cisco CCNA R/S (200-120 & 200-125): The Complete Course,www.udemy.com/course/the-complete-ccna-200-120-course/,Lazaro Diaz,199.99,11.39,"4.4(4,846 ratings)",IT & Software,IT Certification,Cisco CCNA,"42,416",English,This complete Cisco CCNA course will cover everything you need to prepare for the 200-120 & the NEW CCNA 200-125,2/2019,12/30/19
The New CCNA Exam v1.0 (200-301) By Hexa CCIE Khawar Butt,www.udemy.com/course/the-new-ccna-exam-v10-200-301-by-hexa-ccie-khawar-butt/,Khawar Butt,99.99,11.39,4.5(71 ratings),IT & Software,IT Certification,Cisco CCNA,567,English,"Covers 2019 newly added technologies like DMVPN, Wireless Technologies, IPSec , IPv6 by Hexa CCIE Mr Khawar Butt",9/2019,12/30/19
Cisco NEW CCNA R/S (200-125): The Complete Course,www.udemy.com/course/cisco-ccna-200-125-the-complete-course/,Lazaro Diaz,199.99,11.39,"4.5(3,811 ratings)",IT & Software,IT Certification,Cisco CCNA,"18,426",English,This NEW CISCO course is all you need to prepare & pass Cisco's new CCNA R/S 200-125 certification exam,2/2019,12/30/19
The Complete CCNA & CCNP Labs Course 2020- Basic to Advanced,www.udemy.com/course/ccnp-routing-protocols-labs/,"Ashish • 20,000+ Students Worldwide",129.99,11.39,4.4(381 ratings),IT & Software,IT Certification,Cisco CCNA,"4,570",English,"Complete guide for CCNA & CCNP students to Understand,Configure LAN Switch, EIGRP , OSPF, BGP, IPv6 & Cisco ASA Firewall",11/2019,12/30/19
New CCNAx 200-125 Routing and Switching,www.udemy.com/course/newccnax-200-120/,sikandar Shaik,99.99,11.39,"4.5(6,424 ratings)",IT & Software,IT Certification,Cisco CCNA,"93,212",English,Includes everything you will need to fully prepare for your new CCNA R/S certification,8/2016,12/30/19
Cisco CCNA 200-125 : Full Course For Networking Basics,www.udemy.com/course/new-ccna-full-course/,Networkel Inc.,119.99,11.39,"4.4(1,065 ratings)",IT & Software,IT Certification,Cisco CCNA,"10,284",English,*Great hands-on configuration labs* *Learn networking basics* *Covers ALL Cisco CCNA Topics* *Pass The Exam Easily !*,11/2019,12/30/19
Cisco CCNA 200-125: The Complete Course,www.udemy.com/course/cisco-ccna-200-120-course/,Matt Carey,189.99,12.59,4.4(563 ratings),IT & Software,IT Certification,Cisco CCNA,"2,380",English,"Study material for the new 200-301 CCNAÂ exam will be available here on February 24, 2020. *Current for the CCNA in 2019",7/2019,12/30/19
Cisco CCNA Practice Exams - 6 Exams (ICND1/2/CCNA),www.udemy.com/course/cisco-ccna-practice-exams/,Paul Browning,24.99,11.39,4.3(123 ratings),IT & Software,IT Certification,Cisco CCNA,"1,259",English,Learn to master important exam topics before you take the test for real. Save time and exam fees.,10/2019,12/30/19
Cisco CCNA Packet Tracer Ultimate labs: ICND2 Exam prep labs,www.udemy.com/course/cisco-ccna-packet-tracer-ultimate-labs-icnd2-exam-prep-labs/,David Bombal,19.99,11.39,4.8(248 ratings),IT & Software,IT Certification,Cisco CCNA,"1,435",English,Are you ready for the CCNA exam? You sure? Check your knowledge with our CCNA Exam Prep Labs. Make sure you know topics,7/2019,12/30/19
