Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Color Grading with Da Vinci Resolve:  Beginner to Advanced,www.udemy.com/course/color-grading-with-da-vinci-resolve-beginner-to-advanced/,Matthew Falconer,149.99,13.79,4.5(598 ratings),Photography,Video Design,Color Grading,"4,039",English,Learn to grade like a professional with hands-on projects and guidance!,11/2019,01/01/20
Cinematic Color Grading: Making Your Videos Come Alive,www.udemy.com/course/cinematic-color-grading-course/,Matti Haapoja,149.99,37.5,4.5(937 ratings),Photography,Video Design,Color Grading,"3,827",English,Learn how to take your footage to the next level using professional color correct and grading techniques.,3/2017,01/01/20
Color Grading Masterclass: Resolve 15,www.udemy.com/course/color-grading-masterclass/,Jonny Von Wallström,139.99,16.79,4.4(394 ratings),Photography,Video Design,Color Grading,"2,713",English,Learn How to Take Your Color Grading to the Next Level and Become a Pro. Made by a Netflix Film Director.,9/2018,01/01/20
Complete Guide to Colour Grading in Final Cut Pro X,www.udemy.com/course/fcpx-grading/,Myles Fearnley,89.99,22.5,4.5(26 ratings),Photography,Other,Color Grading,148,English,Beginner to pro grading course for FCPX | Delivered by BBC-published video creator,11/2019,01/01/20
Complete Color Grading & Color Correction in DaVinci Resolve,www.udemy.com/course/grading-in-davinci-resolve/,Kashif Altaf,199.99,17.39,4.3(51 ratings),Design,Other,Color Grading,342,English,Color Grading & Color Correction Masterclass in DaVinci Resolve 15 & 16 with complete & easy Tutorials,5/2019,01/01/20
Adobe Premiere Pro CC 2018: Color Grading Masterclass,www.udemy.com/course/adobe-premiere-color-grading-masterclass/,George Katsilidis,199.99,14.39,4.1(124 ratings),Photography,Video Design,Color Grading,758,English,Learn Color Correction & Color Grading and Create Professional Cinematic Looks with Adobe Premiere Pro CC 2018,5/2019,01/01/20
Mastering Advanced Color Grading in Photoshop,www.udemy.com/course/mastering-color-grading-in-photoshop/,Marcin Mikus,199.99,13.19,4.2(438 ratings),Photography,Digital Photography,Photoshop,"40,451",English,Learn Professional Color Grading Techniques in Photoshop and make your Images Stand Out - with Ressources,12/2017,01/01/20
Color Grading and Correction with DaVinci Resolve,www.udemy.com/course/color-correction-with-davinci-resolve/,GetFilming Film School,34.99,11.39,4.3(336 ratings),Photography,Video Design,DaVinci Resolve,"1,838",English,"Learn expert color correction processes, theories and workflows from industry professional colorist Rob Bessette.",8/2016,01/01/20
Color Grading & Creating LUTs In Premiere Pro For Beginners,www.udemy.com/course/how-to-color-grade-premiere-pro/,Life Progression Project,99.99,11.39,4.2(9 ratings),Photography,Video Design,Color Grading,493,English,"How To Color Correct, Color Grade Footage & Create Custom Video LUTs in Adobe Premiere Pro CC For Beginners",10/2019,01/01/20
Easy Color Grading from a Photo Reference in Photoshop,www.udemy.com/course/color-grading-from-reference-photoshop/,Kasia Zmokla,0.0,49.99,4.4(16 ratings),Photography,Digital Photography,Color Grading,"1,552",English,"Add the missing ""final touch"" to your work",7/2019,01/01/20
Adobe Lightroom СС: Color Correction in Lightroom A to Z,www.udemy.com/course/lightroom-cc-professional-color-correction/,Ustin Kompaniets,124.99,11.39,3.1(31 ratings),Photography,Digital Photography,Adobe Lightroom,434,English,"Learn Color Correction in Adobe Lightroom CC Step by Step. For Portrait & Outdoor Photography. Grading, Curves, Toning.",1/2018,01/01/20
Amber & Teal - Cinematic Color Grading in Photoshop,www.udemy.com/course/cinematic-color-grading/,Kasia Zmokla,0.0,29.99,4.3(53 ratings),Photography,Digital Photography,Photoshop,"2,329",English,Add style to your images with powerful Photoshop techniques,7/2019,01/01/20
After Effects : Color Grading Made Easy,www.udemy.com/course/after-effects-color-grading-made-easy/,Aksh Animation,39.99,11.39,4.4(5 ratings),Photography,Video Design,Color Grading,640,English,Learn Color Correction & Color Grading From Scratch : Let Your Videos Come Alive With Cinematic Grading,4/2018,01/01/20
SpeedGrade and Premiere Pro Master Video Color Correction,www.udemy.com/course/speedgrade-and-premiere-pro/,Infinite Skills,49.99,11.39,4.2(31 ratings),Photography,Video Design,Color Grading,544,English,Color manipulation with Premiere Pro and SpeedGrade - Learn how to correct color and add color based effects to video.,1/2017,01/01/20
Color Correction for Film & Video,www.udemy.com/course/color-correction-for-film-video/,Forge Productions,29.99,11.39,3.6(6 ratings),Photography,Digital Photography,Color Grading,25,English,making your videos pop,3/2019,01/01/20
How to Color Comic Books... with a Mouse,www.udemy.com/course/how-to-color-comic-books-with-a-mouse/,Kemp Studios,29.99,18.99,4.7(8 ratings),Design,Graphic Design,Comic Book Creation,58,English,Learn how to turn your Black and White lineart into full Color pieces,1/2017,01/01/20
