Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
CompTIA Network+ Cert. (N10-007): The Total Course,www.udemy.com/course/comptia-network-cert-n10-007-the-total-course/,"Total Seminars • 200,000+ Students",199.99,13.19,"4.7(8,838 ratings)",IT & Software,IT Certification,CompTIA Network+,"37,047",English,"Everything you need to pass the CompTIA Network+ Exam, N10-007 from Mike Meyers, CompTIA expert and bestselling author.",11/2019,12/29/19
CompTIA Network+ (N10-007) Full Course & Practice Exam,www.udemy.com/course/networkplus/,"Jason Dion • 140,000+ Students Worldwide",199.99,11.39,"4.6(4,902 ratings)",IT & Software,IT Certification,CompTIA Network+,"18,765",English,CompTIA Network+ (N10-007) Bootcamp - Certification preparation course on the most popular networking certification!,10/2019,12/29/19
CompTIA Network+ (N10-007) 6 Practice Exams and Simulations,www.udemy.com/course/network_plus_exam/,"Jason Dion • 140,000+ Students Worldwide",99.99,11.39,"4.5(1,779 ratings)",IT & Software,IT Certification,CompTIA Network+,"11,329",English,Full-length CompTIA Network+ (N10-007) * Timed * 450 Multiple-choice Questions with detailed feedback for each question,12/2019,12/29/19
NEW! CompTIA Network+ Cert. (N10-007): Practice Tests,www.udemy.com/course/new-comptia-network-cert-n10-007-practice-tests/,"Total Seminars • 200,000+ Students",99.99,11.99,"4.2(1,021 ratings)",IT & Software,IT Certification,CompTIA Network+,"12,158",English,Test your skills with 3 FULL practice exams that mimic the real CompTIA Net+ exams with - Certification Practice Tests.,12/2019,12/29/19
CompTIA Network+ N10-007 (2020) Video Bootcamp,www.udemy.com/course/comptia-network-n10-007/,Networkel Inc.,99.99,13.19,4.2(243 ratings),IT & Software,IT Certification,CompTIA Network+,"2,499",English,* Covers All New Topics in the Network+ N10-007 Exam * Learn networking basics * Everything you need to pass the exam,2/2018,12/29/19
CompTIA Network+ N10-007 : 3 practice tests 2020,www.udemy.com/course/comptia-network-n10-007-new-updated-practice-tests/,YAMI TECH,19.99,11.39,3.9(8 ratings),IT & Software,IT Certification,CompTIA Network+,148,English,270 Mock Questions Close and familiar to Real Exam - Q&A with Explanations - Pass Your Certification Rapidely - New 2020,7/2019,12/29/19
NEW! CompTIA Network+ N10-007 Practice Exams and Tests,www.udemy.com/course/comptia-network-plus-n10-007-practice-exams-and-tests/,David Staples,19.99,11.39,4.4(5 ratings),IT & Software,IT Certification,CompTIA Network+,16,English,CompTIA Network+ (N10-007) Practice Tests * TIMED * Every question broken down by individual domain and objective!,12/2019,12/29/19
CompTIA Network+ 6 Certification Practice Exams - 2019,www.udemy.com/course/comptia-network-practice-exams-2019/,PrepCert Academy,19.99,11.39,5.0(2 ratings),IT & Software,IT Certification,CompTIA Network+,"2,367",English,Full-length CompTIA Network+ (N10-007) * Timed * 480 Questions with detailed explanations * Unofficial,5/2019,12/29/19
CompTIA Network+ (N10-007): Practice Tests (New Update 2019),www.udemy.com/course/comptia-network-n10-007-practice-tests-new-update-2019/,Mehul Patel,29.99,11.39,4.1(2 ratings),IT & Software,IT Certification,CompTIA Network+,431,English,New CompTIA Network+ (N10-007) Practice Exams to test your knowledge and passing your real exam in first attempt.,12/2019,12/29/19
CompTIA Network+ N10-007,www.udemy.com/course/comptia-network-n10-007-v/,Stone River eLearning,199.99,11.39,4.1(15 ratings),IT & Software,IT Certification,CompTIA Network+,84,English,CompTIA Network+ N10-007,2/2019,12/29/19
CompTIA Network+ Certification (N10-006) : Practice Tests,www.udemy.com/course/comptia-network-certification-n10-006-practice-tests-e/,Certify You,84.99,11.39,4.1(31 ratings),IT & Software,IT Certification,CompTIA Network+,118,English,Prepare for CompTIA Network+ Certification and pass the exam in the first attempt.,12/2019,12/29/19
Intro to Network+ Certification Boot Camp,www.udemy.com/course/network-certification-boot-camp/,Chad Russell,54.99,11.39,3.7(30 ratings),IT & Software,IT Certification,CompTIA Network+,"2,357",English,Network+ Certification,12/2016,12/29/19
CompTIA Network+ N10-007 Practice Test,www.udemy.com/course/comptia-network-n10-007-practice-test-z/,Ultimate Practice Tests,19.99,11.39,3.9(2 ratings),IT & Software,Network & Security,CompTIA Network+,30,English,500 Questions With Accurate Answers,10/2019,12/29/19
The Complete CompTIA N+ N10-007 Practice Tests,www.udemy.com/course/the-complete-comptia-n-n10-007-practice-tests-a/,Phillip Roos,49.99,11.39,3.7(7 ratings),IT & Software,IT Certification,CompTIA Network+,73,English,"Learn and Prepare for the CompTIA N+ N10-007 Certification Exam, Prepare Fully for your certification exam with Practice",5/2019,12/29/19
CompTIA Network+ Certification: The Complete Course,www.udemy.com/course/comptia-network-the-complete-course/,"TELCOMA Global 60,000+ Students!",194.99,11.39,3.8(38 ratings),IT & Software,IT Certification,CompTIA Network+,"1,746",English,"CompTIA Network+ Certification N10-006 by TELCOMA. Study Guide, Practice Exam included. Get Certified Network Skills now",5/2017,12/29/19
CompTIA Network+: Practice Test,www.udemy.com/course/network-test/,"Ucertified 56,000+ Students 95 Courses",19.99,11.39,3.9(10 ratings),IT & Software,IT Certification,CompTIA Network+,"1,101",English,Pass CompTIA Network+ Certification from First Attempt with the Practice Test Course.,8/2017,12/29/19
