Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Radiate Confidence: How to Create a 1000 Watt Presence,www.udemy.com/course/1000-watt-presence/,Alexa Fischer,199.99,17.99,"4.4(4,071 ratings)",Personal Development,Influence,Confidence,"31,438",English,"Helping you unlock your inner light, or presence, so you can easily, effortlessly connect with everyone you meet.",9/2019,12/30/19
Double Your Confidence & Self Esteem - Complete Blueprint,www.udemy.com/course/double-your-confidence-self-esteem/,Jimmy Naraine,199.99,11.99,"4.5(2,133 ratings)",Personal Development,Self Esteem,Confidence,"30,554",English,Confidence. Self Esteem. Social Skills. Social Success. Social & Inner Confidence. Body Language. Charisma. Influence.,11/2019,12/30/19
Unshakable Confidence: Become 100% Secure in Who You Are,www.udemy.com/course/the-ultimate-confidence-coaching-program/,Kain Ramsay,194.99,11.39,"4.4(1,304 ratings)",Personal Development,Self Esteem,Confidence,"14,812",English,Confidence Life Coaching for those Wishing to Develop Genuine Confidence & Self Esteem in all the Primary Areas of Life,1/2018,12/30/19
Confidence Life Coach Certification & Confidence Blueprint,www.udemy.com/course/confidence-life-coach-certification/,Joeel & Natalie Rivera,199.99,11.99,4.7(378 ratings),Personal Development,Personal Transformation,Confidence,"2,359",English,Confidence & Growth Mindset Strategies that will Help Your Life Coaching Clients Develop Unstoppable Confidence,12/2019,12/30/19
SELF-CONFIDENCE: 40-minute Confidence & Self Esteem Guide,www.udemy.com/course/self-confidence-40-minute-confidence-self-esteem-guide/,Jimmy Naraine,149.99,11.39,"4.3(4,919 ratings)",Personal Development,Self Esteem,Confidence,"30,345",English,"Boost Your Confidence and Self Esteem, Handle Fear of Rejection, Learn Powerful Body Language, Feel Great About Yourself",11/2019,12/30/19
Confidence Masterclass: How to Become Confident,www.udemy.com/course/confidence-masterclass/,Frank Valentine,149.99,37.50,4.8(117 ratings),Personal Development,Self Esteem,Confidence,"1,596",English,Learn How to Become Confident. Develop Real Confidence. No More Playing a Role or Playing an Actor in Your Own Life.,12/2019,12/30/19
Self Confidence & Assertiveness Training,www.udemy.com/course/self-confidence-reap-the-benefits-of-self-confidence/,Libby Seery - Founder of Renaissance Life Therapies,199.99,15.59,4.0(644 ratings),Personal Development,Personal Transformation,Assertiveness,"4,514",English,Master Self-Confidence and Assertiveness,9/2017,12/30/19
The Ultimate Confidence Course: claim your inner power,www.udemy.com/course/the-ultimate-confidence-course-tap-into-your-colossal-power/,Steven Burns,199.99,11.39,4.2(10 ratings),Personal Development,Self Esteem,Confidence,176,English,Boost self-esteem; become self-confident; cultivate strong self-belief.,11/2019,12/30/19
Control Your Brain Chemistry – Become Confident and Creative,www.udemy.com/course/control-your-brain-chemistry/,Global Harmony Crew,199.99,11.39,4.5(263 ratings),Personal Development,Personal Transformation,Confidence,"4,367",English,"Increase your levels of dopamine, serotonin, endorphins, and GABA.",4/2017,12/30/19
Spelling Rules: to improve spelling & confidence,www.udemy.com/course/spelling-rules-course/,Joanne Rudling,24.99,11.39,4.2(221 ratings),Teaching & Academics,Language,Confidence,"1,237",English,A step-by-step how to spell guide for British & American English,12/2019,12/30/19
CONFIDENCE Tools - Confidence & Self Esteem for Introverts,www.udemy.com/course/confidence-for-introverts-top-confidence-building-tools/,Jimmy Naraine,129.99,14.99,4.7(61 ratings),Personal Development,Personal Transformation,Confidence,"1,967",English,Confidence. Self Esteem. Social Skills. Social Success. Social & Inner Confidence. Body Language. Charisma. Influence.,11/2019,12/30/19
Self Confidence: The Ultimate Confidence Booster Formula,www.udemy.com/course/the-ultimate-confidence-booster-formula/,Bogdan Alex Raducanu┃ Confidence and Self Esteem Coach,199.99,11.99,4.3(49 ratings),Personal Development,Self Esteem,Confidence,"4,726",English,"Boost your Confidence and Self Esteem. Radiate Confidence, real Confidence! Enroll for the Confidence Booster Formula",10/2019,12/30/19
Confident You - Skyrocket Your Confidence and Self Esteem,www.udemy.com/course/confidence-and-self-esteem/,Cha~zay Sandhriel Ph.D.,179.99,11.39,4.6(133 ratings),Personal Development,Self Esteem,Confidence,932,English,Increase your confidence and self-esteem and drastically change your life for the better. Increase confidence today.,10/2019,12/30/19
NLP: Cognitive Behavioral Self Esteem Confidence Certificate,www.udemy.com/course/double-your-confidence-4-scientifically-proven-nlp-technique/,Patrick Howell,74.99,11.39,4.6(372 ratings),Personal Development,Self Esteem,Confidence,"7,062",English,Reprogram the way you think about yourself and get comfortable in your own skin. NLP cognitive behavioral coaching,10/2019,12/30/19
The Secrets of Confidence and Communication,www.udemy.com/course/confidence-and-communication/,TJ Guttormsen,199.99,11.39,4.8(39 ratings),Personal Development,Self Esteem,Confidence,244,English,"Learn to remove bad social programming, build expert social skills, and create a natural state of sparkling confidence.",7/2019,12/30/19
Balls of Steel - Explode Your Confidence,www.udemy.com/course/balls-of-steel-explode-your-confidence/,Matt Artisan,29.99,11.39,4.4(118 ratings),Personal Development,Personal Transformation,Confidence,"4,012",English,"10-Day Course to Explode Confidence, Eliminate Fear and Always Stay Calm Under Pressure",4/2018,12/30/19
Take Lessons from an Actor --Speech & Confidence Training,www.udemy.com/course/take-lessons-from-an-actor-speak-with-confidence-class/,Gene Williams,44.99,11.39,4.4(185 ratings),Personal Development,Career Development,Confidence,"1,534",English,"Be successful in Job interviews, public speaking, committee meetings, employee evaluations, selling and auditions.",6/2015,12/30/19
