Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Content Marketing Masterclass: Create Content That Sells,www.udemy.com/course/content-marketing-masterclass/,Brad Merrill,199.99,13.19,"4.5(1,070 ratings)",Marketing,Content Marketing, ,"6,806",English,"Master content marketing to grow your business: content creation, promotion, copywriting, SEO, email marketing, & more!",12/2019,01/02/20
Content Marketing: Grow Your Business with Content Marketing,www.udemy.com/course/content-marketing-for-beginners/,Phil Ebiner,199.99,13.19,4.5(80 ratings),Marketing,Content Marketing, ,677,English,Learn how to use modern content marketing to grow your business and brand! Come up with your own Content Marketing plan!,4/2019,01/02/20
Content Marketing for Wordpress: Build a Website Audience,www.udemy.com/course/easy-wordpress-content-marketing/,Sean Kaye,94.99,11.39,4.6(31 ratings),Marketing,Content Marketing, ,565,English,Learn How To Use Content Marketing to Build an Audience and Grow Your Authority in any Market with a Wordpress Website.,4/2018,01/02/20
The Comprehensive YouTube Channel Marketing Growth Course,www.udemy.com/course/the-comprehensive-youtube-channel-marketing-growth-course/,Bryan Guerra,199.99,13.19,4.4(18 ratings),Marketing,Video & Mobile Marketing,YouTube Audience Growth,"6,255",English,Everything You Need to Know about YouTube Marketing & YouTube Audience Growth to Grow Your Channel & Get More Views,9/2019,01/02/20
Content Marketing Mastery 2018: Beginner's Ultimate Guide,www.udemy.com/course/content-marketing-mastery-2018-beginners-ultimate-guide/,Charlie Page,199.99,11.39,4.3(143 ratings),Marketing,Digital Marketing,Content Marketing,"1,104",English,"Grow your business, brand or message with content. Leverage blogging and social media to turn strangers into customers.",2/2018,01/02/20
Certification5 Business Coaching Content Marketing FECBC,www.udemy.com/course/business-coaching-part-5-content-marketing/,Fearless Entrepreneur Academy |Business Coaching Experts,199.99,11.39,4.8(12 ratings),Marketing,Content Marketing, ,727,English,Content Marketing Certificate|Accreditation Credentials + Content Marketing Business Coach Directory for Level 2 Grads,12/2019,01/02/20
How to Use Content Marketing to Become Known as an Expert,www.udemy.com/course/how-to-use-content-marketing-to-become-known-as-an-expert/,Debbie LaChusa,74.99,11.39,4.0(63 ratings),Marketing,Content Marketing, ,"1,342",English,"Learn 11 Ways to Attract Clients, Build an Email List, Elevate Yourself Above the Competition & Generate Free Marketing",4/2014,01/02/20
How To Develop A Successful Content Marketing Strategy,www.udemy.com/course/content-creation-marketing-plan/,MindMekka ®,99.99,11.39,4.3(14 ratings),Marketing,Content Marketing, ,868,English,Discover the benefits of content marketing â create a content marketing plan that generates leads & builds your brand.,10/2018,01/02/20
Content Marketing Mastery,www.udemy.com/course/content-marketing-mastery/,"Content Mark, LLC",19.99,11.99,4.2(108 ratings),Marketing,Content Marketing, ,"1,369",English,Learn content marketing strategies that engages readers and brings in more leads and sales,1/2019,01/02/20
Content Strategy for SEO,www.udemy.com/course/content-strategy-for-seo/,Matthew Capala,19.99,11.39,4.4(4 ratings),Marketing,Content Marketing, ,23,English,"On-Page Optimization, Meta Data, Schema Mark-Up, Landing Pages, and Blogging",8/2019,01/02/20
How to Put Your Business on Wikipedia,www.udemy.com/course/how-to-put-your-business-on-wikipedia/,Melvin Wong,79.99,11.39,4.2(37 ratings),Business,Media,Content Marketing,"5,785",English,Hands-on tutorials on how to write a Wikipedia article about a business,2/2019,01/02/20
"Customer Centric Marketing | Know, Woo & Win Your Audience",www.udemy.com/course/customer-centric-marketing/,Peace Itimi,24.99,11.39,4.5(10 ratings),Marketing,Digital Marketing,Content Marketing,333,English,"Learn how to identify your customers and create the right content that attracts, converts and retains them",2/2019,01/02/20
"Content Marketing: Create, Manage and Monetize Strategies",www.udemy.com/course/make-money-with-content-marketing/,Oxford Learning Lab,104.99,11.39,4.2(18 ratings),Marketing,Content Marketing, ,"1,294",English,"Learn all the latest strategies to Create, Manage and Monetize Content that people really WANT from YOU!",8/2018,01/02/20
Become a Content Marketing Rockstar!,www.udemy.com/course/become-a-content-marketing-rockstar/,Ryan Wiley,39.99,11.39,4.5(34 ratings),Marketing,Content Marketing, ,"2,228",English,Learn how to get an abundance of new content ideas and crank it out faster than you ever thought possible!,11/2015,01/02/20
