Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"Brother Scan N Cut - Cut, Draw and Scan With Confidence",www.udemy.com/course/brother-scan-n-cut-cut-draw-and-scan-with-confidence/,John Bloodworth,29.99,18.99,4.5(664 ratings),Design,Design Tools,Crafting,"2,745",English,Learn to use the three key features of the Brother Scan N Cut electronic cutting machine.,12/2019,12/29/19
Brother ScanNCut Advanced,www.udemy.com/course/brother-scanncut-advanced/,Kimberly Smith,29.99,11.39,4.4(88 ratings),Lifestyle,Arts & Crafts,Crafting,930,English,Professional Crafting Techniques with the Brother Scan and Cut,5/2019,12/29/19
Brother ScanNCut Basics,www.udemy.com/course/brother-scanncut-basics/,Kimberly Smith,29.99,11.39,4.4(167 ratings),Lifestyle,Arts & Crafts,Crafting,773,English,Get Crafty with your Scan and Cut,3/2019,12/29/19
Card Making with the Brother ScanNCut,www.udemy.com/course/card-making-scanncut/,Kimberly Smith,39.99,11.39,4.7(31 ratings),Lifestyle,Arts & Crafts,Crafting,227,English,Canvas Workspace Projects & Paper Crafting Techniques,10/2019,12/29/19
Brother ScanNCut SDX125,www.udemy.com/course/brother-scanncut-sdx125/,Kimberly Smith,34.99,11.39,4.7(72 ratings),Lifestyle,Arts & Crafts,Crafting,291,English,Enhance your Crafting Skills,11/2019,12/29/19
How To Craft Wire Tree Sculptures With Andy Elliott,www.udemy.com/course/how-to-craft-wire-tree-sculptures-with-andy-elliott/,Andy Elliott,24.99,11.39,4.5(317 ratings),Lifestyle,Arts & Crafts,Crafting,"1,044",English,Twisting Wire To Create Beauty,7/2017,12/29/19
How To Make Free-form Resin Geodes and Agate Slices,www.udemy.com/course/make-free-form-resin-geodes/,Deby Coles,34.99,11.39,4.5(67 ratings),Lifestyle,Arts & Crafts,Crafting,351, English,"Learn how to make solid resin sculptures and artworks that resemble nature with crystals, glass and glitters",12/2019,12/29/19
Resin Geode Basics: How to create sparkling geode art works,www.udemy.com/course/resin-geode-basics/,Deby Coles,39.99,12.59,5.0(95 ratings),Lifestyle,Arts & Crafts,Crafting,546,English,"We build a simple resin geode together step by step, covering the basics of how to get started, materials and techniques",12/2019,12/29/19
Make Professional Bath Bombs at Home,www.udemy.com/course/make-bath-bombs/,Studio Liliom,49.99,11.39,4.8(22 ratings),Lifestyle,Beauty & Makeup,Crafting,134,English,"Colorful, exciting, scented homemade spa products for those who love to make soap and bath products at home",3/2019,12/29/19
"Wonderful Paper Quilling Art, From Basic to Advanced",www.udemy.com/course/relaxation-quilling-art-from-basic-to-advanced/,Jade chen,34.99,11.39,4.5(31 ratings),Lifestyle,Arts & Crafts,Crafting,239,English,Itâs a Beautiful & Old Paper Art with New Ideas. Using Systematized Method to Teach You Making Beautiful Artistic Works.,2/2018,12/29/19
Your Craft Business: A Step by Step Guide,www.udemy.com/course/your-craft-business-a-step-by-step-guide/,Kevin Partner,49.99,11.39,4.4(88 ratings),Business,Home Business,Crafting,592,English,How to start and run a business selling hand made products you love to make.,8/2016,12/29/19
How To Teach Craft Workshops,www.udemy.com/course/how-to-teach-craft-workshops/,Susan Yeates,29.99,13.19,4.6(111 ratings),Lifestyle,Arts & Crafts,Crafting,652,English,"A step-by-step guide to designing, teaching and promoting creative courses - create a business from your art skills",3/2016,12/29/19
DIY LeatherCrafting: Make Your Own Leather Wallet,www.udemy.com/course/leather-wallet/,Timur Kazantsev,79.99,11.39,4.6(40 ratings),Lifestyle,Arts & Crafts,Crafting,639,English,Complete Leather Crafting Course: From Zero to Hero. Learn to make leather goods of your own from an experienced master,4/2019,12/29/19
Resin and Alcohol Ink Art Basics: Make coasters and artworks,www.udemy.com/course/resin-and-alcohol-ink-art-basics/,Deby Coles,19.99,11.39,4.5(31 ratings),Lifestyle,Arts & Crafts,Crafting,211,English,"Make fun and fascinating 3d art with the most amazing tiny details. Relaxing, creative and rewarding. Great for gifts.",12/2019,12/29/19
Bag Making with Natural Fibers: Learn From Scratch,www.udemy.com/course/bagmaking/,Artesany - Karina & Pedro,19.99,11.99,4.0(14 ratings),Lifestyle,Arts & Crafts,Crafting,122,English,"Learn Quickly and Easily to Create Shoulder-strap Bags, Purses, Handbags, and Backpacks by Weaving with Vegetable Fibers",10/2019,12/29/19
Learn to Make a Basic Leaded Stained Glass Window,www.udemy.com/course/basic-leaded-stained-glass/,KT Caselli,34.99,12.59,4.1(52 ratings),Lifestyle,Arts & Crafts,Crafting,349,English,"Learn the basic skills to make a beautiful and unique leaded stained glass window, for fun, decorating and profit!",3/2019,12/29/19
Create Amazing Projects Weaving with Natural Fibers.,www.udemy.com/course/basketweaving/,Artesany - Karina & Pedro,19.99,11.99,4.4(9 ratings),Lifestyle,Arts & Crafts,Crafting,113,English,"Learn Quickly and Easily to Create Amazing Baskets, Purses and More. Unique course about traditional Basketry Techniques",10/2019,12/29/19
Painting a miniature figure PART 1,www.udemy.com/course/painting-course-fantasy-intermediate-level/,ANDREA DEPOT USA,19.99,11.99,4.4(61 ratings),Personal Development,Creativity,Crafting,238,English,54mm - Fantasy - Intermediate level - 1Âº Part,2/2019,12/29/19
DIY Leathercrafting: Make your own Leather Bag in 2 hours,www.udemy.com/course/diy-leathercrafting-make-own-leather-bag/,Timur Kazantsev,74.99,11.39,3.8(12 ratings),Lifestyle,Arts & Crafts,Crafting,144,English,Complete Leather Crafting Course: From Zero to Hero. Learn to make original Leather Bag from an experienced Master,4/2019,12/29/19
Needle Felting Essentials,www.udemy.com/course/needle-felting-essentials/,Yelena Poghosyan,99.99,11.39,3.9(85 ratings),Lifestyle,Arts & Crafts,Crafting,387,English,A complete course to learn dry needle felting - make friends with fibers,3/2018,12/29/19
DIY LeatherCrafting: Making Leather Sandals,www.udemy.com/course/leathercrafting-sandals/,Timur Kazantsev,44.99,11.39,4.7(13 ratings),Lifestyle,Arts & Crafts,Crafting,348,English,Complete Leather Crafting Course: From Zero to Hero. Learn to make leather sandals from an experienced master,3/2019,12/29/19
How to Write in Wire part 2,www.udemy.com/course/how-to-write-in-wire-part-two/,Andy Turner,44.99,11.39,4.4(11 ratings),Lifestyle,Arts & Crafts,Crafting,116,English,"Learn how to make Numbers, Characters, Combinations, Name Pins and more",12/2018,12/29/19
Space Craft: Clean Language and Clean Space Demonstrations,www.udemy.com/course/space-craft/,Judy Rees,49.99,11.39,4.7(35 ratings),Personal Development,Other,Crafting,429,English,How to use Clean and Space to facilitate change,4/2014,12/29/19
Creativity and relaxation through quilling,www.udemy.com/course/paper-quilling-a-tool-for-the-most-unique-decorations/,Judit Osika,49.99,11.39,3.9(38 ratings),Lifestyle,Arts & Crafts,Crafting,941,English,"A comprehensive, step-by-step course & inspiration to jumpstart your paper quilling creative crafting journey.",7/2019,12/29/19
Fundamentals of Tapestry Crochet for Colorful Art,www.udemy.com/course/tapestrycrochet/,Diego Juarez Viveros,34.99,11.39,4.3(19 ratings),Design,Fashion,Crafting,71,English,Learn the power of Tapestry Crochet to add multiple colors to your project and crochet crisp lines.,6/2019,12/29/19
"Mastering Putty for beginners (+ Session Manager, MobaXTerm)",www.udemy.com/course/mastering-putty-for-beginners/,GlobalETraining.com | Train Your Brain,74.99,11.39,4.1(36 ratings),IT & Software,Operating Systems,Crafting,"2,375",English,Handy little tool to quickly launch SSH sessions to UNIX/Linux Servers. PLUS.. Amazon AWS Linux Virtual Machine Setup!,3/2019,12/29/19
Basics on Fiber Dyeing for Beginners,www.udemy.com/course/fiberdyeing/,Artesany - Karina & Pedro,19.99,11.39,2.3(3 ratings),Lifestyle,Arts & Crafts,Crafting,22,English,Learn Quickly and Easily to Create Amazing Colors for your Fibers,10/2019,12/29/19
