Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete Cyber Security Course : Hackers Exposed!,www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,Nathan House,119.99,11.99,"4.5(22,354 ratings)",IT & Software,Network & Security,Cyber Security,"127,090",English,"Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking, Learn IT Security & INFOSEC",10/2019,12/28/19
The Complete Cyber Security Course : Network Security!,www.udemy.com/course/network-security-course/,Nathan House,119.99,11.99,"4.5(6,608 ratings)",IT & Software,Network & Security,Cyber Security,"85,455",English,"Volume 2 : Network Security, WiFi Security, WiFi Hackers, Firewalls, Wireshark, Secure Networking. + Password Managers",10/2019,12/28/19
"The Ultimate Dark Web, Anonymity, Privacy & Security Course",www.udemy.com/course/the-ultimate-dark-web-anonymity-privacy-security-course/,Zaid Sabih,194.99,11.99,4.7(593 ratings),IT & Software,Network & Security,Cyber Security,"5,544",English,"Learn how to access & use the dark net and the clear net privately, anonymously and securely",11/2019,12/28/19
The Complete Cyber Security Course : Anonymous Browsing!,www.udemy.com/course/the-complete-cyber-security-course-anonymous-browsing/,Nathan House,119.99,11.99,"4.6(2,610 ratings)",IT & Software,Network & Security,Cyber Security,"55,318",English,"Volume 3 : Become a Cyber Security Specialist, Anonymous Browsing, Hide my IP, Tor, Privacy, Proxy Servers and Best VPNs",10/2019,12/28/19
The Complete Cyber Security Course : End Point Protection!,www.udemy.com/course/the-complete-cyber-security-course-end-point-protection/,Nathan House,194.99,11.99,"4.6(2,148 ratings)",IT & Software,Network & Security,Cyber Security,"47,458",English,"Volume 4 :Become a Cyber Security Specialist, Antivirus & Malware, Disk Encryption, Finding & Removing Hackers & Malware",10/2019,12/28/19
The Absolute Beginners Guide to Cyber Security 2019 - Part 1,www.udemy.com/course/the-absolute-beginners-guide-to-information-cyber-security/,Alexander Oni,99.99,11.99,"4.6(5,195 ratings)",IT & Software,Network & Security,Cyber Security,"15,020",English,"Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & more",3/2019,12/28/19
The Absolute Beginners Guide to Cyber Security 2019 - Part 2,www.udemy.com/course/the-complete-2018-cyber-security-guide-for-non-professionals/,Alexander Oni,199.99,11.99,"4.5(1,006 ratings)",IT & Software,Network & Security,Cyber Security,"4,899",English,"Learn about Networking, Malware, Encryption, VPNs, Privacy, Email Security, Social Engineering, Backups and so much more",10/2019,12/28/19
Hands-on Penetration Testing Labs 3.0,www.udemy.com/course/hands-on-penetration-testing-labs-30/,"Jesse Kurrus, M.S., OSCP, CEH, Security+, Linux+, Network+, CISSP",24.99,11.99,4.6(111 ratings),IT & Software,Network & Security,Cyber Security,"1,518",English,Real technical skills from a professional pentester.,7/2019,12/28/19
Risk Management for Cybersecurity and IT Managers,www.udemy.com/course/risk-management-for-cybersecurity/,"Jason Dion • 140,000+ Students Worldwide",99.99,11.99,"4.4(1,481 ratings)",Business,Management,Cyber Security,"5,189",English,The management's guide to understanding Risk Management decisions in cybersecurity and information technology (IT)!,10/2019,12/28/19
CISM Certification: CISM Domain 3 Video Boot Camp 2020,www.udemy.com/course/cism-domain-3/,"Thor Pedersen | 30,000+ students worldwide",199.99,11.99,4.5(66 ratings),IT & Software,IT Certification,CISM,"1,176",English,Certified Information Security Manager (CISM) Domain 3 - Get 4 hours of videos and downloadable lecture slides.,10/2019,12/28/19
MTA 98-367 Security Fundamentals Class & Exam Prep Bundle,www.udemy.com/course/mta-98-367-security-fundamentals-class-exam-prep-bundle/,Alton Hardin,99.99,11.99,4.8(167 ratings),IT & Software,IT Certification,Cyber Security,"1,498",English,"Everything you need to pass the Microsoft MTA 98-367 exam on your 1st attempt, includes 2 full-length practice exams!",5/2019,12/28/19
The Complete Cyber Security Course - Practice Test - Vol 1,www.udemy.com/course/the-complete-cyber-security-course-practice-test-vol-1/,Nathan House,119.99,11.99,3.8(26 ratings),IT & Software,Network & Security,Cyber Security,"1,111",English,Test your skills and knowledge from taking The Complete Cyber Security Course - Volume 1,11/2018,12/28/19
SOC Analyst Training with Hands-on to SIEM from Scratch,www.udemy.com/course/soc-analyst-cyber-security-training-with-siem-solution/,Vikram Saini,0.0,199.99,3.9(141 ratings),IT & Software,Network & Security,Cyber Security,376,English,"Learn Day to Day job performed by Security Analyst to Protect, Defend & Eliminate the attack [++Subtitles Added++]",9/2019,12/28/19
IFCI Expert Cybercrime Investigator's Course,www.udemy.com/course/ifci-expert-cybercrime-investigators-course/,Brian Hussey,174.99,43.75,4.6(155 ratings),IT & Software,Network & Security,Cyber Security,748,English,"Protect your network - Put cybercriminals in jail. Learn computer forensics, malware analysis and hacker investigations.",1/2015,12/28/19
