Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Beginner Nikon Digital SLR (DSLR) Photography,www.udemy.com/course/jp-nikon-dslr-for-beginners/,JP Teaches Photo .,29.99,11.99,"4.6(3,773 ratings)",Photography,Digital Photography,DSLR,"20,709",English,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,12/2013,01/01/20
Digital Photography for Beginners with DSLR cameras,www.udemy.com/course/digital-photography-for-beginners-with-dslr-cameras/,Villiers Steyn,99.99,11.99,"4.6(1,763 ratings)",Photography,Digital Photography,DSLR,"8,541",English,Learn how to take stunning photographs by mastering both the technical and creative sides of digital photography.,10/2019,01/01/20
Photography Beginners: DSLR Photography Camera Settings,www.udemy.com/course/dslr-camera-settings-photography-for-beginners-photography-made-easy/,Rosie Parsons,99.99,11.99,4.7(986 ratings),Photography,Photography Fundamentals,DSLR,"5,012",English,Photography settings - learn how to get the most from your DSLR camera and improve your photography!,11/2017,01/01/20
Beginner Canon Digital SLR (DSLR) Photography,www.udemy.com/course/beginner-canon-digital-slr-dslr-photography-class-jp/,JP Teaches Photo .,29.99,11.99,"4.6(1,869 ratings)",Photography,Digital Photography,DSLR,"10,686",English,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,11/2014,01/01/20
Nikon DSLR Photography: Getting Started with Your DSLR,www.udemy.com/course/nikon-camera-photography-course/,Phil Ebiner,99.99,11.99,4.8(51 ratings),Photography,Photography Tools,DSLR,"2,446",English,Improve your photography by learning how to confidently use your Nikon DSLR camera - perfect for beginner photographers!,11/2019,01/01/20
Canon DSLR Photography: Getting Started with Your DSLR,www.udemy.com/course/canon-dslr-photography-course/,Phil Ebiner,99.99,11.99,4.7(141 ratings),Photography,Digital Photography, DSLR,969,English,Improve your photography by learning how to confidently use your Canon DSLR camera - perfect for beginner photographers!,5/2019,01/01/20
DSLR Video Production - Start Shooting Better Video Today,www.udemy.com/course/dslr-video-production-online-course-tutorial-training/,Phil Ebiner,199.99,11.99,"4.4(1,044 ratings)",Photography,Video Design,DSLR,"26,139",English,Learn how to shoot beautiful video with your DSLR camera. This is the perfect video course for beginners and hobbyists.,11/2018,01/01/20
EasyDSLR Digital Photography Course for Beginners,www.udemy.com/course/easydslr-for-beginners/,Ken Schultz,34.99,11.99,4.6(648 ratings),Photography,Digital Photography,DSLR,"9,024",English,Take dramatically better photos by learning the basic principles you need to master your DSLR camera,5/2013,01/01/20
DSLR Filmmaking: From Beginner to PRO!,www.udemy.com/course/dslr-filmmaking-beginner-pro/,Jordy Vandeput,69.99,11.99,4.5(512 ratings),Photography,Photography Fundamentals,DSLR,"1,856",English,"Just you, your DSLR and exciting camera techniques will take your filmmaking skills to the next level!",6/2017,01/01/20
EasyDSLR Digital Photography Course: Advanced,www.udemy.com/course/easydslr-advanced/,Ken Schultz,74.99,11.99,4.2(179 ratings),Photography,Digital Photography,DSLR,"5,454",English,"Go beyond the Basics with advanced digital photography course. Learn Creative Scenarios, Image Editing and HD Videos.",5/2017,01/01/20
