Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Shuffle Dance Master Class Vol 1. | How to Shuffle Dance,www.udemy.com/course/how-to-shuffle-dance-tutorial/,Brian Bee,49.99,13.19,4.5(515 ratings),Health & Fitness,Dance, ,"3,420",English,"The step-by-step system for learning how to Shuffle dance (Cutting Shapes, EDM Dancing)",10/2018,01/01/20
Basic Dance Moves for Guys - Completely beginner lessons,www.udemy.com/course/basic-dance-moves-for-guys/,Brian Bee,84.99,14.39,4.5(447 ratings),Personal Development,Self Esteem,Dance,"3,577",English,"Step-by-step, follow along system for the common man with 0 dance experience to learn how to dance",7/2017,01/01/20
Shuffle Dance Master Class Vol 2. | How to Shuffle Dance,www.udemy.com/course/shuffle-dance-moves/,Brian Bee,49.99,11.39,4.4(28 ratings),Health & Fitness,Dance, ,736,English,"Intermediate Shuffle Dance Moves for Parties, Festivals and Dancing to EDM or House Music",11/2018,01/01/20
Learn to dance with 'Colourform',www.udemy.com/course/colourform/,Nathan Short,34.99,11.39,4.7(28 ratings),Health & Fitness,Dance, ,213,English,The clever new way for absolute beginners to learn how to dance by using colour and musical cues,7/2018,01/01/20
32 Footwork Dance Moves for Parties and Showing Off,www.udemy.com/course/footwork-dance-tutorial/,Brian Bee,64.99,11.39,4.8(79 ratings),Health & Fitness,Dance, ,"1,546",English,"Shuffling, House Dance, Hip Hop, C Walk and Charleston dance moves for parties",6/2017,01/01/20
Dance Floor Confidence | How to Dance at a Club - for Men,www.udemy.com/course/how-to-dance-at-a-club/,Brian Bee,49.99,11.39,4.3(197 ratings),Health & Fitness,Dance, ,"3,998",English,"Find out how to become comfortable on the dance floor, have fun and not look silly! For men only!",8/2016,01/01/20
Persian Classical Dance | Add Grace & Elegance to Your Body,www.udemy.com/course/persiandance/,Iana Komarnytska,0.0,49.99,5.0(13 ratings),Health & Fitness,Dance, ,72,English,Learn and master the fundamentals of Persian Classical dance: from basic movements to complete dance routines with Iana!,8/2019,01/01/20
Party Dance Moves For Guys - Basic and Intermediate Moves,www.udemy.com/course/how-to-dance-at-a-party/,Brian Bee,69.99,11.39,4.7(15 ratings),Health & Fitness,Dance, ,416,English,"Popular freestyle party dance moves from TV and music videos that are perfect for clubs, weddings, and social events",9/2017,01/01/20
20 Moves in 20 Days: Beginning Tap Dance,www.udemy.com/course/20movesin20days-beginningtapdance/,Lindsey Dinneen,19.99,11.39,4.4(18 ratings),Health & Fitness,Dance, ,128,English,Tap into a new you! Learn 20 beginning tap dance moves in just 20 days in the comfort of your own home at your own time!,7/2019,01/01/20
"Social Ballroom Dancing Crash Course (Waltz, Swing, Rumba)",www.udemy.com/course/social-dancing-crash-course-ballroom-dancing/,Leon Turetsky,39.99,11.39,4.4(14 ratings),Health & Fitness,Dance, ,231,English,"Learn the basic dance steps of 3 Ballroom dances: Waltz, Swing, Rumba. Use these moves at weddings, clubs or parties",5/2018,01/01/20
Dance the Charleston,www.udemy.com/course/charleston/,Dax Hock,44.99,11.39,4.2(33 ratings),Health & Fitness,Dance, ,506,English,"Learn to dance the Charleston! Improve body movement, rhythm, coordination, get fit and have a load of FUN!",8/2013,01/01/20
Cutting Shapes||Shuffle Dance Beginner to Advanced Course,www.udemy.com/course/cutting-shapes-shuffle-dance-tutorial-course-beginner-to-advenced/,Ali Chokairy,54.99,11.39,3.8(39 ratings),Health & Fitness,Dance, ,"6,008",English,The Complete Shuffle Dance || Cutting Shapes Course To Becoming A Pro in EDM & House music dancing (Tutorials & Advices),4/2019,01/01/20
An Introduction to Flamenco Dance,www.udemy.com/course/an-introduction-to-flamenco-dance/,Ana Dueñas León,39.99,11.39,4.1(28 ratings),Health & Fitness,Dance, ,262,"English
 ",Tangos Flamencos,7/2017,01/01/20
Get Sexy! Learn Luscious Lap Dance,www.udemy.com/course/get-sexy-learn-luscious-lap-dance/,kimberly smith,59.99,13.79,4.3(55 ratings),Health & Fitness,Dance, ,503,English,A beginner's guide to lap dancing,12/2016,01/01/20
"How to Twerk Dance, Twerk Tutorial - A Tale of Two Twerkers",www.udemy.com/course/how-to-twerk-dance-tutorial/,Chi Szeto,39.99,12.59,4.7(23 ratings),Health & Fitness,Dance, ,566,English,"Basic to Advanced moves broken down so anyone can look amazing Twerkin' out! Standing, Ground, Wall Twerks & Freestyle",12/2014,01/01/20
Modern Dance Beginner Course,www.udemy.com/course/online-modern-dance-beginner-course/,Renata Simon,29.99,11.39,4.5(28 ratings),Health & Fitness,Dance, ,219,English,"I have compiled an online series of exercises that you can start practising, from the beginner level.",12/2017,01/01/20
Dance Floor Game/Club Seduction,www.udemy.com/course/dance-floor-game-club-seduction/,Chi Szeto,49.99,11.39,3.5(65 ratings),Health & Fitness,Dance, ,"1,299",English,"How to Approach, Attract and Interact with Women on the Dance Floor at Clubs, Parties, and Weddings",1/2015,01/01/20
Casual Dance Moves and Grooves | How to Move to Music,www.udemy.com/course/casual-dance-moves/,Brian Bee,49.99,11.39,4.3(17 ratings),Health & Fitness,Dance, ,154,English,"Simple dance moves and dance grooves for casual social events, clubs, pubs or weddings",11/2018,01/01/20
THE HOUSE DANCE MASTERCLASS,www.udemy.com/course/housedance/,Erich Reyes,39.99,11.39,3.9(56 ratings),Health & Fitness,Dance, ,887,English,"A Creative approach to House Dance Foundation, Freestyling and Creating your own style",2/2019,01/01/20
Dance Like Michael Jackson with DEV as MJ,www.udemy.com/course/dance-like-michael-jackson-with-dev-as-mj/,Devra Gregory,49.99,11.39,4.8(11 ratings),Health & Fitness,Dance, ,141,English,"Learn to dance like Michael Jackson, The King of Pop. 21 positive affirmations accompany each move!",11/2017,01/01/20
How To Burlesque Dance Class For Beginners,www.udemy.com/course/how-to-burlesque-dance-class-for-beginners/,Jesse Wong,24.99,11.39,5.0(3 ratings),Health & Fitness,Dance, ,57,English,Learn the basics of Burlesque dance with two simple routines designed for beginners.,12/2018,01/01/20
Dance Grooves For Men (level 2) -,www.udemy.com/course/simple-dance-moves-for-men/,Brian Bee,69.99,11.39,5.0(5 ratings),Lifestyle,Other,Dance,246,English,"Intermediate casual dance grooves for parties, clubs, weddings and social functions",6/2017,01/01/20
Femme Essence: Own Your Femininity Through Dance,www.udemy.com/course/femme-essence/,Liezel Marie,99.99,11.39,4.1(15 ratings),Health & Fitness,Dance, ,"2,622",English,Learn 4 Beginner Routines Designed To Help You Own Your Sensuality,6/2017,01/01/20
A Beginner's Guide to Learning Hula and Getting Fit Dancing,www.udemy.com/course/getfitwithhula/,Koa Koki,19.99,11.99,4.8(12 ratings),Health & Fitness,Dance, ,165,English,"Learn basic hula moves, how to get toned while dancing hula, and learn an actual hula song entitled Ka Lehua I Mili'a",8/2017,01/01/20
Kizomba On Fire! Learn Kizomba & Have Fun on The Dance Floor,www.udemy.com/course/kizombaonfire/,Joao Capela,24.99,11.39,4.7(8 ratings),Health & Fitness,Dance, ,59,English,A Dynamic Kizomba Course That Will Take You from Absolute Beginner to Intermediate while Providing You Hours of Fun!,5/2019,01/01/20
Irish Dance for Beginners: An Introduction,www.udemy.com/course/irish-dance-for-beginners-an-introduction/,Martin Percival,29.99,11.39,4.2(25 ratings),Health & Fitness,Dance, ,648,English,Learn the basics of Irish Dance from a Pro! Step by Step break down so anyone can learn,3/2018,01/01/20
Learn Country Swing Dancing for Beginners,www.udemy.com/course/learn-country-swing-dancing-for-beginners/,David Reeb,19.99,11.39,5.0(1 rating),Health & Fitness,Dance, ,23,English,Learn the basics of Country Swing Dancing,9/2019,01/01/20
20 Moves in 20 Days: Intermediate Jazz Dance,www.udemy.com/course/20movesin20-days-intermediatejazzdance/,Lindsey Dinneen,29.99,11.39,5.0(1 rating),Health & Fitness,Dance, ,17,English,Learn 20 intermediate jazz dance moves in just 20 days in the comfort of your own home at your own time!,9/2019,01/01/20
Modern Dance - imporvisation skills,www.udemy.com/course/modern-dance-imporvisation-skills/,Renata Simon,29.99,11.39,5.0(6 ratings),Health & Fitness,Dance, ,79,English,let's move with fun and awarness !,12/2019,01/01/20
"How To Club Dance-Crash Course For Men|Openers, Basic Moves",www.udemy.com/course/how-to-club-dance-crash-course-for-men/,Chi Szeto,49.99,11.39,3.8(35 ratings),Health & Fitness,Dance, ,933,English,Everything you need to help you look more natural & smooth in under 1 hour. Stop feeling left out- join in on the FUN!,1/2015,01/01/20
Learn to dance the Rumba - Ultimate Rumba Dance Class,www.udemy.com/course/learn-to-dance-the-rumba/,Izabela Rai,39.99,11.39,5.0(2 ratings),Health & Fitness,Dance, ,24,English,"Step-by-step, fully interactive guide to the Rumba",5/2019,01/01/20
Essential Skills & Secrets for FANTASTIC Partner Dancing,www.udemy.com/course/partnerdancing/,Art Lashbrook,19.99,11.39,4.5(17 ratings),Health & Fitness,Dance, ,545,English,"Dramatically improve how you partner dance, whether you're new or dancing for years! Ballroom, Latin, Social, Club",10/2014,01/01/20
Personal Transformation via Free-Form Movement & Dance,www.udemy.com/course/bl101-conscious-dance/,Holli McCormick,99.99,11.39,4.5(15 ratings),Health & Fitness,Dance, ,55,English,An Introduction to Conscious & Ecstatic Dance Spaces,1/2019,01/01/20
Freestyle Dance For Beginners,www.udemy.com/course/freestyle-101/,Emeroy Bernardo,39.99,11.39,4.3(31 ratings),Health & Fitness,Dance, ,"4,394",English,Your Step-By-Step Guide To Freestyle Hip Hop Dance and Building Your Dance Floor Confidence,7/2018,01/01/20
Learn to Dance: The Hip Hop 2 Step,www.udemy.com/course/learn-to-dance-the-2-step/,Ceech Hsu,49.99,11.39,5.0(18 ratings),Health & Fitness,Dance, ,146,English,Learn and master the hip hop 2 step.,4/2017,01/01/20
Dubstep Popping Made Simple: Foundation of Animation Dance,www.udemy.com/course/beginnerpopping/,Erich Reyes,39.99,11.39,4.1(56 ratings),Health & Fitness,Dance, ,564,English,Kill the dance floor with popping animation and illusions that make you look like a robot!,2/2019,01/01/20
Workout with awarness! - dancer strengthening & stretching,www.udemy.com/course/learn-dancer-strengthening-stretching/,Renata Simon,29.99,11.39,4.1(17 ratings),Health & Fitness,Fitness,Dance,161,English,Dancer Strengthening & Stretching,2/2018,01/01/20
