Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Microsoft Power BI - Up & Running With Power BI Desktop,www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,Maven Analytics,199.99,11.99,"4.6(9,445 ratings)",Business,Data & Analytics,Microsoft Power BI,"34,890",English,"Transform, analyze & visualize data with Microsoft Power BI Desktop: hands-on demos, projects & 1-on-1 Power BI support",12/2019,12/30/19
"Microsoft Excel - Excel Power Query, Power Pivot & DAX",www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/,Maven Analytics,174.99,11.99,"4.7(5,157 ratings)",Office Productivity,Microsoft,Power Pivot,"24,243",English,"Learn Excel business intelligence (Power Query, Power Pivot & DAX) with a best-selling Excel instructor (Excel 2013+)",10/2019,12/30/19
The Complete Database Design & Modeling Beginners Tutorial,www.udemy.com/course/the-complete-database-modeling-and-design-beginners-tutorial/,Rares Ilea,94.99,11.39,"4.3(1,120 ratings)",Development,Databases,Database Design,"14,262",English,Learn Database Design the easy way. Go from simple to complex with a real life example: online store's DB using MySQL.,4/2019,12/30/19
Data Modeling and Relational Database Design using ERwin,www.udemy.com/course/datamodeling/,Haris Kilikotu,49.99,11.39,4.2(585 ratings),IT & Software,Other,Data Modeling,"2,272",English,Course that teaches how ERwin Data modeler can help you create & maintain sound relational database designs,10/2017,12/30/19
Learning Data Modeling,www.udemy.com/course/learning-data-modeling/,Infinite Skills,49.99,11.39,4.0(366 ratings),IT & Software,Other,Data Modeling,"3,315",English,A step by step guide to data modeling concepts and best practices underpinning sound database design.,1/2017,12/30/19
SAP BW 7.4 ZERO TO HERO - MODELING,www.udemy.com/course/sap-bw-74-zero-to-hero/,Kiran Kumar,199.99,12.59,4.1(450 ratings),Office Productivity,SAP,Data Modeling,"2,010",English,LEARN SAP BW MODELING FROM THE SCRATCH,3/2017,12/30/19
OBIEE 12c Data Modeling Course,www.udemy.com/course/obiee-12c-data-modeling-course/,Sanjay Singh,99.99,11.39,4.2(91 ratings),Office Productivity,Oracle,Data Modeling,563,English,"Data Modeling, RPD, Physical, BMM, and Presentation layer, Logical Dimensions and Hierarchies, Measures, Analysis",10/2019,12/30/19
Database design using ER modelling & Normalization technique,www.udemy.com/course/data-modeling/,Een jeen,39.99,11.39,4.2(123 ratings),Development,Databases,"Data Modeling
 ","4,602",English,Learn Database design using examples in a very short period of time.,10/2018,12/30/19
PEGA (PRPC) Training - 20 Hrs - Learnoa Certification,www.udemy.com/course/pega-prpc-73-training-18-hrs-learnoa-certification/,Learnoa .com,139.99,35.0,3.4(11 ratings),IT & Software,IT Certification,Data Modeling,23,English,PEGA,8/2019,12/30/19
Beginners Data Analysis Bootcamp with SQL,www.udemy.com/course/beginners-data-analysis-bootcamp-with-sql/,Adnan Shaikh,104.99,11.39,4.1(71 ratings),IT & Software,Other,Data Modeling,331,English,"Learn the four key pillars of Data Analysis: Databases , Data Modeling , SQL and Data Visualization.",1/2019,12/30/19
SAP  BI/ BW 7.4  Training  - Step by Step,www.udemy.com/course/sap-bi-bw-74/,SAP BW,194.99,11.39,2.9(38 ratings),IT & Software,Other,Data Modeling,214,English,"Learn SAP BW - Training - Data Modelling , Extraction, Transformation",6/2017,12/30/19
Microsoft 70-466:Implementing Data Models & Reports,www.udemy.com/course/microsoft-70-466implementing-data-models-reports/,Stone River eLearning,199.99,11.39,3.8(38 ratings),IT & Software,IT Certification,Data Modeling,344,English,Implementing Data Models & Reports with MSSQL Server 2012,12/2016,12/30/19
Developing with MongoDB,www.udemy.com/course/developing-with-mongodb/,Packt Publishing,124.99,11.39,4.0(1 rating),Development,Databases,Data Modeling,39,English,Comprehensive tutorial to help you master the complex querying and advanced data modeling concepts in MongoDB,5/2017,12/30/19
"Mediation, Moderation, and Conditional Process Analysis",www.udemy.com/course/mediation-moderation-and-conditional-process-analysis/,"Geoffrey Hubona, Ph.D.",24.99,11.39,3.9(30 ratings),Teaching & Academics,Social Science,Data Modeling,930,English,"How to estimate detailed direct, indirect, and total effects for complex, intertwined mediating and moderating effects.",12/2015,12/30/19
Comprehensive Course on MongoDB and Data Modeling,www.udemy.com/course/comprehensive-course-on-mongodb-and-data-modelling/,Digitorious Technologies,199.99,11.39,3.1(49 ratings),Development,Databases,MongoDB,360,English,Gain complete proficiency in mongoDB and NoSql with perfect expertise and knowledge.,4/2017,12/30/19
Data Mining with Python! Real-Life Data Science Exercises,www.udemy.com/course/datamining/,Mammoth Interactive,199.99,11.39,3.0(2 ratings),Business,Data & Analytics,Data Modeling,62,English,"Bootcamp of the hottest topics including visualization, machine learning, Apache Spark, SQL, NLP, Matplotlib and more!",6/2018,12/30/19
