Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Learning Python for Data Analysis and Visualization,www.udemy.com/course/learning-python-for-data-analysis-and-visualization/,Jose Portilla,194.99,11.39,"4.3(12,213 ratings)",Development,Programming Languages,Data Analysis,"135,284",English,"Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!",9/2019,01/01/20
"Microsoft Excel - Data Visualization, Excel Charts & Graphs",www.udemy.com/course/advanced-excel-charts-graphs/,Maven Analytics,174.99,11.39,"4.5(4,854 ratings)",Office Productivity,Microsoft,Excel,"31,073",English,Master 20+ Excel charts & graphs and build custom visuals with a best-selling Excel instructor (Excel 2016 - Excel 2019),11/2019,01/01/20
After Effects - Motion Graphics & Data Visualization,www.udemy.com/course/animated-infographic-video-data-visualisation/,Daniel Walter Scott,194.99,11.39,"4.6(2,379 ratings)",Design,3D & Animation,After Effects,"15,479",English,"Using Adobe After Effects create beautiful VFX Visual Effects, data visualization & VFX Compositing.",7/2019,01/01/20
Mastering data visualization in D3.js,www.udemy.com/course/masteringd3js/,Adam Janes,199.99,11.39,"4.4(1,928 ratings)",Development,Web Development,Data Visualization,"10,314",English,Design and build beautiful data visualizations with d3.js. An intensive introduction to the D3 library (V6).,6/2018,01/01/20
Tableau 2019 + Tableau 2018: Tableau DS Certification,www.udemy.com/course/tableau-desktop-specialist-certification/,Emin Cengay,199.99,11.39,4.4(925 ratings),IT & Software,IT Certification,Tableau,"2,650",English,Official Tableau Desktop Specialist Certification Syllabus + 2 Mock Exams Learn Tableau to become a Tableau Specialist!,11/2019,01/01/20
Tableau Expert: Top Visualization Techniques in Tableau 10,www.udemy.com/course/mastering-top-visualization-techniques-in-tableau/,Ben Young,199.99,11.39,4.6(844 ratings),Business,Data & Analytics,Tableau,"8,013",English,"Become An Expert In Tableau 10 - Master Visualisation Techniques Including Sankey Diagrams, Viola Charts And More",12/2019,01/01/20
Learn and Understand D3.js for Data Visualization,www.udemy.com/course/learn-d3js-for-data-visualization/,Luis Ramirez Jr,84.99,11.39,4.7(559 ratings),Development,Web Development,Data Visualization,"5,718",English,Dive deep under the hood of D3.js. Learn core concepts and build stunning data visualizations using D3 version 6.x,5/2018,01/01/20
Grafana and Graphite from Beginner to Advanced (3rd Edition),www.udemy.com/course/grafana-graphite-and-statsd-visualize-metrics/,Aref K.,99.99,11.99,"4.3(1,001 ratings)",IT & Software,Other,Data Visualization,"5,994",English,"Monitoring servers, applications and infrastructure for DevOps and Developers",6/2019,01/01/20
Qlik Sense for Data Science and BI,www.udemy.com/course/qlik-sense/,JP Labuschagne,29.99,11.39,4.5(41 ratings),Business,Data & Analytics,Data Visualization,275,English,Learn Qlik Sense step-by-step with Real World Challenges - Learn by Doing!,10/2019,01/01/20
Python for Machine Learning bootcamp,www.udemy.com/course/python-for-machine-learning-bootcamp/,behi oueslati,184.99,11.39,4.5(78 ratings),Development,Data Science,Data Visualization,"11,153",English,Learn to create Machine Learning Algorithms in Python from Zero to Hero,12/2019,01/01/20
Data Visualization on the Browser with Python and Bokeh,www.udemy.com/course/python-bokeh/,Ardit Sulce,94.99,11.39,4.4(732 ratings),Business,Data & Analytics,Data Visualization,"6,384",English,A complete guide on creating beautiful plots and data dashboards on the browser using the Python Bokeh library.,11/2018,01/01/20
Creating Bespoke Data Visualisations in Tableau,www.udemy.com/course/creating-bespoke-data-visualisations-in-tableau/,Toan Hoang,99.99,11.39,4.8(128 ratings),IT & Software,Other,Data Visualization,655,English,Improving your Tableau Skills through engaging your imagination,8/2019,01/01/20
Qlik Sense Masterclass for Data Science and BI,www.udemy.com/course/qlik-sense-advanced/,JP Labuschagne,29.99,11.39,4.7(14 ratings),Business,Data & Analytics,Data Visualization,164,English,Become a Qlik Sense Master - Step-by-step with Real World Challenges. Learn by Doing!,10/2019,01/01/20
The Complete D3.js Data Visualization Guide,www.udemy.com/course/the-complete-d3js-data-visualization-guide/,"Paulo Dichone | Android, Java, Flutter Developer and Teacher",199.99,11.39,4.6(92 ratings),Development,Web Development,D3.js,876,English,"Bring Data to life with D3.Js Data Visualization Library. Master JavaScript, HTML, CSS and Build Stunning Data Visuals",3/2019,01/01/20
