Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Ultimate Digital Painting Course - Beginner to Advanced,www.udemy.com/course/the-ultimate-digital-painting-course-beginner-to-advanced/,Jaysen Batchelor,194.99,11.99,"4.5(1,091 ratings)",Design,Graphic Design,Digital Painting,"12,021",English,Everything from drawing fundamentals to professional painting techniques,12/2019,01/01/20
The Digital Painting MEGA Course: Beginner to Advanced,www.udemy.com/course/the-digital-painting-mega-course-beginner-to-advanced/,Austin Batchelor,199.99,11.99,"4.5(2,843 ratings)",Design,Other,Digital Painting,"28,101",English,Learn the #1 most important skill for digital artists!,5/2018,01/01/20
The Complete Environment Painting Super Course,www.udemy.com/course/the-complete-environment-painting-super-course/,Colton Dubell,139.99,11.99,4.6(66 ratings),Design,Game Design,Digital Painting,"7,591",English,Learn to Draw and Paint Environments from Imagination,8/2019,01/01/20
The Ultimate Guide to Digitally Painting Everything,www.udemy.com/course/the-ultimate-guide-to-digitally-painting-everything/,Austin Batchelor,199.99,11.99,4.5(474 ratings),Design,Game Design,Digital Painting,"14,304",English,A beginners guide to painting anything you can think of,11/2019,01/01/20
Digital Painting Master Class : Beginner to Advanced,www.udemy.com/course/adobe-photoshop-illustrator-digital-painting-master-class/,[ School of Game Design ],154.99,11.99,4.6(610 ratings),Design,Graphic Design,Digital Painting,"7,547",English,"Digital painting and drawing has never been this fun. Illustrate characters, creatures, landscapes and more!",7/2019,01/01/20
Digitally Painting Light and Color: Amateur to Master,www.udemy.com/course/master-painting-light-and-color-amateur-to-advanced/,Austin Batchelor,139.99,11.99,"4.6(1,028 ratings)",Design,Game Design,Digital Painting,"21,296",English,Learn the fundamentals of light and color and take your art to the next level.,11/2019,01/01/20
Character Painting: Design and Render Like a Pro,www.udemy.com/course/character-painting/,Hardy Fowler,119.99,11.99,4.7(759 ratings),Design,Graphic Design,Digital Painting,"5,664",English,Learn Incredibly Cool Photoshop Painting Techniques to Create Professional Level Character Art,10/2018,01/01/20
Photorealistic Digital Painting From Beginner To Advanced.,www.udemy.com/course/photorealistic-digital-painting-from-beginner-to-advanced/,Austin Batchelor,109.99,11.99,"4.3(1,552 ratings)",Design,Game Design,Digital Painting,"28,199",English,Bring your imagination to life!,11/2019,01/01/20
Painting Faces with the Power of Photoshop,www.udemy.com/course/painting-faces/,Hardy Fowler,59.99,11.99,4.6(700 ratings),Design,Graphic Design,Digital Painting,"4,130",English,Master a Timeless Art Form using the Digital Medium,4/2018,01/01/20
The Digital Painting w/ Procreate Guide | Grayscale method,www.udemy.com/course/procreatepainting/,Kurt Michael Russell,49.99,11.99,4.7(396 ratings),Lifestyle,Arts & Crafts,Digital Painting,"3,173",English,"We'll complete a digital painting in this step-by-step, easy to follow course with tons of tips, tricks, & shortcuts!",1/2019,01/01/20
Digital Landscapes : Painting Environments with Photoshop,www.udemy.com/course/digital-landscapes-painting-environments-with-photoshop/,Hardy Fowler,24.99,11.99,"4.2(1,050 ratings)",Design,Other,Photoshop,"7,457",English,A step by step guide to create amazing digital environment paintings using adobe photoshop.,3/2016,01/01/20
Digital Painting: From Sketch to Finished Product,www.udemy.com/course/digital-painting-from-sketch-to-finished-product/,Hardy Fowler,24.99,11.99,"4.5(1,185 ratings)",Design,Other,Digital Painting,"6,654",English,A step by step guide to create amazing digital paintings using adobe photoshop.,2/2018,01/01/20
The Adventurers Guide to Drawing and Painting Dragons,www.udemy.com/course/the-adventurers-guide-to-drawing-and-painting-dragons/,Austin Batchelor,119.99,11.99,4.2(49 ratings),Design,Other,Digital Painting,828,English,Everything you'll ever need to draw and paint amazing dragons.,11/2019,01/01/20
Concept Art Essentials | Digital Painting From Scratch,www.udemy.com/course/concept-art-essentials/,Kemane Ba,119.99,11.99,4.2(61 ratings),Design,Graphic Design,Digital Painting,896,English,Creating a full conceptual Artwork,2/2019,01/01/20
Digital Painting in Photoshop: Create Amazing Concept Art,www.udemy.com/course/digital-painting-in-photoshop-create-amazing-concept-art/,Robert Marzullo,199.99,11.99,4.6(261 ratings),Lifestyle,Arts & Crafts,Digital Painting,"2,345",English,Create stunning concept art with Adobe Photoshop and learn the features to aid in that process.,8/2018,01/01/20
The Complete Sketching and Speedpainting Super Course,www.udemy.com/course/the-complete-sketching-and-speedpainting-super-course/,Colton Dubell,139.99,11.99,4.5(23 ratings),Design,Game Design,Digital Painting,"5,966",English,"Learn Sketching and Speedpainting, from the basics to advanced techniques",11/2019,01/01/20
Drawing and Painting in Adobe Fresco,www.udemy.com/course/adobe-fresco/,Brad Colbow,19.99,11.99,4.8(25 ratings),Design,Design Tools,Digital Painting,162,English,Learn to use Fresco's amazing real media brushes to compose stunning illustrations,11/2019,01/01/20
Complete Beginner's Guide to Digital Painting,www.udemy.com/course/digital-painting-for-the-absolute-beginner/,Rich Graysonn,199.99,11.99,4.4(129 ratings),Design,Other,Digital Painting,"1,345",English,"Learn the basics of Digital Painting,Blending Blocking and beyond.",7/2019,01/01/20
Paint like Bob Ross digitally,www.udemy.com/course/bob-ross/,Neil Fontaine,49.99,11.99,4.1(16 ratings),Design,Graphic Design,Digital Painting,235,English,Learn to paint like Bob Ross on your tablet or PC,9/2019,01/01/20
