Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Docker and Kubernetes: The Complete Guide,www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Stephen Grider,99.99,11.99,"4.6(19,625 ratings)",Development,Development Tools,Docker,"96,889",English,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",12/2019,01/02/20
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,www.udemy.com/course/docker-mastery/,Bret Fisher,199.99,11.99,"4.6(28,665 ratings)",Development,Development Tools,Docker,"130,962",English,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",12/2019,01/02/20
Docker for the Absolute Beginner - Hands On - DevOps,www.udemy.com/course/learn-docker/,Mumshad Mannambeth,199.99,11.99,"4.6(8,863 ratings)",IT & Software,Other,Docker,"38,849",English,Learn Docker with Hands On Coding Exercises. For beginners in DevOps,12/2019,01/02/20
Build a Backend REST API with Python & Django - Advanced,www.udemy.com/course/django-python-advanced/,Mark Winterbottom,59.99,11.99,"4.5(1,348 ratings)",Development,Web Development,Django,"7,202",English,"Create an advanced REST API with Python, Django REST Framework and Docker using Test Driven Development (TDD)",10/2019,01/02/20
Docker for Node.js Projects From a Docker Captain,www.udemy.com/course/docker-mastery-for-nodejs/,Bret Fisher,89.99,11.99,4.7(433 ratings),Development,Development Tools,Docker,"4,478",English,"Build, test, deploy Node for Docker, Kubernetes, Swarm, and ARM with the latest DevOps practices from a container expert",12/2019,01/02/20
Docker: A Project-Based Approach to Learning,www.udemy.com/course/docker-tutorial/,Jason Cannon,199.99,11.99,4.6(95 ratings),Development,Development Tools,Docker,"1,085",English,Learn how to manage Docker hosts and Docker containers through project-based training.,12/2019,01/02/20
Docker for Java Developers - with Spring Boot Microservices,www.udemy.com/course/docker-course-with-java-and-spring-boot-for-beginners/,in28Minutes Official,29.99,11.99,4.5(179 ratings),IT & Software,Other,Docker,"2,018",English,"Docker for Java Developers . Use Docker to Deploy Spring Boot REST API, Full Stack & Microservices - with Docker Compose",12/2019,01/02/20
Docker for Java Developers,www.udemy.com/course/docker-for-java-developers/,John Thompson,149.99,11.99,"4.2(1,810 ratings)",Development,Software Engineering,Docker,"13,029",English,Learn how you can use Docker to supercharge your enterprise Java Development!,12/2019,01/02/20
Docker Crash Course for busy DevOps and Developers,www.udemy.com/course/docker-tutorial-for-devops-run-docker-containers/,Tao W.,124.99,11.99,"4.4(8,260 ratings)",Development,Web Development,DevOps,"40,248","English
 ",Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.,5/2018,01/02/20
Docker - SWARM - Hands-on - DevOps,www.udemy.com/course/learn-docker-advanced/,Mumshad Mannambeth,199.99,11.99,4.6(737 ratings),IT & Software,Network & Security,Docker,"7,624",English,"Explore Docker concepts in-depth with lectures, demos and hands-on coding exercises. Learn Swarm and Services in DevOps.",11/2019,01/02/20
Docker - Hands On for Java Developers,www.udemy.com/course/docker-hands-on/,Richard Chesterwood,24.99,11.99,4.6(855 ratings),Development,Development Tools,Docker,"4,629",English,"Get real world, hands-on experience with Docker - deploy a Java Microservice Architecture using Docker and Docker Swarm",11/2019,01/02/20
Selenium WebDriver with Docker,www.udemy.com/course/selenium-webdriver-with-docker/,Vinoth Selvaraj,194.99,11.99,4.6(312 ratings),Development,Software Testing,Docker,"1,996",English,From beginner to expert! Run your tests inside a docker container in parallel in AWS & Create disposable infrastructure,12/2019,01/02/20
DevOps Tutorial: Complete Beginners Training - 5 in 1 Bundle,www.udemy.com/course/devops-docker-complete-guide-hands-on-with-practical/,Up Degree,19.99,11.99,"3.4(1,732 ratings)",Development,Development Tools,DevOps,"31,303",English,"Devops Engineer DevOps AWS DevOps Docker DevOps Jenkins DevOpsGIT , DevOps Vagran DevOps Maven",6/2019,01/02/20
"Deploy and Run Apps with Docker, Kubernetes, Helm, Rancher",www.udemy.com/course/deploy-and-run-apps-with-docker-kubernetes-helm-rancher/,Martin Bergljung,0.0,29.99,4.6(20 ratings),IT & Software,Other,Docker,173,English,"Build, deploy, and run apps in Docker and Kubernetes. Use Helm to package apps. Manage multiple clusters with Rancher.",9/2019,01/02/20
"Docker, From Zero To Hero: Become a DevOps Docker Master",www.udemy.com/course/docker-from-zero-to-hero/,Ricardo Andre Gonzalez Gomez,119.99,11.99,4.6(243 ratings),Development,Programming Languages,Docker,"6,509",English,Become a Docker DevOps Master by learning from scratch the technology that is changing the world with containers!,8/2019,01/02/20
Docker: A Beginner's Guide From Container To Swarm,www.udemy.com/course/docker-a-beginners-guide-from-container-to-swarm/,Raphael Asghar,19.99,11.99,4.7(23 ratings),IT & Software,IT Certification,Docker,198,English,"Learn how images and containers can save time, resources and effort in migrating applications to different platforms",9/2019,01/02/20
Deploy Machine Learning & NLP Models with Dockers (DevOps),www.udemy.com/course/deploy-data-science-nlp-models-with-docker-containers/,UNP United Network of Professionals,49.99,11.39,4.4(434 ratings),Development,Data Science,Docker,"2,489",English,"Learn to build Machine Learning, Deep Learning & NLP Models & Deploy them with Docker Containers (DevOps) (in Python)",6/2018,01/02/20
Get into DevOps: Best Practices for Docker with Jenkins,www.udemy.com/course/continuous-integration-docker-jenkins/,Miiro Juuso,169.99,13.19,3.8(133 ratings),Development,Development Tools,Docker,"1,384",English,Learn to build a fully automated Continuous Integration pipeline for your application using Docker and Jenkins.,9/2019,01/02/20
The Docker for DevOps course: From development to production,www.udemy.com/course/the-docker-for-devops-course-from-development-to-production/,Nick Janetakis,24.99,11.39,"4.2(1,611 ratings)",Development,Web Development,DevOps,"10,973",English,Updated for Docker v18.09+. Learn how to build and deploy web applications with Docker in an automated way.,9/2019,01/02/20
"Docker, Dockerfile, and Docker-Compose (2020 ready!)",www.udemy.com/course/docker-and-docker-compose-hands-on-by-example/,Thomas Wiesner,199.99,11.39,4.6(25 ratings),Development,Development Tools,Docker,200,English,"Learn Docker, Containers vs. Images, Dockerfile, Docker-Compose -- With Practical Hands-On Exercises. (November 2019)",12/2019,01/02/20
Hands on With Docker & Docker Compose From a Docker Captain,www.udemy.com/course/hands-on-with-docker-and-docker-compose/,Nick Janetakis,59.99,11.39,4.5(375 ratings),Development,Web Development,Docker,"1,693",English,"v18.09. Everything you need to build, run and compose Docker containers so you can start using Docker for your web apps.",11/2019,01/02/20
"Docker - Introducing Docker Essentials, Containers, and more",www.udemy.com/course/docker-containers/,David Joseph Katz,199.99,11.39,4.3(785 ratings),Development,Software Engineering,Docker,"4,131",English,"Create and run Docker containers, and build multi-container applications. Compose, Networks, Swarm, Cloud, & more!",1/2018,01/02/20
Getting started with DevOps using Azure DevOps & Docker,www.udemy.com/course/devops-using-vsts-docker-azure/,Houssem Dellai,19.99,11.99,3.5(156 ratings),Development,Development Tools,Docker,"5,059",English,Learn how to use VSTS to create CI/CD pipelines that builds and publishes a Docker image from Docker Hub to Azure,4/2018,01/02/20
Scaling Docker on AWS,www.udemy.com/course/scaling-docker-on-aws/,Nick Janetakis,24.99,13.19,4.2(858 ratings),Development,Web Development,Amazon AWS,"7,168",English,"Learn how to build and deploy a fault tolerant, scalable and load balanced Ruby on Rails application on AWS.",9/2019,01/02/20
"Hands-on introduction to OpenStack, Docker & Cloud Computing",www.udemy.com/course/introduction-to-openstack-cloud-computing/,Naveen Joy,199.99,11.39,4.3(144 ratings),IT & Software,Other,Cloud Computing,"1,133",English,"Learn the essential concepts in Cloud Computing, Docker and OpenStack through hands-on labs, quizzes & demos",2/2018,01/02/20
DOCKER | Step by Step for Beginners | with Sample Project,www.udemy.com/course/what-is-docker-step-by-step-for-beginners/,Raghav Pal,19.99,11.39,4.3(387 ratings),Development,Software Testing,Docker,"7,174",English,Docker from scratch,6/2019,01/02/20
Deploying Docker Containers to Amazon Web Services,www.udemy.com/course/deploying-docker-containers-to-amazon-web-services/,Infinite Skills,49.99,11.39,4.5(116 ratings),IT & Software,Other,Amazon AWS,842,English,Create and Manage Single or Multi-Container Applications on the Amazon EC2 Container Service,1/2017,01/02/20
Docker MasterClass : Docker & Swarm for DevOps,www.udemy.com/course/docker-for-devops/,LevelUp360° Degree,119.99,11.99,4.1(96 ratings),Design,Design Tools,Docker,"11,289",English,"Build, Test, Deploy Containers with Docker, Docker Ecosystem, Compose, Docker Swarm and Registry using DevOps",12/2019,01/02/20
