Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Inside Your Dog's Mind with Victoria Stilwell,www.udemy.com/course/insideyourdogsmind/,Victoria Stilwell,199.99,11.99,"4.2(1,654 ratings)",Lifestyle,Pet Care & Training,Dog Behavior,"7,886",English,"Understanding canine behavior and how dogs think, feel and learn to make dog training easier & more effective.",5/2017,01/01/20
Simple Solutions for Common Dog Behavior & Training Problems,www.udemy.com/course/simple-solutions-for-common-dog-behavior-training-problems/,Ian Dunbar,99.99,11.99,"4.5(2,259 ratings)",Lifestyle,Pet Care & Training,Dog Training,"14,000",English,"Learn to address house soiling, chewing, barking, digging, separation anxiety, jumping up, pulling on leash and more",5/2017,01/01/20
Crucial Concepts in Dog Behavior & Training,www.udemy.com/course/crucial-concepts-in-dog-behavior-training/,Ian Dunbar,99.99,11.99,4.2(844 ratings),Lifestyle,Pet Care & Training,Dog Training,"6,954",English,Learn cutting edge and common sense concepts that make dog training incredibly easy and effective,5/2017,01/01/20
DOG BEHAVIOR & DOG TRAINING: Fix Problems & Animal Behavior,www.udemy.com/course/dog_behavior_dogs_training_animals_behavior_puppy_puppies_pets_canines/,Manos Filippou,24.99,11.99,4.7(127 ratings),Lifestyle,Pet Care & Training,Dog Behavior,"1,644",English,"BAD DOG BEHAVIOR? ENROLL NOW! Dog Training, Animal Behavior, Puppy Training, Canine Behavior, Dogs, Puppies/Animals/Pets",5/2019,01/01/20
Dog & Cat Behavior Problems,www.udemy.com/course/dog-cat-behavior-problems/,Ian Dunbar,99.99,11.99,4.8(188 ratings),Lifestyle,Pet Care & Training,Dog Training,"1,659",English,Learn the essential training techniques you'll need to raise a pet dog or cat and fix common behavior problems.,5/2017,01/01/20
Dog Behavior Dog Training Pets & Animals - Holistic Approach,www.udemy.com/course/holistic-dog-behaviour-dog-training-pets-animals-re-framing/,Marco Adda,199.99,11.99,4.5(13 ratings),Lifestyle,Pet Care & Training,Dog Behavior,83,English,Holistic Dog Behavior. Dog Training. Behavior Issues. Dog Science. Herbs. Touch. Dog Parents. Dog Professionals.,12/2019,01/01/20
Dog Training: 50 Common Dog Behaviors & Ways to fix them,www.udemy.com/course/50-dog-behaviors-decoded-punishment-free-dog-training/,Roohi Bansal,199.99,11.99,4.4(9 ratings),Lifestyle,Pet Care & Training,Dog Behavior,94,English,Dog Behavior Masterclass! Ways to fix 50 common dog behavior issues using Punishment Free Dog Training Techniques,11/2019,01/01/20
WOLVES The DOG Ancestors - Learning Animals Nature Dog Human,www.udemy.com/course/wolves-the-most-wonderful-animals-on-earth/,Marco Adda,199.99,11.99,4.7(66 ratings),Personal Development,Other,Dog Behavior,262,English,"WOLVES and Dog, Human, Animals, Nature, Dog Behavior, Spirituality, Conservation, Dog Human Evolution, Dog Training",12/2019,01/01/20
FREE DOG Stray Dog Village Dog - The Quintessential Canine,www.udemy.com/course/free-ranging-dog-stray-village-dog-the-quintessential-canine/,Marco Adda,199.99,11.99,5.0(19 ratings),Lifestyle,Pet Care & Training,Dog Behavior,65,English,Dog Behavior And Lifestyle. Dog Ecology. Domestication. Dog Science. Best Practices Dog Parents And Dog Professionals.,12/2019,01/01/20
Dog Behavior & Training Problems,www.udemy.com/course/dog-behavior-training-problems/,Ian Dunbar,99.99,11.99,3.8(16 ratings),Lifestyle,Pet Care & Training,Dog Training,188,English,Learn how to prevent behavior problems and promptly resolve any problems that develop,10/2018,01/01/20
Dog Owners & Professionals: Where To Go From Here?,www.udemy.com/course/where-to-go-from-here/,Ian Dunbar,99.99,11.99,4.7(13 ratings),Lifestyle,Pet Care & Training,Dog Training,108,English,A seminar on the state of dog training and behavior,7/2018,01/01/20
The 5 Essential Concepts for the MODERN Dog Trainer,www.udemy.com/course/the-5-essential-concepts-for-the-modern-dog-trainer/,Dr Lisa Ackerman,19.99,11.99,0.0(0 ratings),Teaching & Academics,Science,Dog Behavior,3,English,Be a dog GUARDIAN not a dog 'owner'.,10/2019,01/01/20
Dog Training and Behavior Learn Research Backed Approaches,www.udemy.com/course/dog-training-and-behavior-learn-research-backed-approaches/,Crystal Hutchinson Tummala,89.99,11.99,3.8(4 ratings),Lifestyle,Pet Care & Training,Dog Behavior,807,English,Better Understand Your Dog And Learn To Change Your Dog's Behavior Effectively,11/2019,01/01/20
The 2-Step Leash Training System,www.udemy.com/course/the-2-step-leash-training-system/,Jorge Urroz,19.99,11.99,0.0(0 ratings),Lifestyle,Pet Care & Training,Dog Training,0,English,Train your dog not to pull on the leash in as fast as 2 easy lessons!,10/2019,01/01/20
Kā uzveikt suņa prātu un atrisināt uzvedības problēmas,www.udemy.com/course/ka-uzveikt-suna-pratu-un-atrisinat-uzvedibas-problemas/,Everita Pāne,0.0,19.99,5.0(7 ratings),Lifestyle,Pet Care & Training,Dog Behavior,39,Latvian,"ApgÅ«sti efektÄ«vo ""5 ZELTA LIKUMU"" metodi un atbrÄ«vojies no suÅa uzvedÄ«bas problÄmÄm uz visiem laikiem",9/2017,01/01/20
