Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Dr. Ian Dunbar's SIRIUS® Dog Trainer Academy - All 4 Days,www.udemy.com/course/sirius-dog-trainer-academy-4days/,Ian Dunbar,199.99,14.99,"4.5(1,450 ratings)",Lifestyle,Pet Care & Training, Dog Training,"13,132",English,Learn how to train dogs the SIRIUSÂ® way! Learn how to run and promote your own dog-friendly dog training business.,3/2017,01/01/20
Simple Solutions for Common Dog Behavior & Training Problems,www.udemy.com/course/simple-solutions-for-common-dog-behavior-training-problems/,Ian Dunbar,99.99,13.79,"4.5(2,259 ratings)",Lifestyle,Pet Care & Training,Dog Training,"14,000",English,"Learn to address house soiling, chewing, barking, digging, separation anxiety, jumping up, pulling on leash and more",5/2017,01/01/20
Science-Based Dog Training (with Feeling) - All 3 Days,www.udemy.com/course/science-based-dog-training-with-feeling-3days/,Ian Dunbar,199.99,13.19,4.4(924 ratings),Lifestyle,Pet Care & Training,Dog Training,"8,345",English,Learn effective and enjoyable dog training methods that are science-based and ready for real-world dog training.,1/2016,01/01/20
Reliability and Games 2-Day Dog Training Workshop,www.udemy.com/course/reliability-and-games-2-day-dog-training-workshop/,Ian Dunbar,199.99,14.39,4.5(782 ratings),Lifestyle,Pet Care & Training,Dog Training,"6,380",English,Training games are great for motivating owners and dogs alike. Learn to harness games to achieve rock-solid reliability,9/2017,01/01/20
Treatment & Prevention of Dog Aggression: Biting & Fighting,www.udemy.com/course/treatment-prevention-of-dog-aggression-biting-fighting/,Ian Dunbar,99.99,15.59,4.3(827 ratings),Lifestyle,Pet Care & Training,Dog Training,"6,032",English,Learn new concepts that can significantly accelerate the training of dogs with aggression and reactivity issues.,5/2017,01/01/20
Crucial Concepts in Dog Behavior & Training,www.udemy.com/course/crucial-concepts-in-dog-behavior-training/,Ian Dunbar,99.99,11.39,4.2(844 ratings),Lifestyle,Pet Care & Training,Dog Training,"6,954",English,Learn cutting edge and common sense concepts that make dog training incredibly easy and effective,5/2017,01/01/20
Punishment-Free Dog Training: 30 Day Perfect Dog Blueprint,www.udemy.com/course/punishment-free-dog-training/,Evan Walton,199.99,11.39,4.5(61 ratings),Lifestyle,Pet Care & Training,Dog Training,461,English,Create a Calm and Confident Dog in 30 Days Using These Proprietary DOG TRAINING GAMES,3/2019,01/01/20
Growl Class - A Workshop Demo for Reactive Dogs,www.udemy.com/course/dunbar-growl-class/,Ian Dunbar,99.99,13.79,"4.5(2,622 ratings)",Lifestyle,Pet Care & Training,Dog Training,"15,669",English,Dr. Ian Dunbar demonstrates how to use a group class setting to deal with dogs that are aggressive towards other dogs,3/2016,01/01/20
Dog Training - How to Work With Aggressive Dogs.,www.udemy.com/course/dog-training-how-to-work-with-aggressive-dogs/,Ted Efthymiadis,139.99,13.19,4.4(282 ratings),Lifestyle,Pet Care & Training,Dog Training,"1,727",English,A start to finish view into the rehabilitation of four aggressive dogs.,7/2018,01/01/20
Dog Training - Stop Dog Barking  - Easy Dog Training Methods,www.udemy.com/course/dogtraining-barking/,Sharon Bolt,149.99,11.39,4.4(163 ratings),Lifestyle,Pet Care & Training,Dog Training,"2,624",English,Learn gentle dog training methods that get your dog to take notice of you and to stop barking on command.,11/2016,01/01/20
Dog & Cat Behavior Problems,www.udemy.com/course/dog-cat-behavior-problems/,Ian Dunbar,99.99,12.59,4.8(188 ratings),Lifestyle,Pet Care & Training,Dog Training,"1,659",English,Learn the essential training techniques you'll need to raise a pet dog or cat and fix common behavior problems.,5/2017,01/01/20
AKC Rally Master Class,www.udemy.com/course/akc-rally-master-class/,Jude Azaren,0.0,84.99,4.6(16 ratings),Lifestyle,Pet Care & Training,Dog Training,65,English,"Correct Performance, Teaching Your Dog, Footwork, Cueing, Tips for Practice, and Problem Solving",3/2018,01/01/20
Dog Training - Become A Dog Trainer - Dog Training Career,www.udemy.com/course/dog-trainer/,Sharon Bolt,199.99,13.79,3.9(334 ratings),Lifestyle,Pet Care & Training,Dog Training,"3,982",English,Turn dog training into an ideal career & become a professional dog trainer. Get the lifestyle you want & work with dogs,8/2018,01/01/20
