Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Learn To Play The Drums,www.udemy.com/course/learndrums/,Billy Baker,89.99,11.99,4.5(943 ratings),Music,Instruments,Drums,"7,471",English,Become a drummer with a step by step programme to get you from being drumming novice to drumming expert,5/2019,01/01/20
Learn To Play The Drums Without A Drum Kit,www.udemy.com/course/learn-to-play-the-drums-without-a-drum-kit/,Billy Baker,24.99,11.99,4.5(217 ratings),Music,Instruments,Drums,"2,728",English,Become a proficient drummer with coordination exercises & techniques you can do at home with no equipment required,1/2018,01/01/20
"How to play Djembe, Drums & Rhythm. Level 2",www.udemy.com/course/how-to-play-djembe-drums-rhythm-level-2/,Kouame Sereba,64.99,11.99,4.6(87 ratings),Music,Instruments,Djembe,"1,131",English,A powerful course to boost your confidence in rhythm! Learn how to develop a playful relationship with music.,8/2015,01/01/20
How to Play Djembe Drum & Rhythm. Level 1,www.udemy.com/course/drum-rhythm-vocals-level-1/,Kouame Sereba,64.99,11.99,4.5(202 ratings),Music,Other,Djembe,"1,398",English,"Play Djembe, Drum & Rhythm and Teach Children. Develop a playful relationship with , drum, rhythm or any instrument.",5/2016,01/01/20
How To Play The Cajon: For Beginners,www.udemy.com/course/how-to-play-the-cajon-for-beginners/,Larry Crowe,29.99,11.99,4.5(141 ratings),Music,Instruments,Drums,745,English,"Have fun learning to play this unique hand drum. Improve your confidence, and expression on the Cajon!",2/2019,01/01/20
Drums for Beginners,www.udemy.com/course/drums-for-beginner/,Brendan Bache,49.99,11.99,4.6(131 ratings),Music,Instruments,Drums,"5,773",English,Learn to play drums with our beginner friendly drum lessons,8/2017,01/01/20
"Essential Bodhran, learn the basics of Irish drumming today!",www.udemy.com/course/instant-bodhran-learn-irish-drum-for-fun-and-in-sessions/,Ben Hewlett,29.99,11.99,4.4(85 ratings),Music,Instruments,Drums,"1,173",English,Rhythm and Celtic music go together. Discover this amazing drum and have fun getting into the Celtic groove today.,1/2016,01/01/20
Drum Programming Secrets,www.udemy.com/course/drum-sequencing-101/,Joseph Evans,199.99,11.99,4.3(179 ratings),Music,Production,Drums,"2,216",English,Learn the in's and out's of sequencing hip hop drum beats & patterns in ANY daw!,10/2018,01/01/20
How to play Drums : The Ultimate Guide to Drumming,www.udemy.com/course/guidetodrums/,Rohan Bumbra,0.0,89.99,5.0(2 ratings),Music,Instruments,Drums,8,English,Learn to play the drum set with this step-by step beginners course! Everything you need to be a pro at drums is here!,12/2019,01/01/20
Programming Amazing Drum Tracks: a Guide for Non-Drummers,www.udemy.com/course/create-amazing-sequenced-drum-tracks-that-pop/,Carl Eden,44.99,11.99,4.7(223 ratings),Music,Production,Drums,"1,583",English,A non-drummer's guide to creating and mixing amazingly realistic drum tracks. Make your music professional and saleable.,11/2014,01/01/20
Drum Lessons For Beginners,www.udemy.com/course/the-music-coach-online-drum-lesson-program/,Todd Porter,94.99,11.99,4.7(28 ratings),Music,Instruments,Drums,164,English,Learn To Play The Drums In Just 30 Minutes Per Week! Practice Videos Included.,2/2019,01/01/20
Advanced Sextuplet Chops - Gospel Chops Drumming Masterclass,www.udemy.com/course/advanced-sextuplet-chops/,Nick Bukey,44.99,11.99,4.8(74 ratings),Music,Music Techniques,Drums,639,English,Creative Linear Phrasing and Sextuplet Gospel Chop Sequences,9/2016,01/01/20
Instant Bodhran - part two; learning further drumming skills,www.udemy.com/course/instant-bodhran-part-two-learning-further-drumming-skills/,Ben Hewlett,39.99,11.99,4.3(14 ratings),Music,Instruments,Drums,187,English,Learn to play jigs and reels in many different ways and improve your drum skills as well as your rhythm skills,8/2016,01/01/20
Take your double bass drum technique to the next level,www.udemy.com/course/take-your-double-bass-drum-technique-to-the-next-level/,Nelson Fernandes,39.99,11.99,4.9(30 ratings),Music,Instruments,Drums,793,English,"Learn hundreds of double bass drum rhythms, drum rudiments with the feet, and much more with the heel toe technique!",5/2016,01/01/20
The Hybrid Drummer : Master Electronic Drumming,www.udemy.com/course/the-hybrid-drummer/,Rohan Bumbra,0.0,59.99,4.9(7 ratings),Music,Instruments,Drums,32,English,The ultimate course in Electronic Drumming! Open a new world of opportunity on your drums.,8/2018,01/01/20
Mike G's Beginner Drum Course: Part 1,www.udemy.com/course/drumlessons/,Michael Gambone,34.99,11.99,4.9(44 ratings),Music,Instruments,Drums,864,English,"A logical, step-by-step approach to learning how to play the drums.",10/2019,01/01/20
Introduction to Mridanga + Kartals,www.udemy.com/course/introduction-to-mridanga/,Devala Griffith,0.0,109.99,4.0(1 rating),Music,Instruments,Drums,24,English,How to play Mridanga and Kartals Proficiently in Kirtan,12/2019,01/01/20
