Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3",www.udemy.com/course/music-theory-for-electronic-music-complete-parts-1-2-3/,Jason Allen,119.99,11.39,"4.6(4,234 ratings)",Music,Music Fundamentals,Music Theory,"24,189",English,"Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",10/2019,01/02/20
Mixing & Mastering Electronic Dance Music (EDM),www.udemy.com/course/mixing-mastering-edm/,Fuad Murad,94.99,11.39,4.4(487 ratings),Music,Production,EDM,"4,153",English,Learn how to professionally mix and master any style of electronic dance music using any plugins or DAW.,10/2019,01/02/20
Music Production In Logic Pro X - 5 Courses In 1,www.udemy.com/course/electronic-music-production-in-logic-pro-x/,Martin Svensson,19.99,11.39,4.5(181 ratings),Music,Production,Electronic Music,"4,443",English,Learn Electronic Music Production In Logic Pro X With EDM Music Theory - 3 Full Tracks From Scratch - 5 Courses In 1,12/2019,01/02/20
"Music Theory for Electronic Musicians, Part 1: Chords",www.udemy.com/course/music-theory-for-electronic-musicians/,Jason Allen,34.99,11.39,"4.5(1,150 ratings)",Music,Music Fundamentals,Music Theory,"6,812",English,"Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",10/2019,01/02/20
Electronic Music Production - Synthesis,www.udemy.com/course/electronic-music-production-synthesis/,Mitch Lee,94.99,11.39,3.6(7 ratings),Music,Music Software,Electronic Music,83,English,Learn Modern Synthesis - Hardware and Software for any genre,9/2019,01/02/20
Music Theory for Electronic Musicians 2: Minor keys and More,www.udemy.com/course/music-theory-for-electronic-musicians-2-minor-keys/,Jason Allen,39.99,11.39,4.5(499 ratings),Music,Music Fundamentals,Music Theory,"4,827",English,"Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",11/2019,01/02/20
Introduction to Electronic Music,www.udemy.com/course/intro-to-electronic-music/,Jason Allen,24.99,11.39,4.7(142 ratings),Music,Production,Electronic Music,"3,356",English,"Learn the basic skills, history, and tools of modern electronic music. All styles welcome!",10/2019,01/02/20
Electronic Music Arrangement: Escape the 8 Bar Loop,www.udemy.com/course/electronic-music-arrangement-escape-the-8-bar-loop/,Zachary Citron,19.99,11.99,4.0(163 ratings),Music,Production,Electronic Music,839,English,This course will give you the ability to start and finish songs with confidence and ease. Leave those 8 bar loops behind,11/2014,01/02/20
Logic Pro X: Deep House EDM Music Production in Logic Pro X,www.udemy.com/course/deep-house-course/,Martin Svensson,19.99,11.39,4.5(45 ratings),Music,Production,Logic Pro X,"3,639",English,Learn How to Make a Deep House Track in Logic Pro X and Remix Your Favourite Track to a Electronic Music Production,12/2019,01/02/20
Music Theory for Electronic Musicians 3: Extended Harmony,www.udemy.com/course/music-theory-for-electronic-musicians-3/,Jason Allen,44.99,11.39,4.7(179 ratings),Music,Music Fundamentals,Music Theory,"1,878",English,"Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",10/2019,01/02/20
Music Production - Make Calvin Harris Style in Logic Pro X,www.udemy.com/course/create-a-calvin-harris-style-track-in-logic-pro-x/,Martin Svensson,19.99,11.39,4.0(40 ratings),Music,Production,Logic Pro X,"3,646",English,Including 6 FREE Templates and 8 FREE Sample Packs Learn Creating Electronic Music in Logic Pro X - Music Production,12/2019,01/02/20
Electronic Music Live Performance: Ableton and MIDI,www.udemy.com/course/electronic-music-live-performance-ableton-and-midi/,Will Edwards,59.99,11.39,3.7(25 ratings),Music,Production,Ableton Live,276,English,"A guide to the perfect electronic music performance rig, integrating MIDI control, Ableton, iOS/iPad, hardware and more!",12/2017,01/02/20
Kick & bass mixing in electronic music,www.udemy.com/course/kick-bass-complete/,Nikita Om,0.0,19.99,3.8(15 ratings),Music,Production,Electronic Music,70,English,Go to pro-kick&bass sound in your music,4/2017,01/02/20
Make Electronic Music from Scratch,www.udemy.com/course/make-electronic-music-from-scratch/,Music Buddy,199.99,11.39,0.0(0 ratings),Music,Production,Electronic Music,0,English,Stick around with me to know how to make a electronic music from scratch using stock plugins of FL Studio 20,11/2019,01/02/20
Making Electronic Dance Music With FL Studio 12,www.udemy.com/course/making-electronic-music-with-fl-studio-12/,RD Play,19.99,11.39,2.8(9 ratings),Music,Production,FL Studio,35,English,Create awesome beats with the latest edition of FL Studio,4/2016,01/02/20
Electronic Music Production: Finish More Music Fast,www.udemy.com/course/finish-more-music/,Fuad Murad,0.0,Free,4.2(154 ratings),Music,Production,Electronic Music,"4,602",English,Learn how to finish more music fast starting from a blank project and finishing with a complete electronic music track.,6/2019,01/02/20
