Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete MailChimp Email Marketing Course,www.udemy.com/course/mailchimp-email-marketing/,COURSE ENVY,49.99,11.99,"4.5(1,587 ratings)",Marketing,Advertising,Email Marketing,"11,520",English,"Learn how to use Mailchimp, grow an email subscriber list and build high quality email marketing campaigns!",12/2019,12/31/19
Start & Run a Local Viral Email Marketing Home Business,www.udemy.com/course/home-business/,Chris Towland,194.99,11.99,"4.5(1,074 ratings)",Business,Home Business,Email Marketing,"9,292",English,"The easiest home business of all time: I show EVERYTHING that I do, including lectures, downloads, free help!",12/2019,12/31/19
Email & Affiliate Marketing Mastermind,www.udemy.com/course/email-affiliate-marketing-mastermind/,Bryan Guerra,199.99,11.99,"4.4(1,384 ratings)",Marketing,Affiliate Marketing,Email Marketing,"32,094",English,"Building, Utilizing, and Remarketing to Targeted Email Lists in No More than One Day!",9/2019,12/31/19
Build Your Own SMTP Email Server and Send Unlimited Emails!,www.udemy.com/course/build-mail-server-with-linux-ubuntu-aws/,Hasan Aboul Hasan,54.99,11.99,4.6(175 ratings),Marketing,Digital Marketing,Email Marketing,"2,533",English,Learn how to build and configure your own SMTP Mail server with Webmin and Linux.,9/2019,12/31/19
Email Marketing Master Class,www.udemy.com/course/email-marketing-class/,AWeber Academy,0.0,144.99,4.3(291 ratings),Marketing,Digital Marketing,Email Marketing,"7,164",English,Build a better email marketing strategy. Connect with more customers.,3/2017,12/31/19
KLAVIYO Email Marketing Mastery course for Ecommerce,www.udemy.com/course/the-complete-klaviyo-email-marketing-course-for-e-commerce/,Andriy Boychuk,0.0,99.99,4.2(44 ratings),Marketing,Digital Marketing,Email Marketing,154,English,Learn how to use KLAVIYO. The best email marketing tool for e-commerce,8/2018,12/31/19
10 Email Marketing Strategies That Make Me 6-Figures,www.udemy.com/course/emailstrategies/,Nik Swami,99.99,11.99,4.5(126 ratings),Marketing,Digital Marketing,Email Marketing,"1,143",English,"Powerful email marketing for fast growth. For entrepreneurs, influencers, professionals and organizations in 2019.",11/2019,12/31/19
Email marketing: Build an email list of your ideal buyers,www.udemy.com/course/email-marketing-build-an-email-list-of-your-ideal-buyers/,Eli Natoli,99.99,11.99,4.4(125 ratings),Marketing,Digital Marketing,Email Marketing,"3,356",English,"List building: easy to follow, step by step guide, to build an email list of people who WANT to buy from you!",5/2019,12/31/19
"Email Marketing Campaigns, A Complete Guide",www.udemy.com/course/email-marketing-campaigns-a-complete-guide/,Joeel & Natalie Rivera,199.99,11.99,4.1(90 ratings),Marketing,Digital Marketing,Email Marketing,773,English,Email Marketing: Emails that Convert Using Proven âStory-Sellingâ & Psychology That Turn Leads into Sales on Autopilot,12/2019,12/31/19
"Email Marketing with PowerMTA, IP Rotation and Mailwizz",www.udemy.com/course/email-marketing-with-powermta-ip-rotation-and-mailwizz/,Dhiraj Rahul,79.99,11.99,4.2(86 ratings),"Marketing
 ",Digital Marketing,Email Marketing,350,English,Learn to install and configure PowerMTA and Mailwizz with IP rotation for bulk email marketing,11/2019,12/31/19
Solo Ad Secrets: Build A Private 100K+ Email Marketing List,www.udemy.com/course/solo-ad-mastery-secrets-build-a-private-100k-email-marketing-list/,Zach Miller,99.99,11.99,4.7(88 ratings),Business,Entrepreneurship,Email Marketing,"10,423",English,"Solo ads aren't hard, but mastery of solo ads requires sales funnels, landing pages, tracking & some marketing know-how.",9/2019,12/31/19
Email Marketing for Charities & Non-Profits,www.udemy.com/course/email-marketing-for-charities-non-profits/,Jean O'Brien,74.99,11.99,4.5(7 ratings),Marketing,Digital Marketing,Email Marketing,71,English,"Learn email marketing for promoting your charity's online fundraising, campaigns, events and more",9/2019,12/31/19
Email Marketing with Mailchimp + Sales Funnels & Copywriting,www.udemy.com/course/email-marketing-a-z-mailchimp-masterclass-for-business-course-tutorial/,Pouya Eti • Digital Marketing Expert,194.99,11.99,3.9(264 ratings),Marketing,Digital Marketing,Email Marketing,"4,170",English,"Become a master at email marketing, learn 2 platform Mailchimp & GetResponse, 6-figures sales funnel & copywritin",7/2019,12/31/19
Complete Email Marketing Strategy Made Easy with MailerLite,www.udemy.com/course/how-to-do-complete-email-marketing-strategy-mailerlite/,David Lee,94.99,11.99,4.8(34 ratings),Marketing,Digital Marketing,Email Marketing,210,English,"Learn email marketing strategy with subscriber groups, custom fields, opt-in forms, landing pages & automation for free.",11/2019,12/31/19
Email Marketing: Send Unlimited Emails via Own Mail Server,www.udemy.com/course/email-marketing-send-unlimited-emails-via-own-mail-server/,Dhiraj Rahul,34.99,11.99,3.6(158 ratings),Development,Web Development,Email Marketing,"4,065",English,Learn to create your own mail server & start sending unlimited emails for your unlimited websites,3/2019,12/31/19
Ultimate Email Marketing And Email Autoresponders Guide,www.udemy.com/course/ultimate-cours-to-email-marketing-and-autoresponders/,Alex Genadinik,99.99,11.99,4.0(83 ratings),Business,Sales,Email Marketing,"1,062",English,Increase your email marketing list with every email marketing campaign you send out using email workflow automation,10/2019,12/31/19
#1 Professional Email Signature Creation: Photoshop to HTML,www.udemy.com/course/photoshop-design-into-an-html-email-signature-2019-novice/,Marty Englander,199.99,11.99,4.5(14 ratings),Marketing,Branding,Email Marketing,"3,782",English,My Secret Step By Step Email Signature Creation Course Will Show You How To Create An Email Signature And Business,10/2019,12/31/19
Email Marketing: Start Growing Your Own Email List Today,www.udemy.com/course/how-to-build-your-email-list-with-mailpoet-mailchimp-aweber/,Phil Ebiner,99.99,11.99,4.7(285 ratings),Marketing,Digital Marketing,Email Marketing,"26,432",English,"Start building and marketing to your own email list subscribers with tools like MailPoet (free), MailChimp, or AWeber.",1/2018,12/31/19
