Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Emotional Intelligence (EQ) Practitioner Cert (ACCREDITED),www.udemy.com/course/emotional-intelligence-practitioner-certification/,Graham Nicholls,199.99,13.79,4.5(371 ratings),Lifestyle,Other,Emotional Intelligence,"2,655",English,Uncover the powerful Emotional Intelligence change framework & help yourself and others with Emotional Intelligence,12/2019,12/29/19
Master Your Emotions and Revolutionise Your Social Skills,www.udemy.com/course/emotional-intelligence-and-social-skills-online-course/,Kain Ramsay,144.99,15.59,"3.9(1,263 ratings)",Personal Development,Personal Transformation,Social Skills,"12,831",English,"Build Strong Communication Skills, High-Impact Social Skills, Build Your Social Confidence & Transform Your Self Esteem",7/2017,12/29/19
"Emotional Intelligence: Master Anxiety, Fear, & Emotions",www.udemy.com/course/master-your-emotions-uncertainty-stress-anxiety-and-fear/,Joeel & Natalie Rivera,134.99,14.39,4.2(962 ratings),Personal Development,Stress Management,Emotional Intelligence,"5,831",English,"Emotional Intelligence: Techniques for Recognizing, Overcoming, & Coping with Negative Emotions like Anxiety & Fear",12/2019,12/29/19
Understanding and developing Emotional Intelligence,www.udemy.com/course/developing-emotional-intelligence/,Skill Boosters,49.99,11.39,"4.4(3,658 ratings)",Business,Management,Emotional Intelligence,"10,412",English,"What Emotional Intelligence is, why It matters, and how to develop it.",4/2019,12/29/19
21 Day Crash Course in Emotional Intelligence,www.udemy.com/course/eq-crash-course/,Dr. Patricia Thompson,49.99,11.39,"4.4(1,709 ratings)",Personal Development,Personal Transformation,Emotional Intelligence,"8,617",English,"Increase your E.Q. and transform your relationships with psychologist and author, Dr. Patricia Thompson.",3/2019,12/29/19
Conflict Management with Emotional Intelligence,www.udemy.com/course/conflict-management-with-emotional-intelligence/,Robin Hills,179.99,11.39,4.2(877 ratings),Business,Human Resources,Conflict Management,"6,172",English,"Develop your interpersonal skills to manage disagreements, difficult situations and interactions",12/2019,12/29/19
Emotional Intelligence at Work: Learn from Your Emotions,www.udemy.com/course/emotional-intelligence-at-work-learn-from-your-emotions/,Leila Bulling Towne,99.99,11.39,"4.4(1,580 ratings)",Business,Management,Emotional Intelligence,"4,611",English,"Master EQ to identify emotions in yourself and others, manage your emotions, and improve your relationships at work.",3/2019,12/29/19
Developing Emotional Intelligence in Teams,www.udemy.com/course/developing-emotional-intelligence-in-teams/,Robin Hills,179.99,11.39,"4.3(1,012 ratings)",Business,Human Resources,Emotional Intelligence,"4,219",English,Better team working through winning the hearts and minds of others.,12/2019,12/29/19
Emotional Intelligence Certification: Self Awareness Level 1,www.udemy.com/course/emotional-intelligence-certification-self-awareness/,Robert Jerus,199.99,11.39,4.0(216 ratings),Personal Development,Leadership,Emotional Intelligence,"12,744",English,Certification Course. Understand your personality with more Emotional Intelligence,3/2018,12/29/19
The Complete Emotional Intelligence Secret Formulas,www.udemy.com/course/the-complete-emotional-intelligence-secret-formulas/,Louay El Charif,199.99,11.39,4.6(27 ratings),Personal Development,Personal Transformation,Emotional Intelligence,"1,244",English,Become Emotionally Intelligent And Understand How To Use Emotions And Control Them To Your Advantage,10/2019,12/29/19
Build Authentic Relationships using Emotional Intelligence,www.udemy.com/course/interpersonal-relationships/,Robin Hills,124.99,11.39,4.0(122 ratings),Business,Communications,Emotional Intelligence,"2,833",English,"Learn to develop satisfying, healthy and authentic relationships with other people through good empathy and good ethics",12/2019,12/29/19
Emotional Intelligence: Gaining Control Over Emotions,www.udemy.com/course/emotional_intelligence_success/,Joseph Phillips,49.99,11.39,4.6(90 ratings),Business,Other,Emotional Intelligence,523,English,Exploring Emotional Intelligence in the Workplace and in our Lives,1/2018,12/29/19
Emotional Intelligence Certification Self Management Level 2,www.udemy.com/course/emotional-intelligence-self-management/,Scott Paton,199.99,11.39,4.4(58 ratings),Personal Development,Self Esteem,Emotional Intelligence,"5,793",English,Certification Course,3/2018,12/29/19
Using Emotional Intelligence on the Job,www.udemy.com/course/using-emotional-intelligence-on-the-job/,Sorin Dumitrascu,174.99,13.79,4.3(202 ratings),Personal Development,Influence,Emotional Intelligence,"1,678",English,Understand how to communicate with empathy and apply emotional intelligence skills in your profession.,9/2019,12/29/19
"Alternatives to saying ""No! Don't, Stop!"" without giving in",www.udemy.com/course/alternatives-to-saying-no-dont-or-stop-without-giving-in/,Robin Booth,74.99,11.39,4.3(73 ratings),Personal Development,Parenting & Relationships,Emotional Intelligence,"4,350",English,"Moving from surviving to thriving by putting in place any type of boundary, in any place at any time, with all ages.",3/2018,12/29/19
Using Emotional Intelligence and Managing Aggressive People,www.udemy.com/course/using-emotional-intelligence-and-managing-aggressive-people/,Sorin Dumitrascu,174.99,11.39,4.6(92 ratings),Business,Communications,Emotional Intelligence,"1,656",English,Apply Emotional Intelligence Skills and Manage Aggressor on the Job,9/2019,12/29/19
Leading With Emotional Intelligence,www.udemy.com/course/leading-with-emotional-intelligence/,Carolyn Stern,199.99,11.39,4.3(23 ratings),Personal Development,Leadership,Emotional Intelligence,182,English,Mastery Program,11/2017,12/29/19
Emotional Intelligence in the Workplace,www.udemy.com/course/emotional-intelligence-at-work/,Joeel & Natalie Rivera,184.99,11.39,4.0(139 ratings),Business,Communications,Emotional Intelligence,972,English,"Emotional Intelligence to control emotions, prevent conflict, reduce stress, communicate effectively, & manage staff",12/2019,12/29/19
Collaboration and Emotional Intelligence,www.udemy.com/course/collaboration-and-emotional-intelligence/,Robin Hills,179.99,11.39,4.2(520 ratings),Business,Communications,Emotional Intelligence,"1,955",English,Learn how to build more collaborative relationships using your emotional intelligence.,12/2019,12/29/19
Communication Skills: Personality and Behaviour in Business,www.udemy.com/course/behaviour-in-business/,Robin Hills,179.99,11.39,4.1(147 ratings),Business,Human Resources,Emotional Intelligence,"1,944",English,The Authority Guide to Behaviour in Business: How to Inspire Others and Build Successful Relationships,12/2019,12/29/19
The Ultimate Emotional Intelligence Training Program ®,www.udemy.com/course/the-emotional-intelligence-control-scientific-formula-20/,The Best-Selling Author | Noah Merriby ​,199.99,11.39,3.0(43 ratings),Personal Development,Stress Management,Emotional Intelligence,"2,462",English,Achieve Your Emotional Intelligence Break-Through And Learn How To Control Your Mind Once And For All,7/2019,12/29/19
Emotional Intelligence Coaching,www.udemy.com/course/emotional-intelligence-coaching/,Robin Hills,179.99,11.39,4.7(4 ratings),Business,Communications,Emotional Intelligence,678,English,Learn to enhance your coaching skills and capabilities using emotional intelligence.,12/2019,12/29/19
Enhance your Emotional Intelligence; The Science of Emotions,www.udemy.com/course/leadership-psychology-be-intelligent-about-your-emotions/,Sivakami S,79.99,11.39,4.4(184 ratings),Personal Development,Leadership,Emotional Intelligence,"1,966",English,"The Science, Research and Lessons, on Emotions, and Social Skills, for Leaders, Managers & everyone else!",10/2019,12/29/19
Develop your Self Awareness with Emotional Intelligence,www.udemy.com/course/making-sense-of-who-you-are-in-the-world/,Robin Hills,124.99,11.39,4.3(50 ratings),Business,Management,Emotional Intelligence,"1,406",English,"Learn how to improve your self-awareness, use your emotions more effectively and determine your destiny.",12/2019,12/29/19
Empower You As A Woman,www.udemy.com/course/empower-you/,Maz Schirmer,0.0,19.99,4.8(17 ratings),Personal Development,Personal Transformation,Emotional Intelligence,755,English,How To Rise Above It and Turn Your Life Around,6/2019,12/29/19
Next Level Emotional Intelligence: Developing for the Future,www.udemy.com/course/advanced-emotional-intelligence/,Robin Hills,159.99,11.39,5.0(2 ratings),Business,Management,Emotional Intelligence,20,English,Advancing your emotional intelligence skills for better performance and more impact.,12/2019,12/29/19
"Mind Coaching Academy Not CBT, NLP but PRT that set me free.",www.udemy.com/course/simply-the-best-stress-mastery-method/,Paul mcloughlin,174.99,11.39,5.0(9 ratings),Lifestyle,Other,Emotional Intelligence,88,English,"Live in control of stress, anxiety, mood swings, anger and emotional outbursts. Deepen relationships, be free of grudges",4/2019,12/29/19
Emotional Unavailability & Neediness,www.udemy.com/course/emotional-unavailability-neediness/,Gabriella Kortsch,99.99,12.59,4.7(85 ratings),Personal Development,Personal Transformation,Emotional Intelligence,314,English,Emotional Unavailability & Neediness: Two Sides of the Same Coin,4/2017,12/29/19
Emotional Intelligence Training: EI in the Workplace,www.udemy.com/course/emotionalintelligenceworkplace/,Ermin Dedic,199.99,11.39,4.0(179 ratings),Business,Management,Emotional Intelligence,"4,067",English,Emotional Intelligence Training. Emotional Intelligence in the Workplace. Emotional Intelligence Course.,10/2019,12/29/19
Stress Management: Guide to Emotional Resilience in Business,www.udemy.com/course/the-authority-guide-to-emotional-resilience-in-business/,Robin Hills,179.99,11.39,4.2(25 ratings),Personal Development,Leadership,Emotional Intelligence,"2,369",English,The Authority Guide to Emotional Resilience in Business: Strategies to Manage Stress and Weather Storms in the Workplace,11/2019,12/29/19
Dare to be a Compassionate Team Leader,www.udemy.com/course/master-emotional-intelligence-become-self-aware-in-21-days/,Fi Hills,19.99,11.39,4.1(5 ratings),Personal Development,Leadership,Emotional Intelligence,37,English,Leading a Team in Digital Workplace,11/2019,12/29/19
Masterclass: Introduction to Emotional Intelligence,www.udemy.com/course/introduction-to-emotional-intelligence/,Robin Hills,49.99,11.39,4.1(230 ratings),Business,Management,Emotional Intelligence,"2,416",English,"Learn how your emotions influence how you perform, build relationships and make good quality decisions.",12/2019,12/29/19
Self-Esteem: Self-Discipline and Emotional Control at Work,www.udemy.com/course/expressing-yourself-with-impact/,Robin Hills,124.99,11.99,4.5(24 ratings),Business,Communications,Emotional Intelligence,"1,367",English,Learn how to work with your emotions to develop your assertiveness and to become more emotionally independent.,12/2019,12/29/19
Influencing Without Authority Using Emotional Intelligence ,www.udemy.com/course/influencing-without-authority-using-emotional-intelligence/,Denise Dal Vera,34.99,11.99,3.8(168 ratings),Personal Development,Influence,Emotional Intelligence,882,English,"Learn tangible skills to connect, engage and influence at a deeper level to become a more effective manager and leader.",1/2014,12/29/19
Learn to Rise Beyond the Trauma (Beginner to Intermediate),www.udemy.com/course/learn-to-rise-beyond-the-trauma-beginner-to-intermediate/,Dena Betti,199.99,11.99,5.0(1 rating),Personal Development,Personal Transformation,Emotional Intelligence,43,English,You Are Stronger Than You Know,8/2018,12/29/19
Emotional control: the start of your personal transformation,www.udemy.com/course/awareness-and-emotional-control/,Dr. Ronél le Roux,34.99,11.99,4.5(6 ratings),Personal Development,Personal Transformation,Emotional Intelligence,35,English,Emotional self-awareness will benefit your personal and professional life and speed up your self-transformation.,10/2018,12/29/19
"Emotional Intelligence:  It's Personal, Not Business",www.udemy.com/course/emotional-intelligence-its-personal-not-business/,Cynthia Shepherd,49.99,11.99,4.5(24 ratings),Personal Development,Personal Transformation,Emotional Intelligence,616,English,"How To Navigate The Realm of Emotion to Reduce Stress, Improve Relationships, and Transform Your Inner Well-Being",9/2019,12/29/19
Emotional Intelligence: Control Your Thoughts And Behaviours,www.udemy.com/course/emotional-intelligence-a-neurological-guide-to-mastery/,The Best-Selling Author | Noah Merriby ​,199.99,11.99,3.9(182 ratings),Personal Development,Stress Management,Emotional Intelligence,"2,072",English,Achieve Your Emotional Intelligence Break-Through And Learn How To Control Your Mind Once And For All,6/2019,12/29/19
First Steps into Emotional Intelligence,www.udemy.com/course/first-steps-into-emotional-intelligence/,Talent Zoom,69.99,11.99,4.3(14 ratings),Personal Development,Personal Transformation,Emotional Intelligence,"2,587",English,"Itâs never too late to learn anything, so no matter how old you are, you can learn EI and make your life a success!",3/2019,12/29/19
Emotional Intelligence For Millennials,www.udemy.com/course/emotional-intelligence-millennials-course/,Beata Stanova,74.99,11.99,5.0(6 ratings),Personal Development,Personal Transformation,Emotional Intelligence,14,English,A program developed to increase your emotional intelligence using psychology insights,10/2019,12/29/19
A Practical Guide to Emotional Intelligence in the Workplace,www.udemy.com/course/a-practical-guide-to-emotional-intelligence-in-the-workplace/,Campbell Elton,19.99,11.99,4.3(29 ratings),Personal Development,Leadership,Emotional Intelligence,149,English,Learn how to use emotional intelligence to get better results in the workplace.,6/2016,12/29/19
Boost Your Emotional Intelligence with your Moon Sign,www.udemy.com/course/boost-your-emotional-intelligence-moon-signs/,VerDarLuz CelestiOwl,194.99,11.99,4.3(24 ratings),Personal Development,Happiness,Emotional Intelligence,180,English,Honor Your Moon Sign for Personal and Business Success,7/2016,12/29/19
Emotional Competence: Emotional Intelligence and Resilience,www.udemy.com/course/emotional-competence/,Dr Neil Thompson,34.99,11.99,4.0(9 ratings),Personal Development,Personal Transformation,Emotional Intelligence,194,English,Become better equipped to deal with emotional challenges of working life,2/2018,12/29/19
Emotional Intelligence: How To Influence People & Businesses,www.udemy.com/course/emotionalintelligence/,Serah Lister,44.99,11.99,4.3(174 ratings),Personal Development,Personal Transformation,Emotional Intelligence,"1,773",English,"5 Ways To Get People to Know, Like & Trust You",5/2016,12/29/19
Emotional Intelligence for Leadership,www.udemy.com/course/emotionally-intelligent-leadership/,Gilmore Crosby,24.99,11.99,4.2(29 ratings),Personal Development,Leadership,Emotional Intelligence,158,English,Transform yourself and your organization for bottom line results,10/2019,12/29/19
Emotional Intelligence for Life Success,www.udemy.com/course/emotional-intelligence-for-life-success/,Dr. Bianca Briciu,29.99,11.99,4.2(11 ratings),Personal Development,Self Esteem,Emotional Intelligence,43,English,"Learn how to make successful decisions, create strong relationships, manage your stress and cultivate well-being",6/2018,12/29/19
Advanced EID Practitioner,www.udemy.com/course/emotionaldevelopmentskills/,Emotional Development Skills Academy,34.99,11.99,4.8(3 ratings),Personal Development,Personal Transformation,Emotional Intelligence,23,English,Emotional Intelligence Development,7/2019,12/29/19
Learn to Master Your Emotions,www.udemy.com/course/learn-to-master-your-emotions/,Jaret Grossman,94.99,11.99,5.0(1 rating),Personal Development,Happiness,Emotional Intelligence,23,English,"Reframing Negative Thoughts, Eliminate Anxiety and Depression, Stay Focused and Disciplined, Love over Fear",1/2018,12/29/19
Mini MBA in Emotional Intelligence & Resilience,www.udemy.com/course/mini-mba-in-emotional-intelligence-resilience/,Talent Zoom,109.99,11.39,0.0(0 ratings),Personal Development,Personal Transformation,Emotional Intelligence,"4,334",English,"This Mini MBA is for ambitious professional looking to transform yourself, your career and your life.",11/2019,12/29/19
A Beginner's Guide to Self Expression,www.udemy.com/course/self-expression/,Carolyn Stern,74.99,11.39,4.0(1 rating),Personal Development,Personal Transformation,Emotional Intelligence,9,English,"Use 3 of the 15 emotional intelligence competencies as we talk about Emotional Expression, Assertiveness, and Independen",11/2017,12/29/19
Emotional Intelligence: 6 key steps to a better life,www.udemy.com/course/emotional-intelligence-6-key-steps-to-a-better-life/,Filipe Bastos,49.99,11.39,3.5(1 rating),Personal Development,Stress Management,Emotional Intelligence,1,English,"âAs much as 80% of adult âsuccessâ comes from Emotional Intelligence"" â Daniel Goleman",8/2019,12/29/19
How to Increase Your Emotional Intelligence,www.udemy.com/course/how-to-increase-your-emotional-intelligence/,Chris Erasmus,19.99,11.39,0.0(0 ratings),Personal Development,Motivation,Emotional Intelligence,1,English,Increase your probabilities of success and enjoy the other benefits of emotional maturity.,10/2019,12/29/19
Emotional Intelligence in the Workplace,www.udemy.com/course/how-to-develop-emotional-intelligence/,Adam Karsh,99.99,11.39,3.0(4 ratings),Business,Management,Emotional Intelligence,755,English,A Step by Step Guide to Developing & Improving Your Emotional Intelligence at Work,5/2018,12/29/19
EMOTIONAL INTELLIGENCE FOR THE WORKPLACE,www.udemy.com/course/emotional-intelligence-for-the-workplace/,Doye Teido Agama,19.99,11.39,0.0(0 ratings),Personal Development,Career Development,Emotional Intelligence,2,English,CPD Accredited: Essential skills for personal and business success!,11/2019,12/29/19
Introduction to Emotional Intelligence,www.udemy.com/course/introduction-to-emotional-intelligence-minor-program/,Carolyn Stern,74.99,11.39,0.0(0 ratings),Personal Development,Personal Transformation,Emotional Intelligence,3,English,Minor Program,11/2017,12/29/19
Introduction to Emotional Intelligence,www.udemy.com/course/introduction-to-emotional-intelligence-s/,Steve Clack,19.99,11.39,4.0(23 ratings),Personal Development,Career Development,Emotional Intelligence,998,English,Emotional Intelligence in the Workplace,6/2017,12/29/19
Transformational Health & Success for Business Professionals,www.udemy.com/course/transformational-health-success-for-business-professionals/,Patricia (Tish) Conlin,174.99,18.99,5.0(2 ratings),Personal Development,Leadership,Emotional Intelligence,15,English,"Boost your Energy, Confidence &, Resilience and learn how to focus better, communicate with EI and lead for more success",1/2019,12/29/19
Your thoughts: the quickest way to personal transformation.,www.udemy.com/course/how-your-thoughts-can-make-or-break-you/,Dr. Ronél le Roux,24.99,11.39,0.0(0 ratings),Personal Development,Personal Transformation,Emotional Intelligence,6,English,Self-awareness leads you to realize the immense power and influence your thoughts have on your life and happiness.,10/2018,12/29/19
Emotional Intelligence for Game Devs,www.udemy.com/course/emotional-intelligence-for-game-devs/,Keith Fuller,49.99,11.39,5.0(3 ratings),Personal Development,Leadership,Emotional Intelligence,19,English,"No matter what discipline you're in, technical expertise isn't enough",8/2017,12/29/19
An Introductory Course on Emotional Intelligence,www.udemy.com/course/emotional-intelligence-e/,Esther Nduta,24.99,11.39,0.0(0 ratings),Personal Development,Influence,Emotional Intelligence,1,English,Focuses on how basic emotions come about and influence ourpersonal and professional life,12/2017,12/29/19
Hacking Your Negative Emotional Habits,www.udemy.com/course/hacking-negative-emotional-habits/,Ali Abidin,124.99,11.39,0.0(0 ratings),Personal Development,Happiness,Emotional Intelligence,0,English,Gradually eliminate cycle of negative emotions and transform yourself to live a more positive life,12/2019,12/29/19
Pathways To Harnessing Your Emotional Intelligence,www.udemy.com/course/pathways-to-harnessing-your-emotional-intelligence/,Dr. Dheeraj Mehrotra,19.99,11.39,3.0(4 ratings),Personal Development,Productivity,Emotional Intelligence,"1,780",English,The objective is towards Excellence in Life!,4/2019,12/29/19
How to FIX your Emotions,www.udemy.com/course/how-to-fix-your-emotions/,Marcus Parker,29.99,11.39,0.0(0 ratings),Personal Development,Happiness,Emotional Intelligence,4,English,Getting over past pain and living Happy now.,9/2019,12/29/19
Emotional Intelligence in Leadership,www.udemy.com/course/emotional-intelligence-in-leadership/,Prisana Johnson,19.99,11.39,0.0(0 ratings),Business,Management,Emotional Intelligence,0,English,How to Influence Team Dynamics,3/2019,12/29/19
Living Courage #2 - How to Master Emotional Intelligence,www.udemy.com/course/living-courage-how-to-master-emotional-intelligence/,Helen Goatley,74.99,11.39,4.8(3 ratings),Personal Development,Leadership,Emotional Intelligence,10,English,"In a world more uncertain, more complex, more ambiguous, it demands we grow in our Emotional Intelligence ~Helen Goatley",11/2019,12/29/19
"""How Do You Show Up?""",www.udemy.com/course/how-do-you-show-up-emotional-intelligence/,Inez Jordan,39.99,11.39,0.0(0 ratings),Personal Development,Career Development,Emotional Intelligence,8,English,Practicing Emotional Intelligence,11/2019,12/29/19
Emotional Intelligence for Career and Business Success,www.udemy.com/course/emotional-intelligence-for-career-and-business-success/,Michael Rayel,99.99,11.39,0.0(0 ratings),Personal Development,Other,Emotional Intelligence,10,English,Practical Emotional and Social Skills for the Busy Career Professionals and Business Owners,11/2016,12/29/19
Basics of Emotional Intelligence,www.udemy.com/course/basics-of-emotional-intelligence/,Management Study Guide,19.99,11.39,0.0(0 ratings),Personal Development,Productivity,Emotional Intelligence,0,English,"Emotional Intelligence is about being honest, being aware of oneâs own feeling, and otherâs feelings.",9/2018,12/29/19
How living your values may lead to happiness and fulfilment,www.udemy.com/course/how-living-your-values-may-lead-to-happiness-and-fulfilment/,Dr. Ronél le Roux,19.99,11.39,0.0(0 ratings),Personal Development,Personal Transformation,Emotional Intelligence,2,English,A practical approach to discover your values and live according to the real you.,9/2018,12/29/19
How To Develop Your Emotional Intelligence,www.udemy.com/course/how-to-develop-your-emotional-intelligence/,Fahad Khalaf,19.99,11.39,0.0(0 ratings),Personal Development,Other,Emotional Intelligence,52,English,Understand Yourself To Change Your Life,11/2017,12/29/19
Emotional Intelligence for Business and Personal Success,www.udemy.com/course/emotional-intelligence-for-business-and-personal-success/,Peter Watson,74.99,11.39,0.0(0 ratings),Personal Development,Personal Transformation,Emotional Intelligence,1,English,Increase your emotional intelligence to improve your social skills and master your own emotions.,12/2018,12/29/19
Accelerate your Career: Emotional Intelligence Hacks,www.udemy.com/course/accelerate-your-career-emotional-intelligence-hacks/,Nicole Vasilescu,199.99,11.39,3.2(109 ratings),Personal Development,Career Development,Emotional Intelligence,"4,240",English,Key Steps for Finding Direction and Creating Change,10/2018,12/29/19
Social And Emotional Learning,www.udemy.com/course/social-and-emotional-learning/,Dr. Dheeraj Mehrotra,19.99,11.39,4.2(4 ratings),Teaching & Academics,Humanities,Emotional Intelligence,"1,645",English,Towards Excellence as a priority!,3/2019,12/29/19
Mindfulness And Compassion @Work,www.udemy.com/course/mindful-work-life/,Mounira Latrache,0.0,199.99,4.3(3 ratings),Personal Development,Leadership,Emotional Intelligence,19,English,A 7-step program designed to bring mindfulness and compassion into your work-life.,12/2018,12/29/19
EMOTIONAL INTELLIGENCE: How To Manage Your Emotions,www.udemy.com/course/emotional-intelligence-how-to-manage-your-emotions/,Diego Mangabeira,179.99,11.39,3.0(1 rating),Personal Development,Happiness,Emotional Intelligence,1,English,Learn the power of emotions to overcome your fears and achieve your goals and objectives,8/2018,12/29/19
Contemporary Parenting - Part 1: Wide-Awake Parenting,www.udemy.com/course/contemporary-parenting-1/,Candice Dick,0.0,34.99,4.0(2 ratings),Personal Development,Parenting & Relationships,Emotional Intelligence,9,English,The power of being present & aware,3/2019,12/29/19
How to have Emotionally Intelligent Classrooms?,www.udemy.com/course/how-to-have-emotionally-intelligent-classrooms/,Dr. Dheeraj Mehrotra,19.99,11.39,2.7(2 ratings),Teaching & Academics,Teacher Training,Emotional Intelligence,701,English,Towards Excellence In Learning,10/2018,12/29/19
Emotional Intelligence For All! Master your Emotions.,www.udemy.com/course/emotional-intelligence-for-all-master-your-emotions/,Ashley Deeks,34.99,11.39,3.4(3 ratings),Personal Development,Other,Emotional Intelligence,208,English,"Build your emotional intelligence, free yourself from your slavery to your emotions, become a happier, healthier person.",1/2018,12/29/19
Stellar Communication Skills: Become a Master Communicator,www.udemy.com/course/stellar-communication-skills/,Ariel Bakshandeh,0.0,54.99,4.8(6 ratings),Personal Development,Influence,Communication Skills,20,English,Be Effective in your Conversations,11/2018,12/29/19
