Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"Reiki Level I, II and Master Certification | Energy Healing",www.udemy.com/course/reiki-master-certification-energy-healing/,Melissa Crowhurst,144.99,17.99,"4.7(9,745 ratings)",Personal Development,Personal Transformation,Energy Healing,"34,323",English,"Become a Certified Usui Reiki Practitioner | Heal Yourself, Family, Friends, Clients, Pets and More with Energy Healing!",12/2019,12/30/19
Your 7 Chakras : The Complete Guide to Your Energy Body,www.udemy.com/course/the-chakra-system-master-class/,James Seriph,99.99,15.59,"4.5(4,428 ratings)",Personal Development,Personal Transformation,Chakra,"19,193",English,"Understand Your Chakras, Your Energy Body, and Heal the Areas of your life that need it!",6/2019,12/30/19
The Art of Energy Healing,www.udemy.com/course/the-art-of-energy-healing/,James Seriph,199.99,15.59,"4.5(2,206 ratings)",Health & Fitness,Meditation,Energy Healing,"12,222",English,"Channel Life-Changing Healing for Yourself, Your Friends, and Paying Clients",10/2019,12/30/19
Advanced Reiki Master Teacher Certificate + Course Material,www.udemy.com/course/reiki-master-teacher-certification/,Melissa Crowhurst,194.99,11.39,4.7(366 ratings),Personal Development,Personal Transformation,Reiki,"5,588",English,Develop Your Reiki Master Teacher Skills + Get Certified! Learn How to Teach Others | Advanced Course for Reiki Masters,11/2019,12/30/19
Crystal Healing Certificate Course ☆ Energy Healing Stones,www.udemy.com/course/crystal-healing/,Melissa Crowhurst,104.99,11.39,4.8(803 ratings),Personal Development,Personal Transformation,Energy Healing,"3,822",English,This crystal energy healing course is ideal for all skill levels! Learn how Crystal Healing can help you and others!,11/2019,12/30/19
Reiki Space Clearing Certification | Energy Healing a Place,www.udemy.com/course/reiki-space-clearing/,Melissa Crowhurst,104.99,11.39,4.7(396 ratings),Personal Development,Personal Transformation,Energy Healing,"2,400",English,"Rid negative energy in homes, rooms, workplaces + more! Use Reiki Energy Healing to clear your own spaces or others!",11/2019,12/30/19
PURIFY AND ACTIVATE YOUR 14 HEALING PLEXUS,www.udemy.com/course/purify-and-activate-your-14-healing-plexus/,Demian Haye Magic Vibrations Healing,69.99,11.39,4.8(33 ratings),Health & Fitness,Meditation,Energy Healing,369,English,Discover and Heal your secret Energetic Anatomy !,10/2019,12/30/19
5D Quantum Healing: Evolve to 5D Consciousness by Antojai®,www.udemy.com/course/quantum-healing-to-5d-consciousness/,Ascended Master Antojai Msc.D.,29.99,11.39,4.6(208 ratings),Personal Development,Personal Transformation,Energy Healing,"1,019",English,Evolve your consciousness to 5D with Ascended Master Antojai's Quantum Training,10/2019,12/30/19
Energy Healing Hand Positions Mudra Course w/ Certification,www.udemy.com/course/energy-healing-mudra-course/,Melissa Crowhurst,84.99,11.39,4.8(335 ratings),Personal Development,Personal Transformation,Energy Healing,"1,713",English,Harness the energy healing power at your own fingertips with Mudras to help yourself and others! Certificate Course!,11/2019,12/30/19
7 Master Glands Purification and Activation part 1,www.udemy.com/course/7-master-glands-purification-and-activation/,Demian Haye Magic Vibrations Healing,34.99,11.39,4.7(172 ratings),Health & Fitness,Meditation,Energy Healing,838,English,Learn powerful DNA activations codes to purify and activate your 7 Master Glands to 3 levels !,8/2018,12/30/19
Fully Accredited: How to Unblock and Balance the 7 Chakras,www.udemy.com/course/fully-accredited-how-to-unblock-and-balance-the-7-chakras/,Silke Schwarzkopf,89.99,11.39,4.7(75 ratings),Personal Development,Personal Transformation,Energy Healing,473,English,"Healing Your Mind, Body and Spirit at Midlife and Beyond for Beginners",8/2019,12/30/19
Fully Accredited Healing Your Chakras & Energy Body Diploma,www.udemy.com/course/healing-your-chakras-energy-body/,Dr Karen E Wells,94.99,15.59,4.5(170 ratings),Personal Development,Religion & Spirituality,Energy Healing,"1,410",English,Powerful Healing Meditations & Techniques to Heal & Clear Your Chakras & Energy Body. Fully Accredited Diploma Course,11/2019,12/30/19
7 Master Gland activation part 2,www.udemy.com/course/7-master-gland-activation-part-2/,Demian Haye Magic Vibrations Healing,69.99,11.39,4.9(49 ratings),Health & Fitness,Meditation,Energy Healing,400,English,Discover new codes to activate your 7 main glands to higher levels !,6/2019,12/30/19
Energy Healing with Colour and Art ❤ Certificate Course,www.udemy.com/course/energy-colour-healing/,Melissa Crowhurst,104.99,11.39,4.8(215 ratings),Personal Development,Personal Transformation,Energy Healing,"1,241",English,Learning colour energy healing is easy and fun! Get 13 Meditations (MP3) + more! Certificate available on completion.,11/2019,12/30/19
HEART CENTERED REIKI CERTIFICATION,www.udemy.com/course/heart-centered-reiki/,Leslie Paramore,199.99,11.39,5.0(18 ratings),Personal Development,Personal Transformation,Energy Healing,196,English,Elevate Your Heart. Heal Your Life.,12/2019,12/30/19
Buddha's Touch ~ The Dragon's Wings! ~ Certified!,www.udemy.com/course/buddhas-touch-the-dragons-wings/,NIKOLAOS BARALOS,129.99,13.19,4.5(146 ratings),Personal Development,Religion & Spirituality,Energy Healing,962,English,Apprentice on the Dragon Energy through a unique combination of Eastern Philosophy & Energy Healing!,11/2019,12/30/19
Essential Energy Care for Empaths,www.udemy.com/course/energy-care-for-empaths/,Mark Youngblood,39.99,11.39,4.6(349 ratings),Health & Fitness,Meditation,Energy Healing,"2,164",English,"Advanced Practices for Sensing, Cleaning and Protecting Your Energy Body",2/2014,12/30/19
Pendulum Healing,www.udemy.com/course/pendulum-healing/,Toni Puhle,49.99,11.39,4.5(9 ratings),Personal Development,Other,Energy Healing,131,English,Pendulum Healing and Distant Healing,8/2019,12/30/19
Chakra Mirror Technique: Phase 1 & 2 by Antojai®,www.udemy.com/course/chakra-mirror-technique-phase-1-2-by-antojai/,Ascended Master Antojai Msc.D.,149.99,11.39,4.7(50 ratings),Health & Fitness,Meditation,Energy Healing,270,English,Evolve your Chakras like never before.,8/2019,12/30/19
Reiki Solas® Chakra Energy Healing ★ Spiritual Level 3&4,www.udemy.com/course/reiki-solas-level-3and4-beginner-degree/,YOGI RICKY MATHIESON,169.99,11.39,5.0(34 ratings),Personal Development,Personal Transformation,Energy Healing,395,English,"Discover the secret to spiritual mastery, influence your energy environment & attune others to Reiki Solas levels 1-4.",4/2019,12/30/19
