Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Learn Ethical Hacking From Scratch,www.udemy.com/course/learn-ethical-hacking-from-scratch/,Zaid Sabih,194.99,11.99,"4.5(53,391 ratings)",IT & Software,Network & Security,Ethical Hacking,"260,151",English,Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,12/2019,01/01/20
The Complete Ethical Hacking Course: Beginner to Advanced!,www.udemy.com/course/penetration-testing/,Ermin Kreponic,199.99,11.99,"4.3(24,419 ratings)",IT & Software,Network & Security,Ethical Hacking,"266,096",English,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",11/2017,01/01/20
Learn Website Hacking / Penetration Testing From Scratch,www.udemy.com/course/learn-website-hacking-penetration-testing-from-scratch/,Zaid Sabih,189.99,11.99,"4.5(5,350 ratings)",IT & Software,Network & Security,Penetration Testing,"43,231",English,Learn how to hack websites and web applications like black hat hackers and secure them like security experts.,12/2019,01/01/20
Network Hacking Continued - Intermediate to Advanced,www.udemy.com/course/network-hacking-continued-intermediate-to-advanced/,Zaid Sabih,189.99,11.99,"4.7(1,209 ratings)",IT & Software,Network & Security,Ethical Hacking,"20,716",English,Learn advanced techniques to hack into WiFi & wired networks & write own python scripts to implement custom MITM attacks,11/2019,01/01/20
Complete Ethical Hacking & Cyber Security Masterclass Course,www.udemy.com/course/ethicalhackingcourse/,Joe Parys,199.99,11.99,4.4(113 ratings),IT & Software,Network & Security,Ethical Hacking,"1,746",English,In this complete ethical hacking & cyber security master class course you will learn ethical hacking from scratch,12/2019,01/01/20
Practical Ethical Hacking - The Complete Course,www.udemy.com/course/practical-ethical-hacking/,Heath Adams,0.0,199.99,4.9(153 ratings),IT & Software,Network & Security,Ethical Hacking,"5,246",English,2020 Launch! Learn how to hack like a pro by a pro. Up to date practical hacking techniques with absolutely no filler.,12/2019,01/01/20
The Complete Ethical Hacking Course,www.udemy.com/course/the-complete-ethical-hacking-course/,Codestars by Rob Percival,199.99,11.99,4.5(784 ratings),IT & Software,Network & Security,Ethical Hacking,"6,448",English,Protect yourself from hackers & cyberattacks. Learn penetration testing + build security and coding tools with Python.,12/2019,01/01/20
Hands-on: Complete Penetration Testing and Ethical Hacking,www.udemy.com/course/hands-on-complete-penetration-testing-and-ethical-hacking/,Muharrem AYDIN,199.99,11.99,4.6(633 ratings),IT & Software,Network & Security,Ethical Hacking,"4,960",English,"Learn Phishing, Password Cracking, Network Scanning, Metasploit Framework with Hands-On examples and become Hacker",11/2019,01/01/20
The Complete Nmap Ethical Hacking Course : Network Security,www.udemy.com/course/the-complete-nmap-ethical-hacking-course-network-security/,Nathan House,99.99,11.99,"4.5(1,654 ratings)",IT & Software,Network & Security,Ethical Hacking,"16,214",English,Become an expert in the ethical hacking and network security tool Nmap!,10/2019,01/01/20
Hacking in Practice: Certified Ethical Hacking MEGA Course,www.udemy.com/course/it-security-beginner-certified-hacking-training/,IT Security Academy,194.99,11.99,"4.4(2,782 ratings)",IT & Software,Network & Security,Ethical Hacking,"30,412",English,2020 Edition! Practical Ethical Hacking Techniques. The most extensive ethical hacking course. Over 27+ HOURS OF VIDEO.,12/2019,01/01/20
The Complete Ethical Hacking Bootcamp 2019,www.udemy.com/course/the-complete-ethical-hacking-bootcamp/,HackerSploit Academy,199.99,11.99,4.5(166 ratings),IT & Software,Network & Security,Ethical Hacking,"1,755",English,This course covers everything you need to know to unlock a career in Ethical Hacking & Penetration Testing.,6/2019,01/01/20
Ethical Hacking and CompTIA PenTest+ with 2 Practice Tests,www.udemy.com/course/ethical-hacking-and-comptia-pentest-exam-prep-pt0-001/,"Total Seminars • 200,000+ Students",194.99,11.99,4.5(431 ratings),IT & Software,IT Certification,Ethical Hacking,"4,802",English,From Mike Meyers & Total Seminars: Michael Solomon on ethical hacking & high-level penetration testing. Hack like a pro.,11/2019,01/01/20
Complete Web Application Hacking & Penetration Testing,www.udemy.com/course/complete-web-application-hacking-penetration-testing/,Muharrem AYDIN,199.99,11.99,4.7(74 ratings),IT & Software,Network & Security,Ethical Hacking,917,English,"Learn hacking web applications, hacking websites and penetration test with my ethical hacking course and becomer Hacker",11/2019,01/01/20
Hands-on Penetration Testing Labs 1.0,www.udemy.com/course/kali-linux-hands-on-penetration-testing-labs/,"Jesse Kurrus, M.S., OSCP, CEH, Security+, Linux+, Network+, CISSP",24.99,11.99,4.6(457 ratings),IT & Software,Network & Security,Kali Linux,"4,831",English,Comprehensive walkthroughs of penetration testing labs,8/2019,01/01/20
