Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Microsoft Excel - Advanced Excel Formulas & Functions,www.udemy.com/course/excel-for-analysts/,Maven Analytics,174.99,11.39,"4.6(19,115 ratings)",Office Productivity,Microsoft,Data Analysis,"102,283",English,Master 75+ Excel formulas with hands-on demos from a best-selling Microsoft Excel instructor (Excel '07 - Excel 2019),12/2019,01/01/20
Advanced Excel: Top Excel Tips & Formulas,www.udemy.com/course/advanced-excel-tips-formulas/,Leila Gharani,124.99,11.39,"4.5(2,618 ratings)",Office Productivity,Microsoft,Excel Formulas and Functions,"13,842",English,Master Advanced Excel Formulas. Solve Complex Problems. Learn Advanced Excel Skills to Save Time & Impress (Excel 2010),12/2019,01/01/20
Excel Dynamic Arrays: Beginner to Expert (Excel Office 365),www.udemy.com/course/excel-dynamic-arrays/,Leila Gharani,174.99,11.39,4.7(49 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,"1,046",English,Microsoft Excel has Changed Forever! Use Excel Dynamic Array Functions to Solve Complex Problems with Simple Formulas.,11/2019,01/01/20
Microsoft Excel Advanced Functions with INDEX and MATCH,www.udemy.com/course/microsoft-excel-advanced-functions-with-index-and-match/,Kyle Pew,149.99,11.39,4.9(282 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,"1,540",English,"Develop Dynamic Excel Worksheets by Mastering Excel's INDEX and MATCH functions (Excel 2007, 2010, 2013, 2016)",6/2018,01/01/20
"Computer Repair Master Course , Start Your Own Business",www.udemy.com/course/microsoft-excel-advanced-formulas-and-functions-o/,Computer Repair School,0.0,19.99,3.8(13 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,608,English,Computer Repair | Pc Repair | Hardware | Build a Computer | Computer Hardware | Computer Engineering | Computer Software,9/2019,01/01/20
Excel Guru: The Only Excel Formulas Course You’ll Ever Need,www.udemy.com/course/xlessentials-eap-m2/,Jarrod Tanton,199.99,13.79,4.4(282 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,"2,783",English,Microsoft Excel: Master Excel Formulas by Solving 100s of Problems in Excel. Can Use Excel 2003 - Excel 2016 (Excel),5/2016,01/01/20
"Excel VBA Formulas, Functions, UDFs + Create Your Own AddIn!",www.udemy.com/course/excel-vba-formulas-functions-udfs-create-your-own-addin/,Daniel Strong,104.99,11.39,3.7(61 ratings),Development,Programming Languages,Excel VBA,558,English,"Learn Built-In VBA Functions, Build Your Own Custom UDF (User-Defined Functions) and Learn To Share Them!",4/2019,01/01/20
"Advanced Microsoft Excel - Formulas, Functions, Macros & VBA",www.udemy.com/course/microsoft-excel-advanced-formulas-function-macros-vba/,Brian Wells,154.99,11.39,4.3(50 ratings),Office Productivity,Microsoft,Excel VBA,297,English,"Become an Excel Expert in this Advanced Excel Course (Microsoft Excel 2010, Excel 2013, Excel 2016, and Excel 2019)",3/2019,01/01/20
Excel Formulas Made Easy - Learn more than 100 Formulas,www.udemy.com/course/excel-formulas-made-easy/,Alan Murray,69.99,11.39,4.6(111 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,901,English,Learn Excel formulas with this comprehensive course taking you from the fundamentals to writing advanced formulas,5/2018,01/01/20
The Ultimate Excel 365 Formulas Course,www.udemy.com/course/the-ultimate-excel-formulas-course-2019/,Paula Guilfoyle,199.99,11.39,3.9(27 ratings), Office Productivity,Microsoft,Excel Formulas and Functions,203,English,Master Excel Formula and Functions From Beginner to Advance,9/2019,01/01/20
Tables and Formulas with Excel,www.udemy.com/course/tables-and-formulas-with-excel/,Ian Littlejohn,29.99,11.39,4.5(678 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,"2,251",English,"Learn to use Tables and create powerful formulas in Excel. Learn powerful SumIF, Date, IF, VLOOKUP and Text formulas",9/2019,01/01/20
Advanced Excel Formulas and VBA User Defined Functions,www.udemy.com/course/complex-excel-formulas-and-vba-user-defined-functions/,Grant Gamble,199.99,11.39,4.7(66 ratings),Office Productivity,Microsoft,Excel VBA,562,English,Master advanced Excel mega-formulas combining multiple functions and learn to create your own VBA user-defined functions,12/2017,01/01/20
Excel Formulas and Functions: Make Basic & Advanced Formulas,www.udemy.com/course/learn-microsoft-excel-formulas-and-functions-with-examples/,Kawser Ahmed,124.99,11.39,4.8(313 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,"12,314",English,Learn MS Excel Formulas and Functions. Create Basic and Advanced Excel Formulas. Make an Excel Template Project.,6/2016,01/01/20
Microsoft Excel - Advanced Formulas And Functions ,www.udemy.com/course/microsoft-excel-advanced-formulas-and-functions/,Infinite Skills,49.99,11.39,4.6(162 ratings),Office Productivity,Microsoft,"Excel Formulas and Functions
 ","2,482",English,Advanced Microsoft Excel Formulas And Functions - Take Your Excel Skills To The Next Level,1/2017,01/01/20
Excel Formulas & Functions - Find Answers in Your Excel Data,www.udemy.com/course/excel-2010-formulas-and-functions-how-to-use-excel-tutorial/,Steve McDonald,49.99,11.39,4.5(982 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,"16,370",English,"Excel Training-How to Use Formulas and Functions in Excel Spreadsheets-Learn on Excel 2010, Excel 2013, or Excel 2016",10/2019,01/01/20
"Build Excel Models using Advanced Formulas, VBA, Power Query",www.udemy.com/course/accounting-for-prepaid-expenses-with-advanced-excel-modeling/,"Prashant Panchal, ACA",99.99,11.39,4.7(25 ratings),Office Productivity,Microsoft,Excel Modeling,648,English,"Learn to design robust Excel Models and Dashboards for Reporting and Analytics using Formulas, Excel VBA & Power Query",10/2019,01/01/20
MS Excel - Data Analysis with Pivot Tables & Excel Formulas,www.udemy.com/course/power-excel-analyzing-data-with-ms-excel/,Institute of Investment Banking,99.99,11.99,4.1(38 ratings),Office Productivity,Microsoft,Excel,"6,841",English,"Learn to effectively analyze data with Pivot, Functions, VLookup, Dashboard, Filters, Slicers, Pivot Charts, Power View",12/2018,01/01/20
Essential Excel Formulas and Functions,www.udemy.com/course/essential-excel-formulas-and-functions/,Grant Gamble,19.99,11.99,4.6(132 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,"1,832",English,Overcome your Excel formula phobias with this clear and easy to follow guide,3/2017,01/01/20
Excel Formula Blueprint,www.udemy.com/course/excel-formula-blueprint/,Dragos Stefanescu,94.99,11.99,4.3(31 ratings),Office Productivity,Microsoft,Excel Formulas and Functions,"1,549",English,40+ Excel Formulas From Beginner To Advanced - Learn With Short & Step-By-Step Lectures And Over 15 Spreadsheets,5/2016,01/01/20
