Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Master Microsoft Excel Macros and Excel VBA,www.udemy.com/course/master-microsoft-excel-macros-and-vba-with-5-simple-projects/,Kyle Pew,49.99,11.99,"4.5(6,936 ratings)",Office Productivity,Microsoft,Excel VBA,"30,456",English,Project Based Course on Excel VBA (Visual Basic for Applications) and Excel Macros,2/2018,01/01/20
Coaching Course: Creative Excel Macro Part 1,www.udemy.com/course/coaching-course-creative-excel-macro/,DioPACT Learning,0.0,169.99,4.0(1 rating),IT & Software,Operating Systems,Excel Macros,31,English,Creating & Designing One Click Report,7/2019,01/01/20
Coaching Course: Creative Excel Macro Part 2,www.udemy.com/course/coaching-course-creative-excel-macro-part-2/,DioPACT Learning,0.0,169.99,0.0(0 ratings),IT & Software,Operating Systems,Excel Macros,18,English,Creating & Designing One Click Report,3/2018,01/01/20
Excel Macros & Excel VBA Programming for Beginners,www.udemy.com/course/excel-macros-excel-vba-for-non-programmers/,Andreas Exadaktylos,49.99,11.99,4.6(408 ratings),Office Productivity,Microsoft,Excel Macros,"1,707",English,Become a proficient Excel Macros Programmer in very short time + Excel VBA for beginners. Excel 2016 Templates included.,12/2019,01/01/20
Macros & VBA Excel,www.udemy.com/course/ioniya-macros-vba-excel/,Parallel Learning,19.99,11.99,"4.0(1,456 ratings)",Office Productivity,Microsoft,Excel Macros,"13,904",English,A well designed course to learn Macros and Visual Basics for Applications in Excel,3/2017,01/01/20
Automate Excel using Python - Xlwings | Series 1,www.udemy.com/course/automate-excel-using-python-xlwings-series-1/,Block.Hub Academy,29.99,11.99,3.0(10 ratings),Development,Software Engineering,Excel Macros,57,English,"Master yourself to automate Industry-level datasets in Excel with hands-on experience on ""2 Case Studies"" using Python",8/2019,01/01/20
Advanced Excel Training,www.udemy.com/course/advanced-excel-training-m/,Corinne Bonet,19.99,11.99,4.8(10 ratings),Personal Development,Career Development,Excel Macros,51,English,Looking To Finally Be An Advanced Excel User?,10/2017,01/01/20
Excel Macros & VBA for Excel Report Automation,www.udemy.com/course/excel-macros-vba-for-excel-report-automation-by-ramzan-rajani/,Ramzan Rajani,19.99,11.99,4.7(14 ratings),Office Productivity,Microsoft,Excel Macros,72,English,Learn Macros Step by Step till Complete Report Automation (End to End),3/2019,01/01/20
Excel VBA Blueprint: Build 9 VBA Macros & Automate Excel,www.udemy.com/course/excel-vba-blueprint-build-9-vba-macros-automate-excel/,Sisu Alexandru,94.99,11.99,4.4(31 ratings),Office Productivity,Microsoft,Excel VBA,"1,233",English,Excel VBA Mastery By Creating 9 Practical VBA Macros That Will Automate Your Excel & Teach You How To Code,1/2017,01/01/20
Your Excel VBA Automation Machine,www.udemy.com/course/your-excel-vba-automation-machine/,Martyn Blythin,49.99,11.99,4.3(11 ratings),Office Productivity,Microsoft,Excel Macros,"1,067",English,"Learn to use VBA, Macros and Automation for Excel 2010, Excel 2013, Excel 2016",4/2019,01/01/20
Excel Macros and VBA: Automate Your Excel Workload,www.udemy.com/course/excel-2013-macros-automate-your-excel-workload/,Think Forward Online Training,49.99,11.99,4.2(411 ratings),Office Productivity,Microsoft,Excel,"20,525",English,Learn how to use the power of Excel Macros and VBA to automate and reduce you Excel workload to almost nothing!,8/2015,01/01/20
Excel Macros/VBA: Create 4 Real World Projects from Scratch,www.udemy.com/course/excel-macros-create-4-real-world-projects-from-scratch/,Think Forward Online Training,129.99,11.99,3.5(189 ratings),Office Productivity,Microsoft,Excel Macros,"23,052", English,Learn to solve any problem with Excel by watching me do it in real time. Experience full and uncut problem solving!,10/2017,01/01/20
Excel VBA Programming & Macros for all levels,www.udemy.com/course/excel-vba-programming-macros-for-all-levels/,ZiyaUlHaq Shaik,39.99,11.99,2.4(3 ratings),Office Productivity,Microsoft,Excel Macros,10,English,Be an expert in Programming Macro's and on excel VBA,6/2016,01/01/20
Excel 2016 Macro Basics,www.udemy.com/course/excel-2016-macro-basics/,Tim Wright,19.99,11.99,4.3(5 ratings),Office Productivity,Microsoft,Excel Macros,29,English,Everything you need to know to start creating macros in Excel 2016,7/2017,01/01/20
Intro to Excel Macros Part 2,www.udemy.com/course/intro-excel-macros-part-2/,Illumeo Learning,49.99,11.99,4.8(3 ratings),Office Productivity,Microsoft,Excel Macros,15,English,"This course continues the exploration of the Excel Macro Recorder, including a discussion of the risks of using macros.",6/2017,01/01/20
"Excel 2013: Advanced Macro with Goal seek, Solver & More !",www.udemy.com/course/excel-2013-advanced-macro-with-goal-seek-solver-more/,Rit Shrestha,59.99,11.99,4.2(10 ratings),Office Productivity,Microsoft,Excel Macros,635,English,"Learn macro to automate process in excel. Use goal seek, solver, functions & features for better productivity in office.",8/2015,01/01/20
Protect your Excel Files with Usage Time or by PC's,www.udemy.com/course/use-licenses-with-online-date-for-your-excel-files/,Armando Alfonzo Torres,99.99,11.39,5.0(2 ratings),Office Productivity,Microsoft,Excel Macros,7,English,Protection of Use: Sell or protect your Excel files with time licenses or authorized computers.,8/2019,01/01/20
Excel 2016: Macros and Advanced Queries,www.udemy.com/course/excel-2016-macros-and-advanced-queries/,Raouf Nabi,19.99,11.39,3.9(40 ratings),Business,Data & Analytics,Excel Macros,"3,683",English,Intermediate Level,8/2018,01/01/20
VBA Excel - Start Basic Finish Advanced!,www.udemy.com/course/vba-excel-start-basic-finish-advanced/,Craig Barry,19.99,11.39,4.1(3 ratings),IT & Software,Other,Excel Charts,"1,914",English,A practical guide to using VBA with Excel. With a professional practical example for you to learn from,10/2019,01/01/20
Learn and Record your First Excel Macro in 3 simple steps,www.udemy.com/course/ntamacro/,Nurture Tech Academy,24.99,11.39,3.8(65 ratings),Office Productivity,Microsoft,Excel Macros,"6,682",English,Breaking Macro's Myth......,12/2013,01/01/20
Intro to Excel Macros Part 3,www.udemy.com/course/intro-to-excel-macros-part-3/,Illumeo Learning,49.99,11.39,5.0(1 rating),Office Productivity,Other,Excel,13,English,"This course continues the exploration of the Excel Macro Recorder, including how to make macro-related tasks easier.",6/2017,01/01/20
Microsoft Excel - Recording Macros,www.udemy.com/course/microsoft-excel-recording-macros/,eLearnExcel,19.99,11.39,4.5(13 ratings),Office Productivity,Microsoft,Excel Macros,78,English,Learn to build Macros to carry out repetitive tasks and learn to work with macros within different workbooks.,9/2013,01/01/20
Intro to Excel Macros Part 4,www.udemy.com/course/intro-to-excel-macros-part-4/,Illumeo Learning,49.99,11.39,5.0(1 rating),Office Productivity,Microsoft,Excel Macros,13,English,"This course finishes the exploration of Excel Macro Reader, including how to debug and deal with macro errors.",6/2017,01/01/20
Excel Macros without Programming|Record Your Own Macros,www.udemy.com/course/excel-macros-without-programming-knowledge/,Kaustubh Kelkar,19.99,11.39,0.0(0 ratings),Business,Finance,Excel Macros,0,English,Record Excel Macros Easily. Automate Repetitive Tasks in Excel Without any Programming Knowledge. Create Your Own Macros,4/2019,01/01/20
Learn VBA Macros,www.udemy.com/course/learn-vba-macros/,Akesh Dhiman,49.99,11.39,2.0(1 rating),Development,Software Engineering,Excel Macros,18,English,Learn software automation,6/2018,01/01/20
How to Record and Run a Macro in 4 Easy Steps,www.udemy.com/course/how-to-record-and-run-a-macro-in-4-easy-steps/,Matthew Bernath,0.0,Free,4.3(440 ratings),Office Productivity,Microsoft,Excel Macros,"9,982",English,Harness the power of automation in Excel by recording a Macro in 4 easy steps!,9/2018,01/01/20
