Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Excel PRO TIPS: 75+ Tips to go from Excel Beginner to Pro,www.udemy.com/course/microsoft-excel-pro-tips-for-power-users/,Maven Analytics,174.99,11.99,4.6(696 ratings),Office Productivity,Microsoft,Excel,"4,376",English,"Excel tips & hands-on demos to become an Excel POWER USER. Learn Excel formulas, pivot tables, charts, analytics & more!",10/2019,12/30/19
Master Excel Keyboard Shortcuts & Mouse-Free Navigation,www.udemy.com/course/master-excel-keyboard-shortcuts/,Eric Andrews,99.99,11.99,4.7(74 ratings),Office Productivity,Microsoft,Excel Shortcut,435,English,Exponentially improve productivity by mastering Excel keyboard shortcuts in this advanced online course.,3/2018,12/30/19
Microsoft Excel - Advanced Excel Tricks that Impress,www.udemy.com/course/microsoft-excel-advanced-excel-tricks-that-impress/,Alan Murray,74.99,11.99,4.7(57 ratings),Office Productivity,Microsoft,Excel,367,English,The secret Excel magic tricks used by the power users,4/2019,12/30/19
Excel Shortcuts for Management Consultants,www.udemy.com/course/excel-shortcuts-for-management-consultants/,Asen Gyczew,89.99,11.99,4.4(44 ratings),Office Productivity,Microsoft,Excel Shortcut,"2,876",English,Practical guide how to work fast in Excel during Management Consulting projects,11/2019,12/30/19
"MS Excel - Top Excel Tips, Excel Tricks, Excel Shortcuts",www.udemy.com/course/microsoft-excel-reports-mastering-excel-shortcuts/,Institute of Investment Banking,99.99,11.99,3.7(44 ratings),Office Productivity,Microsoft,Excel Charts,"9,808",English,"Learn to use simple but amazing excel shortcuts, tips and tricks. Solve complex problems fast using excel tricks",11/2018,12/30/19
Microsoft Excel From Scratch - For Testers and Developers,www.udemy.com/course/microsoft-excel-training-course/,Vijay Shinde,99.99,11.99,0.0(0 ratings),Office Productivity,Microsoft,Excel Charts,22,English,Utilize hidden powerful features in Microsoft Excel and save 40% of your daily routine work time!,3/2019,12/30/19
Excel Basic Keyboard Shortcuts (Skills by Drills),www.udemy.com/course/microsoft-excel-essential-skills-by-drills/,Grant Gamble,44.99,11.99,4.4(21 ratings),Office Productivity,Microsoft,Excel Shortcut,"2,054",English,Microsoft Excel Keyboard shortcuts and drills designed to increase your Excel skill level and speed,6/2017,12/30/19
Microsoft Excel Keyboard Shortcuts: A Comprehensive Guide,www.udemy.com/course/microsoft-excel-shortcuts-for-2007-2010-2013-2016/,The ProductivityMe Company,39.99,11.99,4.1(39 ratings),Office Productivity,Microsoft,Excel Shortcut,"3,396",English,Learn to Master 230+ Microsoft Excel Keyboard Shortcuts and Become an Excel Guru in No Time!,12/2018,12/30/19
The Ultimate Excel shortcuts guide,www.udemy.com/course/excel-shortcuts-course/,Deepak Chandran,19.99,11.99,4.4(56 ratings),Office Productivity,Microsoft,Excel Shortcut,"4,191",English,Learn more than 100 most useful excel shortcuts to work like a Pro.,1/2018,12/30/19
"Excel Using Only Keyboard- Advance Shortcuts,Tips & Tricks",www.udemy.com/course/excel-using-only-keyboard/,Himanshu Verma,49.99,11.99,4.5(15 ratings),Office Productivity,Microsoft,Excel Shortcut,"2,648",English,"Get up to 10x faster using Excel Keyboard Shortcuts, Tips & Tricks and stand out at your Job!",3/2019,12/30/19
Mastering Microsoft Excel Date and Time,www.udemy.com/course/mastering-microsoft-excel-date-and-time/,Institute of Investment Banking,99.99,11.99,4.2(51 ratings),Office Productivity,Microsoft,Excel,"12,828",English,Master the date and time functions in excel and use them effectively to simplify your work and make it more interesting,12/2018,12/30/19
Microsoft Excel: 10 Useful Keyboard Shortcuts for Beginners,www.udemy.com/course/microsoft-excel-excel-keyboard-shortcuts/,The ProductivityMe Company,39.99,11.99,4.3(51 ratings),Office Productivity,Microsoft,Excel Shortcut,"3,296",English,Learn to Apply 10 Microsoft Excel Keyboard Shortcuts to a Real-World Business Problem,11/2015,12/30/19
Microsoft Excel Beginner Course - Introduction Excel,www.udemy.com/course/microsoft-excel-beginner-course-introduction-excel/,Deepali Sharma,19.99,11.99,4.0(5 ratings),IT & Software,Other,Excel,387,English,Learn Microsoft Excel skills that will give you a solid foundation throughout your Excel career.,10/2019,12/30/19
Excel shortcuts Master - Increase speed by 100%,www.udemy.com/course/excel-shortcuts-for-beginner-start-with-0-experience/,Derek Humble,19.99,11.99,3.5(9 ratings),Office Productivity,Microsoft,Excel Shortcut,"3,905",English,Master 200+ Excel keyboard shortcuts to work smarter and know how to use all the advanced functions to save time,7/2019,12/30/19
Tips and tricks to save your time in MS Excel,www.udemy.com/course/tips-and-tricks-to-save-your-time-in-ms-excel/,Karel Kohout,19.99,11.99,3.8(10 ratings),Office Productivity,Microsoft,Excel Shortcut,"1,060",English,"Double click tricks, keyboard shortcuts and other tips for Excel users",1/2018,12/30/19
Powerful shortcuts in Excel,www.udemy.com/course/powerful-shortcuts-in-excel/,Hossam Khalaf,19.99,11.99,0.0(0 ratings),Office Productivity,Microsoft,Excel Shortcut,5,English,In this course you will learn many of shortcuts in excel program,4/2018,12/30/19
