Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Complete Filmmaker Guide: Become an Incredible Video Creator,www.udemy.com/course/incrediblevideocreator/,Julian Melanson,199.99,11.99,"4.4(2,040 ratings)",Photography,Video Design,Video Production,"13,039",English,Get 7 Years of Filmmaking Experience - Everything from Pre-Production to Editing - in 5 Hours,9/2018,12/26/19
Make Epic Videos for the Internet!,www.udemy.com/course/make-epic-videos-for-the-internet/,Gene Nagata,0.0,49.99,4.7(769 ratings),Photography,Video Design,Filmmaking,"1,879",English,"YouTube, Facebook, IGTV, etc. They all want one thing from you... Great Content! Let's start creating!",8/2018,12/26/19
Learn to Storyboard for Film or Animation,www.udemy.com/course/storyboard-for-film-or-animation/,Siobhan Twomey,99.99,11.99,4.5(367 ratings),Design,3D & Animation,Filmmaking,"2,080",English,"An introduction to the art of drawing storyboards for Film, TV, or Animation",11/2019,12/26/19
Hollywood Film School: Filmmaking & TV Directing Masterclass,www.udemy.com/course/hollywood-film-television-video-directing-filmmaker/,IFH Courses,174.99,11.99,4.4(705 ratings),Photography,Video Design, Filmmaking,"6,268",English,"Learn How to Be a Working Hollywood Director, Take Your Filmmaking, Film School & Video Production to the Next Level.",7/2018,12/26/19
Documentary Filmmaking Masterclass,www.udemy.com/course/documentary-filmmaking-masterclass/,Jonny Von Wallström,99.99,11.99,4.2(329 ratings),Photography,Other,Filmmaking,"1,926",English,How to Make A Documentary - From Start to Finish by Award Winning Netflix Director,7/2018,12/26/19
"Filmmaking: Write, Direct and Distribute Your Feature Film",www.udemy.com/course/indiefilmmaking/,Paul Bright,199.99,11.99,4.5(276 ratings),Photography,Video Design,Filmmaking,"1,759",English,Make Your Dream Come True by Filming Your Movie and Distributing It Around the World,11/2019,12/26/19
How To Make A Living Making Films: Business Of Filmmaking,www.udemy.com/course/how-to-earn-6-figures-making-films-business-of-filmmaking/,Matti Haapoja,94.99,23.75,4.2(421 ratings),Photography,Video Design,Filmmaking,"1,440",English,"Learn how to make a consistent, high income in your creative field by leveraging your skills and platform properly.",5/2017,12/26/19
Filmmaking in a Box: Indie Feature Film Masterclass,www.udemy.com/course/filmmaker-in-a-box-filmmaking-video-production/,IFH Courses,99.99,11.99,3.9(79 ratings),Photography,Video Design,Filmmaking,"2,670",English,(20+hrs) Watch & Learn the Entire Filmmaking Process of Directing a Low Budget Feature Film. Real Life Film School,5/2019,12/26/19
DSLR Filmmaking: From Beginner to PRO!,www.udemy.com/course/dslr-filmmaking-beginner-pro/,Jordy Vandeput,69.99,11.99,4.5(512 ratings),Photography,Photography Fundamentals,DSLR,"1,850",English,"Just you, your DSLR and exciting camera techniques will take your filmmaking skills to the next level!",6/2017,12/26/19
Start Your Filmmaking Career: A Video Production Course,www.udemy.com/course/start-a-filmmaking-career/,Julian Melanson,199.99,11.99,4.3(251 ratings),Photography,Video Design,Filmmaking,"1,871",English,Turn Your Videography Skills Into a Filmmaking Business with Our 7-Step Process!,11/2018,12/26/19
