Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Python for Finance: Investment Fundamentals & Data Analytics,www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,365 Careers,194.99,13.19,"4.5(9,486 ratings)",Business,Finance,Python,"52,902",English,Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,12/2019,12/28/19
"Introduction to Finance, Accounting, Modeling and Valuation",www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,Chris Haroun,199.99,18.59,"4.4(9,795 ratings)",Business,Finance,Accounting,"58,147",English,"Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC",10/2019,12/28/19
Python for Financial Analysis and Algorithmic Trading,www.udemy.com/course/python-for-finance-and-trading-algorithms/,Jose Portilla,194.99,13.79,"4.5(9,045 ratings)",Development,Programming Languages,Finance Fundamentals,"65,332",English,"Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!",9/2019,12/28/19
Manage Finance Data with Python & Pandas: Unique Masterclass,www.udemy.com/course/finance-data-with-python-and-pandas/,Alexander Hagmann,199.99,13.19,4.7(91 ratings),Business,Finance,Data Analysis,"1,386",English,"Analyze Stocks with Pandas, Numpy, Seaborn & Plotly. Create, analyze & optimize Index & Portfolios (CAPM, Alpha, Beta)",12/2019,12/28/19
The Complete Introduction To Accounting and Finance,www.udemy.com/course/finance-and-accounting-for-startups/,"Chris Benjamin, MBA & CFO",199.99,14.39,4.4(524 ratings),Business,Finance,Accounting,"4,819",English,The Original Course on Accounting & Finance! It's easy once you know the basics. Learn introductory accounting & finance,10/2019,12/28/19
Finance for Non Finance Executives,www.udemy.com/course/finance-for-non-finance-executives/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,13.19,4.2(193 ratings),Business,Finance,Finance Fundamentals,"1,780",English,Accounting and Finance Fundamentals for Non Finance Executives,11/2019,12/28/19
The Complete Advanced Accounting and Finance Course,www.udemy.com/course/advanced-finance-and-accounting-for-startups/,"Chris Benjamin, MBA & CFO",149.99,13.19,4.2(52 ratings),Business,Finance,Accounting,"1,319",English,Advanced accounting & finance topics related to startup and early stage companies. Learn accounting and finance in 2019,10/2019,12/28/19
Canadian Securities Course (CSC) tutorials,www.udemy.com/course/prep-for-canadian-securities-course-csc/,EduFinWizards Edu,44.99,11.39,3.9(69 ratings),Business,Finance,Finance Fundamentals,297,English,This course helps prepare participants for Canadian Securities course (CSC) conducted by CSI,4/2019,12/28/19
Finance for Non-Finance: Learn Quick and Easy,www.udemy.com/course/finance-for-non-financials-make-profitable-decisions/,Anthony Jameson,19.99,11.99,4.4(443 ratings),Business,Finance,Finance Fundamentals,"5,543",English,"Obtain Suplemental Skills to Get a Raise, Better Job or Improve Your Own Business",2/2016,12/28/19
FinTech - Prepare for the revolution in Finance,www.udemy.com/course/fintech-prepare-for-the-revolution-in-finance/,Tanuja Yadav,49.99,11.39,4.0(65 ratings),Business,Finance,Finance Fundamentals,246,English,"Innovation, Artificial Intelligence, Block Chain, Machine Learning BigData and other latest technologies in Finance",4/2019,12/28/19
