Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Accounting & Financial Statement Analysis: Complete Training,www.udemy.com/course/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,365 Careers,149.99,11.39,"4.5(3,219 ratings)",Business,Finance,Financial Accounting,"27,445",English,Accounting & Financial Ratio Analysis made easy. Learn important accounting skills that will get your foot in the door!,9/2019,01/01/20
Accounting–Financial Accounting Total-Beginners to Advanced,www.udemy.com/course/financial-accounting-accounting-cycle/,Robert (Bob) Steele,199.99,11.99,4.2(249 ratings),Business,Finance,Financial Accounting,"13,116",English,"Including well over 100 hours of content, e-book (EPUB, MOBI, PDF) ,Excel worksheet, & PDF files, this is comprehensive",9/2019,01/01/20
Financial Accounting – Payroll,www.udemy.com/course/financial-accounting-payroll/,Robert (Bob) Steele,149.99,11.39,4.3(260 ratings),Business,Finance,Financial Accounting,"6,630",English,"Payroll calculations - federal income tax, social security, Medicare - Payroll journal entries posted to ledger accounts",6/2019,01/01/20
Financial Accounting (Advanced) - Course 3 of 5,www.udemy.com/course/expanded-financial-accounting/,Norm Nemrow,199.99,11.39,4.6(7 ratings),Finance & Accounting,Accounting & Bookkeeping,Financial Accounting,434,English,"Honored by the President of the United States for outstanding teaching, learn Accounting from the self-made millionaire.",11/2019,01/01/20
Financial Accounting: The Complete Introductory Crash Course,www.udemy.com/course/university-level-introduction-to-financial-accounting/,David Burrell,24.99,11.39,4.5(329 ratings),Business,Finance,Financial Accounting,"3,845",English,"Learn the Basics of Financial Accounting: Financial Statements, Debits and Credits, The Accounting Cycle and More!",12/2017,01/01/20
Financial Accounting & Excel–Comprehensive Accounting Course,www.udemy.com/course/financial-accounting-excelcomprehensive-accounting-course/,Robert (Bob) Steele,99.99,11.39,4.0(133 ratings),Business,Finance,Financial Accounting,"2,303",English,Comprehensive accounting course to learn the accounting cycle in a practical way and pick up critical Excel fundamentals,6/2019,01/01/20
ACCA: FA (F3) Financial Accounting,www.udemy.com/course/acca-f3-financial-accounting/,Rowan Malherbe,99.99,11.39,4.8(57 ratings),Business,Finance,ACCA,324,English,Let's get to grasps of how to perform the basics of financial accounting.,1/2019,01/01/20
Intermediate Accounting 1: Easy. Fast. Simple!,www.udemy.com/course/intermediateaccounting/,"Stefan Ignatovski, Ph.D.",199.99,11.39,4.0(279 ratings),Business,Finance,Financial Accounting,"1,446",English,"Experience the ""Aha"" moment in accounting. Prepare yourself for the CPA exam.",12/2018,01/01/20
"CPA Exam: Consolidations & Business Combinations, In a Snap!",www.udemy.com/course/cpa-exam-consolidations-business-combinations-in-a-snap/,Test Prep In a Snap!,49.99,18.99,4.9(9 ratings),Finance & Accounting,Accounting & Bookkeeping,Financial Accounting,41,English,"CPA Exam (FAR): Consolidations & Business Combinations, In a Snap!",9/2019,01/01/20
Introductory Financial Accounting,www.udemy.com/course/introductory-financial-accounting/,Erik Slayter,0.0,79.99,4.5(603 ratings),Business,Finance,Financial Accounting,"2,559",English,"Learn the basics of Accounting including: the accounting cycle, inventory, depreciation, receivables, and more!",2/2019,01/01/20
ACCA: FR (F7) Financial Reporting,www.udemy.com/course/acca-f7-financial-reporting/,Rowan Malherbe,99.99,11.39,4.0(19 ratings),Business,Finance,ACCA,141,English,Financial Reporting,4/2018,01/01/20
Financial Accounting-Adjusting Entries & Financial Statement,www.udemy.com/course/financial-accounting-adjusting-entries-financial-statement/,Robert (Bob) Steele,199.99,11.39,4.3(74 ratings),Business,Finance,Financial Accounting,"3,652",English,"Adjusting entry creation, posting adjusting entries to a worksheet, creating financial statements from the trial balance",6/2019,01/01/20
Accounting - A Brief Introduction - in 60 Minutes,www.udemy.com/course/accounting-in-less-then-one-hour/,"BrainyMoney and Son Han, CFA, CPA",29.99,11.39,"4.6(2,384 ratings)",Business,Finance,Financial Accounting,"26,298",English,Learn the basics of financial accounting in one hour!,3/2016,01/01/20
Accounting Made Easy: A Quick Guide to Financial Accounting,www.udemy.com/course/accounting-made-easy-a-quick-guide-to-financial-accounting/,365 Careers,94.99,11.39,4.4(430 ratings),Business,Finance,Financial Accounting,"2,287",English,"Accounting is not about Math, it is about concepts. And no one said it has to be hard. Learn the basics in just 2 hours!",10/2019,01/01/20
Become an External Auditor - External Audit Process Level 1,www.udemy.com/course/becoming-external-auditor-in-real-life-level-1/,"Abdullah Alzafiri, CPA",64.99,11.39,4.2(17 ratings),Business,Finance,Financial Accounting,61,English,External Auditing : External Audit Process : Accounting Audit : Accounting Auditor : Business Valuation Methods : Audit,11/2019,01/01/20
Financial Accounting – Closing Process,www.udemy.com/course/financial-accounting-closing-process/,Robert (Bob) Steele,199.99,11.39,4.5(60 ratings),Business,Finance,Financial Accounting,"3,346",English,Closing processes including three formats of the closing process helping us better understand accounting concepts,6/2019,01/01/20
Financial Accounting Part I - Passing the Class,www.udemy.com/course/severson-financial-accounting-part-one/,Chris Severson,19.99,11.39,4.6(62 ratings),Business,Finance,Financial Accounting,505,English,Master the Basics of Accounting to Pass The Class or Enhance Your Career (Textbook and Templates Included),9/2019,01/01/20
Financial Accounting-Depreciation Calculation & Fixed Assets,www.udemy.com/course/financial-accounting-depreciation-calculation-fixed-assets/,Robert (Bob) Steele,199.99,11.39,4.1(30 ratings),Business,Finance,Financial Accounting,"4,008",English,"Depreciation calculation, straight line method, double declining method, units of production method and disposal assets",6/2019,01/01/20
"CPA Exam: Bonds, In a Snap!",www.udemy.com/course/bondsinasnap/,Test Prep In a Snap!,29.99,18.99,4.9(3 ratings),Finance & Accounting,Accounting & Bookkeeping,Financial Accounting,20,English,"CPA Exam (FAR): Bonds, In a Snap!",11/2019,01/01/20
