Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete Financial Analyst Course 2019,www.udemy.com/course/the-complete-financial-analyst-course/,365 Careers,194.99,11.99,"4.5(24,725 ratings)",Business,Finance,Financial Analysis,"159,782",English,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",12/2019,12/31/19
The Complete Financial Analyst Training & Investing Course,www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/,Chris Haroun,199.99,11.99,"4.5(10,983 ratings)",Business,Finance,Financial Analysis,"75,570",English,"Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital",10/2019,12/31/19
Investment Analysis & Portfolio Management - Core Finance,www.udemy.com/course/investment-analysis-portfolio-management/,Fervent #LearnWithDistinction,179.99,11.99,4.5(402 ratings),Business,Finance,Financial Analysis,"3,047",English,Financial Analysis Done Right - Rigorously Analyse Investments & Manage Portfolios using ExcelÂ® & Google Sheets,12/2019,12/31/19
Excel Crash Course: Master Excel for Financial Analysis,www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/,Tim Vipond,44.99,11.99,"4.5(2,491 ratings)",Business,Finance,Excel,"16,340",English,"Beginner to Advanced: Learn Excel Shortcuts, Formulas & Functions for Financial Modeling & Corporate Finance",11/2016,12/31/19
CFA Level 1 (2020) - Complete Alternative Investments,www.udemy.com/course/cfa-level-1-complete-alternative-investments/,"PrepNuggets | Keith Tan, CFA",39.99,11.99,4.5(164 ratings),Business,Finance,CFA,"2,085",English,Deep dive into Alternative Inv with the Bestselling CFA prep course provider | With visual learning aids and quizzes,10/2019,12/31/19
How to Analyze a Wholesale Deal in Real Estate,www.udemy.com/course/wholesaling-investment-analysis/,Symon He,174.99,11.99,4.6(214 ratings),Business,Real Estate,Financial Analysis,"13,725",English,Learn the fundamentals of wholesale deal analysis with a custom built deal calculator for pitching to potential buyers.,6/2019,12/31/19
The Credit Analyst Training course,www.udemy.com/course/the-credit-analyst-skills-training-cast-course/,Ashish Agarwal,74.99,11.99,4.1(764 ratings),Business,Finance,Financial Analysis,"4,531",English,"Learn the complete Credit Risk Analysis skills for jobs in Banks, Asset Management & Credit Rating Agencies",11/2019,12/31/19
Finance Training for Financial Analysts,www.udemy.com/course/the-financial-analyst-skills-training-fast-course-2017/,Ashish Agarwal,144.99,11.99,4.2(469 ratings),Business,Finance,Financial Analysis,"3,411",English,"The comprehensive course in Excel, Accounting, Financial Analysis, Forecasting, Business Valuation and PowerPoint.",11/2019,12/31/19
Investment Analysis & Portfolio Management (with Python),www.udemy.com/course/investment-analysis-portfolio-management-with-python/,Fervent #LearnWithDistinction,199.99,11.99,4.5(3 ratings),Business,Finance,Financial Analysis,143,English,Financial Analysis Done Right - Rigorously Analyse Investments & Manage Portfolios using Python | Core Finance,12/2019,12/31/19
"Excel, Fin Analysis, Valuation and Financial Modeling 2019",www.udemy.com/course/excel-fin-analysis-valuation-and-financial-modeling-bundle/,Institute of Investment Banking,199.99,11.99,3.8(303 ratings),Business,Finance,Excel Modeling,"17,855",English,"Learn Excel for Finance, Financial Analysis, DCF and Relative Valuation and Financial Modeling from scratch.",1/2019,12/31/19
