Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Python for Financial Analysis and Algorithmic Trading,www.udemy.com/course/python-for-finance-and-trading-algorithms/,Jose Portilla,194.99,11.39,"4.5(9,045 ratings)",Development,Programming Languages,Finance Fundamentals,"65,430",English,"Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!",9/2019,12/31/19
Professional Trading With Institutional Supply & Demand,www.udemy.com/course/professional-trading-with-institutional-supply-demand/,Simon Kloot,0.0,199.99,4.7(392 ratings),Business,Finance,Financial Trading,993,English,Learn how to trade any financial market consistently and profitably. New Cryptocurrency section added for 2018.,11/2019,12/31/19
The Complete Technical Analysis Trading Course (New 2019),www.udemy.com/course/the-complete-technical-analysis-course/,Wealthy Education,199.99,11.39,4.4(825 ratings),Personal Development,Personal Finance,Technical Analysis,"3,822", English,"Master Technical Analysis, Candlesticks & Chart Patterns For Forex, Stock Trading, Options Trading & Fibonacci Trading",12/2019,12/31/19
Advanced Forex Trading - Ichimoku Trading Strategy Explained,www.udemy.com/course/advanced-forex-trading-ichimoku-trading-strategy-explained/,Federico Sellitti,199.99,11.39,4.7(751 ratings),Business,Strategy,Financial Trading,"2,930",English,"Ichimoku Trading - A Complete Strategy that You Can Apply to Forex Trading, Stock Trading and other Financial Markets!",12/2019,12/31/19
Options Trading for Rookies:  Understand Options Completely,www.udemy.com/course/complete-course-introduction-to-option-trading/,Kal Zurn,149.99,11.39,4.8(632 ratings),Business,Finance,Financial Trading,"6,056",English,"Part 1: Learn everything you need to know about options, what they are, how they work, buying vs. selling and more!",12/2019,12/31/19
Technical Analysis Stock Trading -Practice Assignment Course,www.udemy.com/course/technical-analysis-masterclass-practice-assignments-course/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,11.39,4.7(158 ratings),Personal Development,Personal Finance,Financial Trading,"1,561",English,"25 Solved & Fully Explained Assignments To Practice Technical Analysis For Stock Trading , Day Trading & Options Trading",12/2019,12/31/19
"Comprehensive Guide to Financial Markets, Investing &Trading",www.udemy.com/course/financial-markets-a-to-z-for-beginners/,Hari Swaminathan,0.0,29.99,"4.5(1,577 ratings)",Business,Finance,Financial Trading,"10,593",English,"A comprehensive (advanced) introduction to global financial markets, investing and trading in all financial assets",12/2019,12/31/19
The Complete Swing Trading Course (New 2019),www.udemy.com/course/the-complete-swing-trading-course/,Wealthy Education,199.99,11.39,4.4(163 ratings),Personal Development,Personal Finance,Financial Trading,"1,094",English,"Swing Trading & Technical Analysis System For Stock Trading, Forex, Crypto, Options Trading & Financial Trading",12/2019,12/31/19
Forex Online Price Action Day Trading Strategy,www.udemy.com/course/forex-analysis/,Dorrow Green,199.99,16.19,4.6(447 ratings),Business,Data & Analytics,Financial Trading,"1,601",English,Price Action Trading System for profit on Forex. For beginners and advanced traders. Not Robot Swing Trading Strategy.,10/2018,12/31/19
PineScript Indicator Development,www.udemy.com/course/pinescript-indicator-development/,Kevin Dostalek,149.99,37.50,4.5(24 ratings),Development,Programming Languages,Financial Trading,90,English,Create Custom Chart Indicators Using TradingView PineScript,7/2019,12/31/19
"Learn How To Trade Stocks, Forex & Crypto: In 5 Simple Steps",www.udemy.com/course/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,Vincent Merven,139.99,11.39,4.3(791 ratings),Business,Finance,Stock Trading,"4,675",English,Go from Novice Trader to Profitable Trader in 5 Simple Steps. Complete with LIVE TRADES & Exercises for you to do,8/2019,12/31/19
Options Trading for Rookies: Make & Manage Profitable Trades,www.udemy.com/course/option-trading-for-rookies-make-and-manage-profitable-option-trades/,Kal Zurn,94.99,11.39,4.8(152 ratings),Business,Finance,Financial Trading,"2,744",English,"Part 3: Learn to make and manage profitable trades, find stocks to trade, use correct position sizing, liquidity & more",12/2019,12/31/19
The Complete Guide to Professional Trading with Elliott Wave,www.udemy.com/course/practical-trading-trade-stocks-forex-with-elliott-wave/,Neerav Yadav,0.0,199.99,4.3(205 ratings),Business,Finance,Financial Trading,"1,077",English,"80% + Consistent accuracy for 2016, 2017 and 2018 with PROOF.",10/2019,12/31/19
Technical Analysis Beginners Guide for Stock Trading & Forex,www.udemy.com/course/technical-analysis-made-easy/,Indian Insight,199.99,11.39,4.7(236 ratings),Business,Finance,Financial Trading,"1,432",English,4-course bundle - Fibonacci / Ichimoku Trading / Day Trading Strategies + Technical Analysis for trading stock & forex,4/2019,12/31/19
Forex Swing Trading Strategy - Live Day Trading examples,www.udemy.com/course/forex-online/,Dorrow Green,199.99,11.39,4.9(260 ratings),Business,Strategy,Financial Trading,"1,254",English,Price Action Online Trading. How to make profit on Forex Market with non robot swing trading system. With Real examples.,1/2019,12/31/19
