Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Complete Fitness Trainer Certification: Beginner To Advanced,www.udemy.com/course/complete-fitness-trainer-certification-beginner-to-advanced/,Felix Harder,199.99,16.19,"4.5(1,018 ratings)",Health & Fitness,Fitness, ,"4,253",English,"Become A Fitness Coach: Create Muscle Growth & Fat Loss Workouts, Build A Fitness Training Business & Be A Health Expert",12/2019,12/29/19
Internationally Accredited Diploma Certificate in Fitness,www.udemy.com/course/internationally-accredited-diploma-certificate-in-fitness/,Akash Sehrawat,199.99,11.39,"4.4(1,094 ratings)",Health & Fitness,Fitness, ,"14,171",English,"Learn how to Create Gym & Bodybuilding Workouts that help boost testosterone, muscle building and/or lose weight
 ",12/2019,12/29/19
Build Your SuperHuman Body: Become Your Own Personal Trainer,www.udemy.com/course/build-your-superhuman-body-become-your-own-personal-trainer/,Jonathan Levi,74.99,11.39,4.3(23 ratings),Health & Fitness,Fitness, ,399,English,"The Missing User's Manual For Your Body: Take Control Of Your Health, Fitness, Nutrition, Strength, Diet, & Weight Loss",12/2019,12/29/19
Fitness Trainer Certification: Gym Workouts & Bodybuilding,www.udemy.com/course/fitness-trainer-certification-gym-workouts-bodybuilding/,Felix Harder,149.99,15.59,4.6(139 ratings),Health & Fitness,Fitness, ,667,English,"Become A Fitness Coach: Create Muscle Growth & Strength Workouts, Build A Fitness Training Business & Be A Health Expert",12/2019,12/29/19
Lazy Dancer Ballet Burn - 30 Days Fitness Ballet Programme,www.udemy.com/course/lazy-dancer-ballet-burn/,Alessia Lugoboni,24.99,11.39,4.7(143 ratings),Health & Fitness,Fitness,Ballet,866,English,Fitness Ballet Barres and Centre Workouts to Achieve the Most Beautiful You,10/2018,12/29/19
Accredited Barre Teacher Training Program,www.udemy.com/course/barre-teacher-training/,Callie Kim,0.0,199.99,5.0(1 rating),Health & Fitness,Fitness, ,6,English,Learn to teach a top-notch barre class that will have your students raving and coming back for more!,10/2019,12/29/19
Use Your Health & Fitness Expertise to Earn A Living Online,www.udemy.com/course/create-online-health-fitness-business/,Dave Smith,49.99,11.39,4.4(246 ratings),Business,Entrepreneurship,Fitness,"1,110",English,I turned my experience as a personal trainer into an online health business that allowed me to quit working at the gym!,2/2015,12/29/19
15 Minute Hell: The Ultimate Bodyweight Workout For Warriors,www.udemy.com/course/15-minute-hell/,Chris Pizzo,99.99,12.59,4.2(304 ratings),Health & Fitness,Fitness,Home Workout,"5,417",English,"The astonishing ""accidental"" bodyweight workout discovery to getting strong, lean, and mean as fast as humanly possible!",5/2017,12/29/19
Learn Secret Chinese Exercises: Live energized & happy now,www.udemy.com/course/learn-secret-chinese-exercises-live-energized-happy-now/,Peter Caughey,59.99,11.39,4.7(192 ratings),Health & Fitness,General Health,Fitness,"1,748",English,Learn profound exercises called Qigong known for thousands of years that give you extraordinary energy & exuberance,8/2018,12/29/19
"Treat lower back in swimming, swim 1k freestyle",www.udemy.com/course/learn-to-swim-freestyle-west/,Ori Sela,64.99,11.39,4.6(131 ratings),Health & Fitness,Sports,Fitness,"1,637",English,"Learn to swim freestyle WEST using the healthiest swimming technique, train with hydrotherapy expert , Ori Sela",3/2019,12/29/19
