Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Learn German Language: Complete German Course - Beginners,www.udemy.com/course/german-course-for-beginners-learn-german/,AbcEdu Online,199.99,11.99,"4.3(4,065 ratings)",Teaching & Academics,Language,German Language,"25,947",English,"Learn German with a Native Teacher. Complete Course - German for Beginners (A1,A2,A2+) German Grammar, German Vocabulary",11/2019,12/27/19
Learn German Language: Complete German Course - Intermediate,www.udemy.com/course/german-language-course-intermediate/,AbcEdu Online,199.99,11.99,4.4(400 ratings),Teaching & Academics,Language,German Language,"10,172",English,"Learn German Language: Native Teacher, German Speaking, German Grammar, Vocabulary. Complete German Course. Intermediate",11/2019,12/27/19
German Made Simple: A Complete Course for Serious Learners,www.udemy.com/course/german-made-simple/,Ingo Depner,199.99,11.99,"4.5(2,892 ratings)",Teaching & Academics,Language,German Language,"24,210",English,"Learn to speak, write and understand German quickly and easily in order to achieve your personal and professional goals.",11/2019,12/27/19
Learn German Language: German Course - Upper Intermediate,www.udemy.com/course/german-language-course-upper-intermediate/,AbcEdu Online,199.99,11.99,4.3(113 ratings),Teaching & Academics,Language,German Language,"6,324",English,"Learn German Language with a Native Teacher. German speaking, German grammar, vocabulary: business, job, cv, interviews",11/2019,12/27/19
German for beginners (A1 - Part 1/5),www.udemy.com/course/germanforbeginners-part1/,Juliane Klingenberg Nery,99.99,11.99,4.6(924 ratings),Teaching & Academics,Language,German Language,"3,419",English,"Step by step to fluency. Learn German the right way, right from the beginning! Part 1/5",9/2019,12/27/19
German B1 - Intermediate German,www.udemy.com/course/german-b1-intermediate-german/,Julia Krist,79.99,11.99,4.5(160 ratings),Teaching & Academics,Language,German Language,"1,242",English,Learn German Language From A Native & Experienced German Teacher - Learn German Grammar and Culture,12/2019,12/27/19
German Language A1: Learn German For Beginners!,www.udemy.com/course/deutsch-a1-1/,Julia Krist,79.99,11.99,4.4(271 ratings),Teaching & Academics,Language,German Language,"2,257",English,"Learn German Language From A Native & Experienced German Teacher - Learn German Grammar, Vocabulary, & Conversation!",7/2019,12/27/19
German for beginners (A1 - Part 2/5),www.udemy.com/course/germanforbeginners-part2/,Juliane Klingenberg Nery,99.99,11.99,4.7(164 ratings),Teaching & Academics,Language,German Language,"1,720",English,"Step by step to fluency. Learn German the right way, right from the beginning! Part 2/5",5/2019,12/27/19
Learn German for Beginners:An Immersive Language Journey A1+,www.udemy.com/course/learn-german-immersive/,Germanix Learning,119.99,11.99,4.7(436 ratings),Teaching & Academics,Language,German Language,"7,187",English,"Learn German the natural way, by virtually exposing yourself to real day-to-day language and engaging interactively.",9/2019,12/27/19
Deutsch Intensiv - Intensive German Course for Beginners,www.udemy.com/course/deutsch-intensiv-intensive-german-course-for-beginners/,Kamil Pakula,24.99,11.99,4.4(667 ratings),Teaching & Academics,Language,German Language,"3,919",English,Master all the ins and outs of the German language.,11/2018,12/27/19
Best way to learn German -  Full Beginner Course (A1),www.udemy.com/course/best-way-to-learn-german-full-beginner-starter-kit/,Sandra 11Percent,164.99,11.99,4.6(382 ratings),Teaching & Academics,Language,German Language,"1,766",English,Learn German with fun bite-size lessons for beginners and serious learners.,12/2019,12/27/19
Speak German like a Native: A Practical Conversation Course,www.udemy.com/course/speak-german-like-a-native-german-conversation/,Ingo Depner,149.99,11.99,4.3(366 ratings),Teaching & Academics,Language,German Language,"5,956",English,Learn how to express yourself accurately in typical everyday situations exactly like a German native speaker would,11/2019,12/27/19
German for beginners (A1 - Part 3/5),www.udemy.com/course/germanforbeginners-part3/,Juliane Klingenberg Nery,99.99,11.99,4.6(69 ratings),Teaching & Academics,Language,German Language,"1,063",English,"Step by step to fluency. Learn German the right way, right from the beginning! Part 3/5",9/2018,12/27/19
3 Minute German - Course 1 | Language lessons for beginners,www.udemy.com/course/3-minute-german-full-course-1/,Kieran Ball,199.99,11.99,4.6(513 ratings),Teaching & Academics,Language,German Language,"1,908",English,Learn to speak German you can use in everyday real-world situations - all in just 3-minute chunks!,6/2019,12/27/19
German for beginners (A1 - Part 4/5),www.udemy.com/course/germanforbeginners-part4/,Juliane Klingenberg Nery,119.99,11.99,4.9(46 ratings),Teaching & Academics,Language,German Language,928,English,"Step by step to fluency. Learn German the right way, right from the beginning! Part 4/5",9/2019,12/27/19
German for beginners (A1 - Part 5/5),www.udemy.com/course/germanforbeginners-part5/,Juliane Klingenberg Nery,99.99,11.99,4.8(25 ratings),Teaching & Academics,Language,German Language,878,English,"Step by step to fluency. Learn German the right way, right from the beginning! Part 5/5",1/2017,12/27/19
German Pronunciation Masterclass,www.udemy.com/course/german-pronunciation/,Ingo Depner,199.99,11.39,4.6(39 ratings),Teaching & Academics,Language,German Language,532,English,"Speak German clearly, eliminate your accent and sound like a native with perfect German pronunciation",11/2019,12/27/19
German for You: a German Language Course for Beginners A1/A2,www.udemy.com/course/german-for-you-a-german-language-course-for-beginners/,Esther Hartwig,19.99,11.39,4.5(28 ratings),Teaching & Academics,Language,German Language,174,English,"Learn German with visual aids and flexible exercises. Deutsch A1, A2. Native German tutor, explanations in English.",6/2019,12/27/19
