Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Ultimate Google Ads / AdWords Course 2018 - Profit With PPC!,www.udemy.com/course/the-ultimate-google-adwords-training-course/,Isaac Rudansky,199.99,11.39,"4.7(32,590 ratings)",Marketing,Digital Marketing,Google Ads (Adwords),"129,813",English,Google Ads: Learn how our clients have transformed their sales using google AdWords & get your AdWords certification!,11/2018,12/31/19
Google AdWords Certification - Become Certified & Earn More!,www.udemy.com/course/google-ads-certification/,Daragh Walsh,199.99,14.99,4.4(401 ratings),Marketing,Other,Google Ads (AdWords) Certification,"2,888",English,"Become Google AdWords / Ads Certified to Advance Your Career, Attract Clients & Lower Your Advertising Cost - 2019 Guide",10/2019,12/31/19
Google Ads Certification (Fundamentals & Ads Search),www.udemy.com/course/adwords-fundamentals-certification/,Valentin Espagné,114.99,11.39,4.1(47 ratings),Marketing,Digital Marketing,Google Ads (AdWords) Certification,"1,781",English,The fastest prep course for your Google Ads Certification - AdWords Fundamentals and Adwords Search Certifications,8/2018,12/31/19
Google AdWords Certification - Get Yours Today!,www.udemy.com/course/google-adwords-certification-ultimate-all-6exams/,Grigor Yovov,194.99,11.39,4.5(13 ratings),Marketing,Advertising,Google Ads (AdWords) Certification,126,English,500+ Questions & Answers. Get Your Google AdWords Certification Exam Now! Ultimate- All 6 Exams. Real Test environment!,2/2019,12/31/19
Google AdWords Certification in 2 Days - 2 courses in 1,www.udemy.com/course/google-adwords-certification-course/,Nidhi Gupta,199.99,11.39,4.1(47 ratings),Business,Sales,Google Ads (AdWords) Certification,"1,677",English,"Get Your Google AdWords Certification in Just 2 Days. Secure Your Promotion, Interview, Grow Business - 2 in 1 Course",5/2018,12/31/19
Google Ads Display Certification - certified within a day,www.udemy.com/course/google-adwords-display-certification/,Valentin Espagné,69.99,11.39,4.0(10 ratings),Marketing,Advertising,Google Ads (AdWords) Certification,"1,522",English,Google Ads Display Certification (formerly AdWords Display) - Get the Google Ads Display Certificate within a day,8/2018,12/31/19
Google Ads / AdWords Hands on Experience Course - Practical,www.udemy.com/course/google-ads-hands-on-experience-course-only-practical/,Syed Quadri,19.99,11.39,4.4(3 ratings),Marketing,Digital Marketing,PPC Advertising,"1,286",English,From Beginner to Experts,10/2019,12/31/19
Google Ads Fundamentals Certification practice exams,www.udemy.com/course/google-ads-fundamentals-certification-practice-exams/,Justin Gatlin,24.99,11.39,4.5(1 rating),Marketing,Digital Marketing,Google Ads (AdWords) Certification,20,English,Pass the certification on the first attempt. 158 questions,2/2019,12/31/19
"Google Ads Fundamental, Search, Display Practice Test 2019",www.udemy.com/course/adwords-certification/,Jignesh Bhatiya,24.99,11.39,1.0(1 rating),Marketing,Digital Marketing,Google Ads (AdWords) Certification,6,English,You can find All Google Adwords Exam Questions and answers in this practice test. 100% Genuine Answers.,6/2019,12/31/19
AdWords (Fundamental + Search Advertising) : Practice Tests,www.udemy.com/course/adwords-fundamental-search-advertising-practice-tests/,Certify You,84.99,11.39,4.8(14 ratings),Marketing,Other,Google Ads (AdWords) Certification,61,English,"Pass the Official ""Google AdWords Fundamental"" and ""Search Advertising"" certifications with this course. Guaranteed.",12/2019,12/31/19
