Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Learn Flutter & Dart to Build iOS & Android Apps,www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,Academind by Maximilian Schwarzmüller,199.99,11.99,"4.7(13,816 ratings)",Development,Mobile Apps,Dart Programming Language,"54,936",English,A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,12/2019,01/01/20
The Complete 2020 Flutter Development Bootcamp with Dart,www.udemy.com/course/flutter-bootcamp-with-dart/,Angela Yu,199.99,11.99,"4.7(6,335 ratings)",Development,Mobile Apps,Google Flutter,"28,317",English,Officially created in collaboration with the Google Flutter team.,12/2019,01/01/20
Flutter & Firebase: Build a Complete App for iOS & Android,www.udemy.com/course/flutter-firebase-build-a-complete-app-for-ios-android/,Andrea Bizzotto,199.99,11.99,4.7(515 ratings),Development,Mobile Apps,Google Flutter,"2,253",English,"Learn Dart, Flutter & Firebase by Google, and build a real-world, production ready app",12/2019,01/01/20
Dart and Flutter: The Complete Developer's Guide,www.udemy.com/course/dart-and-flutter-the-complete-developers-guide/,Stephen Grider,149.99,11.99,"4.6(2,652 ratings)",Development,Mobile Apps,Dart Programming Language,"14,049",English,"Everything you need to know for building mobile apps with Flutter and Dart, including RxDart and Animations!",12/2019,01/01/20
Build a Social Network with Flutter and Firebase,www.udemy.com/course/build-a-social-network-with-flutter-and-firebase/,Reed Barger,29.99,11.99,4.4(322 ratings),Development,"Mobile Apps
 ",Mobile Development,"2,349",English,"Make a complete mobile social media app like Twitter, Instagram or Facebook using Flutter and Firebase!",12/2019,01/01/20
Flutter & Dart - The Complete Flutter App Development Course,www.udemy.com/course/flutter-dart-the-complete-flutter-app-development-course/,"Paulo Dichone | Android, Java, Flutter Developer and Teacher",199.99,11.99,"4.4(2,839 ratings)",Development,Mobile Apps,Dart Programming Language,"12,502",English,Build Flutter iOS and Android Apps with a Single Codebase - Learn Google's Flutter Mobile Development Framework,12/2019,01/01/20
Build a Rental App with Flutter: iOS & Android Masterclass,www.udemy.com/course/ios-android-masterclass-build-3-apps-with-google-flutter/,Mammoth Interactive,199.99,11.99,4.3(29 ratings),Development,Mobile Apps,Firebase,434,English,Start an empire with your first startup app. Learn the Dart programming language and back-end development with Firebase!,9/2019,01/01/20
"Mobile E-Commerce with Flutter, Redux, and Stripe",www.udemy.com/course/mobile-e-commerce-with-flutter-redux-and-stripe/,Reed Barger,29.99,11.99,4.3(83 ratings),Development,Mobile Apps,Google Flutter,667,English,Build an online marketplace for your mobile apps!,12/2019,01/01/20
The Complete Flutter UI Masterclass | iOS & Android in Dart,www.udemy.com/course/the-complete-flutter-ui-masterclass/,Marcus Ng,29.99,11.99,4.4(27 ratings),Development,Mobile Apps,Mobile Development,283,English,Learn how to build beautiful and comprehensive iOS and Android user interfaces using Flutter and Dart!,12/2019,01/01/20
Complete Flutter development - build 14 ios and android apps,www.udemy.com/course/complete-flutter-development/,Igneus Technologies,199.99,11.99,4.5(46 ratings),Development,Mobile Apps,Google Flutter,419,English,"Includes API handling, database projects, Firebase and BLOC",10/2019,01/01/20
Flutter + SQFLite | Build a Local Storage iOS & Android App,www.udemy.com/course/flutter-and-sqflite/,Marcus Ng,19.99,11.99,4.8(23 ratings),Development,Mobile Apps,Google Flutter,133,English,Create a production ready native iOS and Android app that uses a SQLite database with Flutter,11/2019,01/01/20
Master Flutter - Learn Dart & Flutter by Developing 20 Apps,www.udemy.com/course/master-flutter-learn-dart-flutter-by-developing-20-apps/,Lutfor Rahman,199.99,11.99,4.3(18 ratings),Development,Mobile Apps,Google Flutter,156,English,"Learn Google Flutter & Dart by Developing 20 Real Life & Enterprise Apps including UI, App Dashboard and API",12/2019,01/01/20
Flutter - Advanced Course,www.udemy.com/course/flutter-advanced-course/,Bryan Cairns,19.99,11.99,4.2(171 ratings),IT & Software,Other,Google Flutter,"14,859",English,Learn to be a Flutter advanced programmer,2/2019,01/01/20
The Complete Flutter and Firebase Developer Course,www.udemy.com/course/flutter-development/,Nathan Glover,99.99,11.99,4.3(395 ratings),Development,Mobile Apps,Dart Programming Language,"3,006",English,Build Stunning Serverless Android & iOS Apps using Googleâs great new mobile UI framework.,1/2019,01/01/20
Flutter - Intermediate,www.udemy.com/course/flutter-intermediate/,Bryan Cairns,19.99,11.99,4.5(257 ratings),IT & Software,Other,Google Flutter,"14,083",English,Learn Flutter mobile programming,2/2019,01/01/20
Getting Started with Flutter and Firebase,www.udemy.com/course/getting-started-with-flutter-and-firebase/,Samarth Agarwal,99.99,11.99,4.5(13 ratings),Development,Mobile Apps,Google Flutter,107,English,Build a Complete Serverless Mobile App with Google Flutter and Firebase,10/2019,01/01/20
Dart and Flutter From Zero to Hero - Practical Dev Bootcamp,www.udemy.com/course/dart-and-flutter-from-zero-to-hero-practical-dev-bootcamp/,Filip Jerga,179.99,11.99,4.4(38 ratings),Development,Mobile Apps,Google Flutter,375,English,Build real mobile Application for Android and iOS. Learn Dart Framework and discover amazing features of Flutter.,10/2019,01/01/20
"The Complete Flutter App Development Course for Android, iOS",www.udemy.com/course/the-complete-flutter-app-development-course-for-android-ios/,Smartherd Developers,199.99,11.99,4.5(964 ratings),Development,Mobile Apps,Android Development,"27,265",English,A Complete Guide to the Flutter Framework for building native iOS and Android apps with single code base,11/2018,01/01/20
Flutter - Beginners Course,www.udemy.com/course/flutters-beginners-course/,Bryan Cairns,19.99,11.99,4.4(711 ratings),IT & Software,Other,Google Flutter,"15,420",English,Learn Flutter mobile programming,2/2019,01/01/20
Flutter News Portal App-Firestore Backend(Android&ios App),www.udemy.com/course/flutter-news-portal-app-firestore-backendandroidios-app/,Code With YDC,199.99,11.99,4.5(9 ratings),Development,Mobile Apps,Google Flutter,70,English,"Build Flutter ios and Android Apps Using Firestore. Work With Flutter Advanced Features,Flutter Packages,Flutter Widgets",11/2019,01/01/20
Flutter API & JSON Course Build Real ios&Android(4 Real App),www.udemy.com/course/flutter-api-json-course-build-real-iosandroid4-real-app/,Code With YDC,199.99,11.99,3.9(63 ratings),Development,Mobile Apps,Google Flutter,"10,445",English,"In This Flutter API And JSON Parsing Course You will Build Real World ios and Android App,Flutter Weather App Using Json",9/2019,01/01/20
Mastering Flutter,www.udemy.com/course/mastering-flutter/,Packt Publishing,124.99,11.99,4.5(14 ratings),Development,Mobile Apps,Google Flutter,70,English,A fast-paced tutorial for experienced front-end developers who want to attain Flutter mastery,4/2019,01/01/20
Flutter Web Development Course Build Complete FlutterWeb App,www.udemy.com/course/flutter-web-development-course-build-complete-flutterweb-app/,Code With YDC,199.99,11.99,3.6(75 ratings),Development,Web Development,Dart Programming Language,"19,051",English,"Flutter Web development Course Will Teach You-How To Build Complete Web App Using Flutter,Flutter Web App,Flutter UI",9/2019,01/01/20
Real-World Projects with Flutter,www.udemy.com/course/real-world-projects-with-flutter/,Packt Publishing,124.99,11.99,4.0(26 ratings),Development,Programming Languages,Google Flutter,308,English,Develop powerful Android and iOS applications with just one code base with Flutter using this hands-on guide,1/2019,01/01/20
Flutter & Dart Development For Building iOS and Android Apps,www.udemy.com/course/flutter-mobile-development/,Frahaan Hussain,199.99,11.99,3.8(422 ratings),Development,Mobile Apps,Google Flutter,"29,163",English,Flutter is created by Google and is the future of all iOS and Android applications. It is powered by the Dart language,3/2019,01/01/20
Flutter Blog app Using Firestore Build ios & Android App,www.udemy.com/course/flutter-blog-app-using-firestore-build-ios-android-app/,Code With YDC,199.99,11.99,4.1(80 ratings),Development,Mobile Apps,Google Flutter,"10,147",English,Build App for ios and Android-You will learn how to use Cloud Firestore with Flutter.Build Complete Blog app-ios&Android,9/2019,01/01/20
Flutter ios&Android App With Firebase Backend (Project Base),www.udemy.com/course/flutter-iosandroid-app-with-firebase-backend-project-base/,Code With YDC,199.99,11.99,4.1(87 ratings),Development,Mobile Apps,Google Flutter,"8,245",English,Build Complete ios & Android app With Flutter and Firebase Cloud Firestore-You Will Learn Flutter Material design,9/2019,01/01/20
Flutter Zero to Professional: cross platform App iOS/Android,www.udemy.com/course/flutter-zero-to-professional-cross-platform-app-iosandroid/,DevTechie Interactive,19.99,11.99,4.2(44 ratings),Development,Mobile Apps,Google Flutter,530,English,Build cross platform beautiful native apps in record time,2/2019,01/01/20
Flutter - Firebase - CRUD - Build 2 Apps super easy!,www.udemy.com/course/flutter-firebase-crud-build-2-apps-super-easy/,Tim Schütz,19.99,11.99,4.1(44 ratings),IT & Software,Other,Google Flutter,"3,582",English,Understand how Firebase works and how to wire it up with Flutter,10/2018,01/01/20
Flutter in 7 Days,www.udemy.com/course/flutter-in-7-days/,Packt Publishing,124.99,11.99,4.9(4 ratings),Development,Programming Languages,Google Flutter,30,English,"Create high-quality, beautiful UIs and reach the top level of app development with Flutter - all in 1 week",4/2019,01/01/20
Flutter - SQLite Database - CRUD - SUPER EASY!,www.udemy.com/course/flutter-sqlite-database-crud-super-easy/,Tim Schütz,19.99,11.99,4.2(20 ratings),IT & Software,Other,Google Flutter,"1,749",English,Create awsome apps with SQLite & Flutter!,10/2018,01/01/20
"Flutter Tips, Tricks, and Techniques",www.udemy.com/course/flutter-tips-tricks-and-techniques/,Packt Publishing,124.99,11.99,0.0(0 ratings),Development,Mobile Apps,Google Flutter,14,English,Easy tips and tricks to improve your skills with Flutter,12/2019,01/01/20
Flutter Payment with Square,www.udemy.com/course/flutter-payment-with-square/,Louis-Philippe Papineau-Picard,199.99,11.99,5.0(3 ratings),IT & Software,Other,Google Flutter,11,English,How to do Payment,12/2019,01/01/20
Figma for Flutter : Better design your app,www.udemy.com/course/figmaflutter/,Simon Chan,29.99,11.99,0.0(0 ratings),Development,Mobile Apps,Figure Drawing,12,English,Plan Well Before You Code,9/2019,01/01/20
Flutter & Dart: A Complete Showcase Mobile App™,www.udemy.com/course/flutter-dart-a-complete-showcase-course-for-mobile-development/,Dr. Chris Mall,129.99,11.99,4.6(67 ratings),Development,Mobile Apps,Google Flutter,"1,420",English,Learng how to build iOS and Android Apps with a complete showcase example based on Dart and Flutter Framework.,12/2019,01/01/20
Intro to Flutter For iOS & Android,www.udemy.com/course/devslopes-flutter/,Devslopes by Mark Price,149.99,11.99,4.4(47 ratings),Development,Mobile Apps,Google Flutter,441,English,Build cross platform mobile apps,4/2019,01/01/20
