Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Graphic Design Masterclass - Learn GREAT Design,www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/,Lindsay Marsh,194.99,19.19,"4.6(4,843 ratings)",Design,Graphic Design, ,"24,312",English,"The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign,Design Theory, Branding and Logo Design",11/2019,12/28/19
Graphic Design Bootcamp: Part 1,www.udemy.com/course/graphic-design-for-beginners/,Derrick Mitchell,199.99,16.19,"4.5(10,662 ratings)",Design,Graphic Design, ,"74,358",English,"Bestselling Course! Project-Based Learning: Use Photoshop, Illustrator, and InDesign to create posters, logos, & more.",10/2019,12/28/19
The Complete Graphic Design Theory for Beginners Course,www.udemy.com/course/graphic-design-theory-for-beginners-course/,Lindsay Marsh,179.99,19.19,"4.5(2,153 ratings)",Design,Graphic Design,Design Theory,"13,871",English,"Learn Graphic Design Theory and the Basic Principles of Color Theory, Typography, Branding, Logo Design, Layout & More!",11/2019,12/28/19
Graphic Design Masterclass: The Next Level,www.udemy.com/course/graphic-design-masterclass-the-next-level/,Lindsay Marsh,179.99,13.19,4.5(419 ratings),Design,Graphic Design, ,"7,268",English,"Up Your Graphic Design Skills- Real World Projects: Logo Design, Photo Manipulation, Package Design, Social Media & More",11/2019,12/28/19
"Learn the Entire Affinity Suite: Photo, Designer & Publisher",www.udemy.com/course/learn-the-entire-affinity-suite-photo-designer-publisher/,Jeremy Hazel,199.99,12.59,4.6(105 ratings),Design,Design Tools,Graphic Design,"1,554",English,"Master the Affinity Suite & Create: Logos, Books, Brochures, Posters, Brushes, Thumbnails, Learn Photo Editing and More!",11/2019,12/28/19
"Adobe CC Masterclass: Photoshop, Illustrator, XD & InDesign",www.udemy.com/course/adobe-cc-masterclass-graphic-design-photoshop-illustrator-xd-indesign/,Lindsay Marsh,179.99,14.39,4.6(727 ratings),Design,Design Tools,Adobe Illustrator,"9,517",English,"Learn graphic design today with Photoshop, Illustrator, Adobe XD, InDesign & more in this Adobe CC Masterclass!",11/2019,12/28/19
Master Graphic Design & Software with Practical Projects,www.udemy.com/course/master-graphic-design-through-projects-beginner-to-advanced/,Lindsay Marsh,199.99,12.59,4.4(121 ratings),Design,Graphic Design, ,"1,085",English,"Conquer Popular Graphic Design Projects: Logo, Package, Magazine, Book Cover Design, Branding, Digital Graphics & More!",11/2019,12/28/19
The Art & Science of Drawing / DYNAMIC MARK MAKING,www.udemy.com/course/the-art-science-of-drawing-week-two-dynamic-mark-making/,Brent Eviston,34.99,11.99,"4.8(1,095 ratings)",Lifestyle,Arts & Crafts,Drawing,"7,174",English,Create compelling drawings using expressive mark making.,8/2017,12/28/19
Graphic Design Mastery: The FULL Branding & Design Process,www.udemy.com/course/graphic-design-mastery-the-full-branding-design-process/,Lindsay Marsh,189.99,11.99,4.4(208 ratings),Design,Graphic Design, ,"1,964",English,"Follows the FULL Graphic Design Process for A Company: Logo, Ad, Social Media, T-Shirt, Package, Website Design & More!",11/2019,12/28/19
Graphic Design Bootcamp: Part 2 Advanced Training,www.udemy.com/course/graphic-design-bootcamp-part-2-advanced-training/,Derrick Mitchell,199.99,11.39,4.6(231 ratings),Design,Graphic Design, ,"15,395",English,Project-Based Learning For Intermediate Graphic Designers with Adobe Creative Cloud Apps,10/2019,12/28/19
365 Days of Creativity,www.udemy.com/course/365-days-of-creativity/,Martin Perhiniak,199.99,16.19,4.1(321 ratings),Design,Design Tools,Graphic Design,"3,431", English,A totally new learning experience that will teach you 365 creative skills.,10/2019,12/28/19
Graphic Design Masterclass: Learn Graphic Design in Projects,www.udemy.com/course/graphic-design/,"Chad Neuman, Ph.D.",199.99,19.19,"4.5(1,626 ratings)",Design,Graphic Design, ,"16,311",English,"Graphic design principles, typography, & color mastery using Illustrator, InDesign, and Photoshop. For beginners & more!",11/2019,12/28/19
The Art & Science of Drawing / MEASURING & PROPORTION,www.udemy.com/course/the-art-science-of-drawing-week-5-measuring-proportion/,Brent Eviston,34.99,11.39,4.6(488 ratings),Lifestyle,Arts & Crafts,Drawing,"5,849",English,Dramatically increase the accuracy of your drawings.,7/2017,12/28/19
Passive Income Course for Graphic Designers,www.udemy.com/course/passive-income-course-for-graphic-designers/,Angelina Samadhi,199.99,11.39,4.6(133 ratings),Design,Graphic Design, ,932,English,"Learn how to build a passive-income graphic design business selling vector illustrations, backgrounds, fonts & more!",9/2019,12/28/19
Ultimate Graphic Design Course: Create 40 Practical Projects,www.udemy.com/course/ultimate-graphic-design-course/,Cristian Doru Barin,199.99,11.39,4.5(88 ratings),Design,Graphic Design, ,"1,101",English,"Use Photoshop to create Facebook Ads, Instagram Posts, Newsletters, YouTube Thumbnails, CVs, Business Cards, and more!",12/2019,12/28/19
