Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
[2020] Growth Hacking with Digital Marketing (Version 7.1),www.udemy.com/course/growth-hacking-masterclass-become-a-digital-marketing-ninja/,Davis Jones,194.99,11.99,"4.4(4,077 ratings)",Marketing,Growth Hacking,Digital Marketing,"38,026",English,"Become a growth hacker! This course is used by teams at PayPalÂ®, IBMÂ®, CitibankÂ® & many other successful organizations!",12/2019,12/31/19
The NEW 2020 Complete Growth Hacking & Conversion Course,www.udemy.com/course/growth-hacking-conversion/,iMarket XL,199.99,11.99,4.4(556 ratings),Marketing,Growth Hacking, ,"8,775",English,"100+ Techniques, Strategies & Walkthroughs to Increase Growth, Conversion, Leads, Clicks and Sales",11/2019,12/31/19
Become a Growth Marketer: Learn Growth Marketing & Get a Job,www.udemy.com/course/become-a-marketer-learn-growth-marketing-get-a-job/,Evan Kimbrell,194.99,11.99,4.6(891 ratings),Marketing,Marketing Fundamentals,Growth Hacking,"53,748",English,"Learn the skills to start your career in Growth Marketing. 5 hours of basic, intermediate, & advanced marketing lessons",12/2019,12/31/19
Growth Hacking with Digital Marketing Masterclass,www.udemy.com/course/growthhacking/,Diego Davila,199.99,11.99,4.6(7 ratings),Marketing,Growth Hacking, ,157,English,Learn the best Growth Hacking strategies to make your business grow exponentially,10/2019,12/31/19
Startup Growth Strategies: Simple Approaches for Fast Growth,www.udemy.com/course/startup-growth-strategies-simple-approaches-for-fast-growth/,Ian Bednowitz,184.99,11.99,4.0(211 ratings),Business,Entrepreneurship,Startup,"4,501",English,Learn how to turbocharge the growth of your startup from a strategist who evaluated hundreds of startups for investment,5/2017,12/31/19
Discover GrowthHacks with Digital Marketing (2019),www.udemy.com/course/growth-hacking-with-digital-marketing-2019/,Kapil Chopra I The Strategist I Digital Marketing Trainer I Growth Hacker,19.99,11.99,4.5(48 ratings),Marketing,Growth Hacking, ,"3,128",English,"Learn Growthhacks,Growth Hacking Tools,Digital Marketing tools,Marketing strategy,Growth hack marketing,Growth marketing",12/2019,12/31/19
Growth Hacking Masterclass Digital Marketing Tactics & Hacks,www.udemy.com/course/growth-hacking-masterclass/,Ruben Portz,24.99,11.99,4.6(98 ratings),Marketing,Growth Hacking, ,"8,049",English,Learn 30+ real growth hacks and implement technical marketing tactics into your business straight away.,8/2018,12/31/19
Build a VIRAL Referral FB ChatBot + Free ManyChat TEMPLATE,www.udemy.com/course/build-a-viral-referral-fb-chatbot-free-manychat-template/,Charlie Walker,179.99,11.99,4.2(7 ratings),Marketing,Growth Hacking,ManyChat,"5,392",English,Get Explosive Sales with Facebook Messenger Marketing in this template-based viral & referral marketing using ManyChat.,7/2019,12/31/19
Certification10 Business Coaching Growth Hacking FECBC,www.udemy.com/course/business-coaching-part-10-growth-hacking/,Fearless Entrepreneur Academy |Business Coaching Experts,199.99,11.99,4.6(17 ratings),Marketing,Growth Hacking, ,724,English,Become a Growth Business Coach|Accreditation + Credentials + Growth Hacking Business Coach Directory For Level 2 Grads,12/2019,12/31/19
Growth Hacking: an Introduction,www.udemy.com/course/growth-hackers-conference/,Gagan Biyani,39.99,11.99,3.8(126 ratings),Marketing,Digital Marketing,Growth Hacking,"2,730",English,"Learn the art and science of Growth Hacking from growth team members at Facebook, LinkedIn, LivingSocial, and Dropbox!",12/2012,12/31/19
