Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Complete Guitar System - Beginner to Advanced,www.udemy.com/course/complete-guitar-system-beginner-to-advanced/,Erich Andreas,199.99,20.39,"4.5(17,105 ratings)",Music,Instruments,Guitar,"131,627",English,All-in-one Guitar Course With a Proven Step-by-step Learning System.,10/2019,12/27/19
The Professional Guitar Masterclass,www.udemy.com/course/the-professional-guitar-masterclass/,Michael Palmisano,199.99,16.79,"4.5(4,285 ratings)",Music,Instruments,Guitar,"42,726",English,Learn The Tools Used By The World's Top Professional Guitar Players.,8/2017,12/27/19
Ultimate Beginner Guitar Masterclass (2020 Update),www.udemy.com/course/beginner-guitar-masterclass/,Henry Olsen,199.99,12.59,"4.6(2,451 ratings)",Music,Instruments,Guitar,"57,515",English,Beginner guitar lessons. Go from knowing nothing about the guitar and learn to play songs everbody loves in just weeks,12/2019,12/27/19
Ultimate Beginner Electric Guitar Masterclass (2020 Update),www.udemy.com/course/rock-guitar-masterclass/,Henry Olsen,199.99,11.99,4.6(678 ratings),Music,Instruments,Guitar,"15,594",English,"Learn step-by-step, proven electric guitar method that will teach you to play electric guitar for beginners in a month",12/2019,12/27/19
How To Play Slide Guitar,www.udemy.com/course/how-to-play-slide-guitar/,R.J. Ronquillo,39.99,12.59,4.7(112 ratings),Music,Instruments,Guitar,611,English,From Complete Beginner to Playing Your First Classic Song,9/2019,12/27/19
Master Guitar In 90 Days: Step-By-Step Lessons For Beginners,www.udemy.com/course/rockstar-guitar-90-day-challenge/,Music Matchr,199.99,16.79,4.1(556 ratings),Music,Instruments,Guitar,"5,899",English,"Learn guitar from the ground up. Prevent bad habits and get fast results. Made for beginners, taught by experts.",12/2019,12/27/19
STRUMMING SIMPLIFIED: 51 Guitar Rhythms For All Styles!,www.udemy.com/course/strumming-simplified-1/,Steve Glazer,124.99,11.39,4.7(113 ratings),Music,Instruments,Guitar,"3,514",English,Strumming and Fingerstyle for Acoustic & Electric - Beginner to advanced. FUN Guitar Lessons!,7/2019,12/27/19
Learn How to Improvise on Guitar in 30 Days,www.udemy.com/course/learn-how-to-improvise-on-guitar/,Filippo Dall'Asta,199.99,16.19,4.5(469 ratings),Music,Instruments,Guitar,"8,518",English,"Guitar Insights: Learn my Proven Guitar System to Create Beautiful Guitar Solos On The Spot, in ANY Key Signature",11/2019,12/27/19
RelationShapes: Complete Guitar Scales Learning System,www.udemy.com/course/relationshapes/,Trey Xavier,0.0,49.99,4.5(440 ratings),Music,Music Techniques,Guitar,"1,804",English,"Learn scales fast, with no music theory required!",6/2018,12/27/19
How to Jam on Guitar with Confidence!,www.udemy.com/course/how-to-jam-on-guitar-with-confidence/,Sean Daniel,0.0,34.99,4.5(230 ratings),Music,Instruments,Guitar,697,English,Learn How to Step Up and Finally Play Music with Others,4/2019,12/27/19
Play YOUR Favorite Songs: The Guitar Super-Course (2019),www.udemy.com/course/guitar-super-course/,Cooper - Guitar Songs Masters,199.99,11.39,4.5(241 ratings),Music,Instruments,Guitar,"24,358",English,"The only beginners course that'll teach you how to play all of YOUR favorite songs + 36 shortcuts, hacks, tips & tricks",11/2019,12/27/19
How to Solo Like a Pro on Guitar,www.udemy.com/course/how-to-solo-like-a-pro-on-guitar/,Sean Daniel,0.0,69.99,4.5(13 ratings),Music,Music Techniques,Guitar,66,English,Learn a system that actually makes sense in a context that has practical value so you can start playing music!,11/2019,12/27/19
Jazz for the Curious Guitarist,www.udemy.com/course/jazz-for-the-curious-guitarist/,Dan Dresnok,199.99,11.39,4.5(275 ratings),Music,Instruments,Guitar,"5,948",English,"Complete jazz guitar lessons course. Extended & altered jazz guitar theory, chords, scales, & arpeggios. All levels.",10/2019,12/27/19
Beginners Guitar Lessons | The Essential Acoustic Course,www.udemy.com/course/beginners-guitar-lessons-the-essential-acoustic-course/,Your Guitar Academy,19.99,11.39,4.8(227 ratings),Music,Instruments,Guitar,"4,460",English,Learn properly from day 1 with our beginners guitar lessons. Improve your acoustic skills fast with our unique method.,11/2017,12/27/19
QUICKLY Become a Jazz Chords Master (Guitar),www.udemy.com/course/jazz-chords-master/,Cooper - Guitar Songs Masters,79.99,11.39,4.6(19 ratings),Music,Instruments,Guitar,"2,580",English,"Mix Sexy Chords into YOUR Favorite Rock & Pop Songs + Effortlessly Play Jazz and Any Other Beautiful, Advanced Song",11/2019,12/27/19
Guitar Lessons for the Curious Guitarist,www.udemy.com/course/guitar-lessons-for-the-curious-guitarist/,Dan Dresnok,199.99,11.39,4.6(206 ratings),Music,Instruments,Guitar,"5,263",English,"Ultimate guitar lessons course. 26+ hours. Chords, strumming & rhythm, scales & soloing, arpeggios, theory, & more!",10/2019,12/27/19
Rockabilly Guitar For Beginners,www.udemy.com/course/rockabilly-guitar-for-beginners/,Randy Richter,39.99,11.99,4.6(399 ratings),Music,Instruments,Guitar,"1,502",English,a complete guide to get you started on 1950s rock and roll/ rockabilly guitar,12/2018,12/27/19
Blues and Advanced Guitar Lessons,www.udemy.com/course/blues-and-advanced-guitar-lessons/,Erich Andreas,94.99,11.99,4.2(204 ratings),Music,Instruments,Guitar,"2,756",English,Blues to Advanced Guitar Lessons - Great For Intermediate and Advanced Players,6/2017,12/27/19
"How To Play 1950s Elvis Songs, Just Like Scotty",www.udemy.com/course/how-to-play-1950s-elvis-songs-just-like-scotty/,Randy Richter,39.99,11.99,4.8(54 ratings),Music,Instruments,Guitar,352, English,The Guitar Sound That Changed The World,11/2019,12/27/19
"Learn Guitar Repair - Module 2, Setting Up Your Guitar",www.udemy.com/course/learn-guitar-repair-module-2-setting-up-your-guitar/,Kevin Webb,129.99,11.99,4.6(13 ratings),Music,Instruments,Guitar,134,English,"NEW!! Award Winner - Module 2, learn guitar setups (truss rod, nut and bridge action, intonation, pickup volume)",12/2019,12/27/19
Play Lead Guitar... The EASY Way!,www.udemy.com/course/play-lead-guitar-the-easy-way/,John Robson,19.99,11.99,4.8(105 ratings),Music,Instruments,Guitar,315,English,The easiest way to begin playing GREAT sounding guitar solos!,6/2019,12/27/19
Gibson's Learn & Master Guitar,www.udemy.com/course/learnandmasterguitar/,Legacy Learning Systems,0.0,49.99,4.5(135 ratings),Music,Instruments,Guitar,411,English,Learn how to play guitar from the most compressive educational product on the market.,10/2014,12/27/19
COMPLETE Guitar Fretboard Mastery,www.udemy.com/course/complete-guitar-fretboard-mastery/,Sean Daniel,0.0,29.99,4.3(46 ratings),Music,Instruments,Guitar,210,English,Get a COMPLETE Understanding of the Fretboard and All Her Secrets!,7/2019,12/27/19
The Ultimate Guitar Tone School Course,www.udemy.com/course/the-ultimate-guitar-tone-school-course/,David Wills,129.99,11.99,4.5(224 ratings),Music,Instruments,Guitar,"1,029",English,How to get any guitar tone from your rig and model your favorite Guitar Hero,12/2017,12/27/19
Guitar Lessons: Complete Course for Beginners - Intermediate,www.udemy.com/course/beginner-guitar-lessons-your-complete-foundation-course/,FretHub Guitar Lessons,79.99,11.99,4.1(127 ratings),Music,Instruments,Guitar,"1,052",English,Over 18 Hours of Guitar Lessons! Everything you need to know from Beginner to your 1st Gig faster than anywhere else,7/2016,12/27/19
Fingerstyle Focus - Learn to play Fingerstyle Guitar!,www.udemy.com/course/fingerstyle-focus-learn-to-play-fingerstyle-guitar/,Sam Lawson,19.99,11.99,4.2(166 ratings),Music,Instruments,Acoustic Guitar,853,English,"Learn to play fingerstyle guitar like Bob Dylan, James Taylor, John Lennon, Paul McCartney, Paul Simon & John Mayer!",1/2019,12/27/19
Ultimate Shred Machine: Learn shred guitar techniques,www.udemy.com/course/ultimate-shred-machine-learn-shred-guitar-techniques/,Chris Zoupa,29.99,11.99,4.1(154 ratings),Music,Music Techniques,Guitar,"1,109",English,Learn the big 4 techniques of rock and heavy metal,4/2018,12/27/19
"Learn Guitar Repair - Module 1, Maintaining Your Guitar",www.udemy.com/course/learn-guitar-repair/,Kevin Webb,124.99,11.99,4.2(33 ratings),Music,Other,Guitar,179,English,"Award Winner - Module 1, learn guitar maintenance from a professional. Includes floating bridge, fret/fingerboard clean",8/2019,12/27/19
