Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
"Learn to play HARMONICA, the easiest instrument to pick up!",www.udemy.com/course/benhewlettharmonicatuitionultimate-harmonica-course/,Ben Hewlett,199.99,14.39,"4.4(3,537 ratings)",Music,Instruments,Harmonica,"25,576",English,"Ultimate diatonic harmonica lessons, blues, country music, rock; you will learn how to play on/off stage, solo/group",7/2019,12/30/19
30 day challenge - learn to play the harmonica in one month!,www.udemy.com/course/30-day-challenge-learn-to-play-the-harmonica-in-one-month/,Ben Hewlett,74.99,13.19,4.4(403 ratings),Music,Instruments,Harmonica,"3,203",English,"This could change your life; 2 mins a day, a little practice, a harmonica; get an easy music skill to enjoy and impress!",4/2019,12/30/19
Harmonica Jamz: Play Any Song and JAM with Friends,www.udemy.com/course/harmonicajamz/,Cooper - Guitar Songs Masters,199.99,11.39,4.7(119 ratings),Music,Instruments,Harmonica,"9,949",English,The COMPLETE Harmonica System: Play Any Song; Learn How to Jam and Improvise with Friends and with Your Favorite Music.,11/2019,12/30/19
"Learn Country Music on harmonica, play the tunes you love!",www.udemy.com/course/learn-country-music-on-harmonica-play-the-tunes-you-love/,Ben Hewlett,74.99,11.39,4.7(5 ratings),Music,Instruments,Harmonica,97,English,"By taking this course you will be able to play harp with guitar, fiddle, banjo players and singers in the early CM style",11/2019,12/30/19
Learn to play Reggae on Harmonica - play with a band/tracks!,www.udemy.com/course/learn-to-play-reggae-on-harmonica-play-with-a-bandtracks/,Ben Hewlett,74.99,11.39,4.5(5 ratings),Music,Instruments,Harmonica,68,English,"Cool easy and fun! Play Reggae harmonica today with a band or guitar or piano players with skill, rhythm and groove.",9/2019,12/30/19
Learn a fresh simple roadmap for 12 bar blues on harmonica,www.udemy.com/course/fresh-simple-approach-to-12-bar-blues-for-harmonica-players/,Ben Hewlett,74.99,11.39,4.8(5 ratings),Music,Instruments,Harmonica,70,English,"Take some new basslines, some easy jazz tunes, re-learn the 12 bar blues on harmonica and become the instrumental star!",10/2019,12/30/19
Play Sonny Terry style on Harmonica and dazzle your friends!,www.udemy.com/course/benhewlettharmonicatuition60sonnyterryriffslevel1/,Ben Hewlett,199.99,13.79,4.3(89 ratings),Music,Instruments,Harmonica,938,English,Play Sonny Terry's style of Country Blues on the Harmonica. It's great fun for beginners and I will guide you through.,2/2015,12/30/19
"Learn bluegrass harmonica; Orange Blossom Special, easy fun!",www.udemy.com/course/bluegrass-country-classic-easy-fun-to-learn-on-harmonica/,Ben Hewlett,74.99,11.39,4.8(15 ratings),Music,Instruments,Harmonica,99,English,"Learn how to play fast, how to breathe and play smoothly, start with basics and build speed gradually to about Warp 5.",5/2019,12/30/19
"Advanced note bending for all HARMONICA players, even newbys",www.udemy.com/course/advanced-note-bending-for-all-harmonica-players-even-newbys/,Ben Hewlett,74.99,11.39,4.9(15 ratings),Music,Instruments,Harmonica,174,English,Here you will learn how to play all the notes on the diatonic harmonica - same notes as the piano. This will amaze you!,9/2018,12/30/19
"Blues Chromatic Harmonica, learn the basics, it's fun & easy",www.udemy.com/course/blues-chromatic-harmonica-learn-the-basics-its-fun-easy/,Ben Hewlett,74.99,11.39,4.4(13 ratings),Music,Instruments,Harmonica,116,English,This unusual style adds another string to your bow. It's powerful like a church organ and surprisingly simple - try it!,1/2019,12/30/19
Learn how to bend notes the easy way on your HARMONICA today,www.udemy.com/course/the-easy-way-to-bend-notes-on-harmonica-yes-you-can-do-it/,Ben Hewlett,74.99,11.39,4.4(30 ratings),Music,Instruments,Harmonica,252,English,Bending notes is tricky on harmonica - but I'll walk you through and I guarantee you will get some success immediately,9/2018,12/30/19
HARMONICA mastery - Learning the Basic 12 Bar Blues Bassline,www.udemy.com/course/instant-harmonica-learning-the-basic-12-bar-blues-bassline/,Ben Hewlett,74.99,11.39,4.6(24 ratings),Music,Instruments,Harmonica,179,English,"Have fun playing this tune instantly, no musical experience needed. You will easily pick it up straight away; GUARANTEED",6/2017,12/30/19
Learn easy Bluegrass + Country licks on harmonica - big fun!,www.udemy.com/course/learn-easy-bluegrass-country-licks-on-harmonica-big-fun/,Ben Hewlett,74.99,16.19,4.9(7 ratings),Music,Instruments,Harmonica,45,English,"Discover amazing hidden bluegrass riffs for harmonica and play fast and fluid like a Bluegrass Master, you can do it!",8/2019,12/30/19
HARP&SOUL  |  Learn the Secrets of the Harmonica,www.udemy.com/course/harp-and-soul-learn-the-secrets-of-the-harmonica/,Marcos Coll,0.0,29.99,4.8(14 ratings),Music,Instruments,Harmonica,148,English,"It is a unique and complete harmonica method, which uses tablatures and dynamic diagrams that accelerate your learning.",10/2014,12/30/19
