Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Complete Hypnotherapy & Hypnosis Certification Diploma,www.udemy.com/course/complete-hypnotherapy-hypnosis-certification-course/,Dr Karen E Wells,99.99,11.99,"4.6(1,426 ratings)",Personal Development,Personal Transformation,Hypnotherapy,"8,235",English,Fully Accredited Diploma Course. In depth & practical course giving you the skills to help others using Hypnotherapy.,11/2019,12/30/19
Hypnotherapy Practitioner Diploma (Achology Certified),www.udemy.com/course/hypnotherapy-practitioner-diploma-course-achology-certified/,Kain Ramsay,199.99,11.99,"4.6(1,001 ratings)",Health & Fitness,Mental Health,Hypnotherapy,"7,266",English,Discover the Step-by-Step Hypnotherapy Process and Start Working With Clients as an Achology certified Hypnotherapist,11/2019,12/30/19
Certificate in Ericksonian Hypnotherapy (Hypnosis Training),www.udemy.com/course/certificate-in-ericksonian-hypnotherapy/,Dan Jones,99.99,11.99,"4.4(1,618 ratings)",Health & Fitness,Other,Hypnotherapy,"12,533",English,Learn The Secrets Behind Milton Erickson's Approach To Hypnosis & Therapy & Ericksonian Hypnotic Language Patterns,5/2019,12/30/19
Fully Accredited Master Hypnotherapist Diploma Course,www.udemy.com/course/fully-accredited-master-hypnotherapist-course/,Dr Karen E Wells,94.99,11.99,4.8(376 ratings),Personal Development,Personal Transformation,Hypnotherapy,"2,608",English,Become a Master of Hypnotherapy with this Advanced Age Regression Course. Take your Hypnosis sessions to the next level!,11/2019,12/30/19
Past Life Regression - Therapist Training,www.udemy.com/course/past-life-regression-therapist-training/,Mark Beale,99.99,11.99,4.8(532 ratings),Health & Fitness,Mental Health,Hypnotherapy,"2,843",English,"Help clients enhance psychic recall of past lives for karmic energy healing, with hypnosis, hypnotherapy & spirit guides",12/2019,12/30/19
Hypnosis Practitioner & Hypnotherapy Guide (CPD Accredited),www.udemy.com/course/fundamentals-of-hypnotherapy/,"Flavio Balerini, Ph.D.",199.99,11.99,4.6(397 ratings),Health & Fitness,Mental Health,Hypnotherapy,"2,615",English,HIGHEST RATED Hypnosis Training! Beginner to Advanced. Become a Hypnosis Practitioner or Open a Hypnotherapy Practice,12/2019,12/30/19
Hypnotherapy Practitioner Certificate (Hypnotherapy Mastery),www.udemy.com/course/hypnotherapy-mastery-the-ultimate-hypnotherapy-training/,Steven Burns,199.99,11.99,4.6(89 ratings),Personal Development,Personal Transformation,Hypnotherapy,894,English,Complete hypnotherapy certificate course; learn from a trainer with 20 years experience; beginner level to advanced.,9/2019,12/30/19
Certified Hypnosis / Hypnotherapy Practitioner,www.udemy.com/course/certified-hypnosis-hypnotherapy-practitioner/,Matthew Barnett,189.99,11.99,4.7(38 ratings),Personal Development,Personal Transformation,Hypnosis,554,English,100% Officially Certified training in Hypnosis / Hypnotherapy - without the need for an in person class,11/2019,12/30/19
Hypnosis: How To Write Therapeutic Hypnosis Scripts,www.udemy.com/course/hypnosis-how-to-write-hypnotherapy-scripts/,Dan Jones,69.99,11.99,4.7(234 ratings),Personal Development,Influence,Hypnosis,"2,819",English,Learn Therapeutic Hypnosis Script Writing | How To Write Self-Hypnosis Scripts | Sample Hypnosis Scripts Included,6/2016,12/30/19
Learn The Secrets Of Therapeutic Conversational Hypnosis,www.udemy.com/course/intro-to-conversational-hypnosis/,Dan Jones,99.99,11.99,4.6(372 ratings),Personal Development,Influence,Hypnotherapy,"3,868",English,Learn How To Do Covert Hypnosis | Learn Advanced Hypnotherapy Techniques | How To Do Indirect Hypnosis,9/2018,12/30/19
