Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
IELTS Band 7+ Complete Prep Course,www.udemy.com/course/ielts-band-7-preparation-course/,"Keino Campbell, Esq.",149.99,11.39,"4.4(10,016 ratings)", , , ,"42,206",English,Major Keys to Success,12/2019,12/31/19
Mastering IELTS Writing: Task 2 (Achieve Band 7+ in 5 Hours),www.udemy.com/course/mastering-ielts-writing-task-2/,The IELTS Teacher,99.99,11.39,"4.5(5,357 ratings)", , , ,"21,958",English,Complete preparation to achieve the band score you need (Band 6 to Band 8) in IELTS Writing Task 2 (Academic and GT).,12/2019,12/31/19
IELTS - Prepare for IELTS Speaking by Former IELTS Examiners,www.udemy.com/course/prepare-for-ielts-speaking-with-former-ielts-examiners/,Prepare for IELTS,199.99,11.39,"4.7(1,308 ratings)", , , ,"7,040",English,"Improve your language for the IELTS speaking exam by studying model answers - For students aiming for bands 7, 8 and 9",12/2019,12/31/19
Mastering IELTS Writing: Task 2 (Band 9 Model Answers),www.udemy.com/course/mastering-ielts-writing-task-2-band-9-model-answers/,The IELTS Teacher,99.99,11.39,"4.7(1,343 ratings)", , , ,"6,423",English,Ten full-length model essay walkthroughs looking at all the question types of IELTS Writing Task 2,12/2019,12/31/19
IELTS 7 Plus: Complete IELTS Preparation [Academic],www.udemy.com/course/ielts-7-plus-ielts-preparation/,David Morris,199.99,11.39,"4.4(1,057 ratings)", , , ,"4,839",English,IELTS Preparation for all sections of the academic IELTS test.,11/2019,12/31/19
IELTS Vocabulary: Learn 400 Essential Words for IELTS,www.udemy.com/course/ielts-vocab-builder-002/,Charles Cornelius MA CertEd CELTA,199.99,11.39,"4.5(1,480 ratings)",Teaching & Academics,Test Prep,IELTS,"9,426",English,"Improve your IELTS Band Score by learning key words for the IELTS Writing, Speaking, Reading and Listening Tests",12/2019,12/31/19
Mastering IELTS Writing: Task 1 (Academic),www.udemy.com/course/mastering-ielts-writing-task-1-academic/,The IELTS Teacher,99.99,11.39,"4.5(1,576 ratings)", , , ,"6,798",English,Complete preparation to achieve the band score you need (Band 6 to Band 8) in IELTS Writing Task 1 Academic.,12/2019,12/31/19
Mastering IELTS Writing: Task 1 (General Training),www.udemy.com/course/mastering-ielts-writing-task-1-general-training/,The IELTS Teacher,99.99,11.39,4.5(694 ratings), , , ,"3,446",English,Complete preparation to achieve the band score you need (Band 6 to Band 8) in IELTS Writing Task 1 General Training.,12/2019,12/31/19
Mastering IELTS Speaking: The Express Course,www.udemy.com/course/mastering-ielts-speaking-the-express-course/,The IELTS Teacher,99.99,11.39,4.5(697 ratings), , , ,"3,940",English,An essential preparation course for students aiming to achieve Band 7+ in the IELTS Speaking test,12/2019,12/31/19
IELTS Preparation Masterclass: A Complete Guide to the IELTS,www.udemy.com/course/ielts-preparation-course/,Charles Cornelius MA CertEd CELTA,199.99,11.99,4.4(599 ratings), , , ,"4,699",English,Get all the essential information about the IELTS and the most effective preparation tips from an IELTS expert,12/2019,12/31/19
The IELTS Expert: IELTS Writing Task 2 - Academic & General,www.udemy.com/course/the-ielts-expert-ielts-writing-task-2-academic-general/,Prepare for IELTS,199.99,11.39,4.7(84 ratings), , , ,665,English,An intensive course by former IELTS examiners showing you how to get Band 7.0 or higher in the IELTS Writing exam,12/2019,12/31/19
Get 7-9 in IELTS Speaking: IELTS Speaking Masterclass,www.udemy.com/course/ielts-speaking-masterclass/,Nestor Kiourtzidis,159.99,11.99,"4.6(1,411 ratings)", , , ,"8,122",English,"Improve your fluency, vocabulary, grammar and pronunciation in preparation for the IELTS Speaking test.",6/2018,12/31/19
IELTS Step-by-step | Mastering Listening,www.udemy.com/course/ielts-step-by-step-mastering-listening/,James Castleden,59.99,11.39,4.6(82 ratings), , , ,617,English,"Learn the skills, tips, tricks and techniques for the IELTS Listening exam â get that IELTS 7+ you deserve!",10/2019,12/31/19
IELTS Writing Task 1 (General) - Master Letter Writing,www.udemy.com/course/ielts-writing-task-1-general-how-to-write-letters/,Prepare for IELTS,99.99,11.39,4.5(120 ratings), , , ,904,English,"Learn how to write formal, semi-formal and informal letters to impress the IELTS examiner",11/2019,12/31/19
IELTS Speaking Pro | Speak confidently & easily on the IELTS,www.udemy.com/course/ielts-speaking-course/,For Your English,149.99,11.39,4.6(24 ratings), , , ,290,English,"IELTS English conversation, grammar, language skills & test preparation for 7+ speaking",11/2019,12/31/19
IELTS Step-by-step | Mastering Vocabulary,www.udemy.com/course/ielts-step-by-step-mastering-vocabulary/,James Castleden,59.99,11.39,4.5(146 ratings), , , ,"1,145",English,"Learn 1300+ IELTS words and phrases and how to use them, plus techniques to expand on them. Get that IELTS 7+ you need.",12/2019,12/31/19
IELTS - Vocabulary Strategies for IELTS,www.udemy.com/course/ielts-vocabulary-strategies-for-ielts/,Prepare for IELTS,59.99,11.39,4.5(180 ratings), , , ,"1,186",English,Improve your Vocabulary for IELTS to Improve your Lexical Resource Band Score - Academic IELTS,3/2019,12/31/19
Ultimate IELTS Writing: Learn to Master IELTS Writing Task 2,www.udemy.com/course/ultimate-ielts-writing-master-ielts-task-2/,"Landon Jenkins, IELTS Online",149.99,11.39,4.4(77 ratings), , , ,368,English,Step by Step IELTS Writing Preparation to achieve Success with a Band Score 7+ IELTS Writing Task 2 General / Academic,12/2019,12/31/19
IELTS Writing 7 Plus: Complete IELTS Writing Preparation,www.udemy.com/course/ielts-writing-7-plus/,David Morris,199.99,11.39,4.6(28 ratings), , , ,306,English,Complete IELTS Writing preparation for IELTS Writing Task 1 and Task 2 [Academic],10/2019,12/31/19
IELTS Band 7+ Preparation Reading Course,www.udemy.com/course/ielts-band-7-preparation-reading-course/,"Keino Campbell, Esq.",59.99,11.39,4.6(201 ratings), , , ,836,English,A guide to learning how to answer each IELTS Reading Comprehension Question,5/2018,12/31/19
