Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
The Complete JavaScript Course 2020: Build Real Projects!,www.udemy.com/course/the-complete-javascript-course/,Jonas Schmedtmann,199.99,11.39,"4.6(58,832 ratings)",Development,Web Development,JavaScript,"256,105",English,"Master JavaScript with the most complete course! Projects, challenges, quizzes, JavaScript ES6+, OOP, AJAX, Webpack",12/2019,12/31/19
JavaScript - The Complete Guide 2020 (Beginner + Advanced),www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,Academind by Maximilian Schwarzmüller,199.99,11.39,"4.7(2,241 ratings)",Development,Programming Languages,JavaScript,"19,946",English,Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2020.,12/2019,12/31/19
The New Modern Javascript Bootcamp Course (2020),www.udemy.com/course/javascript-beginners-complete-tutorial/,Colt Steele,199.99,11.39,4.7(964 ratings),Development,Programming Languages,JavaScript,"11,263",English,The most up-to-date JS resource online! Master Javascript by building a beautiful portfolio of projects!,12/2019,12/31/19
Advanced JavaScript Concepts,www.udemy.com/course/advanced-javascript-concepts/,Andrei Neagoie,179.99,13.19,"4.7(3,441 ratings)",Development,Web Development,JavaScript,"20,202",English,Learn modern advanced JavaScript practices and be in the top 10% of JavaScript developers,12/2019,12/31/19
Modern JavaScript From The Beginning,www.udemy.com/course/modern-javascript-from-the-beginning/,Brad Traversy,174.99,13.19,"4.7(14,417 ratings)",Development,Web Development,JavaScript,"47,795",English,Learn and build projects with pure JavaScript (No frameworks or libraries),12/2019,12/31/19
JavaScript: Understanding the Weird Parts,www.udemy.com/course/understand-javascript/,Anthony Alicea,174.99,13.19,"4.7(34,893 ratings)",Development,Web Development,JavaScript,"136,250",English,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",8/2015,12/31/19
The Modern JavaScript Bootcamp,www.udemy.com/course/modern-javascript/,Andrew Mead,84.99,12.59,"4.7(7,125 ratings)",Development,Web Development,JavaScript,"29,302",English,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",11/2019,12/31/19
Modern JavaScript (from Novice to Ninja),www.udemy.com/course/modern-javascript-from-novice-to-ninja/,The Net Ninja (Shaun Pelling),99.99,11.99,"4.8(2,178 ratings)",Development,Web Development,JavaScript,"7,350",English,Create awesome JavaScript driven web apps with modern JavaScript from the very beginning right through to ninja-level.,4/2019,12/31/19
Learn JavaScript: Full-Stack from Scratch,www.udemy.com/course/learn-javascript-full-stack-from-scratch/,Brad Schiff,199.99,11.99,"4.7(1,309 ratings)",Development,Web Development,JavaScript,"5,903",English,"Understand the JavaScript language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful Applications",8/2019,12/31/19
JavaScript Beginner Bootcamp (2020),www.udemy.com/course/javascript-the-basics-for-beginners/,Rob Merrill,199.99,12.59,"4.6(3,914 ratings)",Development,Web Development,JavaScript,"17,291",English,"JavaScript for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.",12/2019,12/31/19
Accelerated ES6 JavaScript Training,www.udemy.com/course/es6-bootcamp-next-generation-javascript/,Maximilian Schwarzmüller,109.99,11.99,"4.7(3,740 ratings)",Development,Web Development,JavaScript,"21,139",English,Learn and Use the Future of JavaScript - Today!,11/2019,12/31/19
JavaScript Basics for Beginners,www.udemy.com/course/javascript-basics-for-beginners/,Mosh Hamedani,119.99,11.99,"4.5(2,976 ratings)",Development,Programming Languages,ECMAscript,"10,203",English,JavaScript - Master the Fundamentals in 6 Hours,6/2018,12/31/19
Accelerated JavaScript Training,www.udemy.com/course/javascript-bootcamp-2016/,Maximilian Schwarzmüller,109.99,11.99,"4.7(3,854 ratings)",Development,Web Development,JavaScript,"14,781",English,"Take a deep dive into JavaScript, a Must-Know Language in Web Development, with a Hands-on, Example-driven Approach",11/2019,12/31/19
JavaScript 50+ projects and applications Monster JavaScript,www.udemy.com/course/javascript-course-projects/,Laurence Svekis,199.99,11.99,4.6(213 ratings),Development,Web Development,JavaScript,"2,749",English,"Portfolio builder loaded with projects and applications that you can use, extend on and enhance to add to your portfolio",11/2019,12/31/19
ES6 Javascript: The Complete Developer's Guide,www.udemy.com/course/javascript-es6-tutorial/,Stephen Grider,79.99,11.99,"4.5(8,003 ratings)",Development,Web Development,JavaScript,"31,399",English,ES6 Javascript Development from scratch. Get practice with live examples and learn exactly where to apply ES6 features.,12/2019,12/31/19
Object-oriented Programming in JavaScript,www.udemy.com/course/javascript-object-oriented-programming/,Mosh Hamedani,49.99,11.99,"4.6(1,953 ratings)",Development,Web Development,JavaScript,"10,102",English,"Learn all about OOP, understand the most confusing parts of JavaScript and prepare for technical interviews",4/2018,12/31/19
Make a Spotify Clone from Scratch: JavaScript PHP and MySQL,www.udemy.com/course/spotify-clone/,Reece Kenney,49.99,11.99,"4.6(1,191 ratings)",Development,Web Development,JavaScript,"6,493",English,"Learn JavaScript, PHP and MySQL by building the ultimate music streaming website from scratch! The complete guide!",7/2019,12/31/19
