Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Pianoforall - Incredible New Way To Learn Piano & Keyboard,www.udemy.com/course/pianoforall-incredible-new-way-to-learn-piano-keyboard/,Robin Hall,199.99,11.99,"4.7(25,015 ratings)",Music,Instruments,Piano,"211,951",English,"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",1/2019,12/28/19
Pop & Jazz Keyboards & Harmony (beginner),www.udemy.com/course/pop-and-jazz-keyboards-and-harmony-beginner-level/,Duncan Millar,49.99,11.99,4.6(50 ratings),Music,Instruments,Keyboard Instrument,540,English,"Intro to Pop and Jazz Piano chords, progressions, inversions, seventh chords, melody, tensions, bass-lines and the Blues",7/2016,12/28/19
Piano Chords: How To Form Basic Chords On Piano And Keyboard,www.udemy.com/course/pianochords/,Mantius Cazaubon,74.99,11.99,4.2(59 ratings),Music,Music Fundamentals,Keyboard Instrument,473,English,Master The Most Common Piano Chords With The Help Of An Experienced Piano Player,4/2016,12/28/19
Keyboard for Electronic Music,www.udemy.com/course/keyboard-for-electronic-music/,Gal Peiser,39.99,11.99,4.5(33 ratings),Music,Production,Keyboard Instrument,944,English,Learn and practice the secrets of keyboard playing to improve your music!,3/2019,12/28/19
Keyboard Basics,www.udemy.com/course/keyboard-basics/,Starling Jones Jr,24.99,11.99,5.0(1 rating),Music,Instruments,Keyboard Instrument,89,English,"Learn the fundamentals of the keyboard. Learn note names, chords, scales, and how to read chorded sheet music",4/2014,12/28/19
Compose at the Keyboard with the Pyramids Variations,www.udemy.com/course/compose-at-the-keyboard-with-the-pyramids-variations/,Mister Musicarta,24.99,19.99,4.3(21 ratings),Music,Music Techniques,Keyboard Instrument,223,English,"Learn an easy, flexible hand position to play chords from chord symbols and learn the basics of improvising music.",9/2016,12/28/19
Digital Pianist Course-Learn Piano & Keyboard Fast & Easy,www.udemy.com/course/digital-pianist-course-learn-piano-keyboard-fast-easy/,Marko Zivojinovic,149.99,11.99,3.9(22 ratings),Music,Instruments,Keyboard Instrument,261,English,"Piano Course For Adult Beginners Or People Who Want To Renew,Supplement And Improve Drastically Their Previous Knowledge",10/2017,12/28/19
Learn to play Greek music on the keyboard instrument,www.udemy.com/course/greek-keyboard-lessons/,Yossi Aharon,99.99,11.99,3.3(3 ratings),Music,Instruments,Keyboard Instrument,13,English,Learn to play the Greek music on oriental keyboard with these online lessons provided by the instructor Yossi Aharon,7/2017,12/28/19
Music Theory for Keyboard & Piano - Chords & Scales - Part 2,www.udemy.com/course/learn-keyboard-piano-part-2-advanced-chords-and-scales/,John Courtenay,19.99,11.99,3.3(9 ratings),None,None,None,None,None,None,None,None
Music Theory for Keyboard & Piano- Chords and Scales- Part 1,www.udemy.com/course/piano-keyboard-part-1-notes-chords-and-scales/,John Courtenay,19.99,11.99,3.6(20 ratings),None,None,None,None,None,None,None,None
Name that Key!,www.udemy.com/course/name-that-key/,Donna McFarland,0.0,Free,4.0(29 ratings),Music,Instruments,Keyboard Instrument,"1,485",English,Name the Keys on the Piano and the Notes on the Staff,2/2019,12/28/19
Curso Completo de Teclado + Revista Digital Grátis,www.udemy.com/course/curso-completo-de-teclado/,Edicase Negócios Editoriais Ltda,109.99,11.99,4.2(110 ratings),MÃºsica,Instrumentos,Instrumento de teclas,664,PortuguÃªs,38 VÃ­deo Aulas com os Profs. ANA FRIDMAN E PETER DIETRICH,10/2017,12/28/19
Re-armonización y adornos para el tecladista principiante,www.udemy.com/course/15-consejos-para-el-tecladista-principiante/,Ilse Lozoya,49.99,11.99,4.0(1 rating),MÃºsica,Instrumentos,ImprovisaciÃ³n,94,EspaÃ±ol,Consejos prÃ¡cticos para realizar adornos en la melodÃ­a y embellecer los acordes de una manera sencilla.,11/2019,12/28/19
Aprende a tocar ritmos latinos en el teclado,www.udemy.com/course/aprende-a-tocar-ritmos-latinos-en-el-teclado/,Virtuosso Producciones,0.0,49.99,4.0(1 rating),Music,Instruments,Keyboard Instrument,17,Spanish,"Si te gustan la salsa, la cumbia, el danzÃ³n, el merengue y el cha cha chÃ¡, Â¡llegÃ³ el curso que estabas esperando!",5/2014,12/28/19
Aprende a tocar el teclado como los expertos,www.udemy.com/course/aprende-a-tocar-el-teclado-desde-cero/,Virtuosso Producciones,0.0,49.99,4.6(2 ratings),Music,Instruments,Keyboard Instrument,14,Spanish,"El curso mÃ¡s completo para aprender a tocar el teclado, una guÃ­a detallada para desarrollar tus habilidades musicales",5/2014,12/28/19
Curso de teclado cristiano,www.udemy.com/course/curso-de-teclado-cristiano/,Lucas Asuncion,34.99,11.99,4.2(2 ratings),MÃºsica,Instrumentos,Teclado (instrumento),15,EspaÃ±ol,Aprende a tocar el teclado en tu iglesia,8/2018,12/28/19
