Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Leadership: Practical Leadership Skills,www.udemy.com/course/practical-leadership/,Chris Croft,89.99,11.99,"4.6(7,717 ratings)",Business,Management,Leadership,"29,642",English,Master leadership skills and leadership techniques with this highly practical advice and training,3/2019,12/31/19
Management Skills - Team Leadership Skills Masterclass 2020,www.udemy.com/course/leadership-and-lean-management-masterclass/,Mark Timberlake,199.99,13.19,"4.4(1,792 ratings)",Business,Management,Management Skills,"14,295",English,Beginners Guide Leadership Skills - Culture Change - Lean Bpm - Lean Management Skills - Team Building - Manager Skills,3/2018,12/31/19
The Science of Leadership,www.udemy.com/course/neuromanagement/,Gregory Caremans - Brain Academy,199.99,11.39,"4.6(1,655 ratings)",Personal Development,Leadership, ,"12,539",English,"Leadership, management techniques and communication skills based on research from neuroscience to social psychology",10/2019,12/31/19
Management Skills: Team Leadership Skills Master Class,www.udemy.com/course/team-kata/,Lawrence M. Miller,199.99,11.39,"4.5(1,240 ratings)",Business,Management,Leadership,"10,355",English,"Team Leadership Skills & Management Skills for Process Improvement, Team Problem-Solving & Continuous Improvement",12/2019,12/31/19
"Lean Leadership, Lean Culture & Lean Management",www.udemy.com/course/lean-leadership-lean-culture-change-management/,Lawrence M. Miller,149.99,11.39,4.6(876 ratings),Business,Management,Change Management,"6,103",English,"Leading Change: Lean Culture, Lean Manufacturing, Continuous Improvement & Toyota Production System",2/2019,12/31/19
Acumen Presents: Seth Godin's Leadership Workshop,www.udemy.com/course/seth-godins-leadership-workshop/,+Acumen Courses,179.99,45.00,"4.3(2,893 ratings)",Personal Development,Leadership, ,"13,964",English,Learn the concrete steps to lead change and create an alternative future for yourself and others.,4/2018,12/31/19
Think Like a Leader with Brian Tracy,www.udemy.com/course/think-like-a-leader-with-brian-tracy/,Brian Tracy,0.0,199.99,"4.5(1,441 ratings)",Business,Entrepreneurship, Leadership,"9,894",English,Change your day to day habits to become a powerful motivator and achieve leadership success,1/2018,12/31/19
IT Leadership: Succeeding in the CIO/CTO/IT Director role,www.udemy.com/course/it-leadership-succeeding-in-the-cioctoit-director-role/,CIO Academy,124.99,11.39,3.9(214 ratings),Personal Development,Leadership, ,"1,294",English,"A guide to the capabilities and skills required to become a successful, impactful and highly-sought C-level IT leader",2/2019,12/31/19
Leadership: The Emotionally Intelligent Leader,www.udemy.com/course/the-emotionally-intelligent-leader/,Robin Hills,179.99,11.39,4.3(432 ratings),Business,Management,Leadership,"2,671",English,How to work with and manage the emotional climate of your team to build trust and develop relationships.,12/2019,12/31/19
Leadership Lessons and Building high performing teams,www.udemy.com/course/leadership-lessons-and-building-high-performing-teams/,Stuart Lancaster,149.99,16.19,4.5(191 ratings),Personal Development,Leadership,Team Building,"1,345",English,Lessons in Leadership,5/2019,12/31/19
