Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,Jonathan Levi,199.99,12.59,"4.3(19,548 ratings)",Personal Development,Memory & Study Skills,Speed Reading,"123,979",English,The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,7/2019,01/01/20
Infinite Mind: Acquire Photographic Memory & Become a Genius,www.udemy.com/course/infinite-mind-acquire-photographic-memory/,Nasif Sufian,149.99,11.39,4.4(656 ratings),Personal Development,Memory & Study Skills,Memory,"5,208",English,"Memorize Information Rapidly, Live Life More Efficiently and Intelligently, Unleash your Potential & Fulfill Your Dreams",9/2019,01/01/20
End Game: The Ultimate Accelerated Learning System,www.udemy.com/course/the-ultimate-accelerated-learning-system/,Timothy Kenny,199.99,11.39,4.5(674 ratings),Personal Development,Memory & Study Skills,Learning Strategies,"6,372","English
 ","A System For Skill Investing, Research, Speed Reading, Note Taking (and Organizing), Memory, Deliberate Practice & more",12/2019,01/01/20
The Ultimate Guide To Memory And Learning Skills,www.udemy.com/course/improve-memory/,Gregory Caremans - Brain Academy,99.99,11.39,4.6(428 ratings),Personal Development,Memory & Study Skills,Memory,"7,015",English,"Discover how our memory works and how to stimulate our brain, from newborn over teenager and adulthood to old age",10/2019,01/01/20
Become A Learning Machine 2.0: Read 300 Books This Year,www.udemy.com/course/become-a-learning-machine-read-300-books/,Brandon Hakim,194.99,11.39,"4.1(2,145 ratings)",Personal Development,Memory & Study Skills,Speed Reading,"11,164",English,"How To Finally Get Through Your Unread Bookshelf, Even If You Have Little Time and Read Too Slowlyâ¦ Guaranteed!",6/2019,01/01/20
Primal Learning - Join the Top 1% Fastest Learners,www.udemy.com/course/primal-learning/,Mathias G,199.99,11.39,4.4(715 ratings),Personal Development,Memory & Study Skills,Learning Strategies,"7,548",English,Hack the flow state. Multiply your productivity. Ace your exams. Optimize your lifestyle. Double your reading speed.,1/2018,01/01/20
Learning How to Learn From Video Courses,www.udemy.com/course/katyaseberson/,Katya Seberson,199.99,11.39,4.4(626 ratings),Personal Development,Memory & Study Skills,Learning Strategies,"2,979",English,"Stop watching online Courses like a movie, and start learning for real. It's possible.",12/2019,01/01/20
"Learning Strategies for Exam: Brain Training, Improve Memory",www.udemy.com/course/neuroscience-for-exams-learning-strategies/,"Ina Ilie┃ Neuroscience, Neuroplasticity, Brain Training Coach",199.99,11.39,4.5(44 ratings),Personal Development,Memory & Study Skills,Brain Training,"4,524",English,"Learning Strategies: Mind Mapping, Improve Memory, Brain Training, Study Skills, Note Taking ,Pass Exam, Neuroscience",10/2019,01/01/20
Become A Learning Machine: How To Read 300 Books This Year,www.udemy.com/course/read-300-books/,Brandon Hakim,194.99,11.39,"4.1(1,548 ratings)",Personal Development,Memory & Study Skills,Learning Strategies,"13,909",English,"Secrets From Elon Musk, Bill Gates and 22 Other Radically Successful People To Read Almost A Full Book A Day",6/2019,01/01/20
Essentials : Learning & Recall anything at Warp Speed! Today,www.udemy.com/course/essentials-speed-reading-memory-study-skills-warpspeed-learning-nlp/,Matthew Barnett,194.99,11.39,4.3(317 ratings),Personal Development,Memory & Study Skills,Learning Strategies,"2,722",English,The most useful Neuroplasticity techniques to learning FAST - Learn to speed up your learning and recall now,10/2016,01/01/20
