Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Life Coaching Certificate Course (Beginner to Advanced),www.udemy.com/course/life-coaching-online-certification-course-life-coach-training/,Kain Ramsay,199.99,20.99,"4.5(16,073 ratings)",Personal Development,Personal Transformation,Life Coaching,"78,772",English,"Learn the transformational Achology Life Coaching process and become a highly skilled, Achology certified Life Coach",12/2019,12/31/19
Professional Life Coach Certification & Guide (Accredited),www.udemy.com/course/life-coaching-a-complete-guide/,Joeel & Natalie Rivera,194.99,14.39,"4.5(4,452 ratings)",Personal Development,Personal Transformation,Life Coaching,"20,936",English,"Become a certified life coach & grow your life coaching business! Done-for-you forms, tools, processes & best practices",12/2019,12/31/19
Life Purpose Life Coach Certification (Accredited),www.udemy.com/course/life-purpose-coach-certification/,Joeel & Natalie Rivera,194.99,14.39,"4.5(3,545 ratings)",Personal Development,Personal Transformation,Life Purpose,"21,730",English,Become a Certified Life Purpose Coach! Learn powerful tools & strategies to help clients find their purpose & passion.,12/2019,12/31/19
Life Coaching Practitioner Diploma (Advanced to Expert),www.udemy.com/course/life-coaching-practitioner-diploma-achology-certified/,Kain Ramsay,199.99,11.39,"4.6(1,414 ratings)",Personal Development,Career Development,Life Coaching,"8,821",English,Learn the Achology 'Step-by-Step' Life Coaching Process and Begin Working With Clients as a Life Coaching Practitioner,11/2019,12/31/19
Certified Relationship Workshop Facilitator for Life Coaches,www.udemy.com/course/certified-relationship-workshop-facilitator-for-life-coaches/,Joeel & Natalie Rivera,194.99,17.39,"4.4(1,498 ratings)",Personal Development,Parenting & Relationships, Life Coaching,"10,697",English,Empower others to create enlightened relationships by conducting group life coaching through relationship workshops.,12/2019,12/31/19
CBT Cognitive Behavior Life Coach Certification: Accredited,www.udemy.com/course/cbt-cognitive-behavioral-life-coach-certification/,Joeel & Natalie Rivera,199.99,17.99,4.6(804 ratings),Personal Development,Personal Transformation,CBT,"5,005",English,"With CBT: Empower coaching clients to stop self-sabotage, reprogram their mind, master emotions & stop negative thinking",12/2019,12/31/19
Strategic Life Coaching Practitioner Cert (ACCREDITED),www.udemy.com/course/strategic-life-coaching-practitioner-certification-begin-pro/,Graham Nicholls,199.99,16.19,4.6(286 ratings),Lifestyle,Other,Life Coaching,"3,129",English,A fully comprehensive combined Life Coaching & Strategic Life Coaching Certification program from Beginner to Expert,12/2019,12/31/19
Life Coaching Business MASTERCLASS (5+ Courses in 1),www.udemy.com/course/life-coaching-business-masterclass-5-courses-in-1/,Joeel & Natalie Rivera,199.99,11.39,4.4(347 ratings),Personal Development,Personal Transformation,Life Coaching,"3,445",English,Complete Guide: Build a Life Coach Business & Get Life Coaching Clients Consistently with a Package that Sells Itself,12/2019,12/31/19
Happiness Life Coach Certification  (Accredited),www.udemy.com/course/happiness-life-coach-certification/,Joeel & Natalie Rivera,194.99,13.79,"4.5(2,232 ratings)",Personal Development,Happiness,Life Coaching,"13,294",English,Become a Certified Happiness Life Coach! Learn powerful tools and strategies to help your clients find their happiness.,12/2019,12/31/19
Goal Setting to Success: Life Coach Certification Accredited,www.udemy.com/course/goal-success-life-coach-certification/,Joeel & Natalie Rivera,194.99,13.79,"4.5(1,578 ratings)",Personal Development,Personal Transformation,Life Coaching,"10,519",English,"Learn Life Coaching industry best practices. Help clients be successful, achieve their goals, and reach their dreams!",12/2019,12/31/19
