Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,Jonathan Levi,199.99,14.99,"4.3(19,558 ratings)",Personal Development,Memory & Study Skills,Speed Reading,"123,578",English,The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,7/2019,12/28/19
10X Effective Learning: Speed Reading & Memory Booster,www.udemy.com/course/learn-speed-reading-memory-techniques/,Silviu Marisk - Top Instructor,199.99,11.39,"4.6(1,866 ratings)",Personal Development,Memory & Study Skills,Speed Reading,"29,415",English,"How to Learn Anything Fast: Advanced Speed Reading, Memory And Productivity Techniques To Skyrocket Your Learning!",12/2019,12/28/19
How To Remember Everything With Tom Weber,www.udemy.com/course/how-to-remember-everything/,Tom Weber,34.99,11.39,"4.6(1,497 ratings)",Personal Development,Memory & Study Skills,Memory,"11,189",English,"Learn how to remember names, dates, presentations, speeches and anything else that holds importance in your life!",8/2015,12/28/19
Infinite Mind: Acquire Photographic Memory & Become a Genius,www.udemy.com/course/infinite-mind-acquire-photographic-memory/,Nasif Sufian,149.99,11.39,4.4(656 ratings),Personal Development,Memory & Study Skills,Memory,"5,183",English,"Memorize Information Rapidly, Live Life More Efficiently and Intelligently, Unleash your Potential & Fulfill Your Dreams",9/2019,12/28/19
The Ultimate Guide To Memory And Learning Skills,www.udemy.com/course/improve-memory/,Gregory Caremans - Brain Academy,99.99,11.39,4.6(428 ratings),Personal Development,Memory & Study Skills,Memory,"6,976",English,"Discover how our memory works and how to stimulate our brain, from newborn over teenager and adulthood to old age",10/2019,12/28/19
Ultra Memory Masterclass - Improve Your Memory Today,www.udemy.com/course/ultramemory/,CourseBox Online Learning,199.99,11.39,4.3(213 ratings),Health & Fitness,Mental Health,Memory,"2,098",English,Learn to Memorize ANYTHING!,4/2019,12/28/19
5 Day Memory Mastery: Learn to Memorize Anything With Ease,www.udemy.com/course/5-day-memory-mastery/,Jonathan Levi,49.99,11.39,4.1(160 ratings),Personal Development,Memory & Study Skills,Memory,"1,117",English,Discover the neuroscience-based memory techniques & mnemonics used by world champions in an ultra-condensed crash course,7/2019,12/28/19
Advanced Course - Speed Reading And Memory,www.udemy.com/course/advanced-course-speed-reading-and-memory/,Louay El Charif,199.99,11.39,4.3(44 ratings),Personal Development,Memory & Study Skills,Memory,"2,686",English,The Ultimate Speed Reading And Memory Enhancement Course To Improve Your Reading Speed And Memory,10/2019,12/28/19
How To Develop An Awesome Memory,www.udemy.com/course/how-to-develop-an-awesome-memory/,David Thomas,74.99,11.39,4.5(321 ratings),Personal Development,Memory & Study Skills,Memory,"2,020",English,Guinness memory record breaker and US Memory Champion shows how to hugely improve memory using easy to learn techniques,3/2017,12/28/19
Become A Reading Machine MASTERCLASS: Read 300 Books,www.udemy.com/course/become-a-speed-reading-machine-accelerated-learning-strategies/,Brandon Hakim,199.99,11.39,4.4(91 ratings),Personal Development,Memory & Study Skills,Memory,797,English,"The ADVANCED Course To Get Through Your Unread Bookshelf, Even If You Have Little Time and Read Too Slowlyâ¦ Guaranteed!",6/2019,12/28/19
