Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
AZ-900: Microsoft Azure Fundamentals Exam Prep -2020 Edition,www.udemy.com/course/az900-azure/,"Scott Duffy  • 200,000+ Students",29.99,11.99,"4.4(2,176 ratings)",IT & Software,IT Certification,Microsoft AZ-900,"7,970",English,"Learn the fundamentals of Azure, and get certified, with this complete beginner's AZ-900 course, includes practice test!",12/2019,12/31/19
Microsoft Azure - Beginner's Guide + AZ-900 preparation,www.udemy.com/course/microsoft-azure-beginners-guide/,Alan Rodrigues,99.99,11.99,"4.4(3,891 ratings)",IT & Software,IT Certification,Microsoft AZ-900,"21,559",English,Beginning your journey on Microsoft Azure + 165 practice questions on AZ-900 certification exam,11/2019,12/31/19
AZ-900 Azure Exam Prep: Microsoft Azure Fundamentals,www.udemy.com/course/az-900-azure-exam-prep-understanding-cloud-concepts/,Thomas Mitchell,19.99,11.99,"4.4(2,215 ratings)", IT & Software,IT Certification,Microsoft AZ-900,"9,274",English,Prepare for the AZ-900 Exam with this Comprehensive AZ-900 Course + 50-Question Exam! (UPDATED NOV 2019),12/2019,12/31/19
Microsoft Azure Fundamentals (AZ-900) - Practice Tests,www.udemy.com/course/microsoft-azure-fundamentals-az-900-practice-tests/,Exam Pass,89.99,11.99,4.2(600 ratings),IT & Software,IT Certification,Microsoft AZ-900,"2,034",English,Latest practice questions with detailed explanations. Pass the Microsoft Azure AZ-900 exam in the first attempt.,12/2019,12/31/19
AZ-900: Microsoft Azure Fundamentals Original Practice Tests,www.udemy.com/course/az900-azure-tests/,"Scott Duffy  • 200,000+ Students",29.99,11.99,4.2(511 ratings),IT & Software,IT Certification,Microsoft AZ-900,"2,353",English,"Three complete timed practice tests for AZ-900 Azure Fundamentals exam, 150 questions, 100% original material",11/2019,12/31/19
"Azure Bundle Prep for AZ-900 , AZ-102 and Az-103",www.udemy.com/course/implementing-microsoft-azure-infrastructure-solutions-70533/,Anand Nednur,124.99,11.99,4.3(684 ratings),IT & Software,IT Certification,Microsoft AZ-900,"6,209",English,Clear and Concise,12/2019,12/31/19
Microsoft AZ-900 Certification: Azure Fundamentals,www.udemy.com/course/az-900-azurefundamentals/,Nick Colyer,49.99,11.99,4.3(427 ratings),IT & Software,IT Certification,Microsoft AZ-900,"1,731",English,Form a solid foundation for understanding key Azure concepts and services,11/2019,12/31/19
Azure Fundamentals: AZ-900 Certification,www.udemy.com/course/azure-fundamentals-az-900-certification/,Kevin Brown,99.99,11.99,4.4(187 ratings),IT & Software,IT Certification,Microsoft Azure,"1,000",English,Get to know Microsoft Azure,12/2019,12/31/19
AZ-900 Azure Sure&Quick Success Complete Course+Quiz& 2 Exam,www.udemy.com/course/silver-bullet-to-crack-az900-azure-fundamental-certification/,Rajeev Chatterjee,199.99,11.99,4.0(485 ratings),IT & Software,IT Certification,Microsoft AZ-900,"1,379",English,"Precise Lectures, No beating around bush,Get Microsoft (AZ900) Certified, Learn Cloud basics, 300+ Questions. Full exam",11/2019,12/31/19
AZ-900 Azure Exam Prep: Understanding Core Azure Services,www.udemy.com/course/az-900-azure-exam-prep-understanding-core-azure-services/,Thomas Mitchell,29.99,11.99,4.1(487 ratings),IT & Software,IT Certification,Microsoft AZ-900,"2,158",English,Learn How to Describe Core Azure Services for the AZ-900 Microsoft Azure Fundamentals Certification Exam,7/2019,12/31/19
Crash course to pass the Microsoft Azure Fundamentals AZ900,www.udemy.com/course/crash-course-to-pass-the-microsoft-azure-fundamentals-az900/,Andre Hiotis,39.99,11.99,4.2(357 ratings),IT & Software,IT Certification,Microsoft AZ-900,"1,071",English,Microsoft Azure Fundamentals AZ900 Certification Exam,6/2019,12/31/19
AZ-900 Microsoft Azure Fundamentals Practice Tests 2019,www.udemy.com/course/az-900-microsoft-azure-fundamentals-practice-tests-2019/,SKILLCERTPRO : Get Certified,19.99,11.99,3.9(62 ratings),IT & Software,IT Certification,Microsoft AZ-900,182,English,Microsoft Azure Fundamentals AZ-900 Dumps 2020. Over 165 Unique Practice Tests for your Exam preparation.,12/2019,12/31/19
AZ-900 Azure Certification:- 5 Complete Practice Exams,www.udemy.com/course/azure-fundamental-az-900-complete-practice-exam/,Rajeev Chatterjee,199.99,11.99,4.0(91 ratings),IT & Software,IT Certification,Microsoft AZ-900,313,English,Largest Practice Exam for getting Azure basic certification with 250 Plus questions and 5 full Exams.,9/2019,12/31/19
