Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Microsoft Access 2016 Master Class: Beginner to Advanced,www.udemy.com/course/microsoftaccess/,Joe Parys,199.99,14.99,"4.6(7,695 ratings)",Office Productivity,Microsoft,Microsoft Access,"35,254",English,Quickly learn how Microsoft Access 2016 can make your life easier and more productive!,9/2019,12/30/19
Microsoft Access Complete Beginner to Advanced,www.udemy.com/course/microsoft-access-complete-beginner-to-advanced/,Kyle Pew,149.99,12.59,"4.6(1,237 ratings)",Office Productivity,Microsoft,Microsoft Access,"5,364",English,"Ultimate Microsoft Access Training - Create & Maintain Access Tables, Access Queries, Access Forms, Access Reports",5/2019,12/30/19
Excel to Access: Intro to Microsoft Access for Excel Users,www.udemy.com/course/import-excel-into-access/,Bruce Myron,199.99,15.59,"4.6(2,556 ratings)",Office Productivity,Microsoft,Microsoft Access,"12,749",English,"Learn Access quickly and understand how it works with Excel. Master the basics of tables, queries, forms and reports.",12/2019,12/30/19
Master Microsoft Access - Access from Beginner to Advanced,www.udemy.com/course/microsoft-access-2016-access-from-beginner-to-advanced/,Kirt Kershaw,149.99,11.99,4.4(340 ratings),Office Productivity,Microsoft,Microsoft Access,"2,502",English,"Develop dynamic Access databases fast in this easy to learn Microsoft Access Course (2010, 2013, 2016, 2019 & 365)",10/2019,12/30/19
Microsoft Access: Networking Made Simple,www.udemy.com/course/split-access-database/,Bruce Myron,199.99,11.39,4.8(440 ratings),Office Productivity,Microsoft,Microsoft Access,"3,426",English,How to Setup and Easily Maintain Access Databases on a Windows Network,12/2019,12/30/19
Microsoft Access: Beyond the Basics of Access Bundle,www.udemy.com/course/microsoft-access/,IsáBel .,199.99,11.39,4.7(344 ratings),Office Productivity,Microsoft,Microsoft Access,"3,774",English,Don't Miss This Info Packed Three-Course Bundle: (1) Customizing Your Database (2) Automate w/Macros (3) SQL Scripting,10/2019,12/30/19
Microsoft Access SQL: SQL for Non-Programmers,www.udemy.com/course/learn-access-sql-from-scratch/,IsáBel .,199.99,11.39,4.8(427 ratings),Development,Databases,Microsoft Access,"5,305",English,"Learn How You Can Use SQL in Microsoft Access with the Tips, Tools, and Exercises in This Best-Selling Course.",10/2019,12/30/19
Microsoft Access VBA: Automating Import of Excel Files,www.udemy.com/course/microsoft-access-vba-automating-excel-import/,Bruce Myron,99.99,11.39,4.8(260 ratings),Office Productivity,Microsoft,Microsoft Access,"2,596",English,Learn how to completely automate the periodic import of Excel files!,12/2019,12/30/19
Microsoft Access: Complete MS Access Mastery for Beginners,www.udemy.com/course/microsoft-access-2016-for-beginners/,Steve McDonald,174.99,11.39,4.5(529 ratings),Office Productivity,Microsoft,Microsoft Access,"14,180",English,"Beginning Microsoft Access mastery. Design Access databases from scratch. For Access 2010, Access 2013, and Access 2016.",11/2019,12/30/19
Microsoft Access Networking 2: Maximum Security,www.udemy.com/course/access-tutorial/,Bruce Myron,199.99,11.39,4.7(187 ratings),Office Productivity,Microsoft,Microsoft Access,"2,293",English,Control what users can and can't do in your networked database.,12/2019,12/30/19
