Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Microsoft Azure cloud - Beginner Bootcamp (Updated Sep 2019),www.udemy.com/course/the-complete-walkthrough-of-microsoft-azure-services/,Varma Rudra,99.99,11.99,"4.4(2,275 ratings)",IT & Software,IT Certification,Microsoft Azure,"15,017",English,The most comprehensive Microsoft Azure course with lots of lab demos on how to deploy and manage Azure services,10/2019,12/30/19
AZ-301 Azure Architect Design Exam Prep 2020,www.udemy.com/course/az301-azure/,"Scott Duffy  • 200,000+ Students",79.99,11.99,4.2(255 ratings),IT & Software,IT Certification,Microsoft Azure,"3,409",English,Prove your Azure Architect Design skills to the world. Complete AZ-301 course. Update as of Dec 2019.,12/2019,12/30/19
A-Z Machine Learning using Azure Machine Learning (AzureML),www.udemy.com/course/machine-learning-using-azureml/,Jitesh Khurkhuriya,99.99,11.99,"4.5(1,581 ratings)",Development,Data Science,Machine Learning,"9,772",English,"Azure ML (Machine Learning): Azure Machine Learning Studio, Machine Learning on cloud, Machine Learning without coding",11/2019,12/30/19
Microsoft Azure Solutions (Exam 70-533) – 9 Course Bundle,www.udemy.com/course/azure-cloud-services-6-course-bundle/,Intellezy Trainers,199.99,11.99,"4.3(1,590 ratings)",Office Productivity,Microsoft,Microsoft Azure,"9,727",English,Get a comprehensive overview of Azure cloud services in this 9-course bundle,6/2018,12/30/19
Learn Azure DevOps CI/CD pipelines,www.udemy.com/course/azure-devops-ci-cd-pipelines/,Houssem Dellai,39.99,11.99,4.2(368 ratings),Development,Development Tools,Microsoft Azure,"3,787",English,"Create CI/CD pipelines for Java, .NET, NodeJs, Docker, Terraform, Nuget, Xamarin, SQL Server and ARM templates",12/2019,12/30/19
Exam AZ-300: Microsoft Azure Architect Technologies,www.udemy.com/course/az-102-azure-administrator-certification-transition/,Alan Rodrigues,149.99,11.99,4.5(389 ratings),IT & Software,IT Certification,Microsoft Azure,"2,478",English,Preparation Course + Over 100 + Practice questions + Actual Exam Lab Scenarios,10/2019,12/30/19
Azure DevOps Boards for Project Managers/Analyst/Developers,www.udemy.com/course/azure-devops-for-project-managers-analyst/,Patrick Videos,19.99,11.99,4.4(732 ratings),IT & Software,Other,DevOps,"2,353",English,Microsoft Project Management tool Azure DevOps Boards. TFS / VSTS is now Azure DevOps.,7/2019,12/30/19
Learning Terraform on Microsoft Azure,www.udemy.com/course/learning-terraform-on-microsoft-azure/,L11 Training,34.99,11.99,4.4(475 ratings),IT & Software,Other,Microsoft Azure,"2,060",English,This course takes you from initial setup though to deploying a multi-location web service,11/2019,12/30/19
Microsoft Intune Training,www.udemy.com/course/intune-training/,Pavan Kumar,19.99,11.99,3.8(93 ratings),IT & Software,Other,Microsoft Azure,590,English,Microsoft Intune Simplify's modern workplace management & achieve digital transformation learn Microsoft Intune training,9/2019,12/30/19
Azure Data Factory V2: Hands on practical course,www.udemy.com/course/azure-data-factory-v2/,Amit Navgire,49.99,11.99,4.1(105 ratings),IT & Software,IT Certification,Microsoft Azure,486,English,Learn how to use Data Factory to set up automated data pipelines to and from on-premises and cloud sources.,9/2019,12/30/19
Azure - Active Directory,www.udemy.com/course/azure-active-directory/,Intellezy Trainers,39.99,11.99,"4.3(1,084 ratings)",Office Productivity,Microsoft,Microsoft Azure,"5,109",English,Learn Azure as it pertains to Active Directory.,6/2018,12/30/19
"A to Z of Azure Network services - Covers AZ 300, 103 & more",www.udemy.com/course/the-complete-walkthrough-of-azure-network-services/,Varma Rudra,49.99,11.99,4.5(656 ratings),IT & Software,IT Certification,Microsoft Azure,"4,221",English,The most comprehensive course on Azure networking services with lots of lab demonstrations,10/2019,12/30/19
Azure Fundamentals: AZ-900 Certification,www.udemy.com/course/azure-fundamentals-az-900-certification/,Kevin Brown,99.99,11.99,4.4(188 ratings),IT & Software,IT Certification,Microsoft Azure,987,English,Get to know Microsoft Azure,12/2019,12/30/19
"Azure Data Lake, Data Factory and HDInsight for beginners",www.udemy.com/course/microsoft-azure-database-and-analytics/,Eshant Garg,99.99,11.99,3.8(83 ratings),IT & Software,Other,Microsoft Azure,343,English,"Azure Data Lake, Storage Gen 2, Data Factory, Hadoop basics, HDInsight concept, Hive, and U-SQL,",11/2019,12/30/19
AZ-900: Microsoft Azure Fundamentals Certification,www.udemy.com/course/az-900-microsoft-azure-fundamentals-certification/,Anand Nednur,34.99,11.99,4.2(241 ratings),IT & Software,IT Certification,Microsoft Azure,"8,066",English,Prepare for Microsoft AZ 900 Exam with Detailed explanations and lots review questions,11/2019,12/30/19
The complete walkthrough of Azure Virtual machines,www.udemy.com/course/deploy-and-manage-azure-virtual-machines/,Varma Rudra,44.99,11.99,4.4(108 ratings),IT & Software,IT Certification,Microsoft Azure,"1,092",English,The most comprehensive course on Azure virtual machine skills required for different Microsoft certification exams,10/2019,12/30/19
LEARNING PATH: Azure: Explore Azure Functions and Logic Apps,www.udemy.com/course/learning-path-azure-explore-azure-functions-and-logic-apps/,Packt Publishing,199.99,11.39,4.3(244 ratings),Development,Databases,Microsoft Azure,"1,892",English,Learn Azure functions and logic apps with up-to-date techniques and practical examples,11/2017,12/30/19
Azure Administrator: AZ-103,www.udemy.com/course/azure-administrator-az-103/,Kevin Brown,199.99,11.39,4.7(20 ratings),IT & Software,IT Certification,Microsoft Azure,327,English,AZ-103 Certification,11/2019,12/30/19
Introduction to Microsoft Azure IoT,www.udemy.com/course/introduction-to-microsoft-azure-iot/,Venkatesh Varadachari,199.99,11.39,4.5(30 ratings),IT & Software, Hardware,Microsoft Azure,256,English,Learn to build cool Internet of Things (IoT) Projects using Microsoft Azure Cloud services.,12/2019,12/30/19
Azure Serverless Functions and Logic Apps,www.udemy.com/course/azure-serverless/,"Scott Duffy  • 200,000+ Students",49.99,11.39,3.9(407 ratings),Development,Web Development,Microsoft Azure,"2,854",English,"Learn about the new Serverless model for Cloud Apps, using Azure Functions, Logic Apps, and Event Grid.",11/2019,12/30/19
"Plan, Implement and Manage  Microsoft Azure Intune",www.udemy.com/course/microsoft-azure-intune/,Parwiz Elm Jo,49.99,11.39,3.6(364 ratings),IT & Software,Network & Security,Microsoft Azure,"1,580",English,"Secure and Control your PC's and Mobile Devices from Anywhere, Anytime.",9/2017,12/30/19
Professional Azure SQL Database Administration,www.udemy.com/course/professional-azure-sql-database-administration/,Packt Publishing,199.99,11.39,4.1(143 ratings),Development,Databases,Microsoft Azure,709,English,Master your skills to efficiently manage and maintain data on the cloud,11/2018,12/30/19
Terraform Version 0.12 - Complete Guide on Microsoft Azure,www.udemy.com/course/terraform-version-012-complete-guide-on-microsoft-azure/,DevOps Made Easy,19.99,11.39,4.5(18 ratings),IT & Software,Operating Systems,Microsoft Azure,174,English,An in-depth course going through the basics concepts of Terraform v 12 all the way to advanced techniques using Azure.,10/2019,12/30/19
Master Azure Web Apps - Take Java Spring Boot Apps to Azure,www.udemy.com/course/deploy-spring-boot-to-azure/,in28Minutes Official,49.99,11.39,4.7(12 ratings),IT & Software,Other,Microsoft Azure,201,English,"Learn Azure with Java Spring Boot REST API, Full Stack, Docker and Web Apps with Azure App Service and Azure Web Apps",10/2019,12/30/19
Learn Azure step by step.,www.udemy.com/course/learn-azure/,Shivprasad Koirala,19.99,11.39,4.3(101 ratings),Development,Web Development,Microsoft Azure,"2,660",English,This course teaches Azure step by step from the perspective of C# developers.,12/2019,12/30/19
Getting Started with Azure Functions,www.udemy.com/course/getting-started-with-azure-functions/,Packt Publishing,124.99,11.39,4.3(127 ratings),Development,Programming Languages,Microsoft Azure,"1,054",English,Utilize Serverless Architecture to Build Scalable Cloud System.,7/2017,12/30/19
Azure Machine Learning using Cognitive Services,www.udemy.com/course/azure-machine-learning-using-cognitive-services/,Tim Buchalka's Learn Programming Academy,99.99,11.39,4.3(65 ratings),Development,Web Development,Microsoft Azure,903,English,"Learn the Azure Machine Learning Studio, Azure Bot Service, Video Indexing service, Computer Vision for OCR and more!",12/2019,12/30/19
Getting Started With Microsoft Azure (UPDATED 2019),www.udemy.com/course/getting-started-with-microsoft-azure/,Thomas Mitchell,29.99,11.39,"4.2(2,056 ratings)",IT & Software,IT Certification,Microsoft Azure,"8,297",English,How to Deploy Your First Resources in Microsoft Azure,3/2019,12/30/19
Azure Active Directory And Azure AD Domain Services,www.udemy.com/course/azure-active-directory-and-azure-active-directory-domain-services/,Himanshu Rana,29.99,11.39,4.1(57 ratings),IT & Software,IT Certification,Microsoft Azure,229,English,"Learn how Azure Active Directory, On-Premises Active directory and Azure AD Domain Services integrate with each other.",11/2019,12/30/19
Cloud Computing with Microsoft Azure BUNDLE 2019,www.udemy.com/course/cloud-computing-with-microsoft-azure-bundle-2019/,Pranjal Srivastava,34.99,11.39,4.1(44 ratings),Development,Web Development,Microsoft Azure,"4,079",English,A COMPLETE Boot-camp with multiple Projects,5/2019,12/30/19
Azure Deep Dive: Complete Cost Management Course,www.udemy.com/course/azure-cost/,"Scott Duffy  • 200,000+ Students",49.99,11.39,4.3(69 ratings),IT & Software, Network & Security,Microsoft Azure,"1,530",English,"Learn the complete ins and outs of Azure Cost Management + Billing. Budgeting, tracking, invoices, alerts, cut the bill.",12/2019,12/30/19
Azure Solutions (Exam 70-533) & 365 Admin–(10-Course Bundle),www.udemy.com/course/azure-cloud-services-and-office-365-admin-7-course-bundle/,Intellezy Trainers,199.99,11.39,4.1(381 ratings),IT & Software,IT Certification,Microsoft Azure,"2,777",English,Get a comprehensive overview of Azure cloud services & Office 365 Administration in this 10-course bundle.,6/2018,12/30/19
Azure - SQL,www.udemy.com/course/azure-sql/,Intellezy Trainers,39.99,11.39,4.2(693 ratings),IT & Software,Network & Security,Microsoft Azure,"2,312",English,"In this course, students will get an overview of Azure SQL and also learn how to provision Azure SQL",4/2018,12/30/19
Azure Introduction to Cloud Services,www.udemy.com/course/azure-introduction-i/,Intellezy Trainers,39.99,11.39,"4.1(1,082 ratings)",IT & Software,Network & Security,Cloud Computing,"3,055",English,"This course will introduce students to the Cloud, types of Cloud services, Azure services, and Azure PowerShell.",4/2018,12/30/19
"Container on Microsoft AZURE: Docker, Kubernetes",www.udemy.com/course/container-on-microsoft-azure-docker-kubernetes/,Harshit Srivastava,19.99,11.39,3.7(56 ratings),Development,Web Development,Microsoft Azure,"4,296",English,Docker | Kubernetes | Service Fabric Cluster | AKS |Container Instances | Container Registry,5/2019,12/30/19
C# Microservices Development on Azure,www.udemy.com/course/c-microservices-development-on-azure/,Packt Publishing,124.99,11.39,3.7(29 ratings),IT & Software,Network & Security,Microsoft Azure,175,English,Escape the monolithic application design and efficiently deploy scalable microservices on Microsoft Azure,9/2019,12/30/19
Azure PowerShell on the Cloud,www.udemy.com/course/azure-powershell-on-the-cloud/,Packt Publishing,124.99,11.39,4.2(46 ratings),Development,Databases,Microsoft Azure,478,English,Administer and automate your IaaS resources with Microsoft Azure Resource Manager and PowerShell from the command line,8/2018,12/30/19
Serverless Computing with Azure Functions,www.udemy.com/course/serverless-computing-with-azure-functions/,Packt Publishing,199.99,11.39,3.4(67 ratings),Development,Development Tools,Microsoft Azure,556,English,Build applications hosted on serverless architecture using Azure Functions.,12/2018,12/30/19
Cloud Security with AWS and Microsoft Azure,www.udemy.com/course/cloud-security-with-aws-and-microsoft-azure/,Harshit Srivastava,49.99,11.39,4.3(23 ratings),Development,Web Development,Amazon AWS,"3,779",English,learn cyber security in modern era of cloud computing,12/2019,12/30/19
Creating and Managing Azure Virtual Machines with PowerShell,www.udemy.com/course/creating-and-managing-azure-virtual-machines-with-powershell/,Thomas Mitchell,24.99,11.39,4.5(152 ratings),IT & Software,Other,Microsoft Azure,"1,148",English,Learn How to Use PowerShell to Deploy and Manage Virtual Machines in Microsoft Azure,7/2018,12/30/19
Azure MasterClass: Manage Azure Cloud with ARM Templates,www.udemy.com/course/azure-masterclass-manage-azure-cloud-with-arm-templates/,TetraNoodle Team,199.99,11.39,3.5(199 ratings),Development,Development Tools,Microsoft Azure,"1,246",English,Automate management and deployment of Azure cloud resources using Azure resource manager and ARM templates,2/2019,12/30/19
Becoming a Cloud Expert - Microsoft Azure IaaS - Level 2,www.udemy.com/course/becoming-a-cloud-expert-microsoft-azure-iaas-level-2/,Idan Gabrieli,199.99,11.39,4.3(34 ratings),IT & Software,IT Certification,Microsoft Azure,"8,321",English,"Learn to Monitor Effectively the Performance, Health and Availability of Azure Services and Your Cloud Resources",10/2019,12/30/19
Microservices with Azure,www.udemy.com/course/microservices-with-azure/,Packt Publishing,124.99,11.39,3.6(38 ratings),Business,Data & Analytics,Microsoft Azure,227,English,"Create high performing, cost-effective, and scalable microservice applications using Azure Service Fabric.",9/2018,12/30/19
Azure IaaS & Azure PaaS Architecture and Solutions,www.udemy.com/course/azure-iaas-azure-paas-architecture-and-solutions/,Packt Publishing,199.99,11.39,3.2(13 ratings),Development,Databases,Microsoft Azure,160,English,"Build a custom PaaS Azure Cloud using App services, Database as a Service, and Data Processing as a Service.",5/2019,12/30/19
Cloud Computing for Beginners with Microsoft Azure,www.udemy.com/course/azure-cloud-computing/,Eduardo Rosas,64.99,11.39,3.8(249 ratings),IT & Software,Other,Cloud Computing,"2,397",English,"Learn the basics of cloud computing and start using Azure services; from virtual machines, to databases and web apps.",1/2017,12/30/19
Microsoft Azure and Cloud Computing: The Basics,www.udemy.com/course/azure-cloud/,"Scott Duffy  • 200,000+ Students",49.99,11.39,4.0(184 ratings),IT & Software,"Other
 ",Cloud Computing,636,English,A course that covers cloud services and cloud computing from the very basics. Focusing on the Microsoft Azure platform.,11/2019,12/30/19
Azure MasterClass: Analyze Data With Azure Stream Analytics,www.udemy.com/course/azure-masterclass-analyze-data-with-azure-stream-analytics-azure-asa/,TetraNoodle Team,199.99,11.39,4.0(82 ratings),Development,Development Tools,Microsoft Azure,"2,284",English,Analyze your data in the cloud in real time with Azure Stream Analytics. Get insights from data in real time at scale.,2/2019,12/30/19
"Microsoft Azure, SCRUM and MicroServices with .NET",www.udemy.com/course/devops-azure-and-microservices-enterprise-apps-with-net/,Brett Hargreaves,99.99,11.39,4.3(194 ratings),Development,Web Development,Microsoft Azure,"1,632",English,Build Enterprise class Applications with Microsoft Azure and Stand Out from the Crowd,11/2018,12/30/19
Microsoft Azure: Cloud Computing Made Easy: 3-in-1,www.udemy.com/course/microsoft-azure-cloud-computing-made-easy-3-in-1/,Packt Publishing,199.99,11.39,4.3(16 ratings),Development,Programming Languages,Microsoft Azure,199,English,"Design, configure, and build your cloud-based infrastructure with Microsoft Azure",10/2018,12/30/19
Learn Cosmos db Gremlin API by building a .Net Core REST API,www.udemy.com/course/learn-cosmos-db-gremlin-api/,Sami Majed Abbushi,149.99,11.39,4.6(25 ratings),Development,Databases,Microsoft Azure,276,English,Learn how to work with the Azure Cosmos db Gremlin API and get comfortable with basic gremlin syntax.,4/2019,12/30/19
"Introduction to Cloud Computing with AWS, Azure and GCP",www.udemy.com/course/the-complete-introduction-to-cloud-with-aws-azure-and-gcp/,Girish D,19.99,11.39,3.8(21 ratings),IT & Software,Other,Amazon AWS,104,English,"Understanding cloud computing concepts and introduction to Amazon Web Services,Microsoft Azure and Google Cloud Platform",6/2019,12/30/19
Fundamentals of Azure and Powershell,www.udemy.com/course/fundamentals-of-azure-and-powershell/,Manish Chandra,19.99,11.99,3.9(25 ratings),IT & Software,Network & Security,Microsoft Azure,"1,164",English,Get started with Microsoft Azure in a nutshell,10/2019,12/30/19
Extending On-Prem Active Directory into Microsoft Azure,www.udemy.com/course/extending-on-prem-active-directory-into-microsoft-azure/,Thomas Mitchell,29.99,11.39,4.6(10 ratings),IT & Software,Other,Microsoft Azure,88,English,How to Properly and Securely Extend an On-Premises Active Directory into Microsoft Azure,7/2019,12/30/19
Introduction to Azure SQL Database,www.udemy.com/course/introduction-to-azure-sql-database/,Artemakis Artemiou,49.99,13.19,4.1(31 ratings),Development,Databases,Microsoft Azure,126,English,Get started with Azure SQL Database and SQL Server on Azure Virtual Machines fast and easy! Many live demos included!,11/2019,12/30/19
Build Cross Platform Apps with Xamarin Forms and Azure,www.udemy.com/course/build-cross-platform-apps-with-xamarin-forms-and-azure/,Asfend Yar Hamid,199.99,11.39,4.3(55 ratings),Development,Mobile Apps,Microsoft Azure,234,English,Learn Azure Mobile App and Implement Offline Synchronization in Xamarin Forms Application,12/2018,12/30/19
Cosmos DB,www.udemy.com/course/cosmos-db/,SkillBakery Studio,49.99,11.39,3.4(35 ratings),Development,Databases,Microsoft Azure,189,English,Learn the bit and bones of Cosmos DB,11/2018,12/30/19
Microsoft Azure: Storage and Database,www.udemy.com/course/microsoft-azure-storage-and-database/,Pranjal Srivastava,34.99,11.39,4.5(19 ratings),Development,Web Development,Microsoft Azure,"1,515",English,SQL Database | CosmosDB | BloB | File | Queue,9/2019,12/30/19
Azure SQL DBA Crash Course ( Part-1),www.udemy.com/course/azure-sql-dba-crash-course/,Bheemanna kammara @Cloud data consultant on Azure and GCP,199.99,11.39,3.7(36 ratings),IT & Software,IT Certification,Microsoft Azure,"2,015",English,"Expert level Azure SQL DBA's, Azure Migration cloud data consultant in IaaS\PaaS",9/2019,12/30/19
Azure - Deploying Virtual Machines,www.udemy.com/course/azure-deploying-virtual-machines/,Intellezy Trainers,39.99,13.19,4.1(268 ratings),IT & Software,Network & Security,Microsoft Azure,"1,572",English,"This course is designed to instruct students on Azure as it pertains to Virtual Networks, Virtual Machines, and Storage",4/2018,12/30/19
Microsoft Azure Information Protection (AIP & MIP),www.udemy.com/course/small-business-automatic-file-and-email-encryption/,James Ratcliffe,49.99,11.39,3.4(35 ratings),IT & Software,Network & Security,Microsoft Azure,880,English,Using Microsoft's Azure Information Protection to achieve automatic classification & Encryption for IT & SMB,7/2019,12/30/19
Infrastucture as a Code - with ARM Templates and Powershell,www.udemy.com/course/infrastucture-as-a-code-with-arm-templates-and-powershell/,Anand Nednur,29.99,11.39,3.5(34 ratings),Development,Web Development,Microsoft Azure,790,English,All you need to know about ARM Templates and Automation with Azure / Powershell,6/2019,12/30/19
Learn How To Become an Azure SQL Database Architect,www.udemy.com/course/learn-how-to-become-an-azure-sql-database-architect/,Mike West,19.99,11.39,4.1(214 ratings),IT & Software,Other,Microsoft Azure,"1,337",English,A Pragmatic Introduction To Azure SQL Database,1/2016,12/30/19
AZ-103: Microsoft Azure Administrator Full Course -  Latest,www.udemy.com/course/az-103-microsoft-azure-administrator-exam/,Anand Nednur,129.99,11.39,4.5(51 ratings),IT & Software,IT Certification,Microsoft Azure,"4,706",English,Clear and Concise,12/2019,12/30/19
Office365 and AzureAD for Developers,www.udemy.com/course/office365dev/,Sahil Malik,19.99,11.39,4.2(74 ratings),Development,Software Engineering,Microsoft Azure,"1,714",English,"Understand the fundamental AzureAD concepts necessary for calling Office365 APIs, 3rd party APIs, and custom APIs",1/2016,12/30/19
Architecting an Azure Compute Infrastructure,www.udemy.com/course/architecting-an-azure-compute-infrastructure/,Packt Publishing,124.99,11.39,3.8(9 ratings),Development,Programming Languages,Microsoft Azure,64,English,Understand the design aspects of Microsoft Azure solution design and architecture,8/2018,12/30/19
Containerization with Docker and Kubernetes in Azure,www.udemy.com/course/containerization-with-docker-and-kubernetes-in-azure/,Packt Publishing,124.99,11.39,2.5(34 ratings),IT & Software,Network & Security,Microsoft Azure,267,English,Getting real with container orchestration in Microsoft Azure,11/2018,12/30/19
Getting Started with Azure IoT Central,www.udemy.com/course/getting-started-with-azure-iot-central/,Vineet Chauhan,104.99,11.39,3.4(12 ratings),IT & Software,Hardware,Microsoft Azure,80,English,Learn about Azure IoT Central from scratch and get started in your IoT journey.,6/2019,12/30/19
Azure Serverless - Hands on Learning!,www.udemy.com/course/azure-serverless-hands-on-learning/,Girish D,39.99,11.39,3.9(3 ratings),Development,Web Development,Microsoft Azure,32,English,"Build secure serverless applications with Azure Function, Cosmos DB, API Management, Azure ADB2C and Azure Blob Storage",12/2019,12/30/19
Cloud Storage Services on Microsoft Azure,www.udemy.com/course/storage-services-of-microsoft-azure/,Pranjal Srivastava,19.99,11.39,4.3(20 ratings),Development,Web Development,Microsoft Azure,"2,856",English,BloB | Disk |File |Table |Queue |Data Lake |StorSimple |Backup |Archive,5/2019,12/30/19
Getting Started with Azure Virtual Machines,www.udemy.com/course/microsoft-azure-vms-course/,Nick Colyer,19.99,11.39,4.2(203 ratings),IT & Software,Other,Microsoft Azure,"4,293",English,Learn about Azure Virtual Machines and get started in your Azure Journey,1/2019,12/30/19
Deploying  Azure Windows Virtual Desktop on AD DS,www.udemy.com/course/deploying-azure-windows-virtual-desktop-on-ad-ds/,Ashraf Ismail,19.99,11.39,3.9(3 ratings),IT & Software,Other,Microsoft Azure,25,English,Learn all required skills to deploy Azure Windows Virtual Desktop on Azure Active Directory Domain service,11/2019,12/30/19
Azure Fundamentals  for Beginners!! Real time use cases,www.udemy.com/course/azure-fundamentals-for-beginners/,Bheemanna kammara @Cloud data consultant on Azure and GCP,199.99,11.39,0.0(0 ratings),IT & Software,IT Certification,Microsoft Azure,29,English,"System admin, Network Admin, Storage Admin, App admins ,Azure SQL DBA,SQL Developers and SQL DBA etc..",10/2019,12/30/19
Mastering and Implementing Azure Active Directory,www.udemy.com/course/mastering-and-implementing-azure-active-directory/,Anand Nednur,24.99,11.39,3.7(34 ratings),IT & Software,Other,Microsoft Azure,"1,693",English,Learn End to end deployment of identities in the cloud,9/2018,12/30/19
Serverless Apps Development with Azure Functions and Node.js,www.udemy.com/course/serverless-apps-development-with-azure-functions-and-nodejs/,Packt Publishing,199.99,11.39,3.8(4 ratings),IT & Software,Network & Security,Microsoft Azure,50,English,"Build effective, scalable, Node.js applications and deploy them on the cloud",5/2019,12/30/19
WinOps - DevOps on the Microsoft Azure Stack:VSTS & TFS 2018,www.udemy.com/course/winops-devops-on-the-microsoft-azure-stackvsts-tfs-2018/,Packt Publishing,124.99,11.39,4.1(25 ratings),Development,Databases,"Microsoft Azure
 ",231,English,In a step by step manner learn modern Devops on the Microsoft stack processes,3/2018,12/30/19
Architecting for High Availability on Azure,www.udemy.com/course/architecting-for-high-availability-on-azure/,Packt Publishing,124.99,11.39,4.0(3 ratings),IT & Software,Other,Microsoft Azure,98,English,"Build cloud systems that provide stringent scalability, performance, resiliency, and monitoring capabilities with Azure",11/2019,12/30/19
Azure HDInsight Solutions Training & Certification,www.udemy.com/course/azure-infrastructure-solutions-training-certification/,Big Data Trunk,44.99,11.39,2.9(19 ratings),IT & Software, IT Certification,Microsoft Azure,740,English,The course is very comprehensive for implementing BIG DATA workflows on Microsoft Azure HDInsight.,5/2019,12/30/19
Windows Azure Programming,www.udemy.com/course/windows-azure-programming/,Bill Lodin,19.99,11.39,4.8(77 ratings),Development,Programming Languages,Microsoft Azure,628,English,Learn how to build applications and services on the Windows Azure platform.,2/2014,12/30/19
Migrating Servers to Azure with Azure Site Recovery,www.udemy.com/course/migrating-ec2-instances-from-aws-to-azure-with-azure-site-recovery/,Thomas Mitchell,19.99,11.39,4.2(13 ratings),IT & Software,Other,Microsoft Azure,58,English,"Follow the Steps in this Hands-On Lab to Learn How to Migrate Servers to Microsoft Azure, using Azure Site Recovery",5/2019,12/30/19
Develop CHATBOT with Microsoft Azure 2019,www.udemy.com/course/develop-chatbot-with-microsoft-azure-2019/,Pranjal Srivastava,34.99,11.39,3.6(29 ratings),Development,Web Development,Facebook Marketing,"1,455",English,Web chat| LUIS | Facebook Chatbot | QnA Maker | Deploy chatbot locally using Bot Emulator | Embed chatbot in website,5/2019,12/30/19
How to Become A Data Scientist Using Azure Machine Learning,www.udemy.com/course/azure-machine-learning-introduction/,Mike West,19.99,11.39,4.0(206 ratings),Development,Data Science,Microsoft Azure,"1,115",English,A Practical Introduction To Microsoft's Azure Machine Learning Tools,12/2015,12/30/19
Microsoft Azure Training - 25 Hrs - Learnoa Certification,www.udemy.com/course/microsoft-azure-training-learnoa-certification/,Learnoa .com,114.99,28.75,0.0(0 ratings),IT & Software,IT Certification,Microsoft Azure,16,English,Microsoft Azure,7/2019,12/30/19
Introduction Azure Backup,www.udemy.com/course/introduction-azure-backup/,Robert Crane,49.99,11.39,4.1(28 ratings),IT & Software,Network & Security,Microsoft Azure,294,English,Learn how to protect your data using Microsoft Azure,10/2016,12/30/19
Microsoft Azure Machine Learning (ML) Fundamentals,www.udemy.com/course/microsoft-azure-machine-learning-fundamentals/,Qasim Shah,199.99,11.39,4.1(11 ratings),Development,Web Development,Microsoft Azure,588,English,Create your first Data Science experiment in Microsoft Azure using Machine learning (ML). Real world data analysis.,11/2018,12/30/19
Develop Cloud-Native Apps & Microservices on Azure with Java,www.udemy.com/course/develop-cloud-native-apps-microservices-on-azure-with-java/,Packt Publishing,199.99,11.39,3.6(8 ratings),Development,Programming Languages,Microsoft Azure,68,English,"Build effective, scalable, Java cloud-native applications and microservices and deploy them on the cloud",2/2019,12/30/19
WinOps – CI/CD with Microsoft Azure Stack: VSTS and TFS 2018,www.udemy.com/course/winops-cicd-with-microsoft-azure-stack-vsts-and-tfs-2018/,Packt Publishing,199.99,11.39,4.3(46 ratings),Development,Development Tools,Microsoft Azure,321,English,Learn modern Devops on the Microsoft stack processes,8/2018,12/30/19
Learning Path: Microsoft Azure: Cloud Computing and Storage,www.udemy.com/course/learning-path-microsoft-azure-cloud-computing-and-storage/,Packt Publishing,199.99,11.39,3.8(20 ratings),IT & Software,Network & Security,Cloud Computing,204,English,Do more with Microsoft Azure,7/2017,12/30/19
Azure Data Lake Storage Gen2 : Hands on Practical Demos,www.udemy.com/course/azure-data-lake-storage-gen2/,Amit Navgire,19.99,11.39,3.3(5 ratings),Development,Databases,Microsoft Azure,35,English,"Learn how to create, explore & load data in Azure Data Lake Storage Gen2 using practical demos.",11/2019,12/30/19
Azure Site Recovery,www.udemy.com/course/azure-site-recovery/,Murugappan Periyakaruppan,19.99,11.39,4.0(135 ratings),IT & Software,Other,Microsoft Azure,597,English,Cloud based disaster recovery solution. Learn how to migrate Virtual Machines from on premises to Azure,3/2018,12/30/19
Microsoft AZURE Big Data and Analytics Certification,www.udemy.com/course/microsoft-azure-big-data-and-analytics-certification/,Pranjal Srivastava,49.99,11.39,4.0(14 ratings),Development,Web Development,Microsoft Azure,"3,123",English,HDInsight | Spark | Jupyter | Zappelin | Stream Analytics | Lake Analytics,11/2019,12/30/19
Azure Redis Cache,www.udemy.com/course/azure-redis-cache/,Packt Publishing,124.99,11.39,3.7(5 ratings),Business,Data & Analytics,Microsoft Azure,45,English,Cloud-scale your distributed cache repos,8/2018,12/30/19
Microservice Development on Azure: Node.js,www.udemy.com/course/microservice-development-on-azure-nodejs/,Packt Publishing,124.99,11.39,4.0(4 ratings),Development,Programming Languages,Microsoft Azure,54,English,"Build and launch a Node .js application using Web Apps, CosmosDB, and Container Services",1/2019,12/30/19
Architecting Azure Solutions for PaaS,www.udemy.com/course/architecting-azure-solutions-for-paas/,Packt Publishing,124.99,11.39,3.7(4 ratings),Development,Programming Languages,Microsoft Azure,41,English,Design your Cloud-Native solutions with best-in-class services on the Azure marketplace,7/2019,12/30/19
